Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
SBA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1563.722866,1556.458647,1549.267584,1541.290887,1528.918563,1519.202903,1517.143215,1507.645706,1501.465365,1495.147176,1486.927358,1488.092602,1482.567573,1484.539445,1491.796088,1499.853507,1502.477053,1498.957173,1488.070823,1489.163709,1489.510683,1471.827596,1462.888598,1447.339688,1445.767173,1444.644451,1425.922633,1408.358718,1395.047835,1377.726072,1354.921961,1335.797917,1320.122813,1302.262419,1282.265016,1271.036918,1268.699139,1252.775905,1237.200483,1221.704993,1215.828257,1216.248482,1208.781437,1198.615657,1194.696681,1195.921038,1189.476093,1189.232253,1193.524862,1194.997455,1190.628116,1185.094821,1183.025665,1179.7629,1170.475484,1163.196109,1155.137279,1148.843784,1146.574117,1144.929483,1139.279252,1132.238905,1134.010537,1129.006394,1127.043919,1120.662813,1127.052015,1124.655663,1126.584384,1124.87567,1122.56842,1118.737198,1120.401915,1118.955624,1116.193719,1117.672677,1120.929318,1116.31956,1111.468395,1112.005797,1114.840414,1113.977445,1109.531842,1105.922987,1097.654235,1095.715478,1097.474673,1094.604766,1094.662473
SBB,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16705.02911,16860.30567,17080.52782,17226.32514,17316.73059,17339.1859,17447.40605,17459.42768,17456.96429,17485.7335,17481.28737,17485.23464,17402.10041,17372.24937,17418.41181,17488.61219,17547.1563,17565.31258,17516.60467,17554.11399,17521.19749,17210.83137,16945.36009,16793.66832,16671.99819,16563.01677,16585.03574,16594.12712,16566.75616,16524.58126,16473.08016,16510.17727,16523.19617,16579.22397,16602.68742,16703.54745,16808.15794,16778.57589,16784.38465,16707.96915,16678.33426,16698.63301,16676.76012,16625.09147,16601.18286,16603.37505,16587.96896,16555.47358,16655.21871,16714.0716,16748.77932,16659.49082,16623.86836,16612.32626,16525.72761,16389.84863,16257.73403,16124.8282,16051.74243,15965.81099,15878.67858,15839.85436,15895.69492,15866.5923,15846.95375,15828.62784,15989.87503,16064.65898,16126.35556,16099.09138,16120.32917,16163.02104,16256.23484,16298.32613,16287.52107,16357.54255,16400.64262,16345.87031,16259.05657,16186.73716,16197.74653,16200.38492,16142.91232,16145.12312,16098.3661,16101.46074,16218.39707,16317.07847,16410.1373
SHO,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.3922,23110.97245,22869.25269,22619.15133,22644.0748,22769.63777,22573.08631,22320.74686,22213.79713,22260.73216,22035.43975,22022.61313,22131.64142,22142.04595,21993.48593,21874.60333,21881.85246,21838.19508,21634.31806,21511.811,21359.43402,21242.5013,21261.54857,21294.34753,21172.54649,20996.87459,21145.85191,21067.88647,21088.3494,20956.20328,21237.35836,21202.55869,21296.70791,21266.15549,21211.26798,21095.93643,21154.3439,21069.79523,20956.71486,20990.19998,21083.08551,20913.2863,20781.57408,20802.22822,20937.69726,20935.5002,20832.93243,20785.89614,20616.44364,20643.57141,20768.27165,20709.0598,20736.11146
SHO1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.3922,23110.97245,22869.25269,22619.15133,22644.0748,22769.63777,22573.08631,22320.74686,22213.79713,22260.73216,22035.43975,22022.61313,22131.64142,22142.04595,21993.48593,21874.60333,21881.85246,21838.19508,21634.31806,21511.811,21359.43402,21242.5013,21261.54857,21294.34753,21172.54649,20996.87459,21145.85191,21067.88647,21088.3494,20956.20328,21237.35836,21202.55869,21296.70791,21266.15549,21211.26798,21095.93643,21154.3439,21069.79523,20956.71486,20990.19998,21083.08551,20913.2863,20781.57408,20802.22822,20937.69726,20935.5002,20832.93243,20785.89614,20616.44364,20643.57141,20768.27165,20709.0598,20736.11146
SHO2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.3922,23110.97245,22869.25269,22619.15133,22644.0748,22769.63777,22573.08631,22320.74686,22213.79713,22260.73216,22035.43975,22022.61313,22131.64142,22142.04595,21993.48593,21874.60333,21881.85246,21838.19508,21634.31806,21511.811,21359.43402,21242.5013,21261.54857,21294.34753,21172.54649,20996.87459,21145.85191,21067.88647,21088.3494,20956.20328,21237.35836,21202.55869,21296.70791,21266.15549,21211.26798,21095.93643,21154.3439,21069.79523,20956.71486,20990.19998,21083.08551,20913.2863,20781.57408,20802.22822,20937.69726,20935.5002,20832.93243,20785.89614,20616.44364,20643.57141,20768.27165,20709.0598,20736.11146
DEO,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361746.701,1345719.641,1339240.965,1328295.026,1329583.78,1325728.258,1324356.901,1329200.973,1329972.93,1336980.182,1337649.361,1340331.18,1359956.508,1378988.631,1384852.953,1377279.71,1378688.353,1377543.74,1371336.394,1365929.5,1366204.51,1365139.472,1364103.407,1364394.161,1362786.654,1371385.503,1381504.013,1380269.106,1378764.843,1383263.87,1394311.843,1416188.143,1414255.223,1412123.677,1411126.098,1412052.936,1414644.622,1413696.081,1415794.972,1421903.238,1425305.724,1422767.434,1422975.896,1424989.153,1424639.766,1423645.605,1424138.695,1426735.659,1423250.769,1420463.027,1436153.608,1452823.861,1454034.228
DEO1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361746.701,1345719.641,1339240.965,1328295.026,1329583.78,1325728.258,1324356.901,1329200.973,1329972.93,1336980.182,1337649.361,1340331.18,1359956.508,1378988.631,1384852.953,1377279.71,1378688.353,1377543.74,1371336.394,1365929.5,1366204.51,1365139.472,1364103.407,1364394.161,1362786.654,1371385.503,1381504.013,1380269.106,1378764.843,1383263.87,1394311.843,1416188.143,1414255.223,1412123.677,1411126.098,1412052.936,1414644.622,1413696.081,1415794.972,1421903.238,1425305.724,1422767.434,1422975.896,1424989.153,1424639.766,1423645.605,1424138.695,1426735.659,1423250.769,1420463.027,1436153.608,1452823.861,1454034.228
PEL,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271226.952,1278799.368,1298546.914,1320486.345,1341272.276,1352172.313,1463855.675,1551675.555,1474029.058,1434740.841,1427653.926,1415148.532,1402611.53,1397589.62,1450390.628,1472271.824,1432142.107,1413995.09,1393977.059,1375977.959,1371353.408,1385118.77,1410602.226,1400418.269,1394813.117,1396270.919,1392174.912,1390321.857,1390598.44,1386460.361,1382586.917,1388235.296,1385722.154,1393896.042,1441364.571,1439818.968,1419714.392,1412718.623,1408085.797,1405553.696,1411066.327,1444029.87,1436714.189,1445998.85,1451637.539,1420381.862,1411770.628,1399804.789,1394192.853,1406466.279,1433440.361,1418953.952,1397705.648,1389549.283,1395110.29,1394745.809,1393692.05,1397035.705,1399631.002,1396136.955,1386812.045,1379851.32,1377126.306,1376734.039,1383344.064,1399329.995,1399253.431,1388405.258,1419551.867,1433341.882,1415818.978,1408630.492,1424714.596,1405134.058,1380881.767,1373606.276,1380846.27,1380663.482,1381290.115,1403634.716,1410487.156,1393136.539,1384120.805,1388420.724,1389245.545,1383896.889,1370780.953,1376784.287,1380542.883
PES,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,863545.7205,869951.463,868323.2066,857658.2326,842480.0725,832003.9111,813951.0055,795804.9198,780729.1534,761432.7172,746254.0206,725705.7325,718785.9354,710888.0081,706207.6007,693405.1036,683722.6322,671918.4398,658888.7311,644900.8921,621254.5711,597234.5411,576295.2963,558714.5492,540422.3657,527661.5756,521297.8333,508529.6059,501341.2542,491614.9242,495219.0126,499320.9879,506746.8897,510259.4425,511691.5115,519410.9133,525937.3207,532312.7509,531778.887,530910.6036,525786.5121,513426.8232,499934.9457,490543.4618,475899.9624,462618.2399,452883.9316,445032.09,442791.8027,439683.9769,440396.2659,458452.9644,470749.5479
PES1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,863545.7205,869951.463,868323.2066,857658.2326,842480.0725,832003.9111,813951.0055,795804.9198,780729.1534,761432.7172,746254.0206,725705.7325,718785.9354,710888.0081,706207.6007,693405.1036,683722.6322,671918.4398,658888.7311,644900.8921,621254.5711,597234.5411,576295.2963,558714.5492,540422.3657,527661.5756,521297.8333,508529.6059,501341.2542,491614.9242,495219.0126,499320.9879,506746.8897,510259.4425,511691.5115,519410.9133,525937.3207,532312.7509,531778.887,530910.6036,525786.5121,513426.8232,499934.9457,490543.4618,475899.9624,462618.2399,452883.9316,445032.09,442791.8027,439683.9769,440396.2659,458452.9644,470749.5479
