Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
SBA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1563.722866,1556.458647,1549.267584,1541.290887,1528.918563,1519.202903,1517.143215,1507.645706,1501.465365,1495.147176,1486.927358,1488.092602,1482.567573,1484.539445,1491.796088,1499.853507,1502.477053,1498.957173,1488.070823,1489.163709,1489.510683,1471.827596,1462.888598,1447.339688,1445.767173,1444.644451,1425.922633,1408.358718,1395.047835,1377.726072,1354.921961,1335.797917,1320.122813,1302.262419,1282.265016,1271.036918,1268.699139,1252.775905,1237.200483,1221.704993,1215.828257,1216.248482,1208.781438,1198.615654,1194.69667,1195.921018,1189.476062,1189.232229,1193.52485,1194.997464,1190.628162,1185.094846,1183.025635,1179.762792,1170.475592,1163.19643,1155.137662,1148.844369,1146.574732,1144.930337,1139.280515,1132.240893,1134.012542,1129.008483,1127.046478,1120.665405,1127.054966,1124.659423,1126.588988,1124.879529,1122.572072,1118.740692,1120.405122,1118.95879,1116.196826,1117.675731,1120.932528,1116.32317,1111.472757,1112.010117,1114.844729,1113.982244,1109.536313,1105.927972,1097.660092,1095.714571,1097.461791,1094.605829,1094.66274
SBB,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16705.02911,16860.30567,17080.52782,17226.32514,17316.73059,17339.1859,17447.40605,17459.42768,17456.96429,17485.7335,17481.28737,17485.23464,17402.10041,17372.24937,17418.41181,17488.61219,17547.1563,17565.31258,17516.60467,17554.11399,17521.19749,17210.83137,16945.36009,16793.66832,16671.99819,16563.01677,16585.03574,16594.12712,16566.75616,16524.58126,16473.08016,16510.17727,16523.19617,16579.22397,16602.68742,16703.54745,16808.37529,16779.22577,16784.78081,16705.77019,16678.24073,16699.74592,16678.84285,16627.10043,16603.31354,16605.22597,16591.20887,16593.42684,16710.43269,16779.07629,16797.58919,16763.3227,16802.89133,16857.77816,16747.11943,16517.11426,16351.27389,16267.14037,16225.1426,16162.16619,16086.8687,16000.78318,16066.92732,16126.70863,16192.90755,16217.30906,16345.09806,16398.77087,16449.13553,16414.04198,16441.80005,16432.38131,16388.13309,16308.24185,16247.41687,16276.86902,16286.30778,16226.45572,16181.36246,16189.4854,16313.46998,16350.74865,16290.52236,16297.11021,16259.22481,16243.52571,16267.75324,16299.20929,16373.64567
SHO,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39471,23110.97995,22869.26122,22619.15868,22644.07852,22769.65166,22573.07068,22320.71036,22213.78126,22260.70055,22035.37293,22022.53907,22131.6185,22142.04762,21993.47778,21874.60111,21881.8262,21838.16023,21634.29414,21511.78783,21359.17701,21242.38284,21261.47527,21294.1068,21172.41331,20996.75385,21145.71723,21067.69184,21088.27622,20956.12638,21237.00191,21202.36313,21296.55426,21265.99491,21211.0669,21095.82256,21154.22467,21069.67349,20956.64677,20990.14085,21083.03153,20913.2204,20781.47833,20802.16694,20937.67842,20935.49992,20832.89416,20785.86134,20616.43866,20643.57328,20768.16342,20708.92608,20736.14289
SHO1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39471,23110.97995,22869.26122,22619.15868,22644.07852,22769.65166,22573.07068,22320.71036,22213.78126,22260.70055,22035.37293,22022.53907,22131.6185,22142.04762,21993.47778,21874.60111,21881.8262,21838.16023,21634.29414,21511.78783,21359.17701,21242.38284,21261.47527,21294.1068,21172.41331,20996.75385,21145.71723,21067.69184,21088.27622,20956.12638,21237.00191,21202.36313,21296.55426,21265.99491,21211.0669,21095.82256,21154.22467,21069.67349,20956.64677,20990.14085,21083.03153,20913.2204,20781.47833,20802.16694,20937.67842,20935.49992,20832.89416,20785.86134,20616.43866,20643.57328,20768.16342,20708.92608,20736.14289
SHO2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27477.98991,27301.57823,27305.36389,27360.77227,27194.12199,27112.38592,27266.65203,27179.4156,27203.20793,27132.64479,26979.31071,27077.5563,26930.12523,27055.89958,27322.69602,27520.20407,27568.15063,27457.62076,27181.81614,27314.23629,27301.47153,26775.22177,26580.68032,26209.2558,26296.76754,26274.72624,25637.12955,25172.31816,24967.08435,24665.58622,24177.08135,23884.31707,23755.6677,23538.56292,23213.02254,23139.93452,23328.39471,23110.97995,22869.26122,22619.15868,22644.07852,22769.65166,22573.07068,22320.71036,22213.78126,22260.70055,22035.37293,22022.53907,22131.6185,22142.04762,21993.47778,21874.60111,21881.8262,21838.16023,21634.29414,21511.78783,21359.17701,21242.38284,21261.47527,21294.1068,21172.41331,20996.75385,21145.71723,21067.69184,21088.27622,20956.12638,21237.00191,21202.36313,21296.55426,21265.99491,21211.0669,21095.82256,21154.22467,21069.67349,20956.64677,20990.14085,21083.03153,20913.2204,20781.47833,20802.16694,20937.67842,20935.49992,20832.89416,20785.86134,20616.43866,20643.57328,20768.16342,20708.92608,20736.14289
DEO,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361960.661,1346417.534,1340427.266,1330241.794,1332420.118,1328934.02,1327857.89,1332992.604,1334295.81,1341976.028,1343639.219,1352529.136,1379739.786,1393225.906,1392671.816,1386475.9,1387041.138,1383919.147,1376016.572,1370270.3,1371094.212,1370620.636,1372144.814,1369265.594,1369075.042,1369018.074,1379759.921,1396554.955,1416428.834,1421519.754,1413930.554,1416053.202,1414142.958,1411862.672,1408380.91,1408643.708,1405568.181,1407123.681,1408559.022,1415833.563,1418576.005,1418974.183,1420313.224,1430204.153,1443750.448,1453357.334,1446337.959,1446860.068,1442835.402,1440504.662,1439757.938,1440162.661,1445832.133
DEO1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361960.661,1346417.534,1340427.266,1330241.794,1332420.118,1328934.02,1327857.89,1332992.604,1334295.81,1341976.028,1343639.219,1352529.136,1379739.786,1393225.906,1392671.816,1386475.9,1387041.138,1383919.147,1376016.572,1370270.3,1371094.212,1370620.636,1372144.814,1369265.594,1369075.042,1369018.074,1379759.921,1396554.955,1416428.834,1421519.754,1413930.554,1416053.202,1414142.958,1411862.672,1408380.91,1408643.708,1405568.181,1407123.681,1408559.022,1415833.563,1418576.005,1418974.183,1420313.224,1430204.153,1443750.448,1453357.334,1446337.959,1446860.068,1442835.402,1440504.662,1439757.938,1440162.661,1445832.133
PEL,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271226.952,1278799.368,1298546.914,1320486.345,1341272.276,1352172.313,1463855.675,1551675.555,1474029.058,1434740.841,1427653.926,1415148.532,1402611.53,1397589.62,1450390.628,1472271.824,1432142.107,1413995.09,1393977.059,1375977.959,1371353.408,1385118.77,1410602.226,1400418.269,1394813.117,1396270.919,1392174.912,1390321.857,1390598.44,1386460.361,1382586.917,1388235.296,1385722.154,1393896.042,1441364.571,1439818.968,1420381.234,1414475.831,1410576.326,1407963.391,1413235.883,1445079.368,1436863.421,1413279.656,1404102.668,1391475.666,1381144.141,1374626.043,1376452.27,1387049.277,1393389.472,1400974.387,1398313.576,1389086.335,1385818.311,1387122.72,1391434.837,1411700.965,1402150.501,1372846.872,1357846.205,1347369.713,1342769.297,1342279.108,1347064.192,1349558.41,1355403.023,1366957.949,1377033.244,1370746.971,1376292.264,1376479.295,1364254.191,1354257.134,1347354.595,1358362.132,1362159.101,1361677.527,1376152.98,1374979.193,1364330.336,1358366.755,1355168.067,1352958.478,1354414.24,1351854.732,1339762.886,1336554.505,1343446.454
PES,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,863248.4117,868728.7382,865698.6475,853288.0934,836391.1349,824044.8574,803433.5909,782291.08,763879.4955,741151.1891,718910.4556,700513.7482,687928.6141,682868.8956,673483.8666,661712.3576,648853.3159,632699.4302,603468.6058,571562.2836,541765.1064,515456.4759,491508.8809,470817.1665,449558.1443,434513.7919,419866.1669,418235.1892,425533.2294,429804.8508,430167.7418,427582.9713,428304.1561,422948.7062,419685.2243,406896.9652,388467.0512,369244.1906,350685.0344,337430.889,325280.0219,316314.96,305046.5951,305254.1891,319898.9799,333581.7933,335851.5487,341820.6448,347167.2127,350401.8685,346543.7344,339465.19,346355.4999
PES1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,863248.4117,868728.7382,865698.6475,853288.0934,836391.1349,824044.8574,803433.5909,782291.08,763879.4955,741151.1891,718910.4556,700513.7482,687928.6141,682868.8956,673483.8666,661712.3576,648853.3159,632699.4302,603468.6058,571562.2836,541765.1064,515456.4759,491508.8809,470817.1665,449558.1443,434513.7919,419866.1669,418235.1892,425533.2294,429804.8508,430167.7418,427582.9713,428304.1561,422948.7062,419685.2243,406896.9652,388467.0512,369244.1906,350685.0344,337430.889,325280.0219,316314.96,305046.5951,305254.1891,319898.9799,333581.7933,335851.5487,341820.6448,347167.2127,350401.8685,346543.7344,339465.19,346355.4999
