year,LPI_final,scenario
1981,1,fmsy0
1982,1.002844721,fmsy0
1983,1.004815403,fmsy0
1984,1.020515074,fmsy0
1985,1.022627943,fmsy0
1986,1.019628304,fmsy0
1987,1.015819749,fmsy0
1988,1.01372949,fmsy0
1989,1.014676034,fmsy0
1990,1.041387158,fmsy0
1991,1.060214374,fmsy0
1992,1.051928133,fmsy0
1993,1.042645202,fmsy0
1994,1.031652377,fmsy0
1995,1.029503839,fmsy0
1996,1.036594581,fmsy0
1997,1.074513576,fmsy0
1998,1.104068451,fmsy0
1999,1.100448105,fmsy0
2000,1.087227317,fmsy0
2001,1.065278971,fmsy0
2002,1.044967978,fmsy0
2003,1.033403115,fmsy0
2004,1.056324531,fmsy0
2005,1.066938445,fmsy0
2006,1.057423494,fmsy0
2007,1.04674174,fmsy0
2008,1.032480317,fmsy0
2009,1.020920392,fmsy0
2010,1.015563428,fmsy0
2011,1.04095123,fmsy0
2012,1.06039195,fmsy0
2013,1.051502409,fmsy0
2014,1.04053321,fmsy0
2015,1.025838252,fmsy0
1981,1,fmsy0
1982,0.986966747,fmsy0
1983,0.983355298,fmsy0
1984,0.995936796,fmsy0
1985,0.995117094,fmsy0
1986,0.990134727,fmsy0
1987,0.982640362,fmsy0
1988,0.978485273,fmsy0
1989,0.972416747,fmsy0
1990,0.986772631,fmsy0
1991,1.003603611,fmsy0
1992,0.997217636,fmsy0
1993,0.987532702,fmsy0
1994,0.974109838,fmsy0
1995,0.970148408,fmsy0
1996,0.970612398,fmsy0
1997,0.99478901,fmsy0
1998,1.006552714,fmsy0
1999,1.005168282,fmsy0
2000,0.989096532,fmsy0
2001,0.954234481,fmsy0
2002,0.948929952,fmsy0
2003,0.927680271,fmsy0
2004,0.931370539,fmsy0
2005,0.934239454,fmsy0
2006,0.922850867,fmsy0
2007,0.919347353,fmsy0
2008,0.915550029,fmsy0
2009,0.910733858,fmsy0
2010,0.901700782,fmsy0
2011,0.923947439,fmsy0
2012,0.942598045,fmsy0
2013,0.933183359,fmsy0
2014,0.922929461,fmsy0
2015,0.902590655,fmsy0
1981,1,fmsy0
1982,1.014664314,fmsy0
1983,1.019882275,fmsy0
1984,1.042374801,fmsy0
1985,1.044877058,fmsy0
1986,1.047618721,fmsy0
1987,1.049566629,fmsy0
1988,1.057446525,fmsy0
1989,1.054898445,fmsy0
1990,1.095780884,fmsy0
1991,1.120580293,fmsy0
1992,1.11413031,fmsy0
1993,1.111172445,fmsy0
1994,1.105777534,fmsy0
1995,1.100836958,fmsy0
1996,1.11268841,fmsy0
1997,1.181268745,fmsy0
1998,1.236498847,fmsy0
1999,1.234881578,fmsy0
2000,1.218847079,fmsy0
2001,1.187242136,fmsy0
2002,1.186683189,fmsy0
2003,1.170203613,fmsy0
2004,1.187110452,fmsy0
2005,1.213397398,fmsy0
2006,1.196019399,fmsy0
2007,1.179027539,fmsy0
2008,1.165956425,fmsy0
2009,1.156625271,fmsy0
2010,1.145874855,fmsy0
2011,1.17683025,fmsy0
2012,1.226031472,fmsy0
2013,1.227685046,fmsy0
2014,1.210091273,fmsy0
2015,1.18564686,fmsy0
