year,LPI_final,scenario
1981,1,fmsy2
1982,0.990336769,fmsy2
1983,0.974248227,fmsy2
1984,0.95487204,fmsy2
1985,0.939818847,fmsy2
1986,0.929136605,fmsy2
1987,0.914757338,fmsy2
1988,0.891750463,fmsy2
1989,0.864250054,fmsy2
1990,0.839180506,fmsy2
1991,0.819716088,fmsy2
1992,0.806230569,fmsy2
1993,0.7980015,fmsy2
1994,0.791719964,fmsy2
1995,0.783069318,fmsy2
1996,0.771614999,fmsy2
1997,0.761852679,fmsy2
1998,0.756604109,fmsy2
1999,0.752536386,fmsy2
2000,0.745016,fmsy2
2001,0.734832143,fmsy2
2002,0.726459782,fmsy2
2003,0.720939739,fmsy2
2004,0.715326038,fmsy2
2005,0.708899044,fmsy2
2006,0.705744135,fmsy2
2007,0.709794632,fmsy2
2008,0.719817995,fmsy2
2009,0.73023879,fmsy2
2010,0.735429101,fmsy2
2011,0.73288621,fmsy2
2012,0.724122752,fmsy2
2013,0.713648474,fmsy2
2014,0.705611932,fmsy2
2015,0.700433191,fmsy2
1981,1,fmsy2
1982,0.962193491,fmsy2
1983,0.933794916,fmsy2
1984,0.895727211,fmsy2
1985,0.866308854,fmsy2
1986,0.85373472,fmsy2
1987,0.849138343,fmsy2
1988,0.81936562,fmsy2
1989,0.793410406,fmsy2
1990,0.766786387,fmsy2
1991,0.746220597,fmsy2
1992,0.735876538,fmsy2
1993,0.717116862,fmsy2
1994,0.712098806,fmsy2
1995,0.701128324,fmsy2
1996,0.69067522,fmsy2
1997,0.679654767,fmsy2
1998,0.666405067,fmsy2
1999,0.662486664,fmsy2
2000,0.657300987,fmsy2
2001,0.642736295,fmsy2
2002,0.635463848,fmsy2
2003,0.630396084,fmsy2
2004,0.626012828,fmsy2
2005,0.623030343,fmsy2
2006,0.619548631,fmsy2
2007,0.623074878,fmsy2
2008,0.632691694,fmsy2
2009,0.641817147,fmsy2
2010,0.649480674,fmsy2
2011,0.647692393,fmsy2
2012,0.636708843,fmsy2
2013,0.624679943,fmsy2
2014,0.615075308,fmsy2
2015,0.61370999,fmsy2
1981,1,fmsy2
1982,1.029595594,fmsy2
1983,1.02599451,fmsy2
1984,1.011224343,fmsy2
1985,1.018861388,fmsy2
1986,1.017358365,fmsy2
1987,1.008920681,fmsy2
1988,0.983434096,fmsy2
1989,0.960922344,fmsy2
1990,0.932871947,fmsy2
1991,0.913116946,fmsy2
1992,0.903422178,fmsy2
1993,0.887472344,fmsy2
1994,0.881668898,fmsy2
1995,0.86724736,fmsy2
1996,0.852639965,fmsy2
1997,0.852314041,fmsy2
1998,0.851221282,fmsy2
1999,0.858306085,fmsy2
2000,0.849552048,fmsy2
2001,0.846012464,fmsy2
2002,0.840801017,fmsy2
2003,0.831597522,fmsy2
2004,0.826132238,fmsy2
2005,0.821415958,fmsy2
2006,0.813498497,fmsy2
2007,0.818162434,fmsy2
2008,0.823431333,fmsy2
2009,0.823011058,fmsy2
2010,0.833673377,fmsy2
2011,0.829480125,fmsy2
2012,0.819920247,fmsy2
2013,0.807574004,fmsy2
2014,0.796418825,fmsy2
2015,0.790068806,fmsy2
