sciname,iucn_sid,rgn_id,rgn_name
Ardenna grisea,22698209,44,Norwegian Sea
Arenaria interpres,22693336,44,Norwegian Sea
Aythya ferina,22680358,44,Norwegian Sea
Aythya fuligula,22680391,44,Norwegian Sea
Aythya marila,22680398,44,Norwegian Sea
Branta bernicla,22679946,44,Norwegian Sea
Branta leucopsis,22679943,44,Norwegian Sea
Bucephala clangula,22680455,44,Norwegian Sea
Calcarius lapponicus,22721033,44,Norwegian Sea
Calidris alba,22693369,44,Norwegian Sea
Calidris alpina,22693427,44,Norwegian Sea
Calidris canutus,22693363,44,Norwegian Sea
Calidris maritima,22693420,44,Norwegian Sea
Calidris minutilla,22693396,44,Norwegian Sea
Calidris pugnax,22693468,44,Norwegian Sea
Calidris temminckii,22693388,44,Norwegian Sea
Catharacta skua,22694160,44,Norwegian Sea
Cepphus grylle,22694861,44,Norwegian Sea
Charadrius dubius,22693770,44,Norwegian Sea
Charadrius hiaticula,22693759,44,Norwegian Sea
Clangula hyemalis,22680427,44,Norwegian Sea
Corvus corone,22706016,44,Norwegian Sea
Corvus monedula,22705929,44,Norwegian Sea
Cygnus olor,22679839,44,Norwegian Sea
Eremophila alpestris,22717434,44,Norwegian Sea
Falco columbarius,22696453,44,Norwegian Sea
Falco peregrinus,45354964,44,Norwegian Sea
Falco rusticolus,22696500,44,Norwegian Sea
Fratercula arctica,22694927,44,Norwegian Sea
Fulica atra,22692913,44,Norwegian Sea
Fulmarus glacialis,22697866,44,Norwegian Sea
Gallinula chloropus,62120190,44,Norwegian Sea
Gavia adamsii,22697847,44,Norwegian Sea
Gavia arctica,22697834,44,Norwegian Sea
Gavia immer,22697842,44,Norwegian Sea
Gavia stellata,22697829,44,Norwegian Sea
Grus grus,22692146,44,Norwegian Sea
Haematopus ostralegus,22733462,44,Norwegian Sea
Haliaeetus albicilla,22695137,44,Norwegian Sea
Histrionicus histrionicus,22680423,44,Norwegian Sea
Hydrobates leucorhous,22698511,44,Norwegian Sea
Hydrobates pelagicus,22698477,44,Norwegian Sea
Hydrocoloeus minutus,22694469,44,Norwegian Sea
Jynx torquilla,22680683,44,Norwegian Sea
Larus argentatus,62030608,44,Norwegian Sea
Larus canus,22694308,44,Norwegian Sea
Larus fuscus,22694373,44,Norwegian Sea
Larus glaucoides,22694346,44,Norwegian Sea
Larus hyperboreus,22694343,44,Norwegian Sea
Larus marinus,22694324,44,Norwegian Sea
Larus ridibundus,22694420,44,Norwegian Sea
Limosa lapponica,22693158,44,Norwegian Sea
Limosa limosa,22693150,44,Norwegian Sea
Luscinia svecica,22709707,44,Norwegian Sea
Lymnocryptes minimus,22693133,44,Norwegian Sea
