am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
ITS-660059,LC,Stercorarius skua,22694160,Stable,LC,BOTW,22694160,NA,iucn-bli,0,0
ITS-176891,NA,Sterna dougallii,22694601,Unknown,LC,BOTW,22694601,NA,iucn-bli,0,NA
ITS-176888,LC,Sterna hirundo,22694623,Decreasing,LC,BOTW,22694623,NA,iucn-bli,0,-0.5
ITS-176890,LC,Sterna paradisaea,22694629,Decreasing,LC,BOTW,22694629,NA,iucn-bli,0,-0.5
ITS-176927,LC,Sterna sandvicensis,22694591,Stable,LC,BOTW,22694591,NA,iucn-bli,0,0
ITS-824126,LC,Sternula albifrons,22694656,Decreasing,LC,BOTW,22694656,NA,iucn-bli,0,-0.5
ITS-176974,LC,Uria aalge,22694841,Increasing,LC,BOTW,22694841,NA,iucn-bli,0,0.5
ITS-176978,LC,Uria lomvia,22694847,Increasing,LC,BOTW,22694847,NA,iucn-bli,0,0.5
ITS-176866,LC,Xema sabini,22694479,Stable,LC,BOTW,22694479,NA,iucn-bli,0,0
NA,NA,Actitis hypoleucos,22693264,Decreasing,LC,BOTW,22693264,NA,iucn-bli,0,-0.5
NA,NA,Alauda arvensis,22717415,Decreasing,LC,BOTW,22717415,NA,iucn-bli,0,-0.5
NA,NA,Anas acuta,22680301,Decreasing,LC,BOTW,22680301,NA,iucn-bli,0,-0.5
NA,NA,Mareca penelope,22680157,Decreasing,LC,BOTW,22680157,NA,iucn-bli,0,-0.5
NA,NA,Anser albifrons,22679881,Unknown,LC,BOTW,22679881,NA,iucn-bli,0,NA
NA,NA,Anser brachyrhynchus,22679872,Increasing,LC,BOTW,22679872,NA,iucn-bli,0,0.5
NA,NA,Anthus cervinus,22718560,Stable,LC,BOTW,22718560,NA,iucn-bli,0,0
NA,NA,Anthus petrosus,22718567,Stable,LC,BOTW,22718567,NA,iucn-bli,0,0
NA,NA,Anthus rubescens,22718575,Decreasing,LC,BOTW,22718575,NA,iucn-bli,0,-0.5
NA,NA,Ardea cinerea,22696993,Unknown,LC,BOTW,22696993,NA,iucn-bli,0,NA
NA,NA,Arenaria interpres,22693336,Decreasing,LC,BOTW,22693336,NA,iucn-bli,0,-0.5
NA,NA,Aythya fuligula,22680391,Stable,LC,BOTW,22680391,NA,iucn-bli,0,0
NA,NA,Aythya marila,22680398,Decreasing,LC,BOTW,22680398,NA,iucn-bli,0,-0.5
NA,NA,Branta bernicla,22679946,Unknown,LC,BOTW,22679946,NA,iucn-bli,0,NA
NA,NA,Branta leucopsis,22679943,Increasing,LC,BOTW,22679943,NA,iucn-bli,0,0.5
NA,NA,Calcarius lapponicus,22721033,Increasing,LC,BOTW,22721033,NA,iucn-bli,0,0.5
NA,NA,Calidris alba,22693369,Unknown,LC,BOTW,22693369,NA,iucn-bli,0,NA
NA,NA,Calidris alpina,22693427,Decreasing,LC,BOTW,22693427,NA,iucn-bli,0,-0.5
NA,NA,Calidris maritima,22693420,Decreasing,LC,BOTW,22693420,NA,iucn-bli,0,-0.5
NA,NA,Calidris minuta,22693379,Decreasing,LC,BOTW,22693379,NA,iucn-bli,0,-0.5
NA,NA,Calidris minutilla,22693396,Decreasing,LC,BOTW,22693396,NA,iucn-bli,0,-0.5
NA,NA,Calidris pugnax,22693468,Decreasing,LC,BOTW,22693468,NA,iucn-bli,0,-0.5
NA,NA,Calidris temminckii,22693388,Unknown,LC,BOTW,22693388,NA,iucn-bli,0,NA
NA,NA,Catharacta skua,22694160,Stable,LC,BOTW,22694160,NA,iucn-bli,0,0
NA,NA,Charadrius dubius,22693770,Stable,LC,BOTW,22693770,NA,iucn-bli,0,0
NA,NA,Charadrius hiaticula,22693759,Decreasing,LC,BOTW,22693759,NA,iucn-bli,0,-0.5
NA,NA,Corvus corone,22706016,Increasing,LC,BOTW,22706016,NA,iucn-bli,0,0.5
NA,NA,Corvus monedula,22705929,Stable,LC,BOTW,22705929,NA,iucn-bli,0,0
NA,NA,Cygnus olor,22679839,Increasing,LC,BOTW,22679839,NA,iucn-bli,0,0.5
NA,NA,Eremophila alpestris,22717434,Decreasing,LC,BOTW,22717434,NA,iucn-bli,0,-0.5
NA,NA,Falco columbarius,22696453,Stable,LC,BOTW,22696453,NA,iucn-bli,0,0
NA,NA,Falco peregrinus,45354964,Stable,LC,BOTW,45354964,NA,iucn-bli,0,0
NA,NA,Falco rusticolus,22696500,Stable,LC,BOTW,22696500,NA,iucn-bli,0,0
NA,NA,Fulica atra,22692913,Decreasing,LC,BOTW,22692913,NA,iucn-bli,0,-0.5
NA,NA,Gallinula chloropus,62120190,Stable,LC,BOTW,62120190,NA,iucn-bli,0,0
NA,NA,Gavia arctica,22697834,Decreasing,LC,BOTW,22697834,NA,iucn-bli,0,-0.5
NA,NA,Gavia immer,22697842,Decreasing,LC,BOTW,22697842,NA,iucn-bli,0,-0.5
NA,NA,Gavia stellata,22697829,Decreasing,LC,BOTW,22697829,NA,iucn-bli,0,-0.5
NA,NA,Grus grus,22692146,Unknown,LC,BOTW,22692146,NA,iucn-bli,0,NA
NA,NA,Haliaeetus albicilla,22695137,Increasing,LC,BOTW,22695137,NA,iucn-bli,0,0.5
NA,NA,Hydrobates pelagicus,22698477,Decreasing,LC,BOTW,22698477,NA,iucn-bli,0,-0.5
NA,NA,Jynx torquilla,22680683,Decreasing,LC,BOTW,22680683,NA,iucn-bli,0,-0.5
NA,NA,Luscinia svecica,22709707,Stable,LC,BOTW,22709707,NA,iucn-bli,0,0
NA,NA,Lymnocryptes minimus,22693133,Stable,LC,BOTW,22693133,NA,iucn-bli,0,0
NA,NA,Mergellus albellus,22680465,Decreasing,LC,BOTW,22680465,NA,iucn-bli,0,-0.5
NA,NA,Mergus merganser,22680492,Increasing,LC,BOTW,22680492,NA,iucn-bli,0,0.5
NA,NA,Motacilla citreola,22718379,Stable,LC,BOTW,22718379,NA,iucn-bli,0,0
NA,NA,Numenius phaeopus,22693178,Decreasing,LC,BOTW,22693178,NA,iucn-bli,0,-0.5
