group,species,n_cat
Algea,Acinetospora criniata,LC
Algea,Acrocytis groenlandicus,NE
Algea,Acrothrix gracilis,LC
Algea,Alaria esculenta,LC
Algea,Alaria pylaiei,NE
Algea,Antithamnion cruciatum,DD
Algea,Arthrocladia villosa,NA
Algea,Ascocyclus orbicularis,NE
Algea,Ascophyllum nodosum,LC
Algea,Asperococcus bullosus,LC
Algea,Asperococcus ensiformis,DD
Algea,Asperococcus fistulosus,LC
Algea,Blastophysa rhizopus,NE
Algea,Botrytella micromora,NE
Algea,Botrytella reinboldii,NE
Algea,Bryopsis hypnoides,LC
Algea,Bryopsis lyngbyei,NE
Algea,Bryopsis plumosa,LC
Algea,Ceramium deslongchampsii,EN
Algea,Chaetosphaeridium globosum,LC
Algea,Chaetosphaeridium pringsheimii,NE
Algea,Chara aspera,NT
Algea,Chara baltica,EN
Algea,Chara braunii,VU
Algea,Chara canescens,VU
Algea,Chara globularis,LC
Algea,Chilionema ocellatum,NE
Algea,Chondria dasyphylla,DD
Algea,Chorda filum,LC
Algea,Chordaria flagelliformis,LC
Algea,Chroodactylon ornatum,LC
Algea,Cladosiphon zosterae,LC
Algea,Cladostephus spongiosus,LC
Algea,Climacosorus mediterraneus,NE
Algea,Coccomyxa astericola,DD
Algea,Codium fragile,NA
Algea,Codium vermilara,VU
Algea,Coelocladia arctica,NE
Algea,Coilodesme bulligera,DD
Algea,Coleochaete conchata,DD
Algea,Coleochaete divergens,DD
Algea,Coleochaete irregularis,NE
Algea,Coleochaete pulvinata,LC
Algea,Coleochaete scutata,LC
Algea,Coleochaete sieminskiana,DD
Algea,Coleochaete soluta,LC
Algea,Colpomenia peregrina,NA
Algea,Cutleria multifida,LC
Algea,Delamarea attenuata,DD
Algea,Derbesia marina,LC
Algea,Desmarestia aculeata,LC
Algea,Desmarestia ligulata,LC
Algea,Desmarestia viridis,LC
Algea,Dicoleon nordstedtii,NE
Algea,Dictyosiphon chordaria,NE
Algea,Dictyosiphon ekmanii,NE
Algea,Dictyosiphon filiformis,NE
Algea,Dictyosiphon foeniculaceus,LC
Algea,Dictyota dichotoma,LC
Algea,Ectocarpus fasciculatus,LC
Algea,Ectocarpus siliculosus,LC
Algea,Elachista fucicola,LC
Algea,Elachista scutulata,LC
Algea,Elachista stellaris,NE
Algea,Entonema polycladum,NE
Algea,Erythrocladia irregularis,LC
Algea,Erythrotrichia carnea,LC
Algea,Erythrotrichia reflexa,LC
Algea,Eudesme virescens,LC
Algea,Feldmannia irregularis,NE
Algea,Feldmannia paradoxa,NE
Algea,Feldmannia simplex,NE
Algea,Fosliea curta,NE
Algea,Fucus ceranoides,LC
Algea,Fucus cottonii,NT
Algea,Fucus distichus,LC
Algea,Fucus evanescens,LC
Algea,Fucus serratus,LC
Algea,Fucus spiralis,LC
Algea,Fucus vesiculosus,LC
Algea,Gelidium pusillum,DD
Algea,Giraudia sphacelarioides,LC
Algea,Haemescharia hennedyi,LC
Algea,Halarachnion ligulatum,LC
Algea,Halidrys siliquosa,LC
Algea,Halonema subsimplex,NE
Algea,Halopteris scoparia,LC
Algea,Halosiphon tomentosus,LC
Algea,Halothrix lumbricalis,NE
Algea,Halurus flosculosus,NA
Algea,Haplospora globosa,LC
Algea,Hecatonema terminale,NE
Algea,Heribaudiella fluviatilis,LC
Algea,Herponema desmarestiae,NE
Algea,Herponema velutinum,NE
Algea,Hildenbrandia crouaniorum,DD
Algea,Himanthalia elongata,LC
Algea,Hincksia granulosa,LC
Algea,Hincksia hincksiae,LC
Algea,Hincksia ovata,LC
Algea,Hincksia sandriana,LC
Algea,Istmoplea sphaerophora,LC
Algea,Kuetzingiella holmesii,NE
Algea,Laminaria digitata,LC
Algea,Laminaria gunneri,NE
Algea,Laminaria hyperborea,LC
Algea,Laminaria nigripes,NA
Algea,Laminariocolax aecidioides,NE
Algea,Laminariocolax tomentosoides,LC
Algea,Lamprothamnium papulosum,EN
Algea,Leathesia difformis,LC
Algea,Leblondiella densa,NE
Algea,Leptonematella fasciculata,LC
Algea,Lithoderma fatiscens,NE
Algea,Lithothamnion corallioides,NE
Algea,Litosiphon laminariae,LC
Algea,Litosiphon tenuis,NE
Algea,Mesogloia vermiculata,LC
Algea,Microcoryne ocellata,NE
Algea,Microspongium gelatinosum,NE
Algea,Microspongium globosum,NE
Algea,Microspongium immersum,NE
Algea,Mikrosyphar polysiphoniae,NE
Algea,Mikrosyphar porphyrae,NE
Algea,Mikrosyphar zosterae,NE
Algea,Myriactula chordae,NE
Algea,Myriactula fucorum,NE
Algea,Myriactula haydenii,NE
Algea,Myriactula stellulata,NE
Algea,Myriocladia lovenii,LC
Algea,Myrionema balticum,NE
Algea,Myrionema corunnae,NE
Algea,Myrionema furcatum,NE
Algea,Myrionema magnusii,LC
Algea,Myrionema seriatum,NE
Algea,Myrionema strangulans,LC
Algea,Myriotrichia clavaeformis,LC
Algea,Myriotrichia repens,NE
Algea,Nitella confervacea,EN
Algea,Nitella flexilis,NT
Algea,Nitella opaca,LC
Algea,Nitella wahlbergiana,DD
Algea,Okellya curvata,LC
Algea,Omphalophyllum ulvaceum,DD
Algea,Osmundea pinnatifida,DD
Algea,Ostreobium quekettii,LC
Algea,Pelvetia canaliculata,LC
Algea,Petalonia fascia,LC
Algea,Petalonia zosterifolia,LC
Algea,Petroderma maculiforme,NE
Algea,Phaeosaccion collinsii,DD
Algea,Phaeostroma pustulosum,NE
Algea,Phloeospora curta,NE
Algea,Phycocelis foecunda,NE
Algea,Pilinia rimosa,NE
Algea,Pleurocladia lacustris,NE
Algea,Pogotrichum filiforme,LC
Algea,Porphyropsis coccinea,LC
Algea,Porterinema fluviatile,NE
Algea,Protectocarpus speciosus,LC
Algea,Pseudolithoderma extensum,LC
Algea,Pseudolithoderma subextensum,NA
Algea,Punctaria latifolia,LC
Algea,Punctaria plantaginea,LC
Algea,Punctaria tenuissima,LC
Algea,Pylaiella littoralis,LC
Algea,Pylaiella varia,NE
Algea,Ralfsia verrucosa,LC
Algea,Rhodothamniella floridula,NT
Algea,Saccharina latissima,LC
