"","species","pop_cat","ohi_present","group","n_cat"
"115","Brama brama","LC","Y","Fishes",NA
"116","Centrolophus niger","LC","Y","Fishes",NA
"117","Conger conger","LC","Y","Fishes",NA
"118","Macroramphosus scolopax","LC","Y","Fishes",NA
"119","Mallotus villosus",NA,"Y","Fishes","LC"
"120","Osmerus mordax","LC","Y",NA,NA
"121","Polyprion americanus","DD","Y","Fishes",NA
"122","Urophycis tenuis",NA,"Y",NA,NA
"123","Apristurus laurussonii","DD","Y",NA,NA
"124","Apristurus microps","LC","Y",NA,NA
"125","Argyrosomus regius","LC","Y","Fishes",NA
"126","Centroscymnus crepidater","LC","Y",NA,NA
"127","Centrophorus squamosus","VU","Y",NA,NA
"128","Centroscyllium fabricii","LC","Y",NA,NA
"129","Ceratoscopelus maderensis","LC","Y",NA,NA
"130","Dalatias licha","NT","Y","Fishes",NA
"131","Deania calcea","LC","Y","Fishes",NA
"132","Echinorhinus brucus","DD","Y",NA,NA
"133","Etmopterus spinax","LC","Y","Fishes","LC"
"134","Galeocerdo cuvier","NT","Y",NA,NA
"135","Galeus murinus","LC","Y",NA,NA
"136","Hexanchus griseus","NT","Y","Fishes",NA
"137","Lampanyctus crocodilus","LC","Y",NA,NA
"138","Lebetus scorpioides","LC","Y","Fishes","LC"
"139","Lepidopus caudatus","DD","Y","Fishes",NA
"140","Maurolicus muelleri",NA,"Y","Fishes","LC"
"141","Naucrates ductor","LC","Y","Fishes",NA
"142","Oxynotus centrina","VU","Y",NA,NA
"143","Pagellus bogaraveo","NT","Y","Fishes",NA
"144","Prionace glauca","NT","Y","Fishes",NA
"145","Reinhardtius hippoglossoides",NA,"Y","Fishes","LC"
"146","Scophthalmus rhombus",NA,"Y","Fishes","LC"
"147","Scyliorhinus canicula","LC","Y","Fishes","LC"
"148","Scyliorhinus stellaris","NT","Y","Fishes",NA
"149","Solea solea","DD","Y","Fishes","LC"
"150","Squatina squatina","CR","Y","Fishes",NA
"151","Trisopterus minutus","LC","Y","Fishes","LC"
"152","Zoarces viviparus",NA,"Y","Fishes","LC"
"153","Arctogadus glacialis",NA,"Y","Fishes","LC"
"154","Ciliata mustela","LC","Y","Fishes","LC"
"155","Ciliata septentrionalis","LC","Y","Fishes","LC"
"156","Cubiceps gracilis","LC","Y",NA,NA
"157","Cyclothone microdon","LC","Y",NA,NA
"158","Diaphus rafinesquii","LC","Y","Fishes",NA
"159","Enchelyopus cimbrius","LC","Y","Fishes","LC"
"160","Gaidropsarus macrophthalmus","LC","Y",NA,NA
"161","Gaidropsarus mediterraneus",NA,"Y","Fishes","LC"
"162","Gaidropsarus vulgaris","LC","Y","Fishes","LC"
"163","Hippoglossus hippoglossus","EN","Y","Fishes","LC"
"164","Hyperoplus lanceolatus","LC","Y","Fishes","LC"
"165","Lampris guttatus","LC","Y","Fishes",NA
"166","Liparis liparis","LC","Y","Fishes","LC"
"167","Liparis montagui","LC","Y","Fishes","LC"
"168","Liza aurata","LC","Y","Fishes",NA
"169","Melanogrammus aeglefinus","VU","Y","Fishes","LC"
"170","Microstomus kitt",NA,"Y","Fishes","LC"
"171","Mola mola","VU","Y","Fishes",NA
"172","Molva dypterygia","LC","Y","Fishes","EN"
"173","Mora moro","LC","Y","Fishes",NA
