Year,species,biomass,scenario
2030,Greenland Halibut,1100914.107,Strict Conservation
2031,Greenland Halibut,1098643.029,Strict Conservation
2032,Greenland Halibut,1098987.716,Strict Conservation
2033,Greenland Halibut,1100868.867,Strict Conservation
2034,Greenland Halibut,1098639.21,Strict Conservation
2035,Greenland Halibut,1094971.844,Strict Conservation
2036,Greenland Halibut,1094531.146,Strict Conservation
2037,Greenland Halibut,1096255.537,Strict Conservation
2038,Greenland Halibut,1094377.376,Strict Conservation
2039,Greenland Halibut,1092546.008,Strict Conservation
2040,Greenland Halibut,1089153.66,Strict Conservation
2041,Greenland Halibut,1084903.771,Strict Conservation
2042,Greenland Halibut,1084501.544,Strict Conservation
2043,Greenland Halibut,1080886.719,Strict Conservation
2044,Greenland Halibut,1080914.456,Strict Conservation
2045,Greenland Halibut,1083525.095,Strict Conservation
2046,Greenland Halibut,1090843.332,Strict Conservation
2047,Greenland Halibut,1096060.142,Strict Conservation
2048,Greenland Halibut,1101236.828,Strict Conservation
2049,Greenland Halibut,1097339.798,Strict Conservation
2050,Greenland Halibut,1098755.1,Strict Conservation
2051,Greenland Halibut,1098877.981,Strict Conservation
2052,Greenland Halibut,1099194.305,Strict Conservation
2053,Greenland Halibut,1098119.966,Strict Conservation
2054,Greenland Halibut,1096021.023,Strict Conservation
2055,Greenland Halibut,1098966.327,Strict Conservation
2056,Greenland Halibut,1098568.217,Strict Conservation
2057,Greenland Halibut,1094877.615,Strict Conservation
2058,Greenland Halibut,1093571.839,Strict Conservation
2059,Greenland Halibut,1092174.503,Strict Conservation
2060,Greenland Halibut,1090805.839,Strict Conservation
2061,Greenland Halibut,1090220.515,Strict Conservation
2062,Greenland Halibut,1087414.096,Strict Conservation
2063,Greenland Halibut,1086921.076,Strict Conservation
2064,Greenland Halibut,1085764.448,Strict Conservation
2065,Greenland Halibut,1083140.527,Strict Conservation
2066,Greenland Halibut,1081845.308,Strict Conservation
2067,Greenland Halibut,1078903.148,Strict Conservation
2068,Greenland Halibut,1076350.133,Strict Conservation
2015,Mackerel,5014791.478,Strict Conservation
2016,Mackerel,5201376.884,Strict Conservation
2017,Mackerel,5405850.348,Strict Conservation
2018,Mackerel,5550477.866,Strict Conservation
2019,Mackerel,5683333.76,Strict Conservation
2020,Mackerel,5860285.049,Strict Conservation
2021,Mackerel,6079425.288,Strict Conservation
2022,Mackerel,6176442.389,Strict Conservation
2023,Mackerel,6271003.13,Strict Conservation
2024,Mackerel,6368633.408,Strict Conservation
2025,Mackerel,6449865.315,Strict Conservation
2026,Mackerel,6548430.207,Strict Conservation
2027,Mackerel,6671415.788,Strict Conservation
2028,Mackerel,6734642.219,Strict Conservation
2029,Mackerel,6816329.532,Strict Conservation
2030,Mackerel,6853983.597,Strict Conservation
2031,Mackerel,6831948.941,Strict Conservation
2032,Mackerel,6824191.561,Strict Conservation
2033,Mackerel,6861684.445,Strict Conservation
2034,Mackerel,6883738.32,Strict Conservation
2035,Mackerel,6886336.811,Strict Conservation
2036,Mackerel,6933563.749,Strict Conservation
2037,Mackerel,6991000.483,Strict Conservation
2038,Mackerel,7006680.323,Strict Conservation
2039,Mackerel,7068606.393,Strict Conservation
2040,Mackerel,7063700.153,Strict Conservation
2041,Mackerel,7088165.49,Strict Conservation
2042,Mackerel,7035374.719,Strict Conservation
2043,Mackerel,7034014.559,Strict Conservation
2044,Mackerel,7005625.416,Strict Conservation
2045,Mackerel,7010514.286,Strict Conservation
2046,Mackerel,6980421.195,Strict Conservation
2047,Mackerel,6990414.905,Strict Conservation
2048,Mackerel,6964203.187,Strict Conservation
2049,Mackerel,7007429.474,Strict Conservation
2050,Mackerel,7044369.289,Strict Conservation
2051,Mackerel,7062006.388,Strict Conservation
2052,Mackerel,7067111.415,Strict Conservation
2053,Mackerel,7086173.003,Strict Conservation
2054,Mackerel,7022090.933,Strict Conservation
2055,Mackerel,6979875.615,Strict Conservation
2056,Mackerel,6992360.76,Strict Conservation
2057,Mackerel,6917054.623,Strict Conservation
2058,Mackerel,6873615.176,Strict Conservation
2059,Mackerel,6892826.998,Strict Conservation
2060,Mackerel,6867577.536,Strict Conservation
2061,Mackerel,6912429.664,Strict Conservation
2062,Mackerel,6987469.095,Strict Conservation
2063,Mackerel,7021099.406,Strict Conservation
2064,Mackerel,7103448.778,Strict Conservation
2065,Mackerel,7094243.321,Strict Conservation
2066,Mackerel,7048513.93,Strict Conservation
2067,Mackerel,7053969.263,Strict Conservation
2068,Mackerel,7051341.523,Strict Conservation
2015,Haddock,369734.7765,Strict Conservation
2016,Haddock,496220.9233,Strict Conservation
2017,Haddock,621828.5846,Strict Conservation
2018,Haddock,739449.3601,Strict Conservation
2019,Haddock,823598.5184,Strict Conservation
2020,Haddock,1001186.129,Strict Conservation
2021,Haddock,1277487.499,Strict Conservation
2022,Haddock,1503461.293,Strict Conservation
2023,Haddock,1706440.932,Strict Conservation
2024,Haddock,1865588.592,Strict Conservation
2025,Haddock,1867843.743,Strict Conservation
2026,Haddock,1807213.451,Strict Conservation
2027,Haddock,1757982.227,Strict Conservation
2028,Haddock,2028462.765,Strict Conservation
2029,Haddock,2499641.031,Strict Conservation
2030,Haddock,2938748.823,Strict Conservation
2031,Haddock,3300047.672,Strict Conservation
2032,Haddock,3556376.599,Strict Conservation
2033,Haddock,3536644.434,Strict Conservation
2034,Haddock,3450042.278,Strict Conservation
2035,Haddock,3163458.248,Strict Conservation
2036,Haddock,3027728.607,Strict Conservation
2037,Haddock,2937306.923,Strict Conservation
2038,Haddock,2838727.628,Strict Conservation
2039,Haddock,2666064.791,Strict Conservation
2040,Haddock,2212045.892,Strict Conservation
2041,Haddock,2062320.167,Strict Conservation
2042,Haddock,1944371.844,Strict Conservation
2043,Haddock,1841797.98,Strict Conservation
2044,Haddock,1734704.709,Strict Conservation
2045,Haddock,1633272.96,Strict Conservation
2046,Haddock,1493786.459,Strict Conservation
2047,Haddock,1265853.598,Strict Conservation
2048,Haddock,691520.2186,Strict Conservation
2049,Haddock,566840.9245,Strict Conservation
2050,Haddock,538649.076,Strict Conservation
2051,Haddock,532874.2201,Strict Conservation
2052,Haddock,520939.7309,Strict Conservation
2053,Haddock,500389.6072,Strict Conservation
2054,Haddock,496348.526,Strict Conservation
2055,Haddock,481756.7282,Strict Conservation
2056,Haddock,461031.8856,Strict Conservation
2057,Haddock,443671.1429,Strict Conservation
2058,Haddock,440466.2324,Strict Conservation
2059,Haddock,439391.6204,Strict Conservation
2060,Haddock,452510.1032,Strict Conservation
2061,Haddock,478549.7167,Strict Conservation
2062,Haddock,521247.9912,Strict Conservation
2063,Haddock,674146.5446,Strict Conservation
2064,Haddock,919352.1842,Strict Conservation
2065,Haddock,1130285.147,Strict Conservation
2066,Haddock,1316998.363,Strict Conservation
2067,Haddock,1457729.587,Strict Conservation
2068,Haddock,1498391.393,Strict Conservation
2015,Saithe,777576.3056,Strict Conservation
2016,Saithe,988501.1923,Strict Conservation
2017,Saithe,1252704.011,Strict Conservation
2018,Saithe,1566218.271,Strict Conservation
2019,Saithe,1934283.038,Strict Conservation
2020,Saithe,2373411.487,Strict Conservation
2021,Saithe,2921541.26,Strict Conservation
2022,Saithe,3576146.202,Strict Conservation
2023,Saithe,4343422.907,Strict Conservation
2024,Saithe,5254750.692,Strict Conservation
2025,Saithe,6275251.866,Strict Conservation
2026,Saithe,7501419.063,Strict Conservation
2027,Saithe,8837097.866,Strict Conservation
2028,Saithe,10278074.74,Strict Conservation
2029,Saithe,11791034.54,Strict Conservation
2030,Saithe,13312158.28,Strict Conservation
2031,Saithe,14836937.26,Strict Conservation
2032,Saithe,16343048.66,Strict Conservation
2033,Saithe,17750760.15,Strict Conservation
2034,Saithe,19033619.88,Strict Conservation
2035,Saithe,20193473.96,Strict Conservation
2036,Saithe,21115174.68,Strict Conservation
2037,Saithe,22275279.72,Strict Conservation
2038,Saithe,23380651.99,Strict Conservation
2039,Saithe,24544926.43,Strict Conservation
2040,Saithe,25674049.52,Strict Conservation
2041,Saithe,26753511.9,Strict Conservation
2042,Saithe,27573889.87,Strict Conservation
2043,Saithe,28390122.14,Strict Conservation
2044,Saithe,29068569.96,Strict Conservation
2045,Saithe,29694691.41,Strict Conservation
2046,Saithe,30142165.34,Strict Conservation
2047,Saithe,30506147.18,Strict Conservation
2048,Saithe,30819331.45,Strict Conservation
2049,Saithe,31489835.12,Strict Conservation
2050,Saithe,32124671.56,Strict Conservation
2051,Saithe,32443947.88,Strict Conservation
2052,Saithe,32821121.39,Strict Conservation
2053,Saithe,32930630.32,Strict Conservation
2054,Saithe,32910359.95,Strict Conservation
2055,Saithe,32981653.92,Strict Conservation
2056,Saithe,33099248.85,Strict Conservation
2057,Saithe,33211173.54,Strict Conservation
2058,Saithe,33305108.96,Strict Conservation
2059,Saithe,33362113.44,Strict Conservation
2060,Saithe,33428337.35,Strict Conservation
2061,Saithe,33880884.22,Strict Conservation
2062,Saithe,34263074.28,Strict Conservation
2063,Saithe,34281753.89,Strict Conservation
2064,Saithe,34443096.94,Strict Conservation
2065,Saithe,34472538.32,Strict Conservation
2066,Saithe,34210601.19,Strict Conservation
2067,Saithe,34146131.38,Strict Conservation
2068,Saithe,34131078.37,Strict Conservation
2015,Redfish,3320413.326,Strict Conservation
2016,Redfish,3274890.606,Strict Conservation
2017,Redfish,3350732.114,Strict Conservation
2018,Redfish,3218383.875,Strict Conservation
2019,Redfish,3196665.519,Strict Conservation
2020,Redfish,3378973.975,Strict Conservation
2021,Redfish,3119158.088,Strict Conservation
2022,Redfish,3243286.948,Strict Conservation
2023,Redfish,3163806.959,Strict Conservation
2024,Redfish,3188926.013,Strict Conservation
2025,Redfish,3183626.481,Strict Conservation
2026,Redfish,3433455.571,Strict Conservation
2027,Redfish,3328395.702,Strict Conservation
2028,Redfish,3309865.014,Strict Conservation
2029,Redfish,3281462.402,Strict Conservation
2030,Redfish,3190584.997,Strict Conservation
2031,Redfish,3250407.54,Strict Conservation
2032,Redfish,3258843.121,Strict Conservation
2033,Redfish,3207028.092,Strict Conservation
2034,Redfish,3239369.948,Strict Conservation
2035,Redfish,3115436.283,Strict Conservation
2036,Redfish,3250823.741,Strict Conservation
2037,Redfish,3276696.342,Strict Conservation
2038,Redfish,3271750.782,Strict Conservation
2039,Redfish,3269656.136,Strict Conservation
2040,Redfish,3283689.031,Strict Conservation
2041,Redfish,3188355.012,Strict Conservation
2042,Redfish,3363717.525,Strict Conservation
2043,Redfish,3225547.329,Strict Conservation
2044,Redfish,3275511.177,Strict Conservation
2045,Redfish,3104548.916,Strict Conservation
2046,Redfish,3176901.903,Strict Conservation
2047,Redfish,3271504.64,Strict Conservation
2048,Redfish,3282549.959,Strict Conservation
2049,Redfish,3348007.08,Strict Conservation
2050,Redfish,3414322.858,Strict Conservation
2051,Redfish,3322357.7,Strict Conservation
2052,Redfish,3341816.53,Strict Conservation
2053,Redfish,3307815.508,Strict Conservation
2054,Redfish,3353711.487,Strict Conservation
2055,Redfish,3273532.71,Strict Conservation
2056,Redfish,3388289.472,Strict Conservation
2057,Redfish,3312634.434,Strict Conservation
2058,Redfish,3342805.467,Strict Conservation
2059,Redfish,3280891.188,Strict Conservation
2060,Redfish,3397098.296,Strict Conservation
2061,Redfish,3428379.119,Strict Conservation
2062,Redfish,3321648.674,Strict Conservation
2063,Redfish,3174667.056,Strict Conservation
2064,Redfish,2881760.06,Strict Conservation
2065,Redfish,3043536.141,Strict Conservation
2066,Redfish,2972822.31,Strict Conservation
2067,Redfish,3030340.369,Strict Conservation
2068,Redfish,3247982.665,Strict Conservation
2015,Herring,1741122.773,Strict Conservation
2016,Herring,1992759.666,Strict Conservation
2017,Herring,2228417.522,Strict Conservation
2018,Herring,2493651.289,Strict Conservation
2019,Herring,2701090.022,Strict Conservation
2020,Herring,2951623.062,Strict Conservation
2021,Herring,3064687.983,Strict Conservation
2022,Herring,3171781.23,Strict Conservation
2023,Herring,3270845.784,Strict Conservation
2024,Herring,3290619.093,Strict Conservation
2025,Herring,3388506.347,Strict Conservation
2026,Herring,3487163.017,Strict Conservation
2027,Herring,3526006.83,Strict Conservation
2028,Herring,3521304.123,Strict Conservation
2029,Herring,3518684.328,Strict Conservation
2030,Herring,3376096.655,Strict Conservation
2031,Herring,3134965.352,Strict Conservation
2032,Herring,2908835.686,Strict Conservation
2033,Herring,2592248.449,Strict Conservation
2034,Herring,2237646.219,Strict Conservation
2035,Herring,1957359.776,Strict Conservation
2036,Herring,1663206.367,Strict Conservation
2037,Herring,1411443.821,Strict Conservation
2038,Herring,1166666.589,Strict Conservation
2039,Herring,954358.7153,Strict Conservation
2040,Herring,836742.2038,Strict Conservation
2041,Herring,655500.8255,Strict Conservation
2042,Herring,455768.3859,Strict Conservation
2043,Herring,283112.8509,Strict Conservation
2044,Herring,170308.9379,Strict Conservation
2045,Herring,88306.22153,Strict Conservation
2046,Herring,35697.96538,Strict Conservation
2047,Herring,12692.41223,Strict Conservation
2048,Herring,4149.361095,Strict Conservation
2049,Herring,1512.564976,Strict Conservation
2050,Herring,3314.357046,Strict Conservation
2051,Herring,5962.184559,Strict Conservation
2052,Herring,8028.323983,Strict Conservation
2053,Herring,9835.322218,Strict Conservation
2054,Herring,12309.38546,Strict Conservation
2055,Herring,16580.61932,Strict Conservation
2056,Herring,20322.23741,Strict Conservation
2057,Herring,23696.23161,Strict Conservation
2058,Herring,27461.28094,Strict Conservation
2059,Herring,32830.32713,Strict Conservation
2060,Herring,33836.51273,Strict Conservation
2061,Herring,34278.57526,Strict Conservation
2062,Herring,48108.36072,Strict Conservation
2063,Herring,61850.11831,Strict Conservation
2064,Herring,69246.75158,Strict Conservation
2065,Herring,82450.04288,Strict Conservation
2066,Herring,76449.12553,Strict Conservation
2067,Herring,76119.31882,Strict Conservation
2068,Herring,72246.78338,Strict Conservation
2015,Northeast Atlantic Cod,5971311.916,Strict Conservation
2016,Northeast Atlantic Cod,6844085.237,Strict Conservation
2017,Northeast Atlantic Cod,7253138.212,Strict Conservation
2018,Northeast Atlantic Cod,7682652.28,Strict Conservation
2019,Northeast Atlantic Cod,7931659.663,Strict Conservation
2020,Northeast Atlantic Cod,8181317.712,Strict Conservation
2021,Northeast Atlantic Cod,8464158.495,Strict Conservation
2022,Northeast Atlantic Cod,8538478.681,Strict Conservation
2023,Northeast Atlantic Cod,8354029.903,Strict Conservation
2024,Northeast Atlantic Cod,8478082.601,Strict Conservation
2025,Northeast Atlantic Cod,8701939.642,Strict Conservation
2026,Northeast Atlantic Cod,8718431.916,Strict Conservation
2027,Northeast Atlantic Cod,8591957.272,Strict Conservation
2028,Northeast Atlantic Cod,8669031.261,Strict Conservation
2029,Northeast Atlantic Cod,8731466.837,Strict Conservation
2030,Northeast Atlantic Cod,8559213.57,Strict Conservation
2031,Northeast Atlantic Cod,8529874.863,Strict Conservation
2032,Northeast Atlantic Cod,8488725.126,Strict Conservation
2033,Northeast Atlantic Cod,8586548.459,Strict Conservation
2034,Northeast Atlantic Cod,8503251.71,Strict Conservation
2035,Northeast Atlantic Cod,8368321.118,Strict Conservation
2036,Northeast Atlantic Cod,8372059.658,Strict Conservation
2037,Northeast Atlantic Cod,8420531.378,Strict Conservation
2038,Northeast Atlantic Cod,8362602.918,Strict Conservation
2039,Northeast Atlantic Cod,8344163.07,Strict Conservation
2040,Northeast Atlantic Cod,8284098.94,Strict Conservation
2041,Northeast Atlantic Cod,8155293.078,Strict Conservation
2042,Northeast Atlantic Cod,8257633.898,Strict Conservation
2043,Northeast Atlantic Cod,8148495.98,Strict Conservation
2044,Northeast Atlantic Cod,8331568.331,Strict Conservation
2045,Northeast Atlantic Cod,8295514.795,Strict Conservation
2046,Northeast Atlantic Cod,8449198.445,Strict Conservation
2047,Northeast Atlantic Cod,8632122.103,Strict Conservation
2048,Northeast Atlantic Cod,8733294.505,Strict Conservation
2049,Northeast Atlantic Cod,8577686.666,Strict Conservation
2050,Northeast Atlantic Cod,8582396.037,Strict Conservation
2051,Northeast Atlantic Cod,8505489.361,Strict Conservation
2052,Northeast Atlantic Cod,8493455.994,Strict Conservation
2053,Northeast Atlantic Cod,8440594.829,Strict Conservation
2054,Northeast Atlantic Cod,8254372.244,Strict Conservation
2055,Northeast Atlantic Cod,8469297.879,Strict Conservation
2056,Northeast Atlantic Cod,8418863.745,Strict Conservation
2057,Northeast Atlantic Cod,8287513.019,Strict Conservation
2058,Northeast Atlantic Cod,8302049.916,Strict Conservation
2059,Northeast Atlantic Cod,8350669.99,Strict Conservation
2060,Northeast Atlantic Cod,8381067.012,Strict Conservation
2061,Northeast Atlantic Cod,8436887.077,Strict Conservation
2062,Northeast Atlantic Cod,8268100.272,Strict Conservation
2063,Northeast Atlantic Cod,8311328.044,Strict Conservation
2064,Northeast Atlantic Cod,8241494.212,Strict Conservation
2065,Northeast Atlantic Cod,8203261.035,Strict Conservation
2066,Northeast Atlantic Cod,8271198.529,Strict Conservation
2067,Northeast Atlantic Cod,8246939.447,Strict Conservation
2068,Northeast Atlantic Cod,8282184.915,Strict Conservation
2015,Capelin,4978697.639,Strict Conservation
2016,Capelin,4444521.178,Strict Conservation
2017,Capelin,5158721.377,Strict Conservation
2018,Capelin,5600852.159,Strict Conservation
2019,Capelin,5276656.311,Strict Conservation
2020,Capelin,4339052.201,Strict Conservation
2021,Capelin,2879343.775,Strict Conservation
2022,Capelin,2671372.083,Strict Conservation
2023,Capelin,3966676.276,Strict Conservation
2024,Capelin,3432517.15,Strict Conservation
2025,Capelin,2978623.259,Strict Conservation
2026,Capelin,5629355.706,Strict Conservation
2027,Capelin,4230672.919,Strict Conservation
2028,Capelin,3106061.009,Strict Conservation
2029,Capelin,4215416.963,Strict Conservation
2030,Capelin,6364034.232,Strict Conservation
2031,Capelin,4188119.899,Strict Conservation
2032,Capelin,3274368.005,Strict Conservation
2033,Capelin,5103349.533,Strict Conservation
2034,Capelin,3935762.196,Strict Conservation
2035,Capelin,3980447.963,Strict Conservation
2036,Capelin,5096197.189,Strict Conservation
2037,Capelin,4452934.336,Strict Conservation
2038,Capelin,3750795.423,Strict Conservation
2039,Capelin,5094869.541,Strict Conservation
2040,Capelin,4353307.46,Strict Conservation
2041,Capelin,4616837.197,Strict Conservation
2042,Capelin,3440055.803,Strict Conservation
2043,Capelin,4285238.526,Strict Conservation
2044,Capelin,5089329.574,Strict Conservation
2045,Capelin,4463112.447,Strict Conservation
2046,Capelin,3566203.848,Strict Conservation
2047,Capelin,4659735.187,Strict Conservation
2048,Capelin,5045764.897,Strict Conservation
2049,Capelin,4016159.146,Strict Conservation
2050,Capelin,4693416.794,Strict Conservation
2051,Capelin,4859908.143,Strict Conservation
2052,Capelin,3484791.121,Strict Conservation
2053,Capelin,2919598.667,Strict Conservation
2054,Capelin,2878565.083,Strict Conservation
2055,Capelin,2830330.886,Strict Conservation
2056,Capelin,4073500.809,Strict Conservation
2057,Capelin,4148732.632,Strict Conservation
2058,Capelin,3543209.352,Strict Conservation
2059,Capelin,3418959.5,Strict Conservation
2060,Capelin,4135269.555,Strict Conservation
2061,Capelin,4509733.3,Strict Conservation
2062,Capelin,4027076.157,Strict Conservation
2063,Capelin,5159363.956,Strict Conservation
2064,Capelin,4247769.851,Strict Conservation
2065,Capelin,3512616.819,Strict Conservation
2066,Capelin,3981886.863,Strict Conservation
2067,Capelin,4935031.794,Strict Conservation
2068,Capelin,3296142.19,Strict Conservation
2015,Squid,61864449.96,Strict Conservation
2016,Squid,46683499.95,Strict Conservation
2017,Squid,50397549.49,Strict Conservation
2018,Squid,53607651.83,Strict Conservation
2019,Squid,52567879.28,Strict Conservation
2020,Squid,55113985.35,Strict Conservation
2021,Squid,68775008.44,Strict Conservation
2022,Squid,65124360.47,Strict Conservation
2023,Squid,54137160.61,Strict Conservation
2024,Squid,59056542.96,Strict Conservation
2025,Squid,61222549.02,Strict Conservation
2026,Squid,55149639.94,Strict Conservation
2027,Squid,50729318.84,Strict Conservation
2028,Squid,51227586.33,Strict Conservation
2029,Squid,52674381.74,Strict Conservation
2030,Squid,54187813.69,Strict Conservation
2031,Squid,53448836.94,Strict Conservation
2032,Squid,52500181.75,Strict Conservation
2033,Squid,50594290.31,Strict Conservation
2034,Squid,55090512.12,Strict Conservation
2035,Squid,58588161.15,Strict Conservation
2036,Squid,60538976.26,Strict Conservation
2037,Squid,59630726.58,Strict Conservation
2038,Squid,52532282.36,Strict Conservation
2039,Squid,49714924.32,Strict Conservation
2040,Squid,50463424.31,Strict Conservation
2041,Squid,53682128.61,Strict Conservation
2042,Squid,54257534.71,Strict Conservation
2043,Squid,52805583.53,Strict Conservation
2044,Squid,52727702.72,Strict Conservation
2045,Squid,58079092.34,Strict Conservation
2046,Squid,58822593.35,Strict Conservation
2047,Squid,58094674.11,Strict Conservation
2048,Squid,56889766.67,Strict Conservation
2049,Squid,54470883.82,Strict Conservation
2050,Squid,55177412.94,Strict Conservation
2051,Squid,57693061.01,Strict Conservation
2052,Squid,53337188,Strict Conservation
2053,Squid,52241425.23,Strict Conservation
2054,Squid,55404984.42,Strict Conservation
2055,Squid,54082964.69,Strict Conservation
2056,Squid,53543024.6,Strict Conservation
2057,Squid,56474023.44,Strict Conservation
2058,Squid,57529545.51,Strict Conservation
2059,Squid,61925644.42,Strict Conservation
2060,Squid,55787712.65,Strict Conservation
2061,Squid,52483239.82,Strict Conservation
2062,Squid,57904132.14,Strict Conservation
2063,Squid,57816833.66,Strict Conservation
2064,Squid,59219361.35,Strict Conservation
2065,Squid,57149399.11,Strict Conservation
2066,Squid,51328261.01,Strict Conservation
2067,Squid,50853628.91,Strict Conservation
2068,Squid,53738109.43,Strict Conservation
2015,Medium Zooplankton,694669920.5,Strict Conservation
2016,Medium Zooplankton,741323407.9,Strict Conservation
2017,Medium Zooplankton,704149253.3,Strict Conservation
2018,Medium Zooplankton,764356154.8,Strict Conservation
2019,Medium Zooplankton,622872176.3,Strict Conservation
2020,Medium Zooplankton,482822742.7,Strict Conservation
2021,Medium Zooplankton,646304624.4,Strict Conservation
2022,Medium Zooplankton,697559093.5,Strict Conservation
2023,Medium Zooplankton,751498776.3,Strict Conservation
2024,Medium Zooplankton,670494282.2,Strict Conservation
2025,Medium Zooplankton,827634884.6,Strict Conservation
2026,Medium Zooplankton,583676974.6,Strict Conservation
2027,Medium Zooplankton,711350130.5,Strict Conservation
2028,Medium Zooplankton,674476189.4,Strict Conservation
2029,Medium Zooplankton,824832182.1,Strict Conservation
2030,Medium Zooplankton,572105463,Strict Conservation
2031,Medium Zooplankton,793171324.4,Strict Conservation
2032,Medium Zooplankton,543672527.7,Strict Conservation
2033,Medium Zooplankton,704312828.4,Strict Conservation
2034,Medium Zooplankton,585230434.2,Strict Conservation
2035,Medium Zooplankton,675697735.9,Strict Conservation
2036,Medium Zooplankton,530359152.8,Strict Conservation
2037,Medium Zooplankton,921220493.9,Strict Conservation
2038,Medium Zooplankton,503763613,Strict Conservation
2039,Medium Zooplankton,653561886.1,Strict Conservation
2040,Medium Zooplankton,548800968.3,Strict Conservation
2041,Medium Zooplankton,727948046.2,Strict Conservation
2042,Medium Zooplankton,557954041.7,Strict Conservation
2043,Medium Zooplankton,617661099.2,Strict Conservation
2044,Medium Zooplankton,551400877.7,Strict Conservation
2045,Medium Zooplankton,689798915.1,Strict Conservation
2046,Medium Zooplankton,483015101.2,Strict Conservation
2047,Medium Zooplankton,563253125.3,Strict Conservation
2048,Medium Zooplankton,535829353.7,Strict Conservation
2049,Medium Zooplankton,690627048,Strict Conservation
2050,Medium Zooplankton,408878337.2,Strict Conservation
2051,Medium Zooplankton,588390817.4,Strict Conservation
2052,Medium Zooplankton,536556734.1,Strict Conservation
2053,Medium Zooplankton,748513897.9,Strict Conservation
2054,Medium Zooplankton,472578014.5,Strict Conservation
2055,Medium Zooplankton,567314249.4,Strict Conservation
2056,Medium Zooplankton,607839366.1,Strict Conservation
2057,Medium Zooplankton,740688611.3,Strict Conservation
2058,Medium Zooplankton,506246604.1,Strict Conservation
2059,Medium Zooplankton,530083034.2,Strict Conservation
2060,Medium Zooplankton,440629014.4,Strict Conservation
2061,Medium Zooplankton,697832018.5,Strict Conservation
2062,Medium Zooplankton,429290076.7,Strict Conservation
2063,Medium Zooplankton,574912692,Strict Conservation
2064,Medium Zooplankton,584233954.7,Strict Conservation
2065,Medium Zooplankton,734883636.8,Strict Conservation
2066,Medium Zooplankton,460490204.6,Strict Conservation
2067,Medium Zooplankton,534530581.8,Strict Conservation
2068,Medium Zooplankton,541382867.1,Strict Conservation
2015,Large Phytoplankton,11276307994,Strict Conservation
2016,Large Phytoplankton,11096077990,Strict Conservation
2017,Large Phytoplankton,11706813917,Strict Conservation
2018,Large Phytoplankton,12055287800,Strict Conservation
2019,Large Phytoplankton,12984730313,Strict Conservation
2020,Large Phytoplankton,12814498349,Strict Conservation
2021,Large Phytoplankton,10506594612,Strict Conservation
2022,Large Phytoplankton,10205592405,Strict Conservation
2023,Large Phytoplankton,8435278028,Strict Conservation
2024,Large Phytoplankton,8588722082,Strict Conservation
2025,Large Phytoplankton,7567516779,Strict Conservation
2026,Large Phytoplankton,6974954512,Strict Conservation
2027,Large Phytoplankton,6149187916,Strict Conservation
2028,Large Phytoplankton,7019490998,Strict Conservation
2029,Large Phytoplankton,5950670346,Strict Conservation
2030,Large Phytoplankton,6294085807,Strict Conservation
2031,Large Phytoplankton,6668435442,Strict Conservation
2032,Large Phytoplankton,8703605003,Strict Conservation
2033,Large Phytoplankton,8444466522,Strict Conservation
2034,Large Phytoplankton,6732234771,Strict Conservation
2035,Large Phytoplankton,6011674824,Strict Conservation
2036,Large Phytoplankton,5959044354,Strict Conservation
2037,Large Phytoplankton,5088554865,Strict Conservation
2038,Large Phytoplankton,4874366920,Strict Conservation
2039,Large Phytoplankton,4074256362,Strict Conservation
2040,Large Phytoplankton,4469639650,Strict Conservation
2041,Large Phytoplankton,3314243169,Strict Conservation
2042,Large Phytoplankton,3097895394,Strict Conservation
2043,Large Phytoplankton,2796742109,Strict Conservation
2044,Large Phytoplankton,3623757667,Strict Conservation
2045,Large Phytoplankton,2670755526,Strict Conservation
2046,Large Phytoplankton,2906316341,Strict Conservation
2047,Large Phytoplankton,3084892279,Strict Conservation
2048,Large Phytoplankton,3609774307,Strict Conservation
2049,Large Phytoplankton,2809316144,Strict Conservation
2050,Large Phytoplankton,3296187582,Strict Conservation
2051,Large Phytoplankton,2869704123,Strict Conservation
2052,Large Phytoplankton,3818571979,Strict Conservation
2053,Large Phytoplankton,2548205337,Strict Conservation
2054,Large Phytoplankton,2508065032,Strict Conservation
2055,Large Phytoplankton,2586779159,Strict Conservation
2056,Large Phytoplankton,3533119659,Strict Conservation
2057,Large Phytoplankton,2545569306,Strict Conservation
2058,Large Phytoplankton,2763345443,Strict Conservation
2059,Large Phytoplankton,3171346840,Strict Conservation
2060,Large Phytoplankton,5187853362,Strict Conservation
2061,Large Phytoplankton,3150545535,Strict Conservation
2062,Large Phytoplankton,3304104985,Strict Conservation
2063,Large Phytoplankton,2935796240,Strict Conservation
2064,Large Phytoplankton,3646781200,Strict Conservation
2065,Large Phytoplankton,2650870643,Strict Conservation
2066,Large Phytoplankton,2563069191,Strict Conservation
2067,Large Phytoplankton,2296325885,Strict Conservation
2068,Large Phytoplankton,3126478382,Strict Conservation
2015,Killer Whale,52406.68447,Global Sustainability
2016,Killer Whale,50799.35993,Global Sustainability
2017,Killer Whale,49872.47242,Global Sustainability
2018,Killer Whale,49893.06,Global Sustainability
2019,Killer Whale,47950.33246,Global Sustainability
2020,Killer Whale,46285.51795,Global Sustainability
2021,Killer Whale,45431.32663,Global Sustainability
2022,Killer Whale,45443.37345,Global Sustainability
2023,Killer Whale,43906.36949,Global Sustainability
2024,Killer Whale,43095.85051,Global Sustainability
