year,LPI_final,scenario
1981,1,fmsy1
1982,0.98714016,fmsy1
1983,0.979233166,fmsy1
1984,0.975316092,fmsy1
1985,0.971073842,fmsy1
1986,0.963954253,fmsy1
1987,0.956147602,fmsy1
1988,0.950792919,fmsy1
1989,0.947389819,fmsy1
1990,0.942564623,fmsy1
1991,0.939013242,fmsy1
1992,0.943516964,fmsy1
1993,0.960341678,fmsy1
1994,0.983309465,fmsy1
1995,1.000861058,fmsy1
1996,1.005954512,fmsy1
1997,0.999625878,fmsy1
1998,0.987623841,fmsy1
1999,0.975660846,fmsy1
2000,0.966960872,fmsy1
2001,0.963194733,fmsy1
2002,0.960693593,fmsy1
2003,0.955793775,fmsy1
2004,0.949348639,fmsy1
2005,0.94340654,fmsy1
2006,0.937216055,fmsy1
2007,0.928370028,fmsy1
2008,0.921476774,fmsy1
2009,0.924504702,fmsy1
2010,0.938666804,fmsy1
2011,0.953034955,fmsy1
2012,0.956709941,fmsy1
2013,0.952986575,fmsy1
2014,0.954849863,fmsy1
2015,0.966145797,fmsy1
1981,1,fmsy1
1982,0.970750463,fmsy1
1983,0.958864344,fmsy1
1984,0.952039823,fmsy1
1985,0.944533259,fmsy1
1986,0.933158459,fmsy1
1987,0.921998298,fmsy1
1988,0.915402291,fmsy1
1989,0.911742796,fmsy1
1990,0.906785505,fmsy1
1991,0.902592987,fmsy1
1992,0.905590113,fmsy1
1993,0.915724204,fmsy1
1994,0.92959033,fmsy1
1995,0.943111653,fmsy1
1996,0.946550832,fmsy1
1997,0.938506175,fmsy1
1998,0.924780123,fmsy1
1999,0.910475336,fmsy1
2000,0.901429241,fmsy1
2001,0.89767785,fmsy1
2002,0.895458043,fmsy1
2003,0.890730969,fmsy1
2004,0.88447119,fmsy1
2005,0.879550651,fmsy1
2006,0.873061393,fmsy1
2007,0.864416571,fmsy1
2008,0.857357521,fmsy1
2009,0.859688323,fmsy1
2010,0.869197921,fmsy1
2011,0.87990566,fmsy1
2012,0.882750132,fmsy1
2013,0.876207248,fmsy1
2014,0.876749174,fmsy1
2015,0.886505892,fmsy1
1981,1,fmsy1
1982,1.001862638,fmsy1
1983,0.998776844,fmsy1
1984,0.998100327,fmsy1
1985,0.997741079,fmsy1
1986,0.994266037,fmsy1
1987,0.988514709,fmsy1
1988,0.984058304,fmsy1
1989,0.981219497,fmsy1
1990,0.977106838,fmsy1
1991,0.974374604,fmsy1
1992,0.980611472,fmsy1
1993,1.009050322,fmsy1
1994,1.046416412,fmsy1
1995,1.067699347,fmsy1
1996,1.073758862,fmsy1
1997,1.069565831,fmsy1
1998,1.057861067,fmsy1
1999,1.047556719,fmsy1
2000,1.039371116,fmsy1
2001,1.03548013,fmsy1
2002,1.032756875,fmsy1
2003,1.027502564,fmsy1
2004,1.021504366,fmsy1
2005,1.014706455,fmsy1
2006,1.008399192,fmsy1
2007,1.000215801,fmsy1
2008,0.994015814,fmsy1
2009,0.997314032,fmsy1
2010,1.018283797,fmsy1
2011,1.037562061,fmsy1
2012,1.042719743,fmsy1
2013,1.03954752,fmsy1
2014,1.04265599,fmsy1
2015,1.057030084,fmsy1
