population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.000176802894062078,0.000589646041731839,0.00140379509233712,0.00170451785948256,0.00174738386700302,0.00191573355066899,0.00207142290940476,0.0019905653164991,0.0018375441431191,0.00179493754540694,0.00171523615125047,0.00151628132578985,0.00146670896679568,0.00170456995085067,0.00189496736365902,0.00174352479953699,0.00146324990224445,0.0013624623531312,0.00134305677693281,0.00119014307638077,0.00101028056559116,0.000984925289363225,0.000996516213119136,0.000884166249374818,0.000785764441861403,0.000857884504609885,0.000936695913732244,0.000839738343316299,0.000722321570234552,0.000768936421279953,0.000818393112558269,0.000675908783011714,0.00051086609977169,0.000545155778708839,0.000626042372331881,0.000524785396920358,0.000385363055782406,0.00043953390284468,0.000542063311244512,0.000448851033701292,0.000302712271647021,0.000361244290006724,0.000484456070168449,0.000398002814524734,0.000235747516347473,0.00028943546532556,0.00043425490783644,0.000362465684544233,0.000189456745123273,0.000237868317650936,0.000399087492566785,0.00033261256419248,0.00014158673500253,0.000189066056610621,0.00037694066374705,0.000313050100498646,9.05012514484937e-05,0.000140701864398629,0.000376609524859628,0.000312353707497159,3.23037273699534e-05,0.000119570824220538,0.000495883984047651,0.000320193034026417,-0.00063017501442042,-0.00141447791650107,-0.0012569379511822,-0.000610908405541011,-0.000326974841232008,-0.000465664696180923,-0.000576832826923557,-0.000578059291557409,-0.000676503893233704,-0.000829595432941144,-0.000880595492160463,-0.000907463067410408,-0.000972134131505431,-0.000885814989093792,-0.000631302796168409,-0.000581374948883884,-0.000870056773487615,-0.00102773309505899,-0.000710722345941495,-0.000294114260998235,-0.000229357893356319,-0.000328192493603829,-0.000245963490379975,-0.000152501684345108,-0.000297331638055898,-0.000412817632036155,-0.000218061217250654,-3.00763231515511e-05,-0.000184257389580722,-0.000348647899201193,-0.000144895026656044,8.13492194566834e-05,-8.93731951965293e-05,-0.000290002380429755,-5.03557730979765e-05,0.00023265620497126,1.13713894491774e-05,-0.000304193373419803,-8.30007299765789e-05,0.00026012525589536,1.38374286842158e-05,-0.000383286577924302,-0.000110469928410684,0.000365082365565428,7.67476350747032e-05,-0.000478533986720375,-0.000142850927592697,0.000546264590684853,0.000157791885308622,-0.000714321399355011,-0.000209306280552379,0.000996729249619133,0.000220446700828436,-0.0018647272527712,-0.00048926494348045,0.00602014903535375,0.0122077918566559
2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00199933507249295,-0.00261031561779479,-0.00385753881919371,-0.0054335565856114,-0.00693273304598829,-0.0083465964553282,-0.0101316023119349,-0.0126223916337516,-0.0153911689816955,-0.0173235376077372,-0.0174496801345603,-0.0157812189200826,-0.0133343782812672,-0.0112338122855835,-0.00973631889488846,-0.00823268425157586,-0.00624872083035122,-0.00418957048867075,-0.00282602469382631,-0.00222656236872076,-0.00165319990207546,-0.000580285970824157,0.000598531505969113,0.00110896989185783,0.000765208031318743,0.00013106639466276,-0.000142889702209104,6.39516323479583e-05,0.000281087482492559,-0.000135261399775821,-0.00136319191863876,-0.00274172506925296,-0.00323983461259481,-0.00253213761178994,-0.00144860077639031,-0.00109735015287793,-0.00167169015512236,-0.00239892524955376,-0.00253934631292196,-0.00209073251025771,-0.00156437038943391,-0.00144641504633913,-0.0019250337814114,-0.00279357078427633,-0.00349130358454364,-0.00351395471467608,-0.00292896396877396,-0.00228194219144129,-0.00192178691298572,-0.00169355696053408,-0.00140464691139819,-0.0012271303434277,-0.00134347041220284,-0.00147774463802186,-0.00121865715503411,-0.00072514054020445,-0.000663678373244103,-0.00132848905750294,-0.00215755484740932,-0.00234391600108363,-0.0017375064420948,-0.000913969937349712,-0.000472297772980745,-0.000533396410782316,-0.000899327287731566,-0.00137469333291751,-0.00177400581786635,-0.00188352409135373,-0.00173036015581385,-0.00176381398444114,-0.00239410415430541,-0.00334138126407968,-0.00383147060894817,-0.00355072743846652,-0.00299999593541411,-0.0026850792493196,-0.00240951385389021,-0.00177715247307919,-0.000981032112398417,-0.0004800996094243,-0.000173005004326932,0.000335533848681457,0.000752214419187602,0.000306052295480974,-0.0008581779156831,-0.00142933588393035,-0.000603075294238309,0.000743395021866711,0.00125077871156964,0.000870195007490082,0.000628543505570178,0.00102144538764826,0.00160987146252989,0.00206001444098725,0.0025687683863227,0.00310475918388686,0.0031202239878132,0.00238364011464753,0.00143383670872055,0.000832950571268753,0.000536593573615463,0.000371490986827538,0.000541865887381476,0.00113402689715159,0.00159727603304027,0.00136766390487342,0.000737309965471944,0.000454386126601314,0.000560829194586887,0.000254363591460915,-0.00098191346816634,-0.00257185875631283,-0.00338927151958401,-0.00290192750150542,-0.00164681704370295,-0.000653115158039341,-0.000405121341737313,-0.000353350584807899,0.000400416271867599,0.00188136687090701,0.00305872582876265
3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0083665084427178,-0.00782602712994063,-0.00831126716912323,-0.0100617720846561,-0.0108199448830542,-0.00894243170548403,-0.00587482992184096,-0.0040352339203551,-0.0036826102318237,-0.00349152953762299,-0.00310556055623756,-0.00329302504606144,-0.00410760343661298,-0.00458853028076778,-0.0042678957000426,-0.0037628672104244,-0.00378553070120979,-0.00434643340917518,-0.00484194787568537,-0.00438899176855312,-0.00255384720688312,-0.000428280126220315,-0.000221680095936705,-0.00264281145125356,-0.00528233445963178,-0.0050533963930155,-0.00203670552509028,0.000552089151457658,0.00026834882052551,-0.0021017918961439,-0.00421221236868163,-0.00482048851676176,-0.00414337496111905,-0.00279443035196447,-0.00139763383479607,-0.000645139870265155,-0.000858673586248138,-0.00164933774526066,-0.00236219300319629,-0.0025915861494239,-0.00218451703543554,-0.00130450293793949,-0.000645739551635494,-0.000924498411857044,-0.00192777707509872,-0.00270272060606214,-0.00283365025441817,-0.0027426577528642,-0.00259392746955367,-0.00198333220860203,-0.00109227088663832,-0.000884556717753782,-0.00138559429863161,-0.00103315534739057,0.00101777702898076,0.00294418696826781,0.00221570365487089,-0.000971058972459637,-0.00381901852279576,-0.00438414359323858,-0.00340778293891475,-0.00256770729551814,-0.00236278066357709,-0.00225953365300668,-0.00180233872018665,-0.000901679117315091,0.000225448630112979,0.000897405303448728,0.000429781090097059,-0.000829615911640325,-0.0016165147343532,-0.00129907493649206,-0.000584230706236255,-0.000252166524853159,-3.23961072732359e-05,0.000587310006999076,0.00120164311811699,0.00106209957889547,0.000338922238926287,-0.000126531265660645,-8.42958186355602e-05,-2.79871217934158e-05,-0.000201556432792849,-0.000268882120010083,2.00169632691427e-06,0.000440658863820609,0.000960545507723509,0.00171344301382259,0.00259341679777947,0.00311792073396244,0.00300758216294739,0.00248944240630244,0.00190595957809503,0.00141683681975024,0.00115966093782482,0.00123743549468269,0.00141059404116728,0.001277851862171,0.000938599072779489,0.000940133697238998,0.00126017640541409,0.000912272018134708,-0.000839869163569595,-0.00319052772808437,-0.00440119402945527,-0.00370616481494501,-0.00208630734388038,-0.00104940595501901,-0.00110242578689324,-0.00163860197390875,-0.00192644627180183,-0.001795853738356,-0.0014935054953229,-0.00129026837156587,-0.00135002228103875,-0.00172273319150396,-0.00223919715646836,-0.00249535957122493,-0.0021714490707847,-0.00143420807089534,-0.000858824352355292
4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00294511336729553,0.00123943499391199,0.00106978024033122,0.00010885924987214,-0.000329979659435153,0.00066548955000556,0.00231242946638144,0.00022135897198261,0.0010434433427946,0.000346321627984203,-0.000284260913158363,0.000590685377550138,-0.000281278871603341,0.000930005973942549,0.00176211668074266,0.00171929104274415,-0.000766554915739626,-0.00172554235109512,0.00197041929130126,0.00276563073779013,0.00225830451142883,0.00161637611735621,0.00105444801048726,0.000821092744878626,0.000567271763979527,0.000255875660137406,0.000310324615649726,0.000191988924898467,8.12189545902342e-05,-6.12302779288143e-05,-4.4180829910978e-05,-0.000120165332764266,-0.000207852946332743,-0.000223730908919251,-0.000265020376126301,-0.000313179038947453,-0.000371686554633932,-0.000387156004233447,-0.000529518094840142,-0.000411670281587284,-0.00044597112659428,-0.000507521062319327,-0.000491746271619853,-0.000511409288947107,-0.000393583965791144,-0.000348318245426249,-0.000361058434423356,-0.000392233643244921,-0.000522591883067136,-0.000342249058205901,-0.000387812136735555,-0.000331837122918621,-0.000349985280828413,-0.000496600164020755,-0.000390729046492844,-0.000489054634508435,-0.000630014114107347,-0.000484542471343552,-0.000509329059786623,-0.000408832498133727,-0.000443779502450781,-0.000529400982540729,-0.000757558286190729,-0.000493397766602399,-0.000547055362050131,-0.00540226536912769,-0.00052701150256329,-0.000390333472934934,-0.000885885779636553,-0.00131313715320402,-0.00115673058821653,0.000128418945339881,-0.000742662179557207,-0.000570236433160787,-0.00219164180158415,-0.00170455778324552,-0.00111059562187066,0.000666901605776538,-0.000610542294153582,0.000400029165590787,-0.000973629262770892,-0.00173363541810279,-0.00173491074818255,-0.000503221784686758,-0.000117641648773592,-0.000294261767562531,-0.000530937895582895,-0.000588147013735885,-0.000676503620274715,-0.000802372997124934,-0.000760818321781542,-0.000819314842892105,-0.000842495231635709,-0.000846043508563099,-0.000876668191993168,-0.000977221661671912,-0.000871139540762123,-0.000905703385152279,-0.000919091086117874,-0.00103238056780164,-0.000994519701992047,-0.000915469793969947,-0.001002309909099,-0.00103439355377066,-0.000958264655067431,-0.000956335930195173,-0.000888430912648452,-0.000973759401522223,-0.000920732188289364,-0.000912614391908484,-0.000912581713286897,-0.00108750344611419,-0.000966605140251708,-0.00100301530105362,-0.000999736535738371,-0.000979511652238862,-0.000959769473038108,-0.00096279402904198,-0.00103954439793519,-0.00124956407861099,0.000951873035571538
5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00202679268140837,0.00159632163189816,0.000905501492661998,0.000376684821582707,0.000189536866051832,0.000760093921095439,0.00115926649223663,9.66548556906588e-05,0.000575966110718973,5.97077554447267e-05,-0.00024990669771352,0.000407077038167891,1.37073348360772e-05,0.000524361556186292,0.000914917517245151,0.000890029733401576,-0.000671335230230774,-0.00173818712621721,-0.000911884082951175,-0.000487832191945259,-0.000727392697409179,-0.00089551763892981,-0.000998463318368614,-0.00111004995629038,-0.000492883868012051,0.000348812599970216,0.000631237785562178,0.000607079123303045,0.000514435749995101,0.000918841037955254,0.000737266205954157,0.000568884375259593,0.00041963424923086,0.000294027686723375,0.000180415891006369,7.6223968239475e-05,-2.15803995144981e-05,-0.000105439909632743,-0.000225635426518878,-0.000254838535147961,-0.00032495882894068,-0.000392500297393461,-0.000455017650404343,-0.000515936870505662,-0.000566519407100508,-0.000616342178419771,-0.000663544508723746,-0.000703385520597344,-0.000796786456506382,-0.00077421341242534,-0.000789064738256684,-0.00077062337609668,-0.000729384390436572,-0.000737504683497647,-0.000708077152610009,-0.000731300541946922,-0.000736298553172254,-0.000736150101016797,-0.000773069704028018,-0.000724622255154017,-0.000732118868677745,-0.000768259894559087,-0.00088688625729727,-0.00082846829156491,-0.000864102458667304,-0.00287083463536941,-0.000425660624423507,-0.000516898598297288,-0.000833466225127033,-0.00110563362772087,-0.000980429033027974,-0.000304256027661154,-0.000635848282903417,-0.000600399562266318,-0.00143075191958086,-0.00130819053484199,-0.00105045157580008,-8.82463778797415e-05,-0.000666166611225982,-0.000120744151442587,-0.000642357527392612,-0.00122112475629432,-0.00117175489077681,-0.000564970912726892,-0.000494000406582096,-0.000546660130487986,-0.000640030034735339,-0.000666867716143216,-0.000711535794811091,-0.000767257293029289,-0.000770632475898481,-0.000798993501752499,-0.000822787825418558,-0.00083567983560151,-0.000852712170751779,-0.000893799015233121,-0.000869112235615255,-0.000884017420330174,-0.00089473660807915,-0.000944648751405985,-0.000910924194905682,-0.000913865364297273,-0.000929819274312571,-0.000954870034568955,-0.0009386106508531,-0.000950211771313825,-0.000958433293238414,-0.0010005413186871,-0.000972760219881685,-0.000979490989685416,-0.000991693350085754,-0.00105621929813893,-0.00100096081233847,-0.000978664327623058,-0.00096731337203515,-0.000998826975410871,-0.00102810029589495,-0.00102435652332034,-0.00102120564007535,-0.00110892239638716,0.000205043458246124
6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00607546932263059,0.00655551653072095,0.00630339673567004,0.00469889787705169,0.00286142972144265,0.00211162836277223,0.00222132728250202,0.0020943245779117,0.00145233449449567,0.000880095032734118,0.000690536110628415,0.000719512788526,0.000966550726177129,0.00151139197145556,0.00191666300054205,0.00158982809954455,0.000761287530377075,0.000318903931037173,0.000570691116299926,0.000896569286715998,0.000790627042659864,0.000535984526633282,0.000550187524002599,0.000691634462591129,0.000633380802838257,0.000452830445482721,0.000403111220948382,0.000430251352647737,0.000336152926923461,0.000183486480850981,0.000160114875781048,0.000216838660384244,0.000178943231176731,8.26396970867727e-05,9.312635595915e-05,0.000191034766321874,0.000218313388162805,0.000158710007326146,0.000125483953387739,0.000133064754157974,0.00010418681551938,5.36640756738649e-05,6.43797608690377e-05,0.00011941175670982,0.000130774534603084,9.74955838910496e-05,8.77217759618354e-05,0.000107002711351001,0.000111201182542153,0.000100185048975909,9.50991422792313e-05,8.58599100150848e-05,7.75361686584652e-05,9.89533107982332e-05,0.000116237609675718,7.19213258433271e-05,3.46626713629838e-05,0.000106599372481586,0.00017194572781376,5.13681629734641e-05,-6.61040450617989e-05,0.000168047928004178,0.000460576956946568,-6.13164419136503e-05,-0.00151610994979023,-0.00262760752047875,-0.00220266840323768,-0.000822010927713279,-0.00010101151832087,-0.000490192859770033,-0.000922606847319152,-0.000694445580130765,-0.000463500217156465,-0.000900753421694933,-0.00143930227347688,-0.00119436659451111,-0.00039657886779576,-1.22371823438883e-05,-0.000381535435589608,-0.00103944302682413,-0.00154593933753144,-0.00172096551584255,-0.00134686930712213,-0.000450499053700426,0.000293077731253533,0.000221707486714795,-0.000354368771113389,-0.000586113113451248,-0.00034129467985089,-0.000212866541655643,-0.000370677058798563,-0.000347831925936681,-4.3137520774561e-05,3.31001553988131e-05,-0.000253532519602473,-0.00035832756122911,-7.2673068188589e-05,6.66163590126168e-05,-0.00019759934563135,-0.000322029975218463,4.42528040434098e-07,0.000197300728503436,-0.00012501949311261,-0.000378311681930033,-5.68810684624665e-05,0.000272251631408427,9.90095682107395e-06,-0.000297266768760629,2.18178928310664e-05,0.000379053666868856,-3.10027397505408e-05,-0.000550160804875688,-0.000133289633337697,0.000509950601966569,-9.90891472651967e-06,-0.000892123084422547,-8.84548970923049e-05,0.00151662428661847,7.63106428620652e-05,-0.00543732380813688,-0.0104940668600175
7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00529343146927985,0.00534910944226041,0.00461412330226274,0.00289488575325514,0.00129587010694809,0.000791590329583869,0.000963710674026785,0.000866112352962745,0.000490842357081078,0.000512035884058015,0.000989919799296857,0.00129163605131932,0.00120058053820316,0.0012033981776236,0.00152068666103222,0.00161890752258476,0.00103751387985618,0.000146156679248222,-0.000351748866512125,-0.000310121022396359,-0.000111188157062792,1.48710988696621e-05,0.000190019820561105,0.000480561469242247,0.000707116004244668,0.000757415171298348,0.000786858070961571,0.000917977800964032,0.000923860267167065,0.000472414915026143,-0.000335281752880334,-0.000923547501820998,-0.000865984123445962,-0.000382196204454566,-1.86839164175723e-05,4.32735851099153e-05,7.73413634336251e-05,0.000252201255499962,0.000366418958599901,0.00028047063775638,0.0002389059744905,0.000447019510431801,0.000590158667836072,0.00019536844557777,-0.000630029171390767,-0.0012369477102121,-0.00122297586883402,-0.000815907884898159,-0.000415318046274038,-0.00012478515145542,0.000108642495150413,0.000224182176788545,0.000174697076722019,0.000115513164875125,0.000194523461983565,0.000252844046491951,-2.22891240602152e-05,-0.000647101041533205,-0.00120712098705589,-0.00123480570647505,-0.000695401879243995,-8.4478988393144e-05,1.23735028392247e-05,-0.000464166474866801,-0.000929844966969462,-0.000795042932878687,-0.00016386123778922,0.000307507103074478,0.000213125375902123,-0.000221628335814295,-0.000586953353308495,-0.000771995761270183,-0.000843620928622002,-0.000755963544280647,-0.000454429924666044,-8.44294037376514e-05,0.000159658376712279,0.00028020602551404,0.000385613445969213,0.000494327720568677,0.000598506842932167,0.00073490118411268,0.000789013959074936,0.000458086909649325,-0.00029534149208299,-0.000951505462753133,-0.000959823356922129,-0.000429526985864292,7.64266981354567e-05,0.000316858603293113,0.00049972904215867,0.000702636322490235,0.000711639767189354,0.000545477429275465,0.000609171751719373,0.00103997089511498,0.00130402096592874,0.000824362625522213,-0.000214770555131416,-0.00103567824797413,-0.00112161834831603,-0.000635608627130857,-8.30633594954833e-05,0.000182255316256708,0.000143773487060628,2.98375516480931e-05,8.0964306364173e-05,0.000315174563210618,0.000503850533791983,0.000389350563165358,-0.000102663408773296,-0.000801677363148734,-0.00132320030870314,-0.00127892355409287,-0.000721857024005956,-0.000287901762709097,-0.000470359640316609,-0.000749938734942113,-4.19106590783258e-05,0.0017405761355338,0.00324339686277941
8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00134185018663002,0.000943456067456605,0.00100744037432454,0.00157818435871571,0.00179418270054432,0.00158323944110084,0.00174785203788819,0.00223078138117216,0.00202351157648595,0.0010474719018938,0.000417537504795007,0.000529595242393377,0.000600528168569259,0.000423505822816139,0.000749624729650122,0.00149084438418656,0.00145705021495646,0.000493812346090472,-2.03767017676881e-05,0.000467447515013042,0.000753487186791357,0.000152131896730801,-0.000266679091028177,0.000227899502526885,0.000625136691493111,0.000122634052432513,-0.000344453768223119,7.75931348608871e-05,0.000526956491856634,0.000116534270416579,-0.00035644809578228,1.13870906068847e-05,0.000464080533121969,7.9927856045714e-05,-0.000406025340598859,-3.53377295629898e-05,0.000471367470356032,8.97365791039384e-05,-0.000497879800988699,-0.000192578610048511,0.000397726127909781,0.00012824158507696,-0.000472163338803178,-0.000237955448565419,0.000367460545309228,0.000166388662149242,-0.000432235705889905,-0.000245221651663297,0.000354098917703993,0.000168122274173399,-0.00045400600728529,-0.000283178895632563,0.000355549780813202,0.000182080819042252,-0.00051638656009656,-0.000392976063830819,0.000337450743714829,0.000275418712383235,-0.000462905192789798,-0.000461108714011171,0.000270106374318235,0.000346000506792787,-0.000318116198021912,-0.000476489202915431,-0.000122391335246164,-0.000410826705329548,-0.00105039891085967,-0.000600745306517769,0.000565397681646207,0.000578473597393714,-0.000479070106200297,-0.000600712957230964,0.000352777639349267,0.000292072692027912,-0.00107959527771895,-0.00147159437256894,-0.000193489823891113,0.000494920428516288,-0.000496251820709226,-0.00124324735510983,-0.000621412227366225,-0.000302942601742906,-0.00113666683304192,-0.00122953887975674,0.000241337940730446,0.000994631455849326,-0.000192989862260795,-0.00100065328710031,0.000119540651599692,0.000939406351613936,-0.000243803111447338,-0.00118874612811082,-1.15438807855028e-05,0.00100395951397081,-0.000236384782162702,-0.00138620475866391,-0.000104059731215411,0.00118285301566923,-0.000164970438640832,-0.00162679653393605,-0.000203439534018024,0.00147711455654775,-3.02284304760647e-05,-0.00199148277148531,-0.000417990118371403,0.00185394541367057,0.000177640755587127,-0.00249348456153653,-0.000685703697354434,0.00249954794906726,0.000496210331122793,-0.00339449104950873,-0.00106936289525983,0.00387153236785487,0.000920440826047475,-0.00583925637389537,-0.00125740852769285,0.0105220296178827,0.00242599322557036,-0.0347291813403601,-0.0698729365499848
9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00534265357695585,0.00550700607299159,0.0051113329426693,0.00407141417370482,0.00333348296267744,0.00342547517623437,0.00365838107116812,0.00331031145882932,0.00264923710324894,0.00217329719262871,0.00174322377563563,0.00119985037919346,0.00102772148530672,0.00153526261632742,0.00200932572060086,0.00160906230187852,0.000659177897029295,0.000165479978474714,0.000366520497539824,0.000632679552905024,0.000588844306229852,0.000478700506205243,0.000477645268984972,0.000421107452693192,0.000274818807343813,0.000247238513696679,0.000352663267218389,0.000365321425472409,0.000247310038257176,0.00017958584080624,0.000173577805617775,7.84973731846605e-05,-5.32629910932059e-05,-2.79283781736694e-05,9.96230788095076e-05,0.00010338651927988,1.37820191969951e-06,-6.9957674471155e-06,5.33000070888079e-05,1.23559636033832e-06,-0.000106038597846414,-7.11579281826857e-05,3.35715295101124e-05,-1.21032621773765e-05,-0.000134531775973556,-9.67981248054528e-05,2.61051904484333e-05,-1.98443095724699e-05,-0.00015889758917087,-0.000118931053661342,2.30216499534919e-05,-2.54099243361949e-05,-0.000183707385355447,-0.000133989560968217,3.70911668934326e-05,-2.34451467786556e-05,-0.000221455743330878,-0.000155649087260734,6.92005041438293e-05,-1.90070200281056e-05,-0.000292381656553431,-0.000141623998189289,0.000276428371875248,-3.07561926522482e-05,-0.00129200640780258,-0.00232694205678907,-0.00215363957688997,-0.00135470034876839,-0.00104439044644344,-0.00124048931438203,-0.00121987551451408,-0.000931217582803789,-0.000988464229514818,-0.00150606503352524,-0.00189547845881588,-0.00177696887643286,-0.00135986096222407,-0.000964984789756151,-0.000787376569114429,-0.0010215328106753,-0.00160234916451429,-0.00192884067908405,-0.00146362172654868,-0.000531266223651627,5.20585516632366e-05,3.75331760569253e-05,-0.000146922544970174,-0.000209567956177992,-0.000262267304133701,-0.000334334003940562,-0.000272550706358565,-0.000148675055082315,-0.000197421028102163,-0.000343762970196337,-0.000314427589546362,-0.000163748503163141,-0.000150878894189965,-0.00019837404314238,-6.00971114002036e-05,0.000100767735230711,-5.090955672582e-05,-0.000342264687588134,-0.000352434563835935,-0.000204460040216681,-0.000320974752900938,-0.0005515169128536,-0.00043130893867005,-0.000159313953156826,-0.000300435064830573,-0.000634865722941136,-0.000478452135957319,-7.15886694973022e-05,-0.000260038560408127,-0.000777009645091198,-0.000530204197402462,0.000172527335566386,-0.000230777651803571,-0.00144482280014024,-0.000728227329895859,0.00296628615412509,0.00652425217984742
10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4.67108546815531e-05,-3.92055739926178e-05,0.000810907418236972,0.000686595892278152,0.000454190686797418,0.000486006249676763,0.000227109695539074,0.000483357695284958,0.000422620810538898,0.000397252532144066,0.000485127624099135,0.000286164633034769,-4.04386918404498e-05,0.000383541651408859,0.0010171726767747,0.000441073899823063,0.000208004705661402,1.20834249899282e-05,0.000390939878855967,0.000258860931146465,0.000167366406581326,4.68958901094219e-05,-5.23853186185086e-05,-0.000129671272206977,-0.000179714807709619,-0.000204982723315261,-0.000272374788463203,-0.000216957003075002,-0.000328735169755401,-0.000332120680781145,-0.000375021678786336,-0.000430522062505823,-0.000433698877845057,-0.000478005305974971,-0.00048756132890615,-0.000521694566035347,-0.000490051136724734,-0.000614202983113099,-0.000610825519335556,-0.000624356422222139,-0.00065746527288546,-0.000581904938629751,-0.000564188935673116,-0.000623091178407531,-0.000686438768185305,-0.000641591493185878,-0.000643630795496009,-0.000641932788689736,-0.000643453739087363,-0.000680176609209493,-0.000638843292350089,-0.000648273844447544,-0.000643173850574108,-0.000640965717160658,-0.000640933704329605,-0.000624394842243525,-0.000664573123079659,-0.000671842114424503,-0.000664406066291701,-0.000654052052848186,-0.000661701223453104,-0.000681708808552894,-0.000646646190129552,-0.000650908534697514,-0.000690746433444023,-0.00617448270550502,0.0029530760829064,0.00196177388420393,0.00214613953903164,0.00173876361138037,0.00101550086834212,0.00172624969815383,0.00116524978476695,0.00146505908929706,0.00127504086085128,0.000356142971400963,-0.000222195657353375,0.000719180007244358,0.000258061851631464,0.000472268133261178,0.000942270768197861,0.00121171241118923,0.000645685167323329,0.000870759556747647,0.000905317848554521,0.000396057670266625,5.40933890156303e-05,-0.000142393428351983,-0.000374078166078373,-0.000419678384292244,-0.000591009520076291,-0.000497549298880795,-0.000570465311706236,-0.000484693948463732,-0.000511838446407786,-0.000463742586524596,-0.000593443579534281,-0.000570714848304288,-0.000617910555854806,-0.000687851052751043,-0.000744847609530197,-0.000772130391424763,-0.000859138901989187,-0.000905123070610525,-0.000874389390614461,-0.00087911548170716,-0.000881382504378969,-0.000895190913788202,-0.000936399540354405,-0.000912580788631878,-0.00090006430929046,-0.000908445588502005,-0.000905799456531131,-0.000906421652849154,-0.00091836830525871,-0.000904901822552429,-0.000921400127505745,-0.000919984361628323,-0.000915692091958409,-0.000908760225944771,0.00458367763498124
