"LPI_final" "CI_low" "CI_high"
"1981" 1 1 1
"1982" 0.966318514995087 0.934936098953828 0.991929111808796
"1983" 0.937801413399431 0.899930233993211 0.971014910284609
"1984" 0.913437752824182 0.873623951801923 0.949938309788794
"1985" 0.893210078102805 0.851667001854543 0.932619117234843
"1986" 0.877766483492489 0.834867118523072 0.918178984546857
"1987" 0.865962843263668 0.822670328379483 0.90792823131792
"1988" 0.85491230451992 0.810629835616699 0.897398276051403
"1989" 0.843183171241399 0.798839487505654 0.885708670052553
"1990" 0.832097472952539 0.787179226970653 0.875265186356666
"1991" 0.823121227839122 0.778557707484556 0.866860917645355
"1992" 0.815523638542293 0.770949727699083 0.858957845235233
"1993" 0.807864529262408 0.763131664919167 0.851491601098528
"1994" 0.800415950289625 0.756205349771141 0.844094527984512
"1995" 0.794655605460929 0.750728982257637 0.838396672744668
"1996" 0.790943905380845 0.747140354277054 0.834746307226918
"1997" 0.788098531242727 0.744625876428592 0.831847414021232
"1998" 0.785271299808772 0.741709238855694 0.828774576953579
"1999" 0.782641430782187 0.738622701380144 0.826224131415511
"2000" 0.780193161758303 0.736352417322228 0.823808304607563
"2001" 0.77702183979076 0.733182863585608 0.820737684753571
"2002" 0.772750076137896 0.729036255624276 0.816591983162073
"2003" 0.76855431061402 0.725064448045076 0.812203408934856
"2004" 0.765800481592483 0.722217476556638 0.809372598787945
"2005" 0.764314519051905 0.720711677388934 0.807594266358987
"2006" 0.762770998445642 0.718933043872383 0.806123096346542
"2007" 0.760325469810381 0.716784462028324 0.803846556783161
"2008" 0.757081949741333 0.713599713482967 0.800338729969959
"2009" 0.753411149970772 0.709991810383899 0.796758627302883
"2010" 0.749759184958617 0.706392786206469 0.793224705134881
"2011" 0.746887885619249 0.70347545752295 0.790353374169583
"2012" 0.745256998964203 0.70191522588662 0.788983457871952
"2013" 0.744106784260427 0.700651086477403 0.787803785269213
"2014" 0.742086026083995 0.698574479478665 0.785606580637935
"2015" 0.738952950667563 0.695804911402718 0.782352829801233
"2016" -99 NA NA
