Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
POB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000176809985187099,0.000589647833927565,0.00140380498814263,0.00170452521903108,0.00174738201144242,0.00191572863817902,0.00207142371456204,0.00199056926065522,0.00183754245732182,0.00179493115889029,0.00171523397433226,0.00151628250286695,0.00146670185743503,0.00170455374495404,0.00189495884548085,0.00174353309678299,0.00146325880982356,0.00136245323866913,0.00134303837375915,0.00119013962318348,0.00101029630375749,0.000984941131815464,0.000996520353314878,0.000884167118602619,0.000785769479736409,0.000857886327864321,0.000936689477788022,0.000839735844832212,0.000722336342846575,0.000768961318388772,0.000818408334346099,0.00067590662601491,0.000510856611675603,0.000545149914674248,0.000626039750039276,0.000524780259469892,0.000385355382225061,0.000439530570810032,0.000542069690045555,0.000448863762256835,0.000302722036433334,0.000361245722084291,0.000484451612826842,0.000397995336945289,0.000235735110309498,0.000289418884830361,0.000434243323987893,0.000362465225268949,0.000189458593214287,0.000237860930297984,0.000399076563272427,0.000332612342774929,0.000141593096328663,0.000189059208858477,0.000376919077080373,0.000313039118926106,9.05163790605457e-05,0.000140724251469937,0.000376615128186764,0.000312348918384053,3.23094077603336e-05,0.000119584066017087,0.000495883511404394,0.000320178480150535,-0.000630177009480537,-0.00141445177151356,-0.00125690158413283,-0.000610889201333897,-0.00032697899937828,-0.000465678781189638,-0.000576843237061642,-0.000578061615262637,-0.000676501410669772,-0.000829594784371945,-0.000880598520448306,-0.000907462019325234,-0.000972122758834182,-0.000885802442184946,-0.000631303320767884,-0.0005813837689983,-0.000870053200470622,-0.00102771247036282,-0.000710707140223032,-0.000294122830823529,-0.000229377062963554,-0.000328195771231776,-0.000245946830162325,-0.000152485602231245,-0.000297332211283141,-0.000412829359503153,-0.000218068795439397,-3.00734502491906e-05,-0.000184251125110446,-0.000348648418206032,-0.000144902850525597,8.13441205189669e-05,-8.93697548125516e-05,-0.000289999799901075,-5.03652636085761e-05,0.000232642067661271,1.13694801924247e-05,-0.000304186491157932,-8.3008043707089e-05,0.00026009897363144,1.38197238173099e-05,-0.000383274635671782,-0.000110446052544511,0.000365089262456042,7.67404703685415e-05,-0.00047853095901873,-0.000142834188484375,0.000546274953434178,0.000157786392712023,-0.000714332403922491,-0.000209316351781563,0.000996716887316396,0.000220438038216031,-0.0018647206794955,-0.000489253552775182,0.00602013732652518,0.0122077520284694
KWH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00122835118112974,-0.00233653851934346,-0.00427023731418874,-0.00632002414120247,-0.00794601836958453,-0.00919888728738716,-0.0105652882655054,-0.0124094799508319,-0.0144829394823462,-0.0160104822499036,-0.0163242134894412,-0.0153483333694604,-0.0134430691566365,-0.0110251283332676,-0.0085530376873848,-0.00660799953449853,-0.00550993329906735,-0.00486384409212626,-0.00391729150803766,-0.00247572183660161,-0.0011240226864615,-0.000447388919379677,-0.000405360313228798,-0.000628203241831216,-0.000924913735706134,-0.00120998019256469,-0.00127059250322503,-0.00101385691475286,-0.000772436923619502,-0.000980425468219082,-0.00159407276835211,-0.00211886388066151,-0.00218393356627544,-0.00187738702806506,-0.00156929074054091,-0.00159428880555801,-0.00202147163779376,-0.00252754457142856,-0.00258767421645167,-0.00203064644687778,-0.00135390761825427,-0.00127015675601072,-0.00197785041015575,-0.00304647226061228,-0.0039048254778411,-0.00420994814497622,-0.00388490696708033,-0.00317566103691647,-0.00266037969045296,-0.0027947808515485,-0.00329360978944759,-0.00326791336854271,-0.00221752438759903,-0.000737176165349851,-9.20395453274381e-06,-0.000603701077991126,-0.00190241933924717,-0.00274398380835095,-0.00258820235026214,-0.00195763789246328,-0.00168692152595806,-0.00190230255051471,-0.00203304875768229,-0.00177660503213328,-0.00153855143739801,-0.00165284235665997,-0.00167264113685661,-0.00102379631251903,-0.000100992829407787,3.13107706162441e-06,-0.00109291648703902,-0.00251396775377977,-0.0031505838180621,-0.00275968701481322,-0.00190377917071061,-0.00127507282936534,-0.00129607019109645,-0.00193465198462395,-0.0025924551397738,-0.00249654912899278,-0.00150714903254023,-0.000332086817730115,0.000226440709674591,-1.76591333413967e-05,-0.000759544622972896,-0.00162114796033919,-0.00223667708966335,-0.00233475592435983,-0.00203104203538196,-0.00172971400337563,-0.00153021260547348,-0.00109994914409661,-0.00029657652755688,0.000582091703073218,0.00135924147556032,0.0021239779286546,0.00249596671115349,0.00160046544190529,-0.000547562368792498,-0.00240688084373897,-0.00258305390795233,-0.00155226186859903,-0.000725046223471359,-0.000386404845752253,0.000163410327939317,0.000862811090422966,0.000876048755409364,0.000289111815997778,0.000166995469982112,0.000603371597748037,0.000363561793053968,-0.000867352481711769,-0.00150563512121948,-0.00045831713210287,0.000871538678383743,0.000488399097013925,-0.00113532345363154,-0.00152600801160307,0.000554693058430367,0.00370433230114831,0.0057328895539932
SWH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0116953927126611,-0.0106804348969831,-0.00909776202574619,-0.00773175695913597,-0.00702738479867726,-0.00690893629142053,-0.00707349528784462,-0.00715539104358154,-0.0067765637450794,-0.0058826586167493,-0.00504116556799428,-0.00490302205847293,-0.00519535669362536,-0.0048279050363389,-0.00344030585764799,-0.00228677159698165,-0.00277486524673876,-0.0043793714967606,-0.0050024537862523,-0.00357148583313904,-0.00137326955747952,-0.000373030452360368,-0.00099208556403596,-0.00220910300525468,-0.00319665469377384,-0.00385655398163909,-0.00398715402027428,-0.00306666419929158,-0.00125071326601933,0.000149914331473155,-0.00016572919070601,-0.00200570611120554,-0.00374665077316827,-0.00389309417188866,-0.00245537644766802,-0.0008306034252481,-0.000414703864870525,-0.00134071888051146,-0.00256657309849473,-0.00307885898228477,-0.00273202951585194,-0.00188663622911189,-0.0007720385072707,0.000313147353286247,0.000590488546311718,-0.000546977114017189,-0.00242855510397266,-0.00346230040497542,-0.00294902280275089,-0.00191132633832591,-0.00163343331659593,-0.00190864253626799,-0.00144956426762022,0.000173280683773314,0.00173360309370452,0.00164705868215531,-0.000327974559509059,-0.00283181976196278,-0.0041372161985791,-0.00361804342239402,-0.00218778738341197,-0.00130814999301521,-0.00150385139478537,-0.00201319413614964,-0.00195589012538022,-0.0013799851406846,-0.000759290679515523,2.4576036011581e-05,0.001323918667401,0.00251784980015834,0.002289741490479,0.000528728783229404,-0.000980442995534681,-0.000572927343676533,0.00114739973607225,0.00208252920512209,0.00129005586723441,-0.000100757996026601,-0.000610535039078819,-4.60878563126599e-05,0.000912833437879179,0.00182942905017747,0.00247735270972083,0.00230353249406701,0.000923418560246247,-0.000917989554517717,-0.00172508656902348,-0.000836596625624964,0.000893482409024315,0.00218037412535033,0.00255630108744942,0.00231894691778844,0.00185215248701187,0.0014854507334503,0.00153686146871923,0.00180895817484128,0.00133083828207869,-0.000590916593330881,-0.00310300449538836,-0.00441047153324714,-0.00384232609548096,-0.00255591639700725,-0.00187206862356781,-0.00173523965219768,-0.00143332101198368,-0.0010597112978985,-0.00122251073120516,-0.00169815246193483,-0.00158962872883261,-0.000889539525607219,-0.000740287490575753,-0.00170542326413692,-0.0027417804681118,-0.00261164827748939,-0.00164741841672544,-0.00122915651325339,-0.00182645666623138,-0.00244476635091395,-0.00205033897893525,-0.000854246950268589,8.5783116050564e-05
MWH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0029956576289063,0.00224857788175026,0.000801390262801682,-7.0757803262822e-05,-0.000397371369761146,0.000716331615119081,0.00219942547246976,0.00026741939693764,0.00101852855207962,0.000276204573677497,-0.000323025277533695,0.000607768757566518,-0.000296085436849225,0.00089602347194262,0.00174886867840041,0.00176322993085964,-0.000781844906518891,-0.00173718564237468,0.00193737762795188,0.00274641870159442,0.00224077867774408,0.00150066528201531,0.00118121018100492,0.000763809271600024,0.000572269719234519,0.000396607801888216,0.00027182707764517,-1.32971692128336e-05,0.000101785914750963,-1.06252410549956e-05,-0.00019162724762456,-0.000151873059134111,-0.000149615087437382,-0.000216820636903314,-0.000332017483728464,-0.00037389302690638,-0.00615192397802122,-0.00358690207758627,0.00221705750390377,0.00113069150508682,0.000457984340769713,0.000113896422533344,-0.000288709639127305,-0.000183690076421605,-0.00018328332807549,-0.000156864944377944,-0.000383312019383908,-0.000265671308952165,-0.000266579899894204,-0.000375582717739853,-0.000469774600768247,-0.000271445087043354,-0.000248103633750496,-0.000425889120726275,-0.000320519855416812,-0.000452423217152109,-0.000681634234190653,-0.00145898590157501,-5.49359794534965e-05,-0.000283134055322876,-0.000262454091696895,-0.000424920214904922,-0.000483227565897693,-0.000430220556412841,-0.000491807435866853,-0.00538742840967199,-0.000477606387702778,-0.000372292697131904,-0.000858912364605224,-0.001386660225422,-0.00102678510155663,0.00019889375629667,-0.000653960160954981,-0.000488573794720004,-0.0020732348505641,-0.0016506651921846,-0.00113680431069607,0.000779753953181306,-0.000523151867114713,0.000431777221341356,-0.000926599879596424,-0.00176917819747491,-0.00165286539010623,-0.000430268930073474,-0.000852552798398243,-0.000194226864709712,-0.000236252214758537,-0.000443891940509644,-0.000596778517068408,-0.000705290519634083,-0.000708688795509005,-0.000769318327838775,-0.00079444651000049,-0.000929714071975951,-0.000815776319757155,-0.000853041624639062,-0.000851397135553711,-0.000877936172789973,-0.000967615224650054,-0.000907128857340567,-0.000987085529381204,-0.000915605634507877,-0.000974567519586245,-0.00102522695389951,-0.000960052786374455,-0.00100777670639562,-0.000859810540642769,-0.00101718821815489,-0.00088117182346803,-0.000892804092648802,-0.000995406817501987,-0.0009208765542148,-0.000976872342099533,-0.000998458089887855,-0.00112893645732992,-0.000929898092710602,-0.000924643941218939,-0.000949332256148239,-0.00113115698930955,-0.00104782261068337,0.000950771900337877
FWH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00204728471160998,0.00195274268179801,0.000829182701968634,0.000325035312201294,0.000154308279282311,0.000780425650970251,0.00112467825235107,0.000101770808399237,0.000555946387764905,4.46977244408231e-05,-0.000263270331975818,0.000396031326351576,1.00974209296112e-05,0.000519970183129104,0.000912298054100091,0.000936036390166706,-0.000682400647019854,-0.00174419673180548,-0.000919876603004077,-0.000485898913789917,-0.00073965466585868,-0.000936164669788297,-0.000981170036943979,-0.00111242163210346,-0.000496692679690547,0.000409162425916598,0.000622870438131251,0.000530210767767159,0.000522784729414916,0.00091596696693319,0.000678768315711231,0.000565864907464686,0.000441931029802944,0.000301772465323147,0.000165116567735879,4.79677656484157e-05,-0.00226388533450361,-0.00111403014405465,0.000520187759385671,0.000224794029026754,-6.37194050412404e-07,-0.000156796027391159,-0.000358391160292904,-0.000382424244888213,-0.000472977154776011,-0.000543858816660858,-0.000672339328439797,-0.000658070432903557,-0.000708537747285298,-0.000762758779124795,-0.000840348297882265,-0.000752918379940404,-0.000711213648487252,-0.000712671760169314,-0.000700025507065938,-0.000730166738775573,-0.000796752759252506,-0.00106041495562792,-0.000650738176430465,-0.000704591059474069,-0.000692283672260707,-0.000737713368232917,-0.000767903543060555,-0.000823422864669965,-0.000858700313484562,-0.00287993772415085,-0.000418147844403194,-0.000511736130702545,-0.000811968709752087,-0.00114483753329964,-0.000948047296968291,-0.000283812527209548,-0.000613095921926821,-0.000572773132051729,-0.00138989631554942,-0.00128345884200609,-0.00104870479303809,-5.82193125442387e-05,-0.000625230573954028,-9.53569517330166e-05,-0.000614037150991287,-0.00121920776167084,-0.0011378856362505,-0.00053563924978306,-0.000727717990047339,-0.000532260635904613,-0.000534734760745614,-0.000607462470567199,-0.000661693409779396,-0.000714329249600354,-0.000737897032634827,-0.000766773019158506,-0.000791603843520505,-0.000847728114394819,-0.000820612253895625,-0.000840747594001101,-0.000847561398738428,-0.000862809440679513,-0.000894391858360599,-0.000887251535088396,-0.000913194852977917,-0.000902653030610878,-0.00091967473844079,-0.000937813553803402,-0.000930347208068838,-0.000953872083329976,-0.00094546881302815,-0.00101121872722842,-0.000955885265397249,-0.000966466784481312,-0.00100671733347113,-0.000990521642162179,-0.00099872125098166,-0.000973415323964666,-0.00099611320871329,-0.000984686389537082,-0.00101193300302072,-0.00101325633189031,-0.00104408305009329,-0.00103898063865948,0.000205034374227253
BES,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00606762898971791,0.00656337859531186,0.00631979529596904,0.00470734179208288,0.00286425953988845,0.00212200325447043,0.00223845231945496,0.00210878249876822,0.00146519212212581,0.000896500439897085,0.000705546946305979,0.000728722549321326,0.000978359250790373,0.0015317250412874,0.00193578277957052,0.00160006486242104,0.000770937821765738,0.00033372839956769,0.000582219288163266,0.000903219727397264,0.000805121802252895,0.000556957236831135,0.000557685145587516,0.000686883080490031,0.000643877048277286,0.000478973673977645,0.000409379302320101,0.000414225645846145,0.000342977099451414,0.000216050676653978,0.000157126741117342,0.000177668481904814,0.000201138920667088,0.000160483780391907,-1.1654969896302e-05,-0.00029397096179995,-0.000432722728952672,-0.000162802464142686,0.000348789526435578,0.00059357810105265,0.000379726364740041,7.73617246636604e-05,4.83301657037138e-05,0.000172613762403628,0.000169614940649154,6.88539709461367e-05,6.18483044370066e-05,0.000130078661511046,0.000130157376635243,7.79061802504977e-05,7.70689143010372e-05,0.000105913973321936,9.73916706770162e-05,8.80333018065116e-05,0.000107692478291899,9.37916725138876e-05,5.78585681725308e-05,0.000105428378225803,0.000172177458813927,7.54852953881446e-05,-4.30008418788042e-05,0.000169882527653265,0.000466591933900418,-3.27996690985266e-05,-0.00149538329381205,-0.00263805331864742,-0.00221281047907462,-0.00080021983295353,-7.32558665026417e-05,-0.000492941463181129,-0.000938056868370118,-0.00068611820095299,-0.000442784309084399,-0.000902536097036943,-0.00145750167508352,-0.00119682422373479,-0.000384593176909753,-1.22185977304845e-05,-0.000392135960946227,-0.00103794364312382,-0.00153625569848748,-0.00172622890047247,-0.00136217395650284,-0.000450451865328549,0.000305273818418161,0.000219075406276747,-0.0003719271879703,-0.000591660582674347,-0.000330823217506104,-0.000210438104608635,-0.000381299961190518,-0.000349546665574518,-3.17956337552161e-05,3.43926972274922e-05,-0.000268328623583614,-0.000365780747745514,-6.35021572192862e-05,7.11035666061122e-05,-0.000208306016268978,-0.00032793377804996,1.09330319486567e-05,0.000204777234583897,-0.000134470537656028,-0.000387417974348381,-5.06304496505905e-05,0.000278356741291841,4.15541289378041e-07,-0.000306838599916759,3.04892798772549e-05,0.000391982795375778,-3.60192644865975e-05,-0.00056326936637241,-0.00012995121667192,0.000523948844168842,-1.35165439374418e-05,-0.000914657212166325,-9.69006937845407e-05,0.00153995809736207,0.000103417095610681,-0.00544527808230022,-0.0105375821494653
HOS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00513084555539756,0.00527495857063087,0.00465105914285235,0.00298576451498889,0.00137739045384944,0.000853235175554801,0.00102625464838191,0.000933780697149444,0.000545150502882841,0.00053373723195449,0.000966911817879001,0.00122186027410187,0.00110976130657203,0.00114249268579858,0.00151348512534,0.00162289716837982,0.000995441751397763,7.31962163662558e-05,-0.000378858381350433,-0.000262131932144527,-5.49272014680469e-05,9.65286700083112e-06,0.000154877189459945,0.000511900235466989,0.000839615435488383,0.000917467790604753,0.000874112592287979,0.000902340808486279,0.000857142056833737,0.000428896398096512,-0.000320738087686401,-0.000873090315848479,-0.000823403311057014,-0.000360090896179166,1.03292708910629e-05,9.92590547372885e-05,0.000137337080857947,0.000277221692993379,0.00034573332446719,0.000231096447214085,0.000181593209987341,0.000402714837153262,0.000573484646490208,0.000186473159507372,-0.000669071753510053,-0.00127817193152069,-0.00115888748096094,-0.000614121399270751,-0.000254580248962633,-0.00025277443772076,-0.000313547815538051,-0.000184055636538893,0.000105899956813538,0.000426700883902953,0.000668852342413651,0.000644182722237652,0.000135005182271719,-0.000773425887198975,-0.00152519905244031,-0.00150368378215848,-0.000711350295159896,8.97251330975735e-05,0.000115403040873652,-0.000554978977831411,-0.00103710785973821,-0.000684636716552944,0.000143257086141269,0.000569484933802045,0.000264878135236124,-0.000314435509814359,-0.000666995158444372,-0.000784455177503141,-0.000852581886658932,-0.000826111302902888,-0.000571477313331847,-0.000184392500717223,0.000111939567499775,0.000251790539159025,0.000315517308734137,0.00037144586413973,0.000484150935366578,0.000693707215925876,0.000813705272914689,0.000490533025756967,-0.00027697775346347,-0.000906000316599709,-0.00085517423407655,-0.000307449223678091,0.000139784043943436,0.000301917661621687,0.000464658573813281,0.000714325712393382,0.000784022745452084,0.000651931544808804,0.000718207111810365,0.00110902196572837,0.00127286545139338,0.00067826132518789,-0.000380115431029893,-0.00109192626103827,-0.0010835826380422,-0.000676192991639901,-0.000293050644726733,-1.7177650101452e-05,0.000222402699806779,0.00037804647106654,0.00037812703593243,0.000305445120465819,0.000278613095413327,0.000200347351973384,-0.000194418323684609,-0.00093246121028745,-0.00153538954981958,-0.00141248716572129,-0.000643939276314676,-9.41447266180617e-05,-0.000367602257706601,-0.000810823071644151,-0.000159935346729867,0.00168875974665195,0.00326790684180089
RIS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00130776158588786,0.000872368707611315,0.000943727177614928,0.00159031481940186,0.00185617257677961,0.0016038593507175,0.00171116140990835,0.00221435317934704,0.00206327789056182,0.00107846939672296,0.000390709866352701,0.000503348037762752,0.000646252600761787,0.00050061373357746,0.000762421687677151,0.00143901512328171,0.00143550196029363,0.000543124347166302,2.68452499199157e-05,0.000443674464029264,0.0006935170593656,0.000126596157509429,-0.000261113788332157,0.000212235930254767,0.000589345427925991,0.000122291606798441,-0.000301240606257469,9.08635188254792e-05,0.000452121308997633,-3.33724206402763e-06,-0.000427185515527562,2.30091341486549e-05,0.000507144833022721,9.69948534734755e-05,-0.000419782282012893,-5.78679609355426e-05,0.000440986885667627,3.6248100568681e-05,-0.000569876839737304,-0.000258020966193762,0.000350297289770207,8.87493191941147e-05,-0.000503013578415423,-0.000236354837743757,0.000409386373626308,0.000212975052660269,-0.000416607278818759,-0.000239064658789978,0.000399456328529446,0.000241479998078553,-0.000426843666462062,-0.000329784265917787,0.000315197419780588,0.000232856115447433,-0.000414925362658192,-0.00035925694815564,0.000279500396581422,0.00023691814409732,-0.000398775208293678,-0.000364309263691798,0.000281816517417877,0.00028400962558095,-0.000336869528519301,-0.000417923652058061,-9.73593356694558e-05,-0.000511636816928451,-0.00120488961706844,-0.000659375174249632,0.000637318937526388,0.000671744111804706,-0.000462173241757569,-0.000633692743406744,0.000354440425200497,0.000344260540636743,-0.00104333601990225,-0.00150282035596039,-0.000261017531575369,0.000460509069840853,-0.000483066822890343,-0.00124381679422658,-0.000688126444687853,-0.000391722797111527,-0.00114315253682129,-0.00112587487068172,0.000347161918456074,0.000981283140045974,-0.000301590039227584,-0.00106468392225212,0.000163910043933679,0.000993553367796274,-0.000293350127406722,-0.00130212048894585,-5.44175622141374e-05,0.0010651177152865,-0.00017687627409968,-0.0014040415419907,-0.000131707273784087,0.00124339655518302,-4.81533376675003e-05,-0.00157778052142721,-0.000260680664388335,0.00141546131771353,3.6053711358619e-06,-0.00189544395368424,-0.000371440829361358,0.00180878174513399,0.000107003011088569,-0.00251590563712289,-0.000668954283393308,0.00249432765287061,0.000447470016149865,-0.00344097081195427,-0.00106323355215299,0.0039210375653429,0.000960099326247743,-0.00583778875616225,-0.00126802809639281,0.0105352100921881,0.00245667270796002,-0.0347158851312539,-0.0698868579206233
SBA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0053345676437937,0.00550321942424947,0.00511217913388595,0.00407406864490856,0.00333584182405655,0.00342656373151318,0.00365739696668399,0.00330819682471439,0.00264853627629869,0.00217388591440759,0.00174166237997753,0.00119578911571772,0.00102645491103193,0.00153982820416942,0.00201451845968226,0.00160845482203076,0.000654242030233121,0.000162149051005755,0.000366148549343137,0.00063243181035233,0.000588143448611689,0.000479057674288796,0.000478329619446605,0.000420735136716033,0.000274974380946702,0.000249235044628371,0.000353685516328639,0.000363079520838028,0.000244547231555536,0.000178443791542193,0.000171392944948501,7.60922472871073e-05,-4.82407442738975e-05,-1.84718004092588e-05,8.80787337615985e-05,4.91601360135263e-05,-7.66131927729674e-05,-6.02811934324876e-05,4.88140639189893e-05,2.05205349743665e-05,-0.000100183697939293,-8.49175152106696e-05,1.86396134012057e-05,-1.79101715582775e-05,-0.000136140575936139,-9.73080814228311e-05,3.02852740148296e-05,-1.11275535612521e-05,-0.000150184608226134,-0.00010957527764166,3.74683011390431e-05,-7.9951317983884e-06,-0.000170298140313996,-0.000124622342779546,4.94158862318628e-05,-5.78517334837159e-06,-0.000203209762038803,-0.000139788700489696,8.35632413744847e-05,-8.13365515206499e-06,-0.000288858659544644,-0.000142391438383349,0.000279664366013677,-2.23130713195019e-05,-0.00128600821414881,-0.00232714276539525,-0.00215411715991198,-0.00134987530528807,-0.00103669632190417,-0.00123430099812794,-0.00121498775482287,-0.000926492103763721,-0.000985885994745139,-0.00150713636115007,-0.0018983485837083,-0.00177990713377696,-0.00136293526602316,-0.00096683471904857,-0.000785985442602666,-0.00101925850088147,-0.00160334857323008,-0.00193039998838884,-0.00145852087173903,-0.000521105858473092,5.54726620807244e-05,2.86353544316498e-05,-0.000158749352882737,-0.000213650670803922,-0.000260529189385572,-0.000334461019558141,-0.000275062216376298,-0.000149263183366166,-0.000196165939413184,-0.00034345670062752,-0.000314286780708883,-0.000162460194109926,-0.00015140097287869,-0.000202369356150811,-6.25115750736427e-05,0.000103887828782234,-4.73089589698716e-05,-0.000343775273722535,-0.000354359549236349,-0.00019963225552555,-0.000313580973198668,-0.000551378258725421,-0.000437482890352392,-0.000161801253118377,-0.000296812601662921,-0.000632674967208757,-0.000480875653131818,-7.30604946079794e-05,-0.000257639238228968,-0.000774577418964917,-0.000528857732698285,0.000176666101295631,-0.000224888340663476,-0.00144394685327498,-0.000732140301888506,0.00296695245171996,0.00653312502852721
SBB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77418858027245e-05,-6.06175218429428e-05,0.000784627641476909,0.000749862246357313,0.000406230209757386,0.00045379468927953,0.000198944813077251,0.000497553190441202,0.000434165152599864,0.000397613292432819,0.0004949144668287,0.000293368730581722,1.52327644249439e-05,0.000423010995191042,0.000977911394548947,0.000435555215287042,0.00023411472007151,4.59861455244237e-05,0.000429136567604793,0.000256591012656848,0.000191888879323976,6.93877263020504e-05,-7.25251128903537e-05,-0.000167855125653205,-0.000201515136152075,-0.000236470402285693,-0.000249147481658607,-0.000285661900970791,-0.000303343292408442,-0.000300738922364374,-0.00040729770885628,-0.0004310867987809,-0.000466303494337073,-0.000484139593075472,-0.000538987324153695,-0.000491347505591211,-0.000507636700197711,-0.000614685959465788,-0.000627670485172871,-0.000626627258937251,-0.00066260660977413,-0.000601623816828933,-0.000591881687380003,-0.000637107057738895,-0.000576184183700423,-0.000664256025633581,-0.000660793500712131,-0.000654559976885682,-0.000685476075550806,-0.000652355075413613,-0.000647322349353718,-0.000625583321380851,-0.000587443122130882,-0.000636100012989527,-0.000673080857525932,-0.000618445218793173,-0.000678113108064871,-0.000713054081507458,-0.000658295768694916,-0.000653256221690324,-0.000649198980525068,-0.000687092346808971,-0.000657498034105863,-0.000657384588059529,-0.000655710177777991,-0.00618007044905511,0.00292070811971001,0.00192641499924662,0.00214189916623475,0.00180958421705713,0.00106488167778895,0.0017263549775417,0.00120413251830609,0.00150002867956323,0.00129220575705524,0.000357400696674226,-0.000212086311662585,0.00065099358473697,0.000311358304684983,0.000473353486960093,0.000978787760310684,0.00122152826424182,0.000676528327157033,0.000750207103383804,0.000936706330664006,0.000354254181279323,8.32370464269871e-05,-0.00022947191039524,-0.00032888290858768,-0.000473721308478225,-0.000547899535909391,-0.000560688632497364,-0.000517603806058364,-0.000555911228316219,-0.000452994303333121,-0.000536849799151806,-0.000531959384357794,-0.000626266352500959,-0.000639301157496774,-0.000727491924951806,-0.00075174972498715,-0.000795521431828927,-0.000832642061093125,-0.000870968248269044,-0.00091047488858953,-0.000886698036394851,-0.000919615211082636,-0.000895573958091589,-0.000914478807329644,-0.000896998739928545,-0.000903425305549987,-0.000917497661646838,-0.000900523410448884,-0.000917149298123032,-0.000914459702843207,-0.000903691503085113,-0.000914548269761895,-0.000923802622485592,-0.000912862968424744,-0.000912370156445519,0.00457623786357075
