"","year","total_biomass_dem","scenario","total_biomass_pp","DemPP"
"1",1981,15297348.60919,"fmsy0",31904645.384906,0.479470886594688
"2",1982,15441038.71174,"fmsy0",37625149.633947,0.410391423342233
"3",1983,15612958.37529,"fmsy0",153809236.021763,0.101508588034862
"4",1984,15726116.17868,"fmsy0",31273348.74539,0.502860000913659
"5",1985,15587663.06695,"fmsy0",30997838.303225,0.502862906583014
"6",1986,15469103.66464,"fmsy0",30699711.37788,0.503884335400818
"7",1987,15380134.27663,"fmsy0",30541708.268033,0.503578062551527
"8",1988,15383829.79932,"fmsy0",126811686.83929,0.121312397798289
"9",1989,15369159.61789,"fmsy0",50040309.167279,0.307135584764528
"10",1990,15371963.31357,"fmsy0",30884674.9738,0.497721388572498
"11",1991,15454024.93252,"fmsy0",29742088.675786,0.519601198859367
"12",1992,15555877.77484,"fmsy0",31753873.7063,0.489889136636382
"13",1993,15647633.23121,"fmsy0",30917059.177215,0.50611648221516
"14",1994,15493498.26484,"fmsy0",30525282.073782,0.507562820464394
"15",1995,15456461.39864,"fmsy0",30466285.093683,0.50733003223438
"16",1996,15468677.85108,"fmsy0",33573623.633889,0.460739002133389
"17",1997,15544712.63548,"fmsy0",29964190.272509,0.51877632914852
"18",1998,15692070.40525,"fmsy0",29801769.898201,0.526548270752109
"19",1999,15570529.85859,"fmsy0",29572974.578921,0.526512130764429
"20",2000,15430769.383,"fmsy0",29201434.314401,0.528425049840451
"21",2001,15509681.97648,"fmsy0",31122076.739444,0.49834984041483
"22",2002,15441785.30506,"fmsy0",29053945.695764,0.531486685724458
"23",2003,15338487.1519,"fmsy0",42673158.7555,0.359441100664316
"24",2004,15413876.3103,"fmsy0",28810781.392989,0.53500375779641
"25",2005,15507831.31289,"fmsy0",29970080.102425,0.517443772585553
"26",2006,15585565.50853,"fmsy0",29382620.800211,0.53043483134146
"27",2007,15732392.75883,"fmsy0",29280885.246983,0.537292251451005
"28",2008,15621084.27212,"fmsy0",29190087.265066,0.535150310797972
"29",2009,15408432.71676,"fmsy0",28656530.007673,0.537693597676839
"30",2010,15100136.13776,"fmsy0",28712916.797117,0.525900459519883
"31",2011,14831915.75559,"fmsy0",28463341.166224,0.521088359548958
"32",2012,14870162.35835,"fmsy0",29780797.741344,0.499320484545184
"33",2013,14806079.64634,"fmsy0",28071157.326317,0.527448137396856
"34",2014,14710390.28297,"fmsy0",27805647.301993,0.529043259565319
"35",2015,14694145.76486,"fmsy0",27481245.300053,0.53469723094505
"36",1981,15344050.70647,"fmsy1",31842188.04781,0.481878025575108
"37",1982,15453826.3062,"fmsy1",37387741.611265,0.413339389869532
"38",1983,13089949.17476,"fmsy1",41732528.417683,0.313662978761994
"39",1984,11607887.9787,"fmsy1",31120485.206518,0.372998296834678
"40",1985,10395670.10791,"fmsy1",30857734.727193,0.336890254576884
"41",1986,9545663.33659,"fmsy1",30646289.31015,0.311478601535896
"42",1987,9007004.30827,"fmsy1",30459352.171515,0.295705708301084
"43",1988,8591851.05048,"fmsy1",128202816.549149,0.0670176465833428
"44",1989,8194037.89356,"fmsy1",55348092.065144,0.148045534865334
"45",1990,7931064.2874,"fmsy1",30654773.7314,0.258721997327161
"46",1991,7708763.52757,"fmsy1",29703513.713977,0.259523624100493
"47",1992,7693009.83957,"fmsy1",31801411.9135,0.241907807756933
"48",1993,7700051.94545,"fmsy1",30907051.75267,0.249135763807844
"49",1994,7595274.82969,"fmsy1",30507489.885581,0.248964266092564
"50",1995,7479448.71971,"fmsy1",165674419.54188,0.0451454650657117
"51",1996,7375367.07943,"fmsy1",30582158.777174,0.241165678759566
"52",1997,7255829.51285,"fmsy1",29889338.800214,0.242756441062458
"53",1998,7265352.27539,"fmsy1",29737783.46095,0.244313846892135
"54",1999,7292113.44763,"fmsy1",42710538.684,0.170733352289976
"55",2000,7205465.64935,"fmsy1",29251053.79489,0.24633183132051
"56",2001,7161783.25217,"fmsy1",29017272.980365,0.246811037584963
"57",2002,7195788.68413,"fmsy1",28782683.765276,0.250004090751646
"58",2003,7065782.94801,"fmsy1",55278381.9211,0.127821812116265
"59",2004,7052990.9942,"fmsy1",31678504.669341,0.222642800467347
"60",2005,7152968.43658,"fmsy1",29893533.484806,0.239281463337736
"61",2006,7100316.89071,"fmsy1",29316954.601635,0.242191489095324
"62",2007,6986353.22895,"fmsy1",29235417.32679,0.238968821647298
"63",2008,7025954.03684,"fmsy1",32033119.987,0.219334052995504
"64",2009,6979352.04621,"fmsy1",35384434.515929,0.197243566039415
"65",2010,6933431.03861,"fmsy1",59049823.735819,0.117416625486119
"66",2011,6921896.33747,"fmsy1",28382600.413477,0.243878159035183
"67",2012,6906317.18318,"fmsy1",28572699.424245,0.241710350171525
"68",2013,6825984.21342,"fmsy1",27962060.589204,0.24411592241723
"69",2014,6872828.1385,"fmsy1",27793114.947477,0.247285277360532
"70",2015,6971966.13754,"fmsy1",32240497.040074,0.216248717532923
"71",1981,15314096.34042,"fmsy2",66251892.535614,0.231149568024609
"72",1982,15435185.49306,"fmsy2",42882737.870968,0.359939366266764
"73",1983,10543544.14758,"fmsy2",33120015.379053,0.318343576441946
"74",1984,8155686.21774,"fmsy2",31241334.391528,0.261054349200643
"75",1985,6722767.79352,"fmsy2",33591309.744871,0.200134137209297
"76",1986,5773460.31601,"fmsy2",31037654.8035,0.186014708667968
"77",1987,5183298.17844,"fmsy2",35713102.965719,0.145137155497674
"78",1988,4863951.89226,"fmsy2",119588279.148884,0.0406724800028648
"79",1989,4590202.55298,"fmsy2",40902182.591458,0.112223902543983
"80",1990,4381860.12107,"fmsy2",132892667.2161,0.032972926293552
"81",1991,4231928.30103,"fmsy2",49640205.476874,0.0852520302922908
"82",1992,4128161.9373,"fmsy2",31623480.2276,0.130541038101716
"83",1993,4021112.33339,"fmsy2",31191080.109846,0.128918662618569
"84",1994,3992789.82537,"fmsy2",30509067.668018,0.1308722334231
"85",1995,3946472.64113,"fmsy2",30411533.273615,0.129768946722392
"86",1996,3850783.17058,"fmsy2",30129173.027612,0.127809122641731
"87",1997,3809385.61335,"fmsy2",56718855.186444,0.0671625970028474
"88",1998,3789430.69424,"fmsy2",29905205.401716,0.126714752275955
"89",1999,3768749.03067,"fmsy2",49122386.077,0.07672161984889
"90",2000,3790599.45845,"fmsy2",29090662.317931,0.130302961720935
"91",2001,3748794.50211,"fmsy2",29972203.603834,0.125075705198748
"92",2002,3710306.71083,"fmsy2",28785036.61447,0.128897064142168
"93",2003,3694525.40978,"fmsy2",40181130.53105,0.0919467760352102
"94",2004,3639647.08901,"fmsy2",28664297.680908,0.12697492642334
"95",2005,3607062.41136,"fmsy2",30428243.038869,0.118543236517217
"96",2006,3631582.85498,"fmsy2",29726572.522044,0.122166215169508
"97",2007,3656685.0891,"fmsy2",32660260.892892,0.111961294525232
"98",2008,3653923.36805,"fmsy2",46997119.2776,0.0777478157005157
"99",2009,3646024.36046,"fmsy2",28885918.788805,0.126221512534095
"100",2010,3615772.40412,"fmsy2",28885486.933622,0.12517609318579
"101",2011,3595242.29748,"fmsy2",28599354.981943,0.125710607800419
"102",2012,3550618.4225,"fmsy2",33280848.836817,0.106686534346207
"103",2013,3513757.49532,"fmsy2",28123883.254751,0.124938560706279
"104",2014,3524017.99505,"fmsy2",65667751.899744,0.0536643617773024
"105",2015,3572846.19489,"fmsy2",27487830.798571,0.12997919774287
