rgn_id,rgn_name,loiczid,proportionArea,csquarecode,cellarea
1,Barents Sea,9852,0.1,1806:235:2,363.31
1,Barents Sea,10461,0.07,1801:120:3,390.08
1,Barents Sea,10462,0.13,1801:120:4,390.08
1,Barents Sea,10463,0.2,1801:121:3,390.08
1,Barents Sea,10464,0.29,1801:121:4,390.08
1,Barents Sea,10465,0.35,1801:122:3,390.08
1,Barents Sea,10466,0.41,1801:122:4,390.08
1,Barents Sea,10467,0.5,1801:123:3,390.08
1,Barents Sea,10468,0.57,1801:123:4,390.08
1,Barents Sea,10469,0.63,1801:124:3,390.08
1,Barents Sea,10470,0.7,1801:124:4,390.08
1,Barents Sea,10471,0.79,1801:225:3,390.08
1,Barents Sea,10472,0.85,1801:225:4,390.08
1,Barents Sea,10473,0.91,1801:226:3,390.08
1,Barents Sea,10474,1,1801:226:4,390.08
1,Barents Sea,10475,1,1801:227:3,390.08
1,Barents Sea,10476,1,1801:227:4,390.08
1,Barents Sea,10477,1,1801:228:3,390.08
1,Barents Sea,10478,1,1801:228:4,390.08
1,Barents Sea,10479,1,1801:229:3,390.08
1,Barents Sea,10480,1,1801:229:4,390.08
1,Barents Sea,10481,1,1802:120:3,390.08
1,Barents Sea,10482,1,1802:120:4,390.08
1,Barents Sea,10483,1,1802:121:3,390.08
1,Barents Sea,10484,1,1802:121:4,390.08
1,Barents Sea,10485,1,1802:122:3,390.08
1,Barents Sea,10486,1,1802:122:4,390.08
1,Barents Sea,10487,1,1802:123:3,390.08
1,Barents Sea,10488,1,1802:123:4,390.08
1,Barents Sea,10489,1,1802:124:3,390.08
1,Barents Sea,10490,1,1802:124:4,390.08
1,Barents Sea,10491,1,1802:225:3,390.08
1,Barents Sea,10492,1,1802:225:4,390.08
1,Barents Sea,10493,1,1802:226:3,390.08
1,Barents Sea,10494,1,1802:226:4,390.08
1,Barents Sea,10495,1,1802:227:3,390.08
1,Barents Sea,10496,1,1802:227:4,390.08
1,Barents Sea,10497,1,1802:228:3,390.08
1,Barents Sea,10498,1,1802:228:4,390.08
1,Barents Sea,10499,1,1802:229:3,390.08
1,Barents Sea,10500,1,1802:229:4,390.08
1,Barents Sea,10501,1,1803:120:3,390.08
1,Barents Sea,10502,1,1803:120:4,390.08
1,Barents Sea,10503,1,1803:121:3,390.08
1,Barents Sea,10504,1,1803:121:4,390.08
1,Barents Sea,10505,1,1803:122:3,390.08
1,Barents Sea,10506,1,1803:122:4,390.08
