year,LPI_final,scenario
1981,1,fmsy1
1982,1.014441353,fmsy1
1983,0.993377354,fmsy1
1984,0.967892969,fmsy1
1985,0.964831739,fmsy1
1986,0.946222859,fmsy1
1987,0.929821819,fmsy1
1988,0.93748753,fmsy1
1989,0.947982307,fmsy1
1990,0.941685553,fmsy1
1991,0.929422454,fmsy1
1992,0.944073457,fmsy1
1993,0.937831187,fmsy1
1994,0.919916436,fmsy1
1995,0.919401319,fmsy1
1996,0.933713839,fmsy1
1997,0.944238013,fmsy1
1998,0.94595778,fmsy1
1999,0.943791124,fmsy1
2000,0.921352429,fmsy1
2001,0.911764067,fmsy1
2002,0.918946029,fmsy1
2003,0.925004791,fmsy1
2004,0.923681351,fmsy1
2005,0.937988863,fmsy1
2006,0.935686029,fmsy1
2007,0.920103203,fmsy1
2008,0.903150602,fmsy1
2009,0.896230014,fmsy1
2010,0.899236425,fmsy1
2011,0.947703852,fmsy1
2012,0.958150906,fmsy1
2013,0.957486595,fmsy1
2014,0.927201384,fmsy1
2015,0.948538483,fmsy1
1981,1,fmsy1
1982,0.996216025,fmsy1
1983,0.94292695,fmsy1
1984,0.911223179,fmsy1
1985,0.912685915,fmsy1
1986,0.893132579,fmsy1
1987,0.878066082,fmsy1
1988,0.881723722,fmsy1
1989,0.883754329,fmsy1
1990,0.87574046,fmsy1
1991,0.83388278,fmsy1
1992,0.845913597,fmsy1
1993,0.846945933,fmsy1
1994,0.824655356,fmsy1
1995,0.822976943,fmsy1
1996,0.840812473,fmsy1
1997,0.849721649,fmsy1
1998,0.847943131,fmsy1
1999,0.842847977,fmsy1
2000,0.824058657,fmsy1
2001,0.815620012,fmsy1
2002,0.816107198,fmsy1
2003,0.814392151,fmsy1
2004,0.80736293,fmsy1
2005,0.816617153,fmsy1
2006,0.812211403,fmsy1
2007,0.796225053,fmsy1
2008,0.791339171,fmsy1
2009,0.783136545,fmsy1
2010,0.782031345,fmsy1
2011,0.797678244,fmsy1
2012,0.787073282,fmsy1
2013,0.800701643,fmsy1
2014,0.78887559,fmsy1
2015,0.787380152,fmsy1
1981,1,fmsy1
1982,1.034113014,fmsy1
1983,1.029902345,fmsy1
1984,1.013726237,fmsy1
1985,1.025414439,fmsy1
1986,1.005197811,fmsy1
1987,0.995512324,fmsy1
1988,1.010252892,fmsy1
1989,1.020401114,fmsy1
1990,1.029126797,fmsy1
1991,1.024736098,fmsy1
1992,1.04992612,fmsy1
1993,1.032554572,fmsy1
1994,1.018511067,fmsy1
1995,1.017847174,fmsy1
1996,1.03404563,fmsy1
1997,1.047759592,fmsy1
1998,1.049611592,fmsy1
1999,1.045879202,fmsy1
2000,1.01412316,fmsy1
2001,1.004296409,fmsy1
2002,1.042183794,fmsy1
2003,1.049167776,fmsy1
2004,1.052853921,fmsy1
2005,1.056488285,fmsy1
2006,1.053543302,fmsy1
2007,1.043747488,fmsy1
2008,1.032860958,fmsy1
2009,1.030719163,fmsy1
2010,1.041104417,fmsy1
2011,1.089234903,fmsy1
2012,1.120742231,fmsy1
2013,1.127215974,fmsy1
2014,1.107014239,fmsy1
2015,1.128364295,fmsy1
