year,LPI_final,scenario
1981,1,fmsy2
1982,0.997926892,fmsy2
1983,0.985940485,fmsy2
1984,0.964319636,fmsy2
1985,0.94189001,fmsy2
1986,0.924694002,fmsy2
1987,0.911611159,fmsy2
1988,0.899742797,fmsy2
1989,0.888475493,fmsy2
1990,0.877668029,fmsy2
1991,0.86633511,fmsy2
1992,0.855116313,fmsy2
1993,0.84662659,fmsy2
1994,0.841785557,fmsy2
1995,0.83898518,fmsy2
1996,0.83721523,fmsy2
1997,0.837584647,fmsy2
1998,0.839761403,fmsy2
1999,0.839992864,fmsy2
2000,0.83540645,fmsy2
2001,0.828013833,fmsy2
2002,0.82175124,fmsy2
2003,0.817199288,fmsy2
2004,0.812505757,fmsy2
2005,0.807822077,fmsy2
2006,0.805221797,fmsy2
2007,0.804823295,fmsy2
2008,0.80431298,fmsy2
2009,0.802425136,fmsy2
2010,0.800006253,fmsy2
2011,0.797361778,fmsy2
2012,0.793512608,fmsy2
2013,0.78877647,fmsy2
2014,0.785186924,fmsy2
2015,0.783413426,fmsy2
1981,1,fmsy2
1982,0.97727896,fmsy2
1983,0.953233804,fmsy2
1984,0.922426234,fmsy2
1985,0.902825599,fmsy2
1986,0.879660879,fmsy2
1987,0.858621388,fmsy2
1988,0.843292754,fmsy2
1989,0.830281741,fmsy2
1990,0.818094086,fmsy2
1991,0.807956515,fmsy2
1992,0.797176421,fmsy2
1993,0.788839686,fmsy2
1994,0.780673722,fmsy2
1995,0.778334924,fmsy2
1996,0.779558308,fmsy2
1997,0.774082761,fmsy2
1998,0.77814436,fmsy2
1999,0.776081819,fmsy2
2000,0.771345444,fmsy2
2001,0.760384894,fmsy2
2002,0.753083343,fmsy2
2003,0.750126416,fmsy2
2004,0.744387593,fmsy2
2005,0.738821906,fmsy2
2006,0.73543558,fmsy2
2007,0.734762973,fmsy2
2008,0.733344487,fmsy2
2009,0.731504047,fmsy2
2010,0.730556598,fmsy2
2011,0.727518434,fmsy2
2012,0.724123275,fmsy2
2013,0.71787146,fmsy2
2014,0.713716439,fmsy2
2015,0.715362796,fmsy2
1981,1,fmsy2
1982,1.015417685,fmsy2
1983,1.009717995,fmsy2
1984,1.003157747,fmsy2
1985,0.985415987,fmsy2
1986,0.968527314,fmsy2
1987,0.956542187,fmsy2
1988,0.946795988,fmsy2
1989,0.93588122,fmsy2
1990,0.924715349,fmsy2
1991,0.915081781,fmsy2
1992,0.903174296,fmsy2
1993,0.895381373,fmsy2
1994,0.889877204,fmsy2
1995,0.892927207,fmsy2
1996,0.891999392,fmsy2
1997,0.890546585,fmsy2
1998,0.899281454,fmsy2
1999,0.898323876,fmsy2
2000,0.893324188,fmsy2
2001,0.886977683,fmsy2
2002,0.877830403,fmsy2
2003,0.875158557,fmsy2
2004,0.870514828,fmsy2
2005,0.864522871,fmsy2
2006,0.861186414,fmsy2
2007,0.859898939,fmsy2
2008,0.86015809,fmsy2
2009,0.858268443,fmsy2
2010,0.85417421,fmsy2
2011,0.852832031,fmsy2
2012,0.850649089,fmsy2
2013,0.845196266,fmsy2
2014,0.842571556,fmsy2
2015,0.840264792,fmsy2
