year,LPI_final,scenario
1981,1,fmsy0
1982,1.003297051,fmsy0
1983,1.005619196,fmsy0
1984,1.01689659,fmsy0
1985,1.018694331,fmsy0
1986,1.017164224,fmsy0
1987,1.015360487,fmsy0
1988,1.014954939,fmsy0
1989,1.016750501,fmsy0
1990,1.036160003,fmsy0
1991,1.049805614,fmsy0
1992,1.044495956,fmsy0
1993,1.038066254,fmsy0
1994,1.030345802,fmsy0
1995,1.028874255,fmsy0
1996,1.033955614,fmsy0
1997,1.059956993,fmsy0
1998,1.079754,fmsy0
1999,1.076872481,fmsy0
2000,1.067471423,fmsy0
2001,1.052308319,fmsy0
2002,1.038303278,fmsy0
2003,1.030138447,fmsy0
2004,1.045358362,fmsy0
2005,1.052153638,fmsy0
2006,1.045423468,fmsy0
2007,1.037893904,fmsy0
2008,1.027740508,fmsy0
2009,1.019258731,fmsy0
2010,1.015031258,fmsy0
2011,1.031907401,fmsy0
2012,1.044630821,fmsy0
2013,1.038079694,fmsy0
2014,1.030056256,fmsy0
2015,1.01947617,fmsy0
1981,1,fmsy0
1982,0.989611053,fmsy0
1983,0.989270028,fmsy0
1984,0.994955789,fmsy0
1985,1.000488326,fmsy0
1986,0.988396972,fmsy0
1987,0.980199289,fmsy0
1988,0.979095081,fmsy0
1989,0.980212578,fmsy0
1990,0.991553157,fmsy0
1991,0.997179129,fmsy0
1992,0.991875405,fmsy0
1993,0.985460838,fmsy0
1994,0.971010638,fmsy0
1995,0.968234869,fmsy0
1996,0.967982503,fmsy0
1997,0.990767538,fmsy0
1998,1.000345514,fmsy0
1999,0.997698482,fmsy0
2000,0.991628186,fmsy0
2001,0.984863459,fmsy0
2002,0.961091299,fmsy0
2003,0.948200394,fmsy0
2004,0.9734987,fmsy0
2005,0.973762159,fmsy0
2006,0.965499437,fmsy0
2007,0.964629234,fmsy0
2008,0.959008347,fmsy0
2009,0.945713873,fmsy0
2010,0.943577108,fmsy0
2011,0.955470804,fmsy0
2012,0.967591745,fmsy0
2013,0.957646915,fmsy0
2014,0.948809722,fmsy0
2015,0.942748432,fmsy0
1981,1,fmsy0
1982,1.010543203,fmsy0
1983,1.016448792,fmsy0
1984,1.033327616,fmsy0
1985,1.036446508,fmsy0
1986,1.03571479,fmsy0
1987,1.039455107,fmsy0
1988,1.040939606,fmsy0
1989,1.040169419,fmsy0
1990,1.069282346,fmsy0
1991,1.091187934,fmsy0
1992,1.086897897,fmsy0
1993,1.082581889,fmsy0
1994,1.075788098,fmsy0
1995,1.079113132,fmsy0
1996,1.086084113,fmsy0
1997,1.109349431,fmsy0
1998,1.141097832,fmsy0
1999,1.13851292,fmsy0
2000,1.128675811,fmsy0
2001,1.116494599,fmsy0
2002,1.094458291,fmsy0
2003,1.093107307,fmsy0
2004,1.124130831,fmsy0
2005,1.126624944,fmsy0
2006,1.120768889,fmsy0
2007,1.11007915,fmsy0
2008,1.103578835,fmsy0
2009,1.090127356,fmsy0
2010,1.085564292,fmsy0
2011,1.103683985,fmsy0
2012,1.13095984,fmsy0
2013,1.124868048,fmsy0
2014,1.12043384,fmsy0
2015,1.117210868,fmsy0
