"Year","mean_life_span","scenario"
2053,8.65047036015315,"fmsy08"
2054,8.45342396254955,"fmsy08"
2055,8.44414935719849,"fmsy08"
2056,8.31889838820936,"fmsy08"
2057,8.46912459645646,"fmsy08"
2058,8.0494155493481,"fmsy08"
2059,8.01502464962451,"fmsy08"
2060,8.270444752115,"fmsy08"
2061,8.91912321125154,"fmsy08"
2062,8.68761779408327,"fmsy08"
2063,8.53430601157782,"fmsy08"
2064,8.34283737082397,"fmsy08"
2065,8.50516600545821,"fmsy08"
2066,8.79519702330926,"fmsy08"
2067,8.27966270514641,"fmsy08"
2068,7.53633520335381,"fmsy08"
2015,8.50341186356638,"fmsy1"
2016,9.28355725411522,"fmsy1"
2017,9.00625314201403,"fmsy1"
2018,8.74751341989808,"fmsy1"
2019,8.71904782311598,"fmsy1"
2020,8.67095808512179,"fmsy1"
2021,8.22120737114607,"fmsy1"
2022,8.47337431537887,"fmsy1"
2023,8.67914078541834,"fmsy1"
2024,8.27253486903982,"fmsy1"
2025,8.19653475774203,"fmsy1"
2026,8.55997037313319,"fmsy1"
2027,8.86153882269393,"fmsy1"
2028,8.89549811851487,"fmsy1"
2029,8.85427601501138,"fmsy1"
2030,8.16599218673164,"fmsy1"
2031,8.12749372808142,"fmsy1"
2032,8.72612314907689,"fmsy1"
2033,8.66583760122625,"fmsy1"
2034,8.56838718638343,"fmsy1"
2035,8.51975804905478,"fmsy1"
2036,8.01113511764412,"fmsy1"
2037,8.08940664769924,"fmsy1"
2038,8.38841407761058,"fmsy1"
2039,8.07548627434913,"fmsy1"
2040,8.17231843669043,"fmsy1"
2041,8.40110444017159,"fmsy1"
2042,8.38576131010417,"fmsy1"
2043,8.33040151246968,"fmsy1"
2044,8.21625719422378,"fmsy1"
2045,8.23888910412367,"fmsy1"
2046,8.35071127335512,"fmsy1"
2047,8.30286582578965,"fmsy1"
2048,8.27147382708439,"fmsy1"
2049,8.43517149549529,"fmsy1"
2050,8.23218850199062,"fmsy1"
2051,8.08245571508563,"fmsy1"
2052,8.25093504610709,"fmsy1"
