"Year","scenario","proppred"
2045,"fmsy06",0.0256795880389957
2045,"fmsy08",0.0213887386704486
2045,"fmsy1",0.0192212651489283
2045,"fmsy11",0.0181985220774321
2046,"fmsy0",0.0393451592339405
2046,"fmsy06",0.0235360111342053
2046,"fmsy08",0.0190555742736331
2046,"fmsy1",0.0154573167588767
2046,"fmsy11",0.0168919311397703
2047,"fmsy0",0.0367198498400371
2047,"fmsy06",0.019819863364607
2047,"fmsy08",0.0194596543141575
2047,"fmsy1",0.0171569244318361
2047,"fmsy11",0.016211946602371
2048,"fmsy0",0.0412211926729627
2048,"fmsy06",0.026308866541587
2048,"fmsy08",0.0201915805415724
2048,"fmsy1",0.0186965044122461
2048,"fmsy11",0.0170349711770613
2049,"fmsy0",0.037127459228844
2049,"fmsy06",0.0243795530342798
2049,"fmsy08",0.0221280083679496
2049,"fmsy1",0.0160799011801078
2049,"fmsy11",0.0162177725971486
2050,"fmsy0",0.0415296735394545
2050,"fmsy06",0.02203765437523
2050,"fmsy08",0.0212469892354779
2050,"fmsy1",0.0187095339500929
2050,"fmsy11",0.0157472462546477
2051,"fmsy0",0.0405334273656859
2051,"fmsy06",0.0255756063024206
2051,"fmsy08",0.0200874210632604
2051,"fmsy1",0.018804222535697
2051,"fmsy11",0.0160530129543685
2052,"fmsy0",0.0420975277346544
2052,"fmsy06",0.0241674620045163
2052,"fmsy08",0.021867714971174
2052,"fmsy1",0.01752263441598
2052,"fmsy11",0.0187224835291
2053,"fmsy0",0.0363666839502743
2053,"fmsy06",0.0231090593419464
2053,"fmsy08",0.0218942408631089
2053,"fmsy1",0.0174478259823442
2053,"fmsy11",0.0178169528335285
2054,"fmsy0",0.0434503037957651
2054,"fmsy06",0.0214862745821608
2054,"fmsy08",0.0210099358284784
2054,"fmsy1",0.0178528134898606
2054,"fmsy11",0.0158778208636848
2055,"fmsy0",0.0406195569301512
2055,"fmsy06",0.0252511944509918
2055,"fmsy08",0.0209894794647045
2055,"fmsy1",0.0194609444382867
2055,"fmsy11",0.0189021430455887
2056,"fmsy0",0.0397848349759691
2056,"fmsy06",0.0254741589175143
2056,"fmsy08",0.0205520379641382
2056,"fmsy1",0.0165983308003107
2056,"fmsy11",0.0169130323199624
2057,"fmsy0",0.0380405626712818
2057,"fmsy06",0.0226834845494746
2057,"fmsy08",0.0203669306407729
2057,"fmsy1",0.0181122063548824
2057,"fmsy11",0.0153269464683847
2058,"fmsy0",0.0441048334988577
2058,"fmsy06",0.0266735514358156
2058,"fmsy08",0.023344378873397
2058,"fmsy1",0.0184248900291078
2058,"fmsy11",0.0196465913424813
2059,"fmsy0",0.043347423766609
2059,"fmsy06",0.0264464865604659
2059,"fmsy08",0.0228137947232053
2059,"fmsy1",0.0195853959686672
2059,"fmsy11",0.0191067618947439
2060,"fmsy0",0.0424198367416292
2060,"fmsy06",0.0256843918485028
2060,"fmsy08",0.0196402082697923
2060,"fmsy1",0.0187662548069669
2060,"fmsy11",0.0148315075540356
2061,"fmsy0",0.0375012365911104
2061,"fmsy06",0.0216130831641917
2061,"fmsy08",0.0240038452508574
2061,"fmsy1",0.0170522236258248
2061,"fmsy11",0.0179999663810951
2062,"fmsy0",0.0485678007902516
2062,"fmsy06",0.0283048785242938
2062,"fmsy08",0.0257874225923971
2062,"fmsy1",0.020664932836374
2062,"fmsy11",0.0196801698452333
2063,"fmsy0",0.0410185289505464
2063,"fmsy06",0.0267060319987772
2063,"fmsy08",0.0202585655248907
2063,"fmsy1",0.0210056232491811
2063,"fmsy11",0.0160726816209489
2064,"fmsy0",0.0431973210420076
2064,"fmsy06",0.0220428085023031
2064,"fmsy08",0.0232429760736342
2064,"fmsy1",0.0201895536432731
2064,"fmsy11",0.0176466342064838
2065,"fmsy0",0.0421265586921372
2065,"fmsy06",0.0266789527864437
2065,"fmsy08",0.0234100947286831
2065,"fmsy1",0.0202295482076495
2065,"fmsy11",0.0145737456194268
2066,"fmsy0",0.0459247113383448
2066,"fmsy06",0.0259579253774579
2066,"fmsy08",0.0201526526429329
2066,"fmsy1",0.0196571131529617
2066,"fmsy11",0.0171718895831426
2067,"fmsy0",0.0441339223662199
2067,"fmsy06",0.0226224115244508
2067,"fmsy08",0.0224800638941471
2067,"fmsy1",0.0192623669878671
2067,"fmsy11",0.0182351607575928
2068,"fmsy0",0.0416202240954724
2068,"fmsy06",0.026559057969486
2068,"fmsy08",0.0229604009171687
2068,"fmsy1",0.0200216066533842
2068,"fmsy11",0.0166613110498297
