"Year","scenario","proppred"
2015,"fmsy0",0.011327124458248
2015,"fmsy06",0.011327124458248
2015,"fmsy08",0.011327124458248
2015,"fmsy1",0.011327124458248
2015,"fmsy11",0.011327124458248
2016,"fmsy0",0.0117980261671202
2016,"fmsy06",0.0109022939768494
2016,"fmsy08",0.0106339468789758
2016,"fmsy1",0.0103802828425128
2016,"fmsy11",0.0102586705453637
2017,"fmsy0",0.0127631886713142
2017,"fmsy06",0.0112052456916804
2017,"fmsy08",0.0107743821437825
2017,"fmsy1",0.0103803467344069
2017,"fmsy11",0.0101963629106881
2018,"fmsy0",0.0139042489696105
2018,"fmsy06",0.0116556585006994
2018,"fmsy08",0.0110716293416276
2018,"fmsy1",0.0105536198119355
2018,"fmsy11",0.0103161215793178
2019,"fmsy0",0.0148008329547042
2019,"fmsy06",0.0119753113602439
2019,"fmsy08",0.011271379534019
2019,"fmsy1",0.0106705722473666
2019,"fmsy11",0.0104185005153403
2020,"fmsy0",0.0158901331946904
2020,"fmsy06",0.0129612987878206
2020,"fmsy08",0.0122588922911215
2020,"fmsy1",0.0115967813962278
2020,"fmsy11",0.0112672474681966
2021,"fmsy0",0.0163961267847091
2021,"fmsy06",0.013153247147491
2021,"fmsy08",0.0123076607036079
2021,"fmsy1",0.0113166777260652
2021,"fmsy11",0.0109641273348505
2022,"fmsy0",0.0169162593360742
2022,"fmsy06",0.0130558522999958
2022,"fmsy08",0.0120499417758412
2022,"fmsy1",0.0114767840840934
2022,"fmsy11",0.0111384466794097
2023,"fmsy0",0.017628682719807
2023,"fmsy06",0.0130390981456265
2023,"fmsy08",0.0121009013382275
2023,"fmsy1",0.0110662336227993
2023,"fmsy11",0.0105419008424453
2024,"fmsy0",0.0170411580222559
2024,"fmsy06",0.0135294635082064
2024,"fmsy08",0.0124184064686975
2024,"fmsy1",0.0112152789929982
2024,"fmsy11",0.0109618224316226
2025,"fmsy0",0.0174710831374948
2025,"fmsy06",0.0134978139034596
2025,"fmsy08",0.012452928993304
2025,"fmsy1",0.0101124354409717
2025,"fmsy11",0.0109357801079534
2026,"fmsy0",0.0215919682684088
2026,"fmsy06",0.0153247742127275
2026,"fmsy08",0.0136117140696689
2026,"fmsy1",0.0133552866076096
2026,"fmsy11",0.0121349598309684
2027,"fmsy0",0.0211552494593727
2027,"fmsy06",0.0135640694883872
2027,"fmsy08",0.0122424629842641
2027,"fmsy1",0.0122002563226411
2027,"fmsy11",0.0105626672400629
2028,"fmsy0",0.0219956502449318
2028,"fmsy06",0.0167591338186559
2028,"fmsy08",0.0144361139707816
2028,"fmsy1",0.0119817647790077
2028,"fmsy11",0.0123112138822611
2029,"fmsy0",0.0224455018791528
2029,"fmsy06",0.0163973744261757
2029,"fmsy08",0.0134771220300622
2029,"fmsy1",0.0113739607719706
2029,"fmsy11",0.0120358301577701
2030,"fmsy0",0.0278006942918149
2030,"fmsy06",0.0158282496591485
2030,"fmsy08",0.0143624101994734
2030,"fmsy1",0.0152769344022097
2030,"fmsy11",0.0138220302223359
2031,"fmsy0",0.0262438880747339
2031,"fmsy06",0.0179029858403936
2031,"fmsy08",0.0170232773153731
2031,"fmsy1",0.0147356693413934
2031,"fmsy11",0.0119823796633434
2032,"fmsy0",0.0302090098108004
2032,"fmsy06",0.017056761345946
2032,"fmsy08",0.0156030240197012
2032,"fmsy1",0.0134196097261159
2032,"fmsy11",0.0138476040156745
2033,"fmsy0",0.0287367388915683
2033,"fmsy06",0.0195636072661474
2033,"fmsy08",0.0163431997512742
2033,"fmsy1",0.0161072728381225
2033,"fmsy11",0.012674153452138
2034,"fmsy0",0.034383450854389
2034,"fmsy06",0.0200329553195506
2034,"fmsy08",0.0161240807833541
2034,"fmsy1",0.0158733845090033
2034,"fmsy11",0.0155194404798657
2035,"fmsy0",0.03162903725964
2035,"fmsy06",0.0216418962989881
2035,"fmsy08",0.0164666989295651
2035,"fmsy1",0.0146415120241947
2035,"fmsy11",0.0139383835434232
2036,"fmsy0",0.03452023156768
2036,"fmsy06",0.0212460615595023
2036,"fmsy08",0.0165038815990138
2036,"fmsy1",0.01299293297443
2036,"fmsy11",0.0128974093753456
2037,"fmsy0",0.029013527179571
2037,"fmsy06",0.0192350207040703
2037,"fmsy08",0.01799537852996
2037,"fmsy1",0.0146642821563304
2037,"fmsy11",0.0135595345300963
2038,"fmsy0",0.0370521163885093
2038,"fmsy06",0.0189649042052245
2038,"fmsy08",0.0183329432307498
2038,"fmsy1",0.0160882499406023
2038,"fmsy11",0.0136140837638205
2039,"fmsy0",0.0343979513040122
2039,"fmsy06",0.0210270485523191
2039,"fmsy08",0.0181201913875633
2039,"fmsy1",0.0150835561794628
2039,"fmsy11",0.014377386759567
2040,"fmsy0",0.0361584593019578
2040,"fmsy06",0.0199736191299025
2040,"fmsy08",0.0162986589265734
2040,"fmsy1",0.0169138162042814
2040,"fmsy11",0.0131857034050797
2041,"fmsy0",0.0349860474251866
2041,"fmsy06",0.0217536701793572
2041,"fmsy08",0.0196132143002776
2041,"fmsy1",0.0161179457312733
2041,"fmsy11",0.01606800513945
2042,"fmsy0",0.0393438054207608
2042,"fmsy06",0.0207568905963802
2042,"fmsy08",0.0178835496401765
2042,"fmsy1",0.0165024302401134
2042,"fmsy11",0.0150019591916858
2043,"fmsy0",0.0379956349482755
2043,"fmsy06",0.0233164418924443
2043,"fmsy08",0.0202968097942517
2043,"fmsy1",0.0151610824475176
2043,"fmsy11",0.0146848804177945
2044,"fmsy0",0.0378547886159166
2044,"fmsy06",0.0203310220468755
2044,"fmsy08",0.0179807366440319
2044,"fmsy1",0.0175278351089886
2044,"fmsy11",0.0152776260331297
2045,"fmsy0",0.0374090441253528
