"Year","TL_all","scenario"
2015,1.1903575369887,"fmsy0"
2016,1.19532001316364,"fmsy0"
2017,1.17247563441986,"fmsy0"
2018,1.14853521081987,"fmsy0"
2019,1.11583947913726,"fmsy0"
2020,1.09959424825038,"fmsy0"
2021,1.17327304264642,"fmsy0"
2022,1.20816053724506,"fmsy0"
2023,1.24287881542012,"fmsy0"
2024,1.24809003788146,"fmsy0"
2025,1.28437866666004,"fmsy0"
2026,1.25668829213331,"fmsy0"
2027,1.31220310242827,"fmsy0"
2028,1.28927815766105,"fmsy0"
2029,1.34042783258714,"fmsy0"
2030,1.29482830587891,"fmsy0"
2031,1.29745338429868,"fmsy0"
2032,1.22045278906355,"fmsy0"
2033,1.22906396787672,"fmsy0"
2034,1.26393220147818,"fmsy0"
2035,1.31071934064702,"fmsy0"
2036,1.26565215883578,"fmsy0"
2037,1.39602124377531,"fmsy0"
2038,1.33809254156669,"fmsy0"
2039,1.38010795595433,"fmsy0"
2040,1.32937358762979,"fmsy0"
2041,1.48985917477393,"fmsy0"
2042,1.44638578442277,"fmsy0"
2043,1.50934437001088,"fmsy0"
2044,1.46336049081892,"fmsy0"
2045,1.55486508545492,"fmsy0"
2046,1.51607226720745,"fmsy0"
2047,1.4855335163223,"fmsy0"
2048,1.40747534836694,"fmsy0"
2049,1.44800064806082,"fmsy0"
2050,1.37400414623744,"fmsy0"
2051,1.5333999290563,"fmsy0"
2052,1.43601119583862,"fmsy0"
2053,1.607405287542,"fmsy0"
2054,1.57178130537447,"fmsy0"
2055,1.57230664657803,"fmsy0"
2056,1.48951902815017,"fmsy0"
2057,1.5227967441135,"fmsy0"
2058,1.43561483015003,"fmsy0"
2059,1.37609077408168,"fmsy0"
2060,1.28295009871498,"fmsy0"
2061,1.58197608791027,"fmsy0"
2062,1.52703771714893,"fmsy0"
2063,1.59499880811821,"fmsy0"
2064,1.53495852830991,"fmsy0"
2065,1.63346464928075,"fmsy0"
2066,1.62879089593594,"fmsy0"
2067,1.65968993974939,"fmsy0"
2068,1.57601791995714,"fmsy0"
2015,1.1903575369887,"fmsy06"
2016,1.19481042092357,"fmsy06"
2017,1.17161578023984,"fmsy06"
2018,1.14833352915511,"fmsy06"
2019,1.11675184452302,"fmsy06"
2020,1.09721852715253,"fmsy06"
2021,1.17146128757364,"fmsy06"
2022,1.20357689283113,"fmsy06"
2023,1.20733059330114,"fmsy06"
2024,1.23835791176375,"fmsy06"
2025,1.27139505357295,"fmsy06"
2026,1.2667260505451,"fmsy06"
2027,1.30711126536605,"fmsy06"
2028,1.23195095534641,"fmsy06"
2029,1.22260186215269,"fmsy06"
2030,1.33525810548582,"fmsy06"
2031,1.31160494669661,"fmsy06"
2032,1.29814981454972,"fmsy06"
2033,1.19709980713596,"fmsy06"
2034,1.2970147936161,"fmsy06"
2035,1.27570644126627,"fmsy06"
2036,1.29539635544504,"fmsy06"
2037,1.33769456685733,"fmsy06"
2038,1.37055181374262,"fmsy06"
2039,1.31896977476808,"fmsy06"
2040,1.32778818645131,"fmsy06"
2041,1.35775502386546,"fmsy06"
2042,1.36926279699511,"fmsy06"
2043,1.37389366729058,"fmsy06"
2044,1.45173293092278,"fmsy06"
