Binomial,ID,Group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DEO1,15,Demersal Fish,1547692.763,1541694.169,1533042.482,1524785.099,1522670.748,1517354.342,1501900.355,1498687.355,1513952.234,1519849.117,1511085.473,1513487.454,1517758.201,1516601.304,1512801.536,1513672.566,1531368.674,1529563.182,1507349.363,1488817.43,1497938.767,1498493.598,1504184.27,1518275.153,1523867.702,1506049.271,1482024.343,1476691.32,1479758.253,1473401.133,1483339.879,1499272.268,1498140.842,1497279.559,1494668.338
PEL,16,Pelagic Fish,90004.62368,90948.61336,92809.54064,93345.62303,94488.2479,94308.38212,93504.13445,92081.93594,93887.75652,91695.04336,90368.99121,89706.82004,89336.04874,89178.17082,88783.9114,89459.10776,89913.61841,89450.10358,91317.99691,90330.29306,88105.12751,89338.77841,88731.04586,88726.06744,88522.50436,90120.56487,89111.78057,87593.32607,86935.70607,88166.85223,88275.63812,87951.74554,87642.23088,87701.64648,89943.55573
PES,17,Pelagic Fish,455490.9006,458987.9306,461903.4244,465406.241,468521.2655,472015.4887,475061.3874,477059.5065,478763.7545,478244.9982,477793.5213,477233.0096,477289.9143,477876.2458,478246.1495,478746.6515,478882.5892,478837.2431,480463.3645,479678.8246,479076.3423,477990.2152,476703.5003,476073.3675,474917.9014,476371.8281,474742.8269,472407.3212,470632.7312,470142.7992,468546.7913,468002.6853,467139.9912,467342.5544,470950.2497
PES1,18,Pelagic Fish,455490.9006,458987.9306,461903.4244,465406.241,468521.2655,472015.4887,475061.3874,477059.5065,478763.7545,478244.9982,477793.5213,477233.0096,477289.9143,477876.2458,478246.1495,478746.6515,478882.5892,478837.2431,480463.3645,479678.8246,479076.3423,477990.2152,476703.5003,476073.3675,474917.9014,476371.8281,474742.8269,472407.3212,470632.7312,470142.7992,468546.7913,468002.6853,467139.9912,467342.5544,470950.2497
REO,19,Demersal Fish,999228.9527,847451.69,733359.3531,652562.1013,607255.6669,560437.4782,504367.2145,497294.6225,486038.9179,442824.5605,418346.8978,408066.1274,381352.4481,370290.3268,363528.0245,376921.1188,372493.6151,349392.2751,331181.6793,326091.2014,335797.9975,343219.4365,347828.6566,351682.0596,334977.1188,315792.6006,303086.488,312911.0654,313867.4201,312266.7367,327167.7638,320690.6434,303261.24,305977.004,313304.9562
DEL,20,Demersal Fish,63951.13896,63964.28019,63643.94654,62979.00958,63076.65869,63144.82673,63131.4693,63035.06927,62838.6035,62036.75487,61455.91425,60861.31737,60648.6121,60758.24361,60836.27452,60860.07963,60599.24295,60414.77732,61294.02994,61083.14296,60646.92874,60467.22503,60121.69559,60119.65948,59917.78979,60749.08625,60523.05033,60140.35254,59689.61396,59582.06105,59426.42469,59206.89817,59131.29939,59109.06551,59880.46292
DEL1,21,Demersal Fish,63951.13896,63964.28019,63643.94654,62979.00958,63076.65869,63144.82673,63131.4693,63035.06927,62838.6035,62036.75487,61455.91425,60861.31737,60648.6121,60758.24361,60836.27452,60860.07963,60599.24295,60414.77732,61294.02994,61083.14296,60646.92874,60467.22503,60121.69559,60119.65948,59917.78979,60749.08625,60523.05033,60140.35254,59689.61396,59582.06105,59426.42469,59206.89817,59131.29939,59109.06551,59880.46292
DEL2,22,Demersal Fish,63951.13896,63964.28019,63643.94654,62979.00958,63076.65869,63144.82673,63131.4693,63035.06927,62838.6035,62036.75487,61455.91425,60861.31737,60648.6121,60758.24361,60836.27452,60860.07963,60599.24295,60414.77732,61294.02994,61083.14296,60646.92874,60467.22503,60121.69559,60119.65948,59917.78979,60749.08625,60523.05033,60140.35254,59689.61396,59582.06105,59426.42469,59206.89817,59131.29939,59109.06551,59880.46292
DEL3,23,Demersal Fish,63951.13896,63964.28019,63643.94654,62979.00958,63076.65869,63144.82673,63131.4693,63035.06927,62838.6035,62036.75487,61455.91425,60861.31737,60648.6121,60758.24361,60836.27452,60860.07963,60599.24295,60414.77732,61294.02994,61083.14296,60646.92874,60467.22503,60121.69559,60119.65948,59917.78979,60749.08625,60523.05033,60140.35254,59689.61396,59582.06105,59426.42469,59206.89817,59131.29939,59109.06551,59880.46292
DEL4,24,Demersal Fish,63951.13896,63964.28019,63643.94654,62979.00958,63076.65869,63144.82673,63131.4693,63035.06927,62838.6035,62036.75487,61455.91425,60861.31737,60648.6121,60758.24361,60836.27452,60860.07963,60599.24295,60414.77732,61294.02994,61083.14296,60646.92874,60467.22503,60121.69559,60119.65948,59917.78979,60749.08625,60523.05033,60140.35254,59689.61396,59582.06105,59426.42469,59206.89817,59131.29939,59109.06551,59880.46292
FLA,25,Demersal Fish,89615.23562,89780.79235,89658.32583,89645.23474,89642.0935,89815.90222,89735.91234,89532.84621,89171.67017,88336.48723,87815.28065,87408.9383,87423.05606,87575.75542,87703.83772,87609.91927,87110.85573,87073.95487,87207.8921,86791.31521,86490.36882,86426.5097,86289.65427,86365.62881,86318.61066,86743.52623,86634.99694,86309.13417,86187.42501,86167.57352,85933.7248,85968.794,85907.19393,85820.54359,86248.61859
FLA1,26,Demersal Fish,89615.23562,89780.79235,89658.32583,89645.23474,89642.0935,89815.90222,89735.91234,89532.84621,89171.67017,88336.48723,87815.28065,87408.9383,87423.05606,87575.75542,87703.83772,87609.91927,87110.85573,87073.95487,87207.8921,86791.31521,86490.36882,86426.5097,86289.65427,86365.62881,86318.61066,86743.52623,86634.99694,86309.13417,86187.42501,86167.57352,85933.7248,85968.794,85907.19393,85820.54359,86248.61859
FLA2,27,Demersal Fish,89615.23562,89780.79235,89658.32583,89645.23474,89642.0935,89815.90222,89735.91234,89532.84621,89171.67017,88336.48723,87815.28065,87408.9383,87423.05606,87575.75542,87703.83772,87609.91927,87110.85573,87073.95487,87207.8921,86791.31521,86490.36882,86426.5097,86289.65427,86365.62881,86318.61066,86743.52623,86634.99694,86309.13417,86187.42501,86167.57352,85933.7248,85968.794,85907.19393,85820.54359,86248.61859
LRD,28,Demersal Fish,514912.8866,515082.9378,514580.2468,511878.3371,509869.0028,506814.8022,503121.5081,500827.0116,504255.6691,508790.3261,514630.9348,522405.6406,529651.9136,533649.2433,538024.7787,541965.1307,547897.4509,549131.0155,546516.5551,541709.8737,541532.6015,541277.3357,542496.745,546644.7388,549098.0752,548013.1485,543985.5617,543350.7211,544296.0716,543180.6243,544317.7536,546853.8023,547296.5341,546287.4842,546122.4527
SSK,29,Sharks and Rays,99216.62233,99350.51734,99637.84797,100209.0216,100862.9915,101510.5848,102318.1757,103070.828,104043.8484,104688.7253,105439.08,105986.9716,106503.6832,106812.0135,106983.3896,107241.9834,107402.456,107430.751,107575.425,107336.7057,107474.8164,107678.8437,107815.2071,108100.4326,108323.6491,108550.872,108383.719,108478.7585,108600.54,108721.1786,108789.7416,108977.8293,109025.494,109066.2404,109139.2395
SSK1,30,Sharks and Rays,99216.62233,99350.51734,99637.84797,100209.0216,100862.9915,101510.5848,102318.1757,103070.828,104043.8484,104688.7253,105439.08,105986.9716,106503.6832,106812.0135,106983.3896,107241.9834,107402.456,107430.751,107575.425,107336.7057,107474.8164,107678.8437,107815.2071,108100.4326,108323.6491,108550.872,108383.719,108478.7585,108600.54,108721.1786,108789.7416,108977.8293,109025.494,109066.2404,109139.2395
