Binomial,ID,Group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
POB,1,Mammals,161.578125,162.116716,162.79592,163.50346,164.148886,164.911836,165.707809,166.467275,167.096667,167.713458,168.370862,168.943089,169.573461,170.282446,171.036829,171.61822,172.102996,172.651623,173.127814,173.552813,173.943192,174.309586,174.671046,175.020905,175.363913,175.705807,176.048091,176.38024,176.690576,176.986023,177.26091,177.50957,177.732827,177.950337,178.1618
KWH,2,Mammals,134353.7905,133529.814,131743.5989,129228.0196,126941.4127,123542.6493,119638.9862,115633.3947,110735.0159,106278.7007,102159.1873,99751.4438,97973.19019,95549.05149,93698.65972,91991.47747,90863.42445,89999.05622,89899.94914,89650.93572,89586.99913,89433.87871,89039.00292,89004.4812,89087.65776,89157.48631,89035.80258,88922.673,88713.93085,88194.05432,87973.83804,87283.51843,87028.66252,86513.49686,86209.39179
SWH,3,Mammals,70916.56246,69691.24139,68530.9526,66299.87971,64753.55511,64291.69885,63703.50786,62859.4668,62079.52516,61456.71072,61964.86853,60793.5315,59969.69343,59639.06257,59192.35318,58730.8791,58362.30003,57677.17868,57064.78388,56303.04307,56589.53796,57159.79197,56083.00263,55492.24566,55230.03348,54766.52938,54417.17577,54078.05894,53867.52226,54098.58097,54244.70352,53126.85813,53053.4118,53178.19233,53375.50034
MWH,4,Mammals,962776.811,964447.5229,964293.915,963314.6402,964934.415,969823.6796,970471.9463,972740.7571,973288.8593,972612.7161,974089.8864,973243.7115,975304.0062,979267.8198,983412.6653,981568.5431,977626.1474,981591.2856,988025.5223,993031.3678,996529.416,999240.3538,1000946.718,1002327.147,1003264.937,1003867.152,1004249.126,1004402.944,1003987.015,1003836.466,1003617.496,1003256.695,1002735.373,1002098.303,1001383.516
FWH,5,Mammals,977300.2012,979150.0113,979875.5021,980205.5679,981975.0878,984526.3618,984783.2317,986041.1493,986109.0592,985524.3861,986447.4429,986467.9838,987649.7531,989728.8874,991872.9984,990309.8461,986333.4504,984078.737,983009.3459,981375.6615,979281.5234,977065.0552,974523.5309,973441.8495,974367.111,975770.218,977116.5752,978260.7352,980177.5492,981865.2408,983167.3945,984140.0483,984811.0187,985217.8304,985395.3319
BES,6,Mammals,5577.021916,5672.370011,5730.090137,5764.282264,5787.034596,5827.024663,5850.214808,5869.894145,5881.53976,5889.568451,5904.490379,5908.771156,5932.420009,5960.238915,5985.854706,5990.433961,5990.856344,6007.502234,6015.753208,6024.914167,6033.907862,6042.590942,6050.854302,6058.631781,6065.93428,6072.538981,6077.598465,6081.322717,6084.701506,6087.796457,6090.339752,6092.09965,6093.925853,6095.876434,6098.281723
HOS,7,Mammals,58794.92898,59558.67037,59889.70924,59897.23757,60212.69817,60249.03835,60366.21251,60475.98072,60499.6571,60663.41455,60854.75685,60954.16864,61114.79154,61360.36054,61536.78212,61742.92281,61826.10226,61666.98634,61644.36991,61674.91503,61653.58368,61653.81741,61771.70473,61882.16873,61996.78586,62118.07932,62202.01447,62324.75355,62440.92809,62336.17822,62156.86317,62095.77006,62017.25728,62006.29862,62034.77554
RIS,8,Mammals,5197.666719,5215.490652,5232.250661,5252.49796,5270.565995,5297.775587,5324.195239,5343.875284,5356.120103,5366.4616,5374.256713,5373.620357,5379.080592,5397.257131,5415.767289,5424.949236,5429.124836,5440.147604,5443.60433,5446.385391,5449.456213,5452.748416,5454.542656,5457.056754,5459.068443,5459.585544,5460.519236,5462.125406,5462.133328,5464.500757,5465.070097,5463.832611,5465.493282,5466.45518,5465.317036
SBA,9,Seabirds,25011.00485,25323.23589,25565.83707,25754.13642,25948.05914,26187.99117,26371.79327,26545.54989,26680.42592,26764.49751,26868.48371,26913.33422,27008.552,27133.05547,27252.61568,27285.99453,27278.59877,27314.66727,27356.73616,27390.56556,27421.43474,27451.89975,27477.05872,27495.47604,27512.50706,27532.76055,27553.98097,27572.5651,27587.58326,27592.17052,27596.97869,27597.42316,27597.24366,27599.25648,27604.88805
SBB,10,Seabirds,5002.78971,5012.018956,5020.300184,5025.43016,5030.537665,5033.220687,5039.083835,5043.776851,5048.324403,5054.469867,5057.320296,5056.924867,5061.408309,5073.196124,5078.099656,5080.569132,5081.161224,5085.993213,5088.499403,5090.464055,5091.41121,5090.634174,5089.068915,5086.929124,5084.141302,5081.359159,5078.529144,5074.985497,5071.177866,5067.528446,5062.759773,5057.922381,5052.349364,5046.973902,5041.041491
