"Time","POB","KWH","SWH","HWH","MWH","FWH","BES","HAS","HOS","RIS","SBA","SBB","SHO","DEO","PEL","PES","REO","DEL","FLA","LRD","SSK","MES","GRH","MAC","HAD","SAI","RED","BWH","SSH","NCO","PCO","CAP","PWN","CEP","KCR","SCR","ZG","ZL","ZM","ZS","DF","PS","PL","BC","BD","BFF","SPO","COR","PB","BB","DR","DL","DC","DIN","RelPOB","RelKWH","RelSWH","RelHWH","RelMWH","RelFWH","RelBES","RelHAS","RelHOS","RelRIS","RelSBA","RelSBB","RelSHO","RelDEO","RelPEL","RelPES","RelREO","RelDEL","RelFLA","RelLRD","RelSSK","RelMES","RelGRH","RelMAC","RelHAD","RelSAI","RelRED","RelBWH","RelSSH","RelNCO","RelPCO","RelCAP","RelPWN","RelCEP","RelKCR","RelSCR","RelZG","RelZL","RelZM","RelZS","RelDF","RelPS","RelPL","RelBC","RelBD","RelBFF","RelSPO","RelCOR","RelPB","RelBB","RelDR","RelDL","RelDC","RelDIN","PelDemRatio","PiscivPlankRatio","DivCount","InfEpiRatio","BSSslope","HabitCover"
"8.833000e+03","169.195645","118553.326347","96170.957550","52135.984668","751524.027045","805575.254775","5323.884957","164139.319275","99662.401607","5101.608813","24839.250890","4963.208745","562701.433009","1505887.161740","2189818.702863","805623.222784","719805.044771","89004.384054","90436.429263","2119204.438976","290239.823656","23599764.321765","586572.377528","4783311.516739","365244.565835","1323817.400393","532261.662746","4343924.110443","5133159.180585","3209388.214070","2711031.577627","1606671.697398","8413138.629779","26603540.109217","4922.989542","1894.508914","6099524.438754","1122527458.556977","492570002.950898","12562248.824084","601548.125893","83822883.059156","6696555400.594528","11449158.363856","416502702.501414","9176769.740691","9920474.009588","10181737.892155","2472147146.384679","8210466350.418276","3280957531.424938","17525136636.074718","0.000000","76228913239.955353","0.332739","3.383487","0.550082","0.401537","1.576655","1.181889","1.445246","1.159286","5.063223","1.020918","4.003030","0.924843","3.126544","1.335945","339.000398","6.446387","1.528098","1.179668","1.236651","13.425787","3.120764","6.729104","6.285241","11.811075","1.966003","3.729363","1.644807","3.708119","10.189493","3.137642","11.892777","0.277452","29.322005","17.951980","0.707666","1.885092","0.963382","58.705547","14.741326","0.204336","0.328619","1.833168","146.450562","3.149773","114.583883","1.190700","1.028948","1.011128","540.647120","1785.748030","5.065295","14.479118","1.000000","0.990826","1.841802","1140803131179730255524921344.000000","27.920000","12655408916.921791","-1346574.325691","0.284370"
"8.906000e+03","164.316398","108967.369230","95068.278410","52154.527872","755595.888155","801620.533481","6235.735640","161459.440282","97345.791188","5014.796122","25284.673634","5001.897565","537787.037544","1229844.964515","1674122.586985","603148.986598","686172.455508","94569.456493","77323.073063","1423865.713190","260225.386121","21948551.982785","610059.297061","6253493.232753","316436.096212","1346384.788589","543678.025214","4315630.015808","5484769.353345","3183760.479491","2834958.002540","3202616.520065","8027316.117530","27785271.975700","4907.881784","1907.726177","6092110.199015","1093208717.218764","484293556.720965","47522051.387722","16407064.886023","98357343.930060","8102364097.269120","11595993.813062","438796294.919852","9184018.521063","9921195.349592","10188994.127760","2569039821.479866","8257771801.473948","3316118205.057988","17905736371.703072","0.000000","75129215084.321991","0.323143","3.109906","0.543775","0.401680","1.585197","1.176086","1.692781","1.140359","4.945531","1.003545","4.074813","0.932053","2.988112","1.091055","259.166762","4.826241","1.456698","1.253428","1.057336","9.020610","2.798038","6.258287","6.536908","15.441285","1.703281","3.792938","1.680086","3.683967","10.887451","3.112587","12.436418","0.553051","27.977312","18.749409","0.705495","1.898243","0.962211","57.172246","14.493634","0.772990","8.962991","2.151030","177.194947","3.190169","120.717064","1.191641","1.029023","1.011848","561.837099","1796.036802","5.119578","14.793566","1.000000","0.976532","115870557621940830208.000000","1252407856017398723357179904.000000","31.560000","13103870125.283146","-1249262.032226","0.284646"
"8.979000e+03","161.755890","110284.619989","94008.423110","52258.687003","788583.501598","818795.088013","5801.450121","161646.800147","98754.895973","5059.914949","25024.079599","4787.936484","547673.148825","1340026.644260","1721079.147178","667465.594755","689404.984471","76164.220753","81385.244536","1618934.916411","274505.279690","18707152.200216","632671.914853","5273056.062953","322826.287092","1364494.048884","616870.952659","4692322.300121","5731249.271822","3397736.127639","2956992.569573","3700173.675843","8355670.670798","29413695.119993","4892.438996","2332.000091","6086360.020758","1075114966.930824","966284002.153128","1284925041.764742","369982145.686258","285004730.704044","9494156955.095957","11745715.533033","462430880.761475","9187252.504878","9921882.488267","10200187.669577","2854069752.047345","8345330474.357863","3375100550.282047","18816485219.446964","0.000000","70894245256.951843","0.318108","3.147500","0.537713","0.402482","1.654403","1.201284","1.574888","1.141682","5.017119","1.012574","4.032817","0.892183","3.043042","1.188802","266.435991","5.340886","1.463560","1.009484","1.112883","10.256431","2.951581","5.334052","6.779207","13.020364","1.737678","3.843954","1.906269","4.005524","11.376722","3.321779","12.971761","0.638973","29.121714","19.848264","0.703275","2.320408","0.961302","56.225986","28.918342","20.900483","202.117004","6.232921","207.632811","3.231359","127.219165","1.192061","1.029094","1.012960","624.171823","1815.080510","5.210637","15.546019","1.000000","0.921485","116657435424344195072.000000","1333171300131921281144586240.000000","32.240000","13568892254.237715","-1056760.665856","0.284900"
"9.052000e+03","159.315934","111674.363710","93238.172363","52374.216222","800328.276922","831330.381948","5631.928602","161859.193569","100528.674141","5091.891939","24676.808619","4869.882985","557244.539495","1324712.665626","1877043.375345","729609.894286","694432.201393","82663.203520","84841.882815","1814181.187031","271141.016839","21834104.884324","633880.662517","4809353.031159","333922.481160","1385485.306516","666521.930429","5063900.952616","6131975.279781","3345977.727806","2629925.097423","3826325.783475","11741112.807085","33801612.250884","4875.012789","2277.288260","6073805.585731","1112430139.926544","1123659632.417801","81833455.678417","82318933.042397","167411322.364787","5027656164.447134","11899499.714899","487794294.605775","9182945.817491","9922262.790267","10212069.745013","2822229864.091766","8414804645.308994","3391651327.959299","18701014090.562489","0.000000","76630660092.423218","0.313309","3.187163","0.533307","0.403372","1.679043","1.219675","1.528868","1.143182","5.107233","1.018973","3.976851","0.907453","3.096224","1.175217","290.580426","5.838148","1.474233","1.095622","1.160150","11.493374","2.915407","6.225654","6.792159","11.875377","1.797405","3.903090","2.059701","4.322716","12.172176","3.271178","11.536978","0.660758","40.920873","22.809215","0.700770","2.265969","0.959319","58.177481","33.628181","1.331096","44.969889","3.661208","109.952509","3.273666","134.196883","1.191502","1.029134","1.014140","617.208587","1830.190902","5.236189","15.450618","1.000000","0.996047","52591445204187258880.000000","1594252827084775089382621184.000000","31.120000","14055394897.855703","-1240745.912481","0.284838"
"9.125000e+03","161.350534","113503.896850","92528.777181","52463.437842","778282.605458","823475.753332","5500.220915","159292.587156","102097.744426","5103.571627","24685.824072","4929.579686","556178.723750","1450079.916167","2036508.074670","789995.643704","701106.224645","82998.964602","88262.171565","1999736.614788","286097.924069","23373957.411902","560471.979402","4809353.031159","344198.678686","1417986.087550","675891.247997","5431754.507975","6441849.421712","3313274.865168","2677439.031635","3961997.797504","21408147.324487","42046569.270133","4854.584853","2259.150285","6063324.575378","1083368472.751311","819327949.167626","35529166.550243","40990.716740","107140721.527470","4891654111.622755","12055394.974859","514645706.366552","9152931.893484","9923754.437779","10221178.297225","2350899484.985359","8464350424.449018","3405228239.558185","18186866419.499653","0.000000","77994864716.171967","0.317311","3.239378","0.529250","0.404059","1.632793","1.208151","1.493115","1.125055","5.186948","1.021311","3.978304","0.918577","3.090302","1.286436","315.266760","6.321339","1.488401","1.100072","1.206920","12.668923","3.076229","6.664719","6.005570","11.875377","1.852719","3.994648","2.088655","4.636728","12.787287","3.239206","11.745413","0.684187","74.613036","28.372885","0.697833","2.247921","0.957664","56.657624","24.520333","0.577914","0.022393","2.343118","106.978208","3.316555","141.583963","1.187607","1.029289","1.015044","514.130818","1840.966938","5.257150","15.025833","1.000000","1.013779","2.362550","1493397676357148743307362304.000000","27.940000","14568428672.134151","-1332177.229212","0.283483"
"9.198000e+03","169.270394","114806.353733","92563.008692","49376.283286","779672.546072","824166.965663","5406.764307","163154.521213","100651.600640","5119.363476","25188.982969","4979.975912","569801.995641","1560077.093551","2183685.302553","842524.641223","704859.946713","89039.267495","91706.574914","2182067.545466","300961.713294","24925861.071903","583517.043822","4809353.031159","352459.047869","1250702.243460","593861.834164","4076653.189984","5732614.087088","3222816.432104","2808910.764397","1625947.083739","17810571.625020","27472884.044935","4838.568496","1817.299666","6054316.233500","1055733996.148226","527163656.576928","16164070.621537","8302.448815","107998496.937960","4790074191.985649","12210564.690580","542986069.116772","9165632.418394","9925886.781343","10229322.351702","2310506443.287414","8501631812.410362","3426113209.526490","17921546200.241585","0.000000","78692047345.507507","0.332886","3.276549","0.529445","0.380283","1.635709","1.209165","1.467744","1.152331","5.113478","1.024471","4.059392","0.927968","3.165997","1.384020","338.050902","6.741663","1.496370","1.180130","1.254019","13.824043","3.236050","7.107220","6.252502","11.875377","1.897182","3.523388","1.835166","3.479968","11.379431","3.150770","12.322154","0.280780","62.074536","18.538611","0.695531","1.808266","0.956241","55.212406","15.776623","0.262923","0.004536","2.361877","104.756702","3.359243","149.380669","1.189255","1.029510","1.015853","505.297048","1849.075511","5.289393","14.806628","1.000000","1.022841","1.910207","1112945913338023864208195584.000000","27.800000","15095127576.353868","-1423815.622207","0.286631"
"9.271000e+03","164.421231","105691.114851","91338.584976","49404.886087","782079.467799","818285.346798","6345.423513","160635.725435","97992.345910","5035.888470","25651.877735","5019.739736","544879.703027","1275467.192066","1680563.553076","630792.724091","674570.821569","94638.163417","78556.483695","1466711.257095","269724.331492","23055550.944271","605823.089804","6268940.840296","314285.741138","1277967.046180","594716.135953","4093536.890752","6102775.500745","3196384.336505","2940718.664067","2701842.563911","17602464.225936","28728210.641459","4821.482888","1844.356978","6048562.916108","1028509028.175150","344820901.149580","6342242.886961","16671801.462329","141623397.023714","5050122308.692686","12366103.196291","572574314.758831","9175577.374831","9927276.624963","10231246.020974","2278323950.172982","8526868733.287585","3444808753.716823","17740939688.608292","0.000000","78009593078.941772","0.323349","3.016402","0.522442","0.380503","1.640758","1.200536","1.722557","1.134541","4.978378","1.007766","4.133991","0.935377","3.027521","1.131529","260.163872","5.047439","1.432069","1.254338","1.074202","9.292049","2.900174","6.573930","6.491516","15.479429","1.691706","3.600197","1.837806","3.494380","12.114214","3.124928","12.900370","0.466574","61.349227","19.385701","0.693075","1.835189","0.955333","53.788604","10.319584","0.103162","9.107614","3.097238","110.443834","3.402033","157.520679","1.190546","1.029654","1.016044","498.258885","1854.564454","5.318256","14.657412","1.000000","1.013971","113090352780319227904.000000","1177434092108526690498510848.000000","31.520000","15634008315.503475","-1313673.885881","0.288665"
"9.344000e+03","161.934326","106624.391299","90170.264142","49498.968586","814766.781261","835122.247279","5913.392804","160720.419542","98920.200691","5084.345238","25401.193063","4806.379395","555194.949731","1389908.292154","1726960.134213","698633.887875","677491.657574","76238.788047","82738.692800","1669599.795558","284504.963336","19222448.180493","627033.637997","5311338.713634","326223.850202","1298344.355543","621147.734515","4390374.501005","6408954.874174","3406891.234481","3070863.932663","2916279.460491","17832443.925035","30370469.990441","4804.008472","2277.852218","6047911.541381","1021482059.177163","335838742.092529","320290613.821026","324654282.897713","474156418.109356","9079453407.804543","12524637.202490","603746584.838995","9180160.405724","9927967.054266","10226798.083301","2642356492.432596","8547223886.700181","3498712428.354047","18616916486.016357","0.000000","72009822583.153107","0.318459","3.043038","0.515759","0.381228","1.709335","1.225238","1.605276","1.135139","5.025517","1.017463","4.093591","0.895620","3.084836","1.233055","267.346412","5.590287","1.438269","1.010472","1.131390","10.577408","3.059101","5.480981","6.718791","13.114893","1.755966","3.657602","1.919485","3.747771","12.721990","3.330729","13.471293","0.503604","62.150767","20.493892","0.690563","2.266530","0.955230","53.421111","10.050771","5.209820","177.354912","10.369581","198.563437","3.445648","166.096469","1.191140","1.029725","1.015602","577.871115","1858.991629","5.401475","15.381137","1.000000","0.935986","112549409501620731904.000000","1184991114745786359160504320.000000","32.160000","16197238494.684336","-1086237.415466","0.288954"
"9.417000e+03","159.583626","107736.414514","89323.614712","49603.303562","823622.481140","846881.450061","5746.158161","160800.665493","100298.686973","5118.090836","25043.162734","4889.376442","564959.915574","1368639.747324","1881327.463098","763176.615311","683065.325336","82727.775434","86215.917400","1869739.323026","281382.034595","22081214.071753","626511.670921","4476094.939598","339474.496034","1316836.737396","615144.298108","4664204.981286","6775255.121081","3343105.002606","2826880.243666","3008375.413105","15488366.337147","34070232.915055","4786.044188","2248.057393","6040445.153211","1166892499.063880","599559810.411171","842857168.099700","732490281.492119","529669267.856708","5806250823.485314","12687038.006058","636785230.632541","9196572.430348","9928363.467605","10227080.962914","2663696408.335204","8571208257.454189","3507546493.123156","18781121215.214828","0.000000","73414571923.909378","0.313836","3.074775","0.510917","0.382031","1.727913","1.242490","1.559878","1.135706","5.095549","1.024216","4.035892","0.911086","3.139093","1.214186","291.243635","6.106741","1.450102","1.096478","1.178939","11.845351","3.025522","6.296113","6.713198","11.052488","1.827290","3.709698","1.900933","3.981522","13.449109","3.268369","12.400983","0.519508","53.981039","22.990480","0.687981","2.236883","0.954050","61.025735","17.943250","13.709844","400.151041","11.583621","126.980014","3.490326","175.185717","1.193270","1.029767","1.015630","582.538055","1864.208147","5.415114","15.516801","1.000000","0.954245","50641776731950661632.000000","1377558758712001210443890688.000000","31.160000","16792643079.104778","-1254425.285652","0.289440"
"9.490000e+03","161.788396","110129.616189","89360.227031","49683.281910","796908.741843","835965.081518","5605.940538","158335.098106","101721.370563","5127.238134","25028.093735","4948.370448","562531.061044","1491376.455130","2041225.880938","824725.182194","690624.225622","83024.877159","89494.420625","2059459.789258","296809.287515","24048258.369685","553064.118957","4476094.939598","351523.061951","1342067.991334","608271.226775","4928756.943180","6998425.885093","3286200.357721","2851216.174955","3045495.740910","24042180.979050","41544138.998853","4768.057470","2268.554400","6028653.673417","1201007712.464436","640958041.405137","54994029.842909","239572404.886454","187637140.908761","5549041413.486731","12853148.915039","671373192.267899","9224228.039869","9929984.731317","10236311.802116","2419723800.265577","8602149348.157085","3526833855.672712","18587294251.016396","0.000000","75534031523.205902","0.318172","3.143076","0.511126","0.382647","1.671869","1.226475","1.521814","1.118292","5.167827","1.026047","4.033464","0.922078","3.125598","1.323072","315.997112","6.599236","1.466149","1.100415","1.223770","13.047287","3.191401","6.856985","5.926193","11.052488","1.892144","3.780777","1.879694","4.207352","13.892110","3.212737","12.507740","0.525918","83.793337","28.033847","0.685395","2.257278","0.952188","62.809880","19.182190","0.894528","130.875658","4.103537","121.354963","3.536024","184.701196","1.196858","1.029935","1.016547","529.182377","1870.937727","5.444890","15.356663","1.000000","0.981793","2.318729","1235221284400714407475150848.000000","27.940000","17421866324.143364","-1371273.972081","0.290608"
