"Binomial","ID","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980.x","1980.y","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001.x","2001.y","2002.x","2002.y","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"HAS",11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",163708.8301,"NA",162392.4957,160948.6295,159292.5872,158335.0981,156268.4171,154250.1001,152461.8744,151404.2787,150713.7383,150964.4994,151038.5537,152319.1658,152873.0291,153101.4577,166946.2057,171201.6773,166286.9758,167238.1012,163281.1684,162467.4398,160685.1196,"NA",160313.0461,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HOS",12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",96698.86895,"NA",98541.56492,101415.9762,102097.7444,101721.3706,104436.5719,106025.8963,110566.3964,111818.6675,115813.1324,118498.8423,116972.8436,116813.3482,118710.0335,118188.9626,115816.9254,114673.6452,116927.0963,120031.1438,118473.7539,119042.7296,117701.0491,"NA",117612.2085,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HWH",13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",61302.06697,"NA",58199.39618,55207.16696,52463.43784,49683.28191,47021.41188,44328.66841,41723.13021,39334.1543,37082.70641,35051.54442,33046.50936,31137.11543,29390.84603,27596.74672,25920.62802,24233.144,22656.12166,21273.93814,20024.07664,18905.98336,17725.8658,"NA",16432.83484,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KWH",15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",114629.6236,"NA",117032.8325,116971.395,113503.8969,110129.6162,111373.2828,109273.4414,108365.1858,105142.0884,101875.1748,95809.05875,90046.32314,84226.4476,78519.72883,73613.41269,69622.67533,66018.14225,62387.14193,59944.74587,57319.70806,54997.03589,54026.20286,"NA",51891.17071,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LRD",16,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1846159.297,"NA",1898342.648,1942506.771,1999736.615,2059459.789,2117604.226,2169892.089,2216319.372,2264566.304,2311391.94,2348138.647,2377822.972,2404017.491,2434594.553,2449835.23,2461830.351,2472460.438,2487403.485,2492082.825,2500712.775,2514065.127,2522389.636,"NA",2533472.347,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MAC",17,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4712955.12,"NA",5073985.52,4783311.517,4809353.031,4476094.94,4316646.983,4553640.676,4106168.037,4439412.131,4510335.245,4078960.301,4336018.433,3698060.934,4319248.936,4171763.312,3527758.647,3818044.412,4045125.249,3416983.676,3771937.327,3889744.67,3903416.897,"NA",4153154.525,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MES",18,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",21249341.99,"NA",21498208.32,22048655,23373957.41,24048258.37,24308344.55,24973948.1,25837069.98,25401010.73,26676559.32,26602018.64,28329996.61,29120448.83,28857891.78,29086898.07,31208844.25,29227590.79,30693472.14,31174294.82,30637720.81,30719275.5,29140131.85,"NA",28715127.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MWH",19,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",745148.6144,"NA",747471.8613,750167.1221,778282.6055,796908.7418,788629.1915,794640.8406,787371.8615,806962.8794,819147.4038,831675.7444,839502.0008,844692.8016,852954.3876,858119.7526,864859.1988,873318.1211,882151.9414,887069.6719,889614.6735,889724.5701,897615.8847,"NA",906887.2962,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NCO",20,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3302061.579,"NA",3329108.372,3308384.77,3313274.865,3286200.358,3179429.005,3222252.959,3242352.823,3388582.264,3483262.095,3426772.359,3399576.51,3440349.486,3689729.824,3754941.105,3763939.083,3796647.927,3746634.102,3676969.97,3573772.135,3530968.857,3521567.226,"NA",3537767.075,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PCO",21,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2200474.041,"NA",2378325.617,2587461.268,2677439.032,2851216.175,2996820.421,3065756.162,3013025.264,3184770.485,3250728.581,3295676.353,3151184.714,3107280.66,3027032.762,3163306.182,3230351.887,3349645.51,3401446.829,3605048.361,3697315.977,3816230.48,3801919.854,"NA",3808162.858,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PEL",22,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2064645.694,"NA",2060314.871,2049293.355,2036508.075,2041225.881,2065151.865,2086866.735,2099801.887,2109513.025,2118621.113,2097453.976,2083504.009,2052775.744,2056222.889,2057259.449,2016806.364,2019491.823,2008967.76,1991193.8,1998026.609,2010975.833,2009567.035,"NA",2011436.097,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PES",23,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",698001.4091,"NA",729119.316,758126.4039,789995.6437,824725.1822,851082.0208,872907.4306,891403.9644,911009.872,921891.2078,929828.1539,933808.9923,926986.5737,925878.0775,922904.5352,907787.1702,900555.2547,889355.7222,876853.2754,878225.6854,883465.9432,882020.9356,"NA",878947.4711,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"POB",24,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",161.570102,"NA",161.400504,161.338412,161.350534,161.788396,162.393481,163.038594,163.642941,164.371493,165.162079,165.930178,166.565497,167.204897,167.880186,168.485411,169.143464,169.908747,170.707143,171.408089,171.954302,172.407762,172.934605,"NA",173.372733,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RED",26,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",520339.0375,"NA",535181.5045,608108.1504,675891.248,608271.2268,642333.3014,621775.9943,634830.5303,630106.2749,626450.5128,607691.9902,656644.807,712037.8666,724738.3167,738826.0404,815250.4066,779139.8883,853943.4637,899530.8419,848631.0217,859079.6171,840665.9469,"NA",854498.7913,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"REO",27,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",795204.5121,"NA",747809.4508,717814.9245,701106.2246,690624.2256,682889.0178,672262.446,662655.7587,651218.5442,643908.26,633933.6261,624176.176,613706.3557,600320.5364,599366.3008,600799.3523,604754.08,606600.7482,606529.1977,608007.7559,606945.5307,603929.4346,"NA",594465.5869,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RIS",28,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5052.09875,"NA",5068.942438,5085.115384,5103.571627,5127.238134,5139.180809,5147.503054,5163.596552,5191.283059,5220.894996,5247.241065,5266.930716,5286.747688,5302.945074,5312.452614,5322.901432,5336.068294,5357.410485,5380.344689,5396.113914,5405.948322,5419.336237,"NA",5424.488579,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SAI",29,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1924983.677,"NA",1689729.889,1520979.393,1417986.088,1342067.991,1248306.944,1203555.921,1079561.984,1060604.398,1146863.868,1147607.626,1091605.037,999735.5752,994560.2166,1038927.773,1079566.002,1113325.286,1129972.784,1160650.516,1228977.804,1367174.51,1504183.865,"NA",1639175.098,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SBA",30,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",23632.23613,"NA",24001.22928,24357.26418,24685.82407,25028.09374,25298.00299,25509.29524,25723.93855,25982.48858,26184.30551,26377.33656,26530.85265,26633.66328,26754.48716,26817.50472,26930.30797,27068.67836,27198.93578,27295.78445,27320.33225,27310.56808,27347.25972,"NA",27383.92526,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SBB",31,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4912.480265,"NA",4910.017129,4914.55552,4929.579686,4948.370448,4962.531246,4971.246382,4979.318743,4984.364353,4992.196958,4998.85106,5005.742412,5012.476586,5019.828087,5022.85291,5029.357085,5044.914286,5051.932549,5054.845541,5060.53805,5063.151098,5069.507561,"NA",5072.855971,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SHO",33,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",534216.6752,"NA",545470.1385,549914.7013,556178.7238,562531.061,568711.8049,574081.0061,574496.1063,580694.2454,582467.7857,581178.5153,584297.7782,584856.2768,586641.2695,584674.9486,584724.1154,587812.4395,590664.2458,588835.1509,590196.3284,590381.1041,591085.2337,"NA",592806.1953,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SSH",34,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4667789.948,"NA",5059130.348,5755858.571,6441849.422,6998425.885,7603052.251,8432770.598,8878278.514,9412550.495,10078296.13,10276917.25,10643905.62,11446618.26,12333013,13084176.09,13529258.42,13662477.91,13279853.15,12881506.77,12347461.75,12063148.43,11971766.98,"NA",11950373.89,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SSK",35,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",258239.1371,"NA",267247.2527,275913.1671,286097.9241,296809.2875,308672.5313,321317.2918,333848.0898,348191.4065,361817.1017,375275.8883,388861.1478,400852.8785,413641.1116,424122.5787,433355.3694,443124.3506,451522.6206,458246.926,466322.8958,473953.5502,480686.967,"NA",488054.0683,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SWH",36,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",102626.7144,"NA",99475.13911,96127.912,92528.77718,89360.22703,86635.63452,83998.79514,81656.63257,79419.20621,77588.95403,75929.10269,74391.54857,72964.9288,71631.17751,71086.67645,70166.74412,69294.58545,68608.66928,67524.85346,66521.84714,65775.98727,65435.08383,"NA",64596.67454,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
