sppid,fg,spp,FGname,CommonName,RLI,RLstatus,LPI,GenLength,model
345,60,Notomastus latericeus,Small infauna,Annelida,0,NE,0,3.3,1
346,60,Nephtys longosetosa,Small infauna,catworm (polychaete),0,NE,0,3.3,1
347,60,Exogene hebes,Small infauna,Annelida,0,NE,0,3.3,1
348,60,Amphictene auricoma,Small infauna,Polychaete,0,NE,0,3.3,1
349,60,Lumbrineris latreilli,Small infauna,Annelida,0,NE,0,3.3,1
350,60,Owenia fusiformis,Small infauna,Tubeworm (polychaete),0,NE,0,3.3,1
351,60,Glycinde nordmanni,Small infauna,Annelida,0,NE,0,3.3,1
352,60,Sthenelais limicola,Small infauna,Annelida,0,NE,0,3.3,1
353,60,Laonice sarsi,Small infauna,Annelida,0,NE,0,3.3,1
354,60,Paramphinome jeffreysii,Small infauna,Annelida,0,NE,0,3.3,1
355,60,Scalibregma inflatum,Small infauna,Annelida,0,NE,0,3.3,1
356,60,Nephtys paradoxa,Small infauna,Catworm (Annelida),0,NE,0,3.3,1
357,60,Goniadella bobretzkii,Small infauna,Annelida,0,NE,0,3.3,1
358,60,Levinsenia gracilis,Small infauna,Annelida,0,NE,0,3.3,1
359,60,Gattyana cirrosa,Small infauna,Polychaete,0,NE,0,3.3,1
360,60,Nephtys caeca,Small infauna,Catworm (polychaete),0,NE,0,3.3,1
361,60,Scoloplos armiger,Small infauna,Annelida,0,NE,0,3.3,1
362,60,Ophelia borealis,Small infauna,Ploychaete,0,NE,0,3.3,1
363,60,Poecilochaetus serpens,Small infauna,Annelida,0,NE,0,3.3,1
364,60,Minuspio cirrifera,Small infauna,Annelida,0,NE,0,3.3,1
365,60,Nephtys cirrosa,Small infauna,polychaete,0,NE,0,3.3,1
366,60,Pisione remota,Small infauna,Annelida,0,NE,0,3.3,1
367,60,Goniada maculata,Small infauna,polychaete,0,NE,0,3.3,1
368,60,Prionospio malmgreni,Small infauna,Annelida,0,NE,0,3.3,1
369,60,Spio filicornis,Small infauna,Bristleworm (Annelida),0,NE,0,3.3,1
370,60,Aonides paucibranchiata,Small infauna,Annelida,0,NE,0,3.3,1
371,60,Protodorvillea kefersteini,Small infauna,Annelida,0,NE,0,3.3,1
372,60,Nephtys hombergii,Small infauna,Catworm (polychaete),0,NE,0,3.3,1
373,61,Chaetopterus variopedatus,Sessile epifauna ,Parchment worm ,0,NE,0,3.3,1
374,61,Sabellaria spinulosa,Sessile epifauna ,Ross worm ,0,NE,0,3.3,1
375,61,Ostrea edulis,Sessile epifauna ,European flat oyster,0,NE,0,3.3,1
376,61,Musculus niger,Sessile epifauna ,Black mussel ,0,NE,0,3.3,1
377,61,Modiolus barbatus,Sessile epifauna ,Bearded horse mussel,0,NE,0,3.3,1
378,61,Modiolus modiolus,Sessile epifauna ,Horse mussel,0,NE,0,3.3,1
379,61,Mytilus edulis,Sessile epifauna ,Blue mussel,0,NE,0,3.3,1
380,61,Pododesmus patelliformis,Sessile epifauna ,Ribbed saddle oyster,0,NE,0,3.3,1
381,61,Musculus discors,Sessile epifauna ,Green crenella,0,NE,0,3.3,1
382,61,Crassostrea gigas,Sessile epifauna ,Pacific cupped oyster,0,NE,0,3.3,1
383,61,Serpula vermicularis,Sessile epifauna ,Tube worm ,0,NE,0,3.3,1
