sppid,fg,spp,FGname,CommonName,RLI,RLstatus,LPI,GenLength,model
207,47,Perca fluviatilis,Small demersal fish ,European perch,1,LC,1,3.6,1
208,47,Lesueurigobius friesii,Small demersal fish ,Frie's goby ,1,LC,0,3,0
209,47,Syngnathus acus,Small demersal fish ,Common pipefish,1,LC,0,3.9,0
210,47,Nerophis lumbriciformis,Small demersal fish ,Worm pipefish,1,LC,0,1,0
211,47,Syngnathus typhle,Small demersal fish ,Broadnose pipefish  ,1,LC,0,4,0
212,47,Myctophum punctatum,Small demersal fish ,Spotted lanternfish ,1,LC,0,3.9,0
213,47,Taurulus bubalis,Small demersal fish ,Sea scorpian,1,LC,0,3.9,1
214,47,Boops boops,Small demersal fish ,Bogue ,1,LC,1,2.5,0
215,47,Brevoortia tyrannus,Small demersal fish ,Atlantic menhaden,1,LC,1,6,0
216,47,Crystallogobius linearis,Small demersal fish ,Crystal goby ,1,LC,0,2,0
217,47,Buenia jeffreysii,Small demersal fish ,Jeffrey's goby ,1,LC,0,3.9,0
218,47,Buglossidium luteum,Small demersal fish ,solenette,1,LC,1,3,1
219,47,Lycodes vahlii,Small demersal fish ,Vahl's eelpout,0,NE,0,3.9,1
220,47,Solea lascaris,Small demersal fish ,Sand sole,0,NE,0,3.9,1
