Num,Species,Gen_len
191,Lerwa lerwa,4.95
192,Tetraophasis obscurus,4.95
193,Tetraophasis szechenyii,4.95
194,Tetraogallus caucasicus,4.95
195,Tetraogallus caspius,4.95
196,Tetraogallus tibetanus,4.95
197,Tetraogallus altaicus,4.95
198,Tetraogallus himalayensis,4.95
199,Alectoris graeca,3.896052632
200,Alectoris chukar,3.896052632
201,Alectoris philbyi,3.896052632
202,Alectoris magna,3.896052632
203,Alectoris barbara,3.896052632
204,Alectoris rufa,3.896052632
205,Alectoris melanocephala,3.896052632
206,Ammoperdix griseogularis,3.896052632
207,Ammoperdix heyi,3.896052632
208,Ptilopachus petrosus,3.896052632
209,Francolinus francolinus,3.896052632
210,Francolinus pictus,3.896052632
211,Francolinus pintadeanus,3.896052632
212,Francolinus pondicerianus,3.896052632
213,Francolinus gularis,3.896052632
214,Francolinus coqui,3.896052632
215,Francolinus albogularis,3.896052632
216,Francolinus schlegelii,3.896052632
217,Francolinus lathami,3.896052632
218,Francolinus sephaena,3.896052632
219,Francolinus streptophorus,3.896052632
220,Francolinus finschi,3.896052632
221,Francolinus africanus,3.896052632
222,Francolinus levaillantii,3.896052632
223,Francolinus psilolaemus,3.896052632
224,Francolinus shelleyi,3.896052632
225,Francolinus levaillantoides,3.896052632
226,Francolinus nahani,3.896052632
227,Francolinus hartlaubi,3.896052632
228,Francolinus bicalcaratus,3.896052632
229,Francolinus clappertoni,3.896052632
230,Francolinus icterorhynchus,3.896052632
231,Francolinus harwoodi,3.896052632
232,Francolinus adspersus,3.896052632
233,Francolinus capensis,3.896052632
234,Francolinus hildebrandti,3.896052632
235,Francolinus natalensis,3.896052632
236,Francolinus ahantensis,3.896052632
237,Francolinus squamatus,3.896052632
238,Francolinus griseostriatus,3.896052632
239,Francolinus leucoscepus,3.896052632
240,Francolinus rufopictus,3.896052632
241,Francolinus afer,3.896052632
242,Francolinus swainsonii,3.896052632
243,Francolinus erckelii,3.896052632
244,Francolinus ochropectus,3.896052632
245,Francolinus castaneicollis,3.896052632
246,Francolinus nobilis,3.896052632
247,Francolinus jacksoni,3.896052632
248,Francolinus camerunensis,3.896052632
249,Francolinus swierstrai,3.896052632
250,Perdix perdix,3.936538462
251,Perdix dauurica,3.936538462
252,Perdix hodgsoniae,3.936538462
253,Rhizothera longirostris,3.896052632
254,Margaroperdix madagascariensis,3.896052632
255,Melanoperdix niger,3.896052632
256,Coturnix coturnix,2.842105263
257,Coturnix japonica,2.842105263
258,Coturnix pectoralis,2.842105263
259,Coturnix novaezelandiae,2.842105263
260,Coturnix coromandelica,2.842105263
261,Coturnix delegorguei,2.842105263
262,Coturnix ypsilophora,2.842105263
263,Coturnix chinensis,2.842105263
264,Anurophasis monorthonyx,3.896052632
265,Perdicula asiatica,3.896052632
266,Perdicula argoondah,3.896052632
267,Perdicula erythrorhyncha,3.896052632
268,Perdicula manipurensis,3.896052632
269,Ophrysia superciliosa,3.896052632
270,Xenoperdix udzungwensis,3.896052632
271,Arborophila torqueola,5.421052632
272,Arborophila rufogularis,5.421052632
273,Arborophila atrogularis,5.421052632
274,Arborophila crudigularis,5.421052632
275,Arborophila mandellii,5.421052632
276,Arborophila brunneopectus,5.421052632
277,Arborophila rufipectus,5.421052632
278,Arborophila orientalis,5.421052632
279,Arborophila sumatrana,5.421052632
280,Arborophila rolli,5.421052632
281,Arborophila campbelli,5.421052632
282,Arborophila javanica,5.421052632
283,Arborophila hyperythra,5.421052632
284,Arborophila gingica,5.421052632
285,Arborophila davidi,5.421052632
286,Arborophila cambodiana,5.421052632
287,Arborophila rubrirostris,5.421052632
288,Arborophila ardens,5.421052632
289,Arborophila chloropus,5.421052632
290,Arborophila charltonii,5.421052632
291,Caloperdix oculeus,4.95
292,Haematortyx sanguiniceps,4.95
293,Rollulus rouloul,4.95
294,Bambusicola fytchii,2.842105263
295,Bambusicola thoracicus,2.842105263
296,Galloperdix spadicea,4.95
297,Galloperdix lunulata,4.95
298,Galloperdix bicalcarata,4.95
299,Ithaginis cruentus,4.95
300,Tragopan melanocephalus,5.2
301,Tragopan satyra,5.2
302,Tragopan blythii,5.2
303,Tragopan temminckii,5.2
304,Tragopan caboti,5.2
305,Pucrasia macrolopha,4.95
306,Lophophorus impejanus,5.2
307,Lophophorus sclateri,5.2
308,Lophophorus lhuysii,5.2
309,Gallus gallus,4.95
310,Gallus sonneratii,4.95
311,Gallus lafayetii,4.95
312,Gallus varius,4.95
313,Lophura leucomelanos,4.95
314,Lophura nycthemera,4.95
315,Lophura edwardsi,4.95
316,Lophura hatinhensis,4.95
317,Lophura swinhoii,4.95
318,Lophura hoogerwerfi,4.95
319,Lophura inornata,4.95
320,Lophura erythrophthalma,4.95
321,Lophura ignita,4.95
322,Lophura diardi,4.95
323,Lophura bulweri,4.95
324,Crossoptilon harmani,4.95
325,Crossoptilon crossoptilon,4.95
326,Crossoptilon mantchuricum,4.95
327,Crossoptilon auritum,4.95
328,Catreus wallichi,4.95
329,Syrmaticus ellioti,4.95
330,Syrmaticus humiae,4.95
331,Syrmaticus mikado,4.95
332,Syrmaticus soemmerringii,4.95
333,Syrmaticus reevesii,4.95
334,Phasianus colchicus,4.95
335,Chrysolophus pictus,4.95
336,Chrysolophus amherstiae,4.95
337,Polyplectron chalcurum,4.95
338,Polyplectron inopinatum,4.95
339,Polyplectron germaini,4.95
340,Polyplectron bicalcaratum,4.95
341,Polyplectron katsumatae,4.95
342,Polyplectron malacense,4.95
343,Polyplectron schleiermacheri,4.95
344,Polyplectron napoleonis,4.95
345,Rheinardia ocellata,5.396052632
346,Argusianus bipunctatus,5.396052632
347,Argusianus argus,5.396052632
348,Pavo cristatus,6.146052632
349,Pavo muticus,6.146052632
350,Afropavo congensis,6.146052632
351,Anhima cornuta,5
352,Chauna chavaria,5
353,Chauna torquata,5
354,Anseranas semipalmata,7
355,Dendrocygna guttata,5.335
356,Dendrocygna eytoni,5.335
357,Dendrocygna bicolor,5.335
358,Dendrocygna arcuata,5.335
359,Dendrocygna javanica,5.335
360,Dendrocygna viduata,5.335
361,Dendrocygna arborea,5.335
362,Dendrocygna autumnalis,5.335
363,Thalassornis leuconotus,9.65
364,Cereopsis novaehollandiae,10.65
365,Anser cygnoides,11.400625
366,Anser brachyrhynchus,11.400625
367,Anser fabalis,11.400625
368,Anser albifrons,11.25247685
369,Anser erythropus,11.400625
370,Anser anser,11.57453804
371,Anser indicus,11.400625
372,Chen caerulescens,8.943452381
373,Chen rossii,8.568452381
374,Chen canagica,8.943452381
375,Branta canadensis,10.46995192
376,Branta hutchinsii,10.85282738
377,Branta sandvicensis,12.33854167
378,Branta leucopsis,10.546875
379,Branta bernicla,10.92782738
380,Branta ruficollis,10.92782738
381,Coscoroba coscoroba,9.266339475
382,Cygnus olor,12.18340278
383,Cygnus atratus,12.63143145
384,Cygnus melancoryphus,12.63143145
385,Cygnus cygnus,12.34680147
386,Cygnus buccinator,13.57229167
387,Cygnus columbianus,12.73895833
