LANDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards
0,0,0,0,0,0.008970847,0.000291796,0.000284856,0,0.007156454,0.005766496,7.23E-05,0,0.126742322,0,0.151813742,0,0.092578709,0,0.120624875,0.004337313,0.06263178,0.2809066,0.034388271,0.02936635,0.020338495,0.00084537,0,0.865414391,0.176193317,0.365414324,0.178475337,1.508823,0.297605894,0.004580345,5.66E-06,0.003194546,0.070813605,0.011294408,0.004398184,0.00377844,0.002363712,0.001363332,0,0.005708259,0.006136142,0.1752639,0.010221361,0.001798223,0,0,0,0,0.0123574,0.019123817,0.007085105,0.09672699,0.046248243,0,0,0.234735,0,0,0,0,0,0,0
0,0,0,0,0,0.008979627,0.000292464,0.000285256,0,0.007159842,0.005775963,7.23E-05,0,0.126694696,0,0.151706852,0,0.092528385,0,0.120615175,0.004338647,0.06265948,0.2810063,0.034322735,0.02937311,0.020352262,0.000845808,0,0.864805303,0.176296542,0.365441418,0.178537834,1.509128,0.297729639,0.004580452,5.66E-06,0.003196074,0.070776495,0.011308452,0.004397884,0.003778702,0.00236434,0.001365006,0,0.005740365,0.006143483,0.1752845,0.010220692,0.001798483,0,0,0,0,0.012364,0.01912718,0.007083612,0.09671899,0.046246823,0,0,0.2350709,0,0,0,0,0,0,0
0,0,0,0,0,0.008987086,0.000292967,0.000285512,0,0.007163,0.005781932,7.23E-05,0,0.126659739,0,0.151659742,0,0.092481655,0,0.120613975,0.004340241,0.06265178,0.2809882,0.034270282,0.0293696,0.020360371,0.000846181,0,0.864869359,0.17633434,0.365459063,0.178558932,1.509081,0.297812861,0.004580305,5.65E-06,0.003196912,0.070744395,0.011320296,0.004397429,0.003779444,0.002365266,0.001366595,0,0.005768012,0.006149447,0.1752764,0.010218821,0.001798193,0,0,0,0,0.01236818,0.019131017,0.007082459,0.09671571,0.046241184,0,0,0.2353179,0,0,0,0,0,0,0
0,0,0,0,0,0.008993458,0.000293339,0.000285662,0,0.007164678,0.005785296,7.24E-05,0,0.126652976,0,0.151611739,0,0.092455756,0,0.120605075,0.004341041,0.06263238,0.2809494,0.034221548,0.02936374,0.020364352,0.000846354,0,0.865098988,0.176342974,0.365448364,0.178537734,1.508907,0.297865128,0.00458006,5.65E-06,0.003197342,0.070714455,0.011329677,0.004396874,0.003779518,0.002365538,0.001368018,0,0.005791797,0.006154178,0.1752375,0.0102176,0.00179782,0,0,0,0,0.01237069,0.019135072,0.007081596,0.09671396,0.04623687,0,0,0.2354987,0,0,0,0,0,0,0
0,0,0,0,0,0.008998658,0.000293603,0.000285741,0,0.007165032,0.005787053,7.24E-05,0,0.126634498,0,0.15155537,0,0.092440087,0,0.120582775,0.004340999,0.06263097,0.2809694,0.03417236,0.02936302,0.020364602,0.000846396,0,0.865096298,0.176358707,0.365422208,0.178519935,1.508822,0.29789398,0.004579794,5.65E-06,0.00319762,0.070687225,0.011336788,0.004396227,0.003778846,0.002365324,0.00136927,0,0.005812261,0.006158256,0.1752021,0.010217443,0.001797681,0,0,0,0,0.01237238,0.019139136,0.007080962,0.09671259,0.046235986,0,0,0.2356305,0,0,0,0,0,0,0
0,0,0,0,0,0.009002778,0.000293781,0.000285782,0,0.007165006,0.005788095,7.24E-05,0,0.126591825,0,0.151509235,0,0.092424142,0,0.120558275,0.004340853,0.06264745,0.2810256,0.034125122,0.02936629,0.020361798,0.000846432,0,0.864917576,0.176384801,0.365398181,0.178529234,1.508837,0.297906304,0.004579556,5.65E-06,0.003197896,0.070664135,0.011341974,0.004395509,0.003778061,0.002365181,0.001370395,0,0.005829872,0.006161989,0.1751856,0.010217295,0.001797705,0,0,0,0,0.01237381,0.019143067,0.007080491,0.09671139,0.04623647,0,0,0.2357264,0,0,0,0,0,0,0
0,0,0,0,0,0.009006112,0.000293897,0.000285806,0,0.007165154,0.005788887,7.24E-05,0,0.126544961,0,0.151480076,0,0.092407551,0,0.120544475,0.004341057,0.06266276,0.2810602,0.034083172,0.02936863,0.02035712,0.000846499,0,0.864808789,0.176406002,0.365379221,0.178549933,1.508853,0.297907971,0.004579366,5.65E-06,0.003198166,0.070644985,0.011345653,0.004394767,0.003777554,0.002365265,0.001371427,0,0.005845022,0.006165291,0.1751776,0.010216409,0.001797686,0,0,0,0,0.0123751,0.019146629,0.007080137,0.09671048,0.046236163,0,0,0.2357965,0,0,0,0,0,0,0
0,0,0,0,0,0.009008917,0.000293974,0.000285821,0,0.007165369,0.005789506,7.24E-05,0,0.126513624,0,0.151457902,0,0.09239391,0,0.120540475,0.004341422,0.06266606,0.2810582,0.034046784,0.02936829,0.020351505,0.000846562,0,0.86486667,0.176416267,0.36535851,0.178559432,1.508818,0.297903042,0.004579225,5.65E-06,0.003198368,0.070628435,0.011348243,0.004394055,0.003777205,0.002365349,0.001372363,0,0.005858046,0.006168021,0.1751659,0.01021506,0.00179755,0,0,0,0,0.01237616,0.019149727,0.007079868,0.09670988,0.046235111,0,0,0.2358477,0,0,0,0,0,0,0
0,0,0,0,0,0.009011301,0.000294024,0.000285828,0,0.007165394,0.005789941,7.24E-05,0,0.126494954,0,0.151432641,0,0.092383864,0,0.120538775,0.00434159,0.06266267,0.2810468,0.034014089,0.02936727,0.020345357,0.000846592,0,0.864995979,0.176422983,0.365332355,0.178554833,1.508765,0.297893835,0.004579118,5.65E-06,0.003198481,0.070613555,0.011350054,0.004393397,0.003776781,0.002365256,0.001373197,0,0.005869237,0.006170221,0.1751512,0.010213908,0.00179738,0,0,0,0,0.01237696,0.019152361,0.007079667,0.09670949,0.046234432,0,0,0.235885,0,0,0,0,0,0,0
0,0,0,0,0,0.008596074,0.000293398,0.000270378,0,0.006568141,0.005642565,6.63E-05,0,0.120181699,0,0.146517568,0,0.089231404,0,0.11267199,0.00421203,0.06266177,0.281044,0.031646255,0.02693678,0.018932107,0.000776067,0,0.857364443,0.17559325,0.364400782,0.177168316,1.508726,0.27618648,0.004200229,5.65E-06,0.002932636,0.066118826,0.010585021,0.004027462,0.003606311,0.002197513,0.001260747,0,0.005395463,0.005688506,0.1730045,0.010208169,0.001647707,0,0,0,0,0.01236977,0.017564495,0.006973079,0.09670917,0.042406216,0,0,0.235912,0,0,0,0,0,0,0
0,0,0,0,0,0.004649546,0.000288796,0.000104731,0,0,0.004342616,0.00E+00,0,0.060984215,0,0.109786023,0,0.064172666,0,0.030996034,0.002516512,0.06111019,0.2756718,0.003972869,0.000204043,0.005025854,1.95227E-06,0,0.78261922,0.171577499,0.348936683,0.163392794,1.492492,0.064460008,0.001107964,5.61E-06,0.000187089,0.019454252,0.003088098,3.54789E-05,0.002002544,0.000558807,1.63129E-05,0,9.93763E-05,0.000490601,0.1528131,0.010020715,2.99445E-06,0,0,0,0,0.01199199,7.83819E-05,0.005813073,0.09667438,0.000640067,0,0,0.2359176,0,0,0,0,0,0,0
0,0,0,0,0,0.00597649,0.000299623,0.000110698,0,0,0.004429997,0.00E+00,0,0.073383957,0,0.113970748,0,0.075344976,0,0.03591482,0.002648432,0.05588907,0.2598802,0.005174615,0.000197783,0.007086337,2.00041E-06,0,0.783156784,0.163571999,0.347993506,0.162010068,1.446833,0.083257148,0.001125228,5.41E-06,0.000203614,0.023101029,0.00310867,3.89959E-05,0.002035834,0.000575037,1.6807E-05,0,0.000132421,0.000656077,0.1515531,0.009704302,2.94413E-06,0,0,0,0,0.01128118,7.76468E-05,0.005796154,0.09657265,0.000625273,0,0,0.2358833,0,0,0,0,0,0,0
0,0,0,0,0,0.007284996,0.000315408,0.000113052,0,0,0.004334077,0.00E+00,0,0.0770798,0,0.109473345,0,0.07801028,0,0.035544744,0.002580693,0.05326484,0.2516726,0.005469861,0.000189544,0.008887061,1.94509E-06,0,0.769833211,0.157448199,0.34447461,0.159238717,1.424147,0.090642738,0.001127098,5.15E-06,0.000202652,0.024785297,0.003099272,4.03176E-05,0.002000166,0.000545586,1.70387E-05,0,0.000161264,0.000799712,0.1444695,0.009535541,2.96672E-06,0,0,0,0,0.01067157,7.66715E-05,0.005776968,0.09648173,0.00062221,0,0,0.2358091,0,0,0,0,0,0,0
0,0,0,0,0,0.008298132,0.000329702,0.000113011,0,0,0.004159216,0.00E+00,0,0.075729446,0,0.104691965,0,0.077563145,0,0.034254985,0.00246794,0.05388556,0.2522483,0.005442768,0.000187351,0.010111423,1.89659E-06,0,0.756226716,0.156449399,0.341625922,0.158712146,1.431813,0.093532017,0.001125105,4.93E-06,0.000198775,0.025275227,0.003090837,4.05114E-05,0.001959255,0.000509767,1.71189E-05,0,0.000185351,0.000921405,0.1387784,0.009496121,3.02461E-06,0,0,0,0,0.01028172,7.61613E-05,0.00576364,0.09645724,0.000624725,0,0,0.2357399,0,0,0,0,0,0,0
0,0,0,0,0,0.008969015,0.000341228,0.000112252,0,0,0.004007657,0.00E+00,0,0.072675789,0,0.102860958,0,0.077615089,0,0.034140446,0.002410776,0.054924,0.2538132,0.005404983,0.000187539,0.010914943,1.89306E-06,0,0.747901848,0.157979099,0.340488853,0.159424008,1.447165,0.095158807,0.001124245,4.80E-06,0.000196535,0.025394997,0.003086385,4.03848E-05,0.001953419,0.000492153,1.72014E-05,0,0.000205842,0.001025446,0.1359008,0.009471321,3.06193E-06,0,0,0,0,0.01006529,7.60587E-05,0.005756362,0.09648687,0.000625786,0,0,0.2357163,0,0,0,0,0,0,0
0,0,0,0,0,0.009445676,0.00035005,0.000111492,0,0,0.003903445,0.00E+00,0,0.070202253,0,0.10317927,0,0.078284155,0,0.033926618,0.002396357,0.05530268,0.253087,0.005364269,0.000187452,0.011452761,1.91251E-06,0,0.743648144,0.158673999,0.340449559,0.159827286,1.455528,0.096147187,0.00112537,4.73E-06,0.000195547,0.025465967,0.00308395,4.02486E-05,0.001966208,0.000486361,1.73153E-05,0,0.000223167,0.001109738,0.1348237,0.009417862,3.07296E-06,0,0,0,0,0.009955955,7.61716E-05,0.005753012,0.09653292,0.000625686,0,0,0.2357278,0,0,0,0,0,0,0
0,0,0,0,0,0.00979675,0.00035663,0.000110853,0,0,0.003836249,0.00E+00,0,0.068373496,0,0.104144129,0,0.078927814,0,0.0337433,0.002394439,0.05550855,0.2519487,0.005297262,0.000187108,0.011824686,1.93156E-06,0,0.741413241,0.158295299,0.340734563,0.15974479,1.456672,0.096759137,0.001127455,4.69E-06,0.000195197,0.025508187,0.003082391,4.01466E-05,0.001977332,0.000482769,1.74244E-05,0,0.00023777,0.00117619,0.1342174,0.009398512,3.07575E-06,0,0,0,0,0.00990223,7.63788E-05,0.005751555,0.09656662,0.000625258,0,0,0.2357466,0,0,0,0,0,0,0
0,0,0,0,0,0.010057151,0.000361436,0.00011036,0,0,0.003793559,0.00E+00,0,0.067066951,0,0.104975584,0,0.079333922,0,0.03373344,0.002394642,0.05585256,0.2519031,0.005214515,0.000187135,0.012075289,1.94328E-06,0,0.739266074,0.157918899,0.341052414,0.15973959,1.455552,0.097118827,0.001129535,4.67E-06,0.000195212,0.025524457,0.003080914,4.00611E-05,0.001980485,0.000479107,1.751E-05,0,0.000250056,0.001228764,0.1337001,0.00941934,3.07754E-06,0,0,0,0,0.009877823,0.000076619,0.005750771,0.09658027,0.000625157,0,0,0.2357587,0,0,0,0,0,0,0
0,0,0,0,0,0.010249284,0.000364874,0.000110018,0,0,0.003767349,0.00E+00,0,0.066158875,0,0.105511975,0,0.079562449,0,0.03367758,0.002397958,0.05622748,0.2521444,0.005150847,0.000187241,0.012232666,1.95E-06,0,0.737390875,0.157650899,0.34134982,0.15994278,1.454651,0.097302067,0.001131133,4.67E-06,0.000195386,0.025522327,0.003079085,3.99787E-05,0.001979395,0.000476197,1.75774E-05,0,0.000260377,0.001270597,0.1332358,0.009430796,3.07961E-06,0,0,0,0,0.009869796,7.68487E-05,0.005750074,0.09658131,0.000625129,0,0,0.2357654,0,0,0,0,0,0,0
