sppid,FGnum,FGname,SppName,CommonName,Named.in.model ,RL,RLstatus,GenL,LPI,Synonym
1,1,Baleen whales,Cetorhinus maximus,Basking shark,1,1,VU,NA,1,
2,1,Baleen whales,Balaenoptera acutorostrata,Minke whale,1,1,LC,NA,1,
3,1,Baleen whales,Balaenoptera musculus,Blue whale,0,1,EN,31,1,
4,1,Baleen whales,Balaenoptera physalus,Fin whale,0,1,EN,25.9,1,
5,1,Baleen whales,Balaenoptera borealis,Sei whale ,0,1,EN,23.3,1,
6,2,Toothed whales,Orcinus orca,Orca,0,1,DD,25.6,1,
7,2,Toothed whales,Phocoena phocoena,Harbour porpoise,1,1,LC,NA,1,
8,2,Toothed whales,Pseudorca crassidens,False killer whale ,0,1,DD,NA,1,
9,2,Toothed whales,Lagenorhynchus albirostris,White beaked dolphin,1,1,LC,NA,0,
10,2,Toothed whales,Stenella coeruleoalba,Striped dolphin ,0,1,LC,NA,1,
11,2,Toothed whales,Tursiops truncatus,Common bottlenose dolphin,0,1,LC,NA,1,
12,2,Toothed whales,Ziphius cavirostris,Cuvier's beaked whale,0,1,LC,NA,1,
13,2,Toothed whales,Globicephala melas,Long finned pilot whale ,0,1,DD,NA,1,
14,2,Toothed whales,Hyperoodon ampullatus,North atlantic bottlenose whale,0,1,DD,17.6,1,
15,2,Toothed whales,Grampus griseus,Risso's dolphin,0,1,LC,20,1,
16,2,Toothed whales,Kogia breviceps,Pygmy sperm whale,0,1,DD,12,,
17,2,Toothed whales,Delphinus delphis,Short beaked common dolphin ,0,1,LC,NA,1,
18,2,Toothed whales,Lagenorhynchus acutus,Atlantic white-sided dolphin ,1,1,LC,NA,1,
19,3,Seals,Halichoerus grypus,Grey seal,1,1,LC,NA,1,
20,3,Seals,Phoca vitulina,Harbour seal,1,1,LC,NA,1,
21,4,Seabirds,Fulmarus glacialis,Fulmer,1,1,LC,30.7,1,
22,4,Seabirds,Morus bassanus,Gannet,1,1,LC,20.7,0,Morus bassanus
23,4,Seabirds,Phalacrocorax aristotelis,Shag,1,1,LC,8.8,1,
24,4,Seabirds,Larus argentatus,Herring gull,1,1,LC,13,1,
25,4,Seabirds,Larus marinus,Great black backed gull,1,1,LC,12,1,
26,4,Seabirds,Larus fuscus,Lesser black backed gull,1,1,LC,13.9,1,
27,4,Seabirds,Rissa tridactyla,Kittiwake,1,1,LC,12.9,0,
28,4,Seabirds,Uria aalge,Guillemot,1,1,LC,15.1,1,
29,4,Seabirds,Alca torda,Razorbill,1,1,LC,13.6,1,
30,4,Seabirds,Fratercula arctica,Puffin,1,1,LC,21.6,1,
31,4,Seabirds,Catharacta skua,Great skua,1,1,LC,17.5,1,
32,4,Seabirds,Alle alle,Little auk,0,1,LC,15,1,
33,4,Seabirds,Cepphus grylle,Black guillemot,0,1,LC,10.9,1,
