CATCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards,
0,0,0,0,0,0.009105077,0.000291796,0.000284856,0,0.007156461,0.006113487,7.23E-05,0.08349193,0.133061,0.002525049,0.1869088,0.002227792,0.1004444,0.02842357,0.1206251,0.005559757,0.06263178,0.2809066,0.03771676,0.02936635,0.02365166,0.008370196,0.02188102,0.8686989,0.183661,0.5839894,0.1784861,1.508823,0.4105323,0.1497692,5.66E-06,0.07026675,0.07081362,0.01596356,0.01759705,0.004537195,0.003575027,0.001363332,0,0.005708259,0.007407992,0.1752639,0.01038198,0.002206552,0,0,0,0,0.0123574,0.02018636,0.007103665,0.09672699,0.0993897,0,0,0.234735,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009113989,0.000292464,0.000285256,0,0.007159849,0.006123524,7.23E-05,0.08352821,0.133011,0.002524399,0.1867772,0.002227476,0.1003898,0.02841619,0.1206154,0.005561467,0.06265948,0.2810063,0.03764488,0.02937311,0.02366767,0.008374531,0.02192799,0.8680875,0.1837686,0.5840327,0.1785486,1.509128,0.410703,0.1497727,5.66E-06,0.07030036,0.07077651,0.01598341,0.01759585,0.00453751,0.003575976,0.001365006,0,0.005740365,0.007416854,0.1752845,0.0103813,0.002206871,0,0,0,0,0.012364,0.02018991,0.007102168,0.09671899,0.09938665,0,0,0.2350709,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009121559,0.000292967,0.000285512,0,0.007163007,0.006129852,7.23E-05,0.08358681,0.1329743,0.002523507,0.1867192,0.002228542,0.1003391,0.02840494,0.1206142,0.00556351,0.06265178,0.2809882,0.03758735,0.0293696,0.0236771,0.008378221,0.02193603,0.8681518,0.183808,0.5840609,0.1785697,1.509081,0.4108178,0.1497679,5.65E-06,0.07031879,0.07074441,0.01600015,0.01759403,0.004538401,0.003577377,0.001366595,0,0.005768012,0.007424055,0.1752764,0.0103794,0.002206515,0,0,0,0,0.01236818,0.02019396,0.007101012,0.09671571,0.09937453,0,0,0.2353179,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009128027,0.000293339,0.000285662,0,0.007164685,0.006133418,7.24E-05,0.08358208,0.1329672,0.002522436,0.1866601,0.002228624,0.100311,0.02839115,0.1206053,0.005564535,0.06263238,0.2809494,0.0375339,0.02936374,0.02368173,0.008379932,0.0219097,0.8683823,0.183817,0.5840438,0.1785485,1.508907,0.4108899,0.1497599,5.65E-06,0.07032826,0.07071447,0.01601341,0.01759181,0.00453849,0.003577788,0.001368018,0,0.005791797,0.007429766,0.1752375,0.01037816,0.002206057,0,0,0,0,0.01237069,0.02019824,0.007100147,0.09671396,0.09936526,0,0,0.2354987,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009133304,0.000293603,0.000285741,0,0.007165039,0.006135281,7.24E-05,0.08353295,0.1329478,0.002521642,0.1865907,0.002227714,0.100294,0.02838349,0.120583,0.005564481,0.06263097,0.2809694,0.03747995,0.02936302,0.02368202,0.008380353,0.02188801,0.8683796,0.1838334,0.584002,0.1785307,1.508822,0.4109297,0.1497512,5.65E-06,0.07033437,0.07068724,0.01602346,0.01758922,0.004537683,0.003577464,0.00136927,0,0.005812261,0.007434689,0.1752021,0.010378,0.002205886,0,0,0,0,0.01237238,0.02020253,0.007099511,0.09671259,0.09936336,0,0,0.2356305,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009137486,0.000293781,0.000285782,0,0.007165013,0.006136386,7.24E-05,0.08349543,0.132903,0.002521219,0.1865339,0.00222686,0.1002767,0.02838443,0.1205585,0.005564294,0.06264745,0.2810256,0.03742814,0.02936629,0.02367876,0.008380703,0.02188987,0.8682002,0.1838606,0.5839636,0.17854,1.508837,0.4109467,0.1497434,5.65E-06,0.07034044,0.07066415,0.01603079,0.01758635,0.00453674,0.003577249,0.001370395,0,0.005829872,0.007439196,0.1751856,0.01037785,0.002205916,0,0,0,0,0.01237381,0.02020668,0.007099039,0.09671139,0.0993644,0,0,0.2357264,0,0,0,0,0,0,0, 
0,0,0,0,0,0.00914087,0.000293897,0.000285806,0,0.007165161,0.006137225,7.24E-05,0.08348858,0.1328538,0.002520902,0.186498,0.002226562,0.1002587,0.02838802,0.1205447,0.005564556,0.06266276,0.2810602,0.03738213,0.02936863,0.02367332,0.008381368,0.02190336,0.868091,0.1838827,0.5839333,0.1785607,1.508853,0.410949,0.1497372,5.65E-06,0.07034639,0.070645,0.01603599,0.01758338,0.004536131,0.003577376,0.001371427,0,0.005845022,0.007443182,0.1751776,0.01037695,0.002205892,0,0,0,0,0.0123751,0.02021044,0.007098684,0.09671048,0.09936374,0,0,0.2357965,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009143717,0.000293974,0.000285821,0,0.007165376,0.006137882,7.24E-05,0.08348843,0.1328209,0.002520484,0.1864707,0.002226506,0.1002439,0.02838905,0.1205407,0.005565024,0.06266606,0.2810582,0.03734222,0.02936829,0.02366679,0.008381996,0.02191035,0.8681491,0.1838934,0.5839002,0.1785702,1.508818,0.4109422,0.1497326,5.65E-06,0.07035082,0.07062845,0.01603965,0.01758053,0.004535712,0.003577502,0.001372363,0,0.005858046,0.007446479,0.1751659,0.01037558,0.002205726,0,0,0,0,0.01237616,0.02021371,0.007098414,0.09670988,0.09936148,0,0,0.2358477,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009146136,0.000294024,0.000285828,0,0.007165401,0.006138343,7.24E-05,0.08347497,0.1328013,0.002520003,0.1864396,0.002226367,0.100233,0.02838684,0.120539,0.005565239,0.06266267,0.2810468,0.03730636,0.02936727,0.02365964,0.008382295,0.02190737,0.8682789,0.1839004,0.5838584,0.1785656,1.508765,0.4109295,0.1497291,5.65E-06,0.07035331,0.07061357,0.01604221,0.0175779,0.004535203,0.003577362,0.001373197,0,0.005869237,0.007449135,0.1751512,0.01037441,0.002205517,0,0,0,0,0.01237696,0.02021649,0.007098213,0.09670949,0.09936002,0,0,0.235885,0,0,0,0,0,0,0, 
0,0,0,0,0,0.008724696,0.000293398,0.000270378,0,0.006568147,0.005982099,6.63E-05,0.08308074,0.1261733,0.00240557,0.1803883,0.002119294,0.0968127,0.02829727,0.1126722,0.005399164,0.06266177,0.281044,0.03470934,0.02693678,0.02201617,0.007684011,0.0219014,0.8606184,0.1830355,0.5823696,0.177179,1.508726,0.3809853,0.1373401,5.65E-06,0.06450582,0.06611884,0.01496091,0.0161138,0.004330501,0.003323656,0.001260747,0,0.005395463,0.006867573,0.1730045,0.01036858,0.002021857,0,0,0,0,0.01236977,0.0185404,0.006991346,0.09670917,0.091133,0,0,0.235912,0,0,0,0,0,0,0, 
