"year","score","scenario","type"
1981,0.790290702042061,"fmsy0","benthic"
1982,0.80414138630714,"fmsy0","benthic"
1983,0.803526346855917,"fmsy0","benthic"
1984,0.805643286180699,"fmsy0","benthic"
1985,0.819751670864389,"fmsy0","benthic"
1986,0.816037761427366,"fmsy0","benthic"
1987,0.8193900390344,"fmsy0","benthic"
1988,0.824889861248733,"fmsy0","benthic"
1989,0.82005171225713,"fmsy0","benthic"
1990,0.820854009567146,"fmsy0","benthic"
1991,0.81842767772041,"fmsy0","benthic"
1992,0.816715821998199,"fmsy0","benthic"
1993,0.814674303403025,"fmsy0","benthic"
1994,0.813938864088058,"fmsy0","benthic"
1995,0.813710651378617,"fmsy0","benthic"
1996,0.81232316464564,"fmsy0","benthic"
1997,0.813935029022535,"fmsy0","benthic"
1998,0.812989125042811,"fmsy0","benthic"
1999,0.813599351792497,"fmsy0","benthic"
2000,0.816375549872075,"fmsy0","benthic"
2001,0.816636568987272,"fmsy0","benthic"
2002,0.814593441508122,"fmsy0","benthic"
2003,0.812188285309167,"fmsy0","benthic"
2004,0.803997216079015,"fmsy0","benthic"
2005,0.803328208742892,"fmsy0","benthic"
2006,0.803500015661579,"fmsy0","benthic"
2007,0.802758353404736,"fmsy0","benthic"
2008,0.802456925607841,"fmsy0","benthic"
2009,0.801100422819734,"fmsy0","benthic"
2010,0.800847796920592,"fmsy0","benthic"
2011,0.801031623162433,"fmsy0","benthic"
2012,0.799600265899192,"fmsy0","benthic"
2013,0.800702420790296,"fmsy0","benthic"
2014,0.799370868226529,"fmsy0","benthic"
2015,0.79956591049988,"fmsy0","benthic"
1981,0.797445027838142,"fmsy1","benthic"
1982,0.803115690757101,"fmsy1","benthic"
1983,0.796159807909115,"fmsy1","benthic"
1984,0.805347666286945,"fmsy1","benthic"
1985,0.81610201903955,"fmsy1","benthic"
1986,0.824114642815356,"fmsy1","benthic"
1987,0.806282644969294,"fmsy1","benthic"
1988,0.811564886636657,"fmsy1","benthic"
1989,0.799523628220723,"fmsy1","benthic"
1990,0.801916909103659,"fmsy1","benthic"
1991,0.794855876054679,"fmsy1","benthic"
1992,0.795940915152496,"fmsy1","benthic"
1993,0.790202091628771,"fmsy1","benthic"
1994,0.785384869942373,"fmsy1","benthic"
1995,0.782414927226394,"fmsy1","benthic"
1996,0.781730837694301,"fmsy1","benthic"
1997,0.778695584056301,"fmsy1","benthic"
1998,0.775317592908485,"fmsy1","benthic"
1999,0.763995784565319,"fmsy1","benthic"
2000,0.77181287684027,"fmsy1","benthic"
2001,0.771574939576023,"fmsy1","benthic"
2002,0.771640914611047,"fmsy1","benthic"
2003,0.771603608055925,"fmsy1","benthic"
2004,0.773062561678756,"fmsy1","benthic"
2005,0.773261968173667,"fmsy1","benthic"
2006,0.765918878712194,"fmsy1","benthic"
2007,0.767177784242197,"fmsy1","benthic"
2008,0.767838956925268,"fmsy1","benthic"
2009,0.765152984192313,"fmsy1","benthic"
2010,0.761893794985749,"fmsy1","benthic"
2011,0.764569433770771,"fmsy1","benthic"
2012,0.760799645488726,"fmsy1","benthic"
2013,0.757787282577641,"fmsy1","benthic"
2014,0.759426773851759,"fmsy1","benthic"
2015,0.75764083288337,"fmsy1","benthic"
1981,0.796239182078532,"fmsy2","benthic"
1982,0.790680032866406,"fmsy2","benthic"
1983,0.781845739009772,"fmsy2","benthic"
1984,0.775632713900666,"fmsy2","benthic"
1985,0.770533691111561,"fmsy2","benthic"
1986,0.762732237887602,"fmsy2","benthic"
1987,0.758531230372121,"fmsy2","benthic"
1988,0.752863402260008,"fmsy2","benthic"
1989,0.745799472823959,"fmsy2","benthic"
1990,0.740301294797161,"fmsy2","benthic"
1991,0.733634365444941,"fmsy2","benthic"
1992,0.732184927541026,"fmsy2","benthic"
1993,0.727000953265563,"fmsy2","benthic"
1994,0.721611262747855,"fmsy2","benthic"
1995,0.720114701729228,"fmsy2","benthic"
1996,0.718435665801582,"fmsy2","benthic"
1997,0.717406521260716,"fmsy2","benthic"
1998,0.716742950213634,"fmsy2","benthic"
1999,0.716053523786318,"fmsy2","benthic"
2000,0.715055473874091,"fmsy2","benthic"
2001,0.715200819931117,"fmsy2","benthic"
2002,0.710718755221534,"fmsy2","benthic"
2003,0.706327308144195,"fmsy2","benthic"
2004,0.7081673235849,"fmsy2","benthic"
2005,0.71030870081041,"fmsy2","benthic"
2006,0.709737613343938,"fmsy2","benthic"
2007,0.709691965258616,"fmsy2","benthic"
2008,0.70752471977678,"fmsy2","benthic"
2009,0.705716803686863,"fmsy2","benthic"
2010,0.70243315264991,"fmsy2","benthic"
2011,0.700720224294674,"fmsy2","benthic"
2012,0.701904256596378,"fmsy2","benthic"
2013,0.70313994452221,"fmsy2","benthic"
2014,0.672887924207591,"fmsy2","benthic"
2015,0.671754377292316,"fmsy2","benthic"
