Time Fishery AvgCatchSize TotLanding TotNumCaught TotDiscards GearChange DiscardChange TEPkills HabImpact TotEffort TotCPUE SocialAccept GearConflict SpComp_Evenness mgmtStability mgmtAccess mgmtCost 1stindx
0.000000e+00 pseineSSH 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
0.000000e+00 pseineBWH 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
0.000000e+00 pseineMAC 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
0.000000e+00 pseineCAP 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 1.818493e-01 1.000000e+00 0.000000e+00
0.000000e+00 dtrawlNCO 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
0.000000e+00 dtrawlHAD 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
0.000000e+00 dtrawlSAI 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
0.000000e+00 dtrawlGRH 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
0.000000e+00 dtrawlPWN 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
0.000000e+00 dlineNCO 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+16 0.000000e+00 0.000000e+00 0.000000e+00 4.916667e-01 1.000000e+00 0.000000e+00
