Time POB-0 KWH-0 SWH-0 HWH-0 MWH-0 FWH-0 BES-0 HAS-0 HOS-0 RIS-0 SBA-0 SBB-0 SHO-0 DEO-0 PEL-0 PES-0 REO-0 DEL-0 FLA-0 LRD-0 SSK-0 MES-0 GRH-0 MAC-0 HAD-0 SAI-0 RED-0 BWH-0 SSH-0 NCO-0 PCO-0 CAP-0 SCR-0
1.022000e+03 20.191823 263.851014 9191.346539 0.000000 1791.964929 24015.984366 760.581022 19282.998657 2026.013210 13.468583 133.691612 59.097699 2155.571896 203.226714 362579.596310 143.033712 173.478250 5.657627 147.226604 171.684081 27.166512 10.259560 2.850215 0.000000 30.123008 65.306137 30897.980868 0.000000 835.889531 10912.806296 597.004866 5435.784922 149.541891
1.095000e+03 20.191823 263.851014 9099.871187 0.000000 1803.458523 24016.858115 760.581022 19282.998657 2026.013210 13.468583 133.691612 59.097699 2155.571896 203.226714 362579.596310 143.033712 173.478250 5.657627 147.226604 171.684081 27.166512 10.259560 2.874201 0.000000 30.123008 65.306137 30897.980868 0.000000 835.889531 10912.806296 446.012113 5435.784922 149.541891
1.168000e+03 20.191823 263.851014 9099.871187 0.000000 1803.458523 24016.858115 760.581022 19546.272703 2026.013210 13.468583 133.691612 59.097699 2155.571896 203.226714 362579.596310 143.033712 173.478250 5.657627 147.226604 171.684081 27.166512 10.259560 2.874201 0.000000 30.123008 70.801786 32870.224935 0.000000 1178.583985 9695.436240 446.012113 3561.933453 199.295500
1.241000e+03 20.510238 256.649631 9099.871187 0.000000 1803.458523 24016.858115 760.581022 19546.272703 2039.385808 13.502463 133.691612 59.097699 2171.730104 203.610551 665271.582647 152.919929 170.475766 5.657627 146.566400 182.911234 27.670077 10.751537 2.874201 0.000000 5.708127 70.801786 32870.224935 0.000000 1178.583985 9695.436240 446.012113 3561.933453 199.295500
1.314000e+03 20.510238 256.649631 9099.871187 0.000000 1803.458523 24016.858115 785.837040 19546.272703 2039.385808 13.502463 134.981126 58.205641 2171.730104 203.610551 665271.582647 152.919929 170.475766 5.524387 146.566400 182.911234 27.670077 10.751537 2.874201 0.000000 5.708127 70.801786 32870.224935 0.000000 1178.583985 9695.436240 446.012113 3561.933453 199.295500
1.387000e+03 20.510238 256.649631 9099.871187 0.000000 1803.458523 24016.858115 785.837040 19546.272703 2039.385808 13.502463 134.981126 58.205641 2171.730104 203.610551 665271.582647 152.919929 170.475766 5.524387 146.566400 182.911234 27.670077 10.751537 2.874201 0.000000 5.708127 70.801786 32870.224935 0.000000 1178.583985 9695.436240 446.012113 3561.933453 199.295500
1.460000e+03 20.510238 256.649631 9012.817076 0.000000 1821.474260 24089.652725 785.837040 19546.272703 2039.385808 13.502463 134.981126 58.205641 2171.730104 203.610551 665271.582647 152.919929 170.475766 5.524387 146.566400 182.911234 27.670077 10.751537 2.836706 0.000000 5.708127 70.801786 32870.224935 0.000000 1178.583985 9695.436240 835.085107 3561.933453 199.295500
1.533000e+03 20.510238 256.649631 9012.817076 0.000000 1821.474260 24089.652725 785.837040 19750.159509 2039.385808 13.502463 134.981126 58.205641 2171.730104 203.610551 665271.582647 152.919929 170.475766 5.524387 146.566400 182.911234 27.670077 10.751537 2.836706 0.000000 5.708127 73.530253 35211.679858 0.000000 1468.153642 8369.987397 835.085107 8849.642182 512.532665
1.606000e+03 20.632317 249.866276 9012.817076 0.000000 1821.474260 24089.652725 785.837040 19750.159509 2049.543147 13.588422 134.981126 58.205641 2195.569759 202.373463 904368.205509 131.799308 165.878319 5.524387 147.151480 188.269463 27.941808 11.067615 2.836706 0.000000 66.269798 73.530253 35211.679858 0.000000 1468.153642 8369.987397 835.085107 8849.642182 512.532665
1.679000e+03 20.632317 249.866276 9012.817076 0.000000 1821.474260 24089.652725 809.165762 19750.159509 2049.543147 13.588422 139.731907 57.379922 2195.569759 202.373463 904368.205509 131.799308 165.878319 5.443253 147.151480 188.269463 27.941808 11.067615 2.836706 0.000000 66.269798 73.530253 35211.679858 0.000000 1468.153642 8369.987397 835.085107 8849.642182 512.532665
1.752000e+03 20.632317 249.866276 9012.817076 0.000000 1821.474260 24089.652725 809.165762 19750.159509 2049.543147 13.588422 139.731907 57.379922 2195.569759 202.373463 904368.205509 131.799308 165.878319 5.443253 147.151480 188.269463 27.941808 11.067615 2.836706 0.000000 66.269798 73.530253 35211.679858 0.000000 1468.153642 8369.987397 835.085107 8849.642182 512.532665
1.825000e+03 20.632317 249.866276 8928.071471 0.000000 1840.003005 24184.422479 809.165762 19750.159509 2049.543147 13.588422 139.731907 57.379922 2195.569759 202.373463 904368.205509 131.799308 165.878319 5.443253 147.151480 188.269463 27.941808 11.067615 3.060783 0.000000 66.269798 73.530253 35211.679858 0.000000 1468.153642 8369.987397 1336.960675 8849.642182 512.532665
1.898000e+03 20.632317 249.866276 8928.071471 0.000000 1840.003005 24184.422479 809.165762 19929.698335 2049.543147 13.588422 139.731907 57.379922 2195.569759 202.373463 904368.205509 131.799308 165.878319 5.443253 147.151480 188.269463 27.941808 11.067615 3.060783 0.000000 66.269798 76.912325 36947.598999 0.000000 729.337938 7625.858036 1336.960675 10823.034655 674.346398
1.971000e+03 20.788711 243.751792 8928.071471 0.000000 1840.003005 24184.422479 809.165762 19929.698335 2059.123977 13.727224 139.731907 57.379922 2222.973427 201.474977 1105112.714271 151.240500 161.810850 5.443253 148.140303 191.266979 27.633799 11.271968 3.060783 0.000000 12.455634 76.912325 36947.598999 0.000000 729.337938 7625.858036 1336.960675 10823.034655 674.346398
2.044000e+03 20.788711 243.751792 8928.071471 0.000000 1840.003005 24184.422479 831.408981 19929.698335 2059.123977 13.727224 147.900084 56.396878 2222.973427 201.474977 1105112.714271 151.240500 161.810850 5.408069 148.140303 191.266979 27.633799 11.271968 3.060783 0.000000 12.455634 76.912325 36947.598999 0.000000 729.337938 7625.858036 1336.960675 10823.034655 674.346398
2.117000e+03 20.788711 243.751792 8928.071471 0.000000 1840.003005 24184.422479 831.408981 19929.698335 2059.123977 13.727224 147.900084 56.396878 2222.973427 201.474977 1105112.714271 151.240500 161.810850 5.408069 148.140303 191.266979 27.633799 11.271968 3.060783 0.000000 12.455634 76.912325 36947.598999 0.000000 729.337938 7625.858036 1336.960675 10823.034655 674.346398
2.190000e+03 20.788711 243.751792 8786.100680 0.000000 1847.760330 24283.253815 831.408981 19929.698335 2059.123977 13.727224 147.900084 56.396878 2222.973427 201.474977 1105112.714271 151.240500 161.810850 5.408069 148.140303 191.266979 27.633799 11.271968 3.109536 0.000000 12.455634 76.912325 36947.598999 0.000000 729.337938 7625.858036 2198.436048 10823.034655 674.346398
2.263000e+03 20.788711 243.751792 8786.100680 0.000000 1847.760330 24283.253815 831.408981 20084.889745 2059.123977 13.727224 147.900084 56.396878 2222.973427 201.474977 1105112.714271 151.240500 161.810850 5.408069 148.140303 191.266979 27.633799 11.271968 3.109536 0.000000 12.455634 77.964265 37762.991956 0.000000 1286.637839 7371.970285 2198.436048 6615.878576 721.743436
2.336000e+03 20.403213 237.953249 8786.100680 0.000000 1847.760330 24283.253815 831.408981 20084.889745 2070.515703 13.887878 147.900084 56.396878 2227.887267 201.370289 1230868.182404 159.234413 160.472513 5.408069 149.446055 192.975017 27.466619 11.457848 3.109536 0.000000 7.006619 77.964265 37762.991956 0.000000 1286.637839 7371.970285 2198.436048 6615.878576 721.743436
2.409000e+03 20.403213 237.953249 8786.100680 0.000000 1847.760330 24283.253815 850.625541 20084.889745 2070.515703 13.887878 158.783599 55.566165 2227.887267 201.370289 1230868.182404 159.234413 160.472513 5.399035 149.446055 192.975017 27.466619 11.457848 3.109536 0.000000 7.006619 77.964265 37762.991956 0.000000 1286.637839 7371.970285 2198.436048 6615.878576 721.743436
2.482000e+03 20.403213 237.953249 8786.100680 0.000000 1847.760330 24283.253815 850.625541 20084.889745 2070.515703 13.887878 158.783599 55.566165 2227.887267 201.370289 1230868.182404 159.234413 160.472513 5.399035 149.446055 192.975017 27.466619 11.457848 3.109536 0.000000 7.006619 77.964265 37762.991956 0.000000 1286.637839 7371.970285 2198.436048 6615.878576 721.743436
2.555000e+03 20.403213 237.953249 8643.408608 0.000000 1853.126778 24266.208698 850.625541 20084.889745 2070.515703 13.887878 158.783599 55.566165 2227.887267 201.370289 1230868.182404 159.234413 160.472513 5.399035 149.446055 192.975017 27.466619 11.457848 3.272483 0.000000 7.006619 77.964265 37762.991956 0.000000 1286.637839 7371.970285 2901.722141 6615.878576 721.743436
2.628000e+03 20.403213 237.953249 8643.408608 0.000000 1853.126778 24266.208698 850.625541 20220.639487 2070.515703 13.887878 158.783599 55.566165 2227.887267 201.370289 1230868.182404 159.234413 160.472513 5.399035 149.446055 192.975017 27.466619 11.457848 3.272483 0.000000 7.006619 79.645617 37692.756209 0.000000 851.381591 7409.575360 2901.722141 7614.566670 713.442761
2.701000e+03 19.998333 232.378438 8643.408608 0.000000 1853.126778 24266.208698 850.625541 20220.639487 2082.970922 14.050776 158.783599 55.566165 2227.817318 199.944101 1366758.749780 201.991626 159.142095 5.399035 150.285811 196.065646 26.974042 11.624316 3.272483 0.000000 68.110132 79.645617 37692.756209 0.000000 851.381591 7409.575360 2901.722141 7614.566670 713.442761
2.774000e+03 19.998333 232.378438 8643.408608 0.000000 1853.126778 24266.208698 870.112478 20220.639487 2082.970922 14.050776 169.582292 54.773536 2227.817318 199.944101 1366758.749780 201.991626 159.142095 5.416758 150.285811 196.065646 26.974042 11.624316 3.272483 0.000000 68.110132 79.645617 37692.756209 0.000000 851.381591 7409.575360 2901.722141 7614.566670 713.442761
2.847000e+03 19.998333 232.378438 8643.408608 0.000000 1853.126778 24266.208698 870.112478 20220.639487 2082.970922 14.050776 169.582292 54.773536 2227.817318 199.944101 1366758.749780 201.991626 159.142095 5.416758 150.285811 196.065646 26.974042 11.624316 3.272483 0.000000 68.110132 79.645617 37692.756209 0.000000 851.381591 7409.575360 2901.722141 7614.566670 713.442761
2.920000e+03 19.998333 232.378438 8503.997901 0.000000 1856.755756 24231.377138 870.112478 20220.639487 2082.970922 14.050776 169.582292 54.773536 2227.817318 199.944101 1366758.749780 201.991626 159.142095 5.416758 150.285811 196.065646 26.974042 11.624316 3.336691 0.000000 68.110132 79.645617 37692.756209 0.000000 851.381591 7409.575360 2040.042329 7614.566670 713.442761
2.993000e+03 19.998333 232.378438 8503.997901 0.000000 1856.755756 24231.377138 870.112478 20245.816593 2082.970922 14.050776 169.582292 54.773536 2227.817318 199.944101 1366758.749780 201.991626 159.142095 5.416758 150.285811 196.065646 26.974042 11.624316 3.336691 0.000000 68.110132 80.441813 37545.275611 0.000000 1640.894044 7518.908898 2040.042329 12520.058205 697.835243
3.066000e+03 19.814751 226.942823 8503.997901 0.000000 1856.755756 24231.377138 870.112478 20245.816593 2096.059903 14.207571 169.582292 54.773536 2221.557520 198.355963 1510506.781883 243.663918 158.056223 5.416758 151.144051 201.650528 26.788215 11.743801 3.336691 0.000000 5.152672 80.441813 37545.275611 0.000000 1640.894044 7518.908898 2040.042329 12520.058205 697.835243
3.139000e+03 19.814751 226.942823 8503.997901 0.000000 1856.755756 24231.377138 889.746060 20245.816593 2096.059903 14.207571 181.447585 54.012865 2221.557520 198.355963 1510506.781883 243.663918 158.056223 5.433397 151.144051 201.650528 26.788215 11.743801 3.336691 0.000000 5.152672 80.441813 37545.275611 0.000000 1640.894044 7518.908898 2040.042329 12520.058205 697.835243
3.212000e+03 19.814751 226.942823 8503.997901 0.000000 1856.755756 24231.377138 889.746060 20245.816593 2096.059903 14.207571 181.447585 54.012865 2221.557520 198.355963 1510506.781883 243.663918 158.056223 5.433397 151.144051 201.650528 26.788215 11.743801 3.336691 0.000000 5.152672 80.441813 37545.275611 0.000000 1640.894044 7518.908898 2040.042329 12520.058205 697.835243
3.285000e+03 19.814751 226.942823 8368.351439 0.000000 1859.909725 24186.926247 889.746060 20245.816593 2096.059903 14.207571 181.447585 54.012865 2221.557520 198.355963 1510506.781883 243.663918 158.056223 5.433397 151.144051 201.650528 26.788215 11.743801 4.491942 0.000000 5.152672 80.441813 37545.275611 0.000000 1640.894044 7518.908898 1585.310551 12520.058205 697.835243
3.358000e+03 19.814751 226.942823 8368.351439 0.000000 1859.909725 24186.926247 889.746060 20260.243004 2096.059903 14.207571 181.447585 54.012865 2221.557520 198.355963 1510506.781883 243.663918 158.056223 5.433397 151.144051 201.650528 26.788215 11.743801 4.491942 0.000000 5.152672 81.673500 38591.632988 0.000000 1167.634284 7589.453438 1585.310551 9842.131957 689.999388
3.431000e+03 19.626671 221.574954 8368.351439 0.000000 1859.909725 24186.926247 889.746060 20260.243004 2103.829430 14.354982 181.447585 54.012865 2185.875392 196.671877 1644214.776225 264.371755 155.060159 5.433397 151.213802 209.116459 27.226957 11.827663 4.491942 0.000000 7.454894 81.673500 38591.632988 0.000000 1167.634284 7589.453438 1585.310551 9842.131957 689.999388
3.504000e+03 19.626671 221.574954 8368.351439 0.000000 1859.909725 24186.926247 906.884698 20260.243004 2103.829430 14.354982 193.247760 52.914701 2185.875392 196.671877 1644214.776225 264.371755 155.060159 5.446013 151.213802 209.116459 27.226957 11.827663 4.491942 0.000000 7.454894 81.673500 38591.632988 0.000000 1167.634284 7589.453438 1585.310551 9842.131957 689.999388
3.577000e+03 19.626671 221.574954 8368.351439 0.000000 1859.909725 24186.926247 906.884698 20260.243004 2103.829430 14.354982 193.247760 52.914701 2185.875392 196.671877 1644214.776225 264.371755 155.060159 5.446013 151.213802 209.116459 27.226957 11.827663 4.491942 0.000000 7.454894 81.673500 38591.632988 0.000000 1167.634284 7589.453438 1585.310551 9842.131957 689.999388
3.650000e+03 19.626671 221.574954 8236.709092 0.000000 1863.164868 24141.428806 906.884698 20260.243004 2103.829430 14.354982 193.247760 52.914701 2185.875392 196.671877 1644214.776225 264.371755 155.060159 5.446013 151.213802 209.116459 27.226957 11.827663 4.889781 0.000000 7.454894 81.673500 38591.632988 0.000000 1167.634284 7589.453438 2297.886914 9842.131957 689.999388
