Time  POB KWH SWH HWH MWH FWH BES HAS HOS RIS SBA SBB SHO DEO PEL PES REO DEL FLA LRD SSK MES GRH MAC HAD SAI RED BWH SSH NCO PCO CAP SCR
0.000000e+00 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
7.300000e+01 0.000000 0.000000 0.000000 84.589109 0.000000 0.000000 0.000000 59433.438406 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 183629.806911 180061.728444 1073745.986121 289564.800027 243090.750433 0.000000 3467454.193873 853.425997
1.460000e+02 233.411906 14315.835491 0.000000 84.589109 0.000000 0.000000 0.000000 59433.438406 8644.045301 2108.133594 0.000000 0.000000 84499.147427 1221400.565417 4802.259891 86619.069133 288116.440826 0.000000 64005.268099 174001.214473 87784.160705 3965913.522366 0.000000 278448.004997 116531.107793 183629.806911 180061.728444 1073745.986121 289564.800027 243090.750433 0.000000 3467454.193873 853.425997
2.190000e+02 233.411906 14315.835491 0.000000 84.589109 0.000000 0.000000 3383.366644 59433.438406 8644.045301 2108.133594 5477.955691 4525.041555 84499.147427 1221400.565417 4802.259891 86619.069133 288116.440826 80823.088480 64005.268099 174001.214473 87784.160705 3965913.522366 0.000000 278448.004997 116531.107793 183629.806911 180061.728444 1073745.986121 289564.800027 243090.750433 0.000000 3467454.193873 853.425997
2.920000e+02 233.411906 14315.835491 0.000000 84.589109 0.000000 0.000000 3383.366644 59433.438406 8644.045301 2108.133594 5477.955691 4525.041555 84499.147427 1221400.565417 4802.259891 86619.069133 288116.440826 80823.088480 64005.268099 174001.214473 87784.160705 3965913.522366 0.000000 278448.004997 116531.107793 183629.806911 180061.728444 1073745.986121 289564.800027 243090.750433 0.000000 3467454.193873 853.425997
3.650000e+02 233.411906 14315.835491 55871.138081 84.589109 207287.621332 287746.061808 3383.366644 59433.438406 8644.045301 2108.133594 5477.955691 4525.041555 84499.147427 1221400.565417 4802.259891 86619.069133 288116.440826 80823.088480 64005.268099 174001.214473 87784.160705 3965913.522366 55808.362514 278448.004997 116531.107793 0.000000 180061.728444 1073745.986121 289564.800027 243090.750433 168075.241267 3467454.193873 853.425997
4.380000e+02 233.411906 14315.835491 55871.138081 0.000000 207287.621332 287746.061808 3383.366644 68881.824169 8644.045301 2108.133594 5477.955691 4525.041555 84499.147427 1221400.565417 4802.259891 0.000000 288116.440826 80823.088480 0.000000 0.000000 87784.160705 3965913.522366 55808.362514 0.000000 0.000000 444296.730953 197560.326785 1448806.263272 382916.098571 142624.236767 168075.241267 1526663.431131 479.712442
5.110000e+02 198.733168 18054.164319 55871.138081 0.000000 207287.621332 287746.061808 3383.366644 68881.824169 10328.049096 1915.087091 5477.955691 4525.041555 94502.183180 1768357.565130 14615.859720 82654.994470 277764.569586 80823.088480 61491.706453 274194.486243 80491.993902 4665727.617216 55808.362514 742951.134086 192909.508589 444296.730953 197560.326785 1448806.263272 382916.098571 142624.236767 168075.241267 1526663.431131 479.712442
5.840000e+02 198.733168 18054.164319 55871.138081 0.000000 207287.621332 287746.061808 2999.973712 68881.824169 10328.049096 1915.087091 4700.741758 3563.337830 94502.183180 1768357.565130 14615.859720 82654.994470 277764.569586 77315.929535 61491.706453 274194.486243 80491.993902 4665727.617216 55808.362514 742951.134086 192909.508589 444296.730953 197560.326785 1448806.263272 382916.098571 142624.236767 168075.241267 1526663.431131 479.712442
6.570000e+02 198.733168 18054.164319 55871.138081 0.000000 207287.621332 287746.061808 2999.973712 68881.824169 10328.049096 1915.087091 4700.741758 3563.337830 94502.183180 1768357.565130 14615.859720 82654.994470 277764.569586 77315.929535 61491.706453 274194.486243 80491.993902 4665727.617216 55808.362514 742951.134086 192909.508589 444296.730953 197560.326785 1448806.263272 382916.098571 142624.236767 168075.241267 1526663.431131 479.712442
7.300000e+02 198.733168 18054.164319 53091.144095 0.000000 212062.139243 282994.804948 2999.973712 68881.824169 10328.049096 1915.087091 4700.741758 3563.337830 94502.183180 1768357.565130 14615.859720 82654.994470 277764.569586 77315.929535 61491.706453 274194.486243 80491.993902 4665727.617216 73181.027438 742951.134086 192909.508589 0.000000 197560.326785 1448806.263272 382916.098571 142624.236767 199680.679135 1526663.431131 479.712442
