Time SWH_DEN SWH_SN SWH_RN SWH_Biomass HWH_DEN HWH_SN HWH_RN HWH_Biomass MWH_DEN MWH_SN MWH_RN MWH_Biomass FWH_DEN FWH_SN FWH_RN FWH_Biomass HOS_DEN HOS_SN HOS_RN HOS_Biomass PEL_DEN PEL_SN PEL_RN PEL_Biomass MAC_DEN MAC_SN MAC_RN MAC_Biomass BWH_DEN BWH_SN BWH_RN BWH_Biomass
8.030000e+02 4.574801e+02 8.388274e+07 1.955728e+08 1.457437e+04 3.595181e+03 5.567752e+07 1.475411e+08 8.328928e+04 7.951018e+04 1.212053e+07 2.911923e+07 3.738038e+05 6.867922e+03 1.859384e+08 4.411703e+08 4.909905e+05 8.774690e+04 9.130710e+05 2.380883e+06 3.294990e+04 8.559898e+07 2.504961e+03 6.628727e+03 8.912912e+04 1.920000e-13 1.369220e+03 3.628331e+03 1.093864e-16 5.323223e+09 2.430227e+02 5.769648e+02 4.976073e+05
8.760000e+02 5.465047e+03 7.736452e+07 1.854246e+08 1.637216e+05 5.206884e+03 5.604095e+07 1.485047e+08 1.214152e+05 1.100232e+05 1.245885e+07 3.055732e+07 5.395364e+05 9.563957e+03 1.890054e+08 4.529998e+08 6.999726e+05 9.623219e+04 8.794553e+05 2.169328e+06 3.344659e+04 4.473614e+08 1.029323e+03 2.675869e+03 1.889618e+05 1.920000e-13 1.269980e+03 2.315028e+03 7.846863e-17 1.398478e+10 3.991608e+02 7.464268e+02 1.826371e+06
9.490000e+02 5.333921e+03 7.820378e+07 1.887655e+08 1.623352e+05 5.206884e+03 5.644377e+07 1.495726e+08 1.222882e+05 1.093935e+05 1.302268e+07 3.258094e+07 5.687162e+05 9.521658e+03 1.929990e+08 4.681553e+08 7.176625e+05 9.285275e+04 9.368922e+05 2.362725e+06 3.492715e+04 2.325412e+08 1.950231e+03 5.114962e+03 1.872961e+05 6.838872e+10 1.675219e+02 4.407841e+02 4.742545e+06 1.394430e+10 4.155668e+02 9.018221e+02 2.094187e+06
1.022000e+03 5.230933e+03 7.893075e+07 1.919288e+08 1.615207e+05 5.206884e+03 5.686172e+07 1.506805e+08 1.231939e+05 1.241865e+05 1.176103e+07 2.985330e+07 5.891448e+05 9.443814e+03 1.972981e+08 4.833602e+08 7.327932e+05 9.051415e+04 9.998393e+05 2.565215e+06 3.678642e+04 1.673883e+08 3.053686e+03 8.055228e+03 2.119832e+05 1.920000e-13 1.431170e+03 3.792214e+03 1.143294e-16 1.390078e+10 4.359675e+02 1.058051e+03 2.367554e+06
1.095000e+03 4.538855e+02 8.287520e+07 1.885385e+08 1.404374e+04 1.920000e-13 6.892935e+07 1.826599e+08 5.506786e-12 1.920000e-13 1.313977e+07 3.095534e+07 9.651539e-13 1.920000e-13 1.954030e+08 4.525399e+08 1.418217e-11 8.788427e+04 1.065588e+06 2.763065e+06 3.835854e+04 1.345623e+08 4.288068e+03 1.134535e+04 2.398182e+05 1.920000e-13 1.431170e+03 3.792214e+03 1.143294e-16 1.686332e+10 4.094049e+02 1.047755e+03 2.801271e+06
1.168000e+03 4.538148e+02 8.287508e+07 1.907290e+08 1.415488e+04 3.457249e+03 5.702509e+07 1.511138e+08 8.203301e+04 8.378960e+04 1.247239e+07 2.992139e+07 4.049460e+05 7.064697e+03 1.886847e+08 4.432150e+08 5.089165e+05 8.937572e+04 1.065493e+06 2.780342e+06 3.918457e+04 1.136363e+08 5.599308e+03 1.482976e+04 2.646492e+05 1.920000e-13 1.431170e+03 3.792214e+03 1.143294e-16 5.887146e+09 2.611394e+02 6.131013e+02 5.867332e+05
1.241000e+03 5.423659e+03 7.651960e+07 1.805584e+08 1.589506e+05 5.005214e+03 5.730743e+07 1.518622e+08 1.193510e+05 1.146590e+05 1.273069e+07 3.097646e+07 5.713017e+05 9.777520e+03 1.909539e+08 4.515529e+08 7.161620e+05 9.769963e+04 1.020752e+06 2.517565e+06 3.940891e+04 6.725263e+08 1.490698e+03 3.666474e+03 3.953901e+05 1.920000e-13 1.325705e+03 2.410788e+03 8.178435e-17 1.621346e+10 4.366842e+02 7.977835e+02 2.281709e+06
1.314000e+03 5.294047e+03 7.730213e+07 1.839650e+08 1.576803e+05 5.005214e+03 5.770569e+07 1.529178e+08 1.201806e+05 1.138009e+05 1.333448e+07 3.313659e+07 6.028830e+05 9.725268e+03 1.949460e+08 4.666914e+08 7.335445e+05 9.414294e+04 1.076726e+06 2.700153e+06 4.053458e+04 2.858483e+08 3.214043e+03 8.365469e+03 3.773382e+05 6.990545e+10 1.689880e+02 4.438698e+02 4.884000e+06 1.616873e+10 4.515301e+02 9.492683e+02 2.582001e+06
1.387000e+03 5.192174e+03 7.796342e+07 1.872469e+08 1.569800e+05 5.005214e+03 5.812870e+07 1.540389e+08 1.210617e+05 1.281117e+05 1.212267e+07 3.060939e+07 6.240905e+05 9.629684e+03 1.994322e+08 4.825481e+08 7.486670e+05 9.168635e+04 1.135724e+06 2.890287e+06 4.208085e+04 2.008134e+08 5.028479e+03 1.325779e+04 4.186225e+05 1.920000e-13 1.470759e+03 3.896645e+03 1.174817e-16 1.612082e+10 4.685632e+02 1.104925e+03 2.891715e+06
1.460000e+03 4.503160e+02 8.173366e+07 1.848805e+08 1.368691e+04 1.920000e-13 6.859482e+07 1.817742e+08 5.480077e-12 1.920000e-13 1.350268e+07 3.171387e+07 9.896999e-13 1.920000e-13 1.986644e+08 4.568465e+08 1.434782e-11 8.892820e+04 1.200517e+06 3.089565e+06 4.349205e+04 1.612637e+08 6.941957e+03 1.836813e+04 4.653022e+05 1.920000e-13 1.470759e+03 3.896645e+03 1.174817e-16 1.923194e+10 4.373677e+02 1.102790e+03 3.376705e+06
1.533000e+03 4.502479e+02 8.173350e+07 1.874726e+08 1.381788e+04 3.327411e+03 5.827294e+07 1.544213e+08 8.068020e+04 8.600390e+04 1.285100e+07 3.077027e+07 4.276824e+05 7.174047e+03 1.909800e+08 4.458409e+08 5.208185e+05 9.037401e+04 1.193150e+06 3.094799e+06 4.417719e+04 1.368504e+08 8.914050e+03 2.361016e+04 5.074083e+05 1.920000e-13 1.470759e+03 3.896645e+03 1.174817e-16 6.012044e+09 2.567370e+02 6.044140e+02 5.902097e+05
1.606000e+03 5.382768e+03 7.559548e+07 1.776052e+08 1.553729e+05 4.814875e+03 5.835486e+07 1.546384e+08 1.169111e+05 1.170979e+05 1.305084e+07 3.140731e+07 5.934793e+05 9.894379e+03 1.926595e+08 4.503608e+08 7.253007e+05 9.864430e+04 1.140432e+06 2.807401e+06 4.439515e+04 8.109269e+08 2.040083e+03 4.686360e+03 6.218305e+05 1.920000e-13 1.361515e+03 2.473112e+03 8.393231e-17 1.806530e+10 4.593206e+02 8.261073e+02 2.647268e+06
1.679000e+03 5.254752e+03 7.636732e+07 1.814493e+08 1.544429e+05 4.814875e+03 5.872146e+07 1.556100e+08 1.176456e+05 1.161292e+05 1.364694e+07 3.360164e+07 6.255109e+05 9.836428e+03 1.964489e+08 4.650000e+08 7.417176e+05 9.499680e+04 1.205572e+06 3.024648e+06 4.581174e+04 3.173324e+08 4.720741e+03 1.184730e+04 5.993636e+05 7.102810e+10 1.708308e+02 4.478630e+02 5.009690e+06 1.801346e+10 4.733884e+02 9.875182e+02 3.000022e+06
1.752000e+03 5.154035e+03 7.703550e+07 1.851287e+08 1.540372e+05 4.814875e+03 5.913453e+07 1.567048e+08 1.184733e+05 1.303365e+05 1.241236e+07 3.111182e+07 6.466979e+05 9.730719e+03 2.008370e+08 4.808785e+08 7.562283e+05 9.247932e+04 1.269613e+06 3.230117e+06 4.743905e+04 2.235363e+08 7.144441e+03 1.863260e+04 6.568799e+05 1.920000e-13 1.500176e+03 3.974000e+03 1.198188e-16 1.795963e+10 4.895038e+02 1.154254e+03 3.365426e+06
1.825000e+03 4.468356e+02 8.065384e+07 1.827224e+08 1.341619e+04 1.920000e-13 6.822265e+07 1.807883e+08 5.450352e-12 1.920000e-13 1.378044e+07 3.224032e+07 1.007302e-12 1.920000e-13 2.007421e+08 4.590003e+08 1.444044e-11 8.965455e+04 1.336440e+06 3.433721e+06 4.875400e+04 1.809863e+08 9.597381e+03 2.530428e+04 7.201063e+05 1.920000e-13 1.500176e+03 3.974000e+03 1.198188e-16 2.113430e+10 4.599319e+02 1.163201e+03 3.910630e+06
1.898000e+03 4.467697e+02 8.065364e+07 1.855454e+08 1.355798e+04 3.172523e+03 5.924879e+07 1.570076e+08 7.821294e+04 8.730648e+04 1.315279e+07 3.138386e+07 4.432705e+05 7.235669e+03 1.924613e+08 4.467527e+08 5.272661e+05 9.109242e+04 1.318990e+06 3.412709e+06 4.913650e+04 1.548882e+08 1.207695e+04 3.194593e+04 7.773234e+05 1.920000e-13 1.500176e+03 3.974000e+03 1.198188e-16 6.223120e+09 2.594732e+02 6.099872e+02 6.168262e+05
1.971000e+03 5.342767e+03 7.475479e+07 1.761844e+08 1.528409e+05 4.597246e+03 5.921895e+07 1.569286e+08 1.132799e+05 1.186087e+05 1.334226e+07 3.191284e+07 6.119118e+05 9.961870e+03 1.941570e+08 4.504580e+08 7.320590e+05 9.934581e+04 1.246128e+06 3.029686e+06 4.842539e+04 8.803619e+08 2.650905e+03 5.748268e+03 8.429515e+05 1.920000e-13 1.388578e+03 2.520723e+03 8.556678e-17 1.913092e+10 4.773149e+02 8.566211e+02 2.909215e+06
2.044000e+03 5.216325e+03 7.553129e+07 1.803387e+08 1.521559e+05 4.597246e+03 5.956280e+07 1.578399e+08 1.139377e+05 1.175857e+05 1.389375e+07 3.400419e+07 6.420609e+05 9.900941e+03 1.977474e+08 4.644008e+08 7.473714e+05 9.564422e+04 1.303963e+06 3.215726e+06 4.928017e+04 3.378380e+08 6.320363e+03 1.526884e+04 8.314767e+05 7.168958e+10 1.736000e+02 4.544009e+02 5.132408e+06 1.907453e+10 4.914268e+02 1.029650e+03 3.307576e+06
2.117000e+03 5.116745e+03 7.623396e+07 1.843446e+08 1.519978e+05 4.597246e+03 5.996518e+07 1.589062e+08 1.147074e+05 1.314080e+05 1.260283e+07 3.142888e+07 6.596176e+05 9.789929e+03 2.020381e+08 4.801120e+08 7.613149e+05 9.309046e+04 1.365986e+06 3.423837e+06 5.083111e+04 2.404568e+08 9.274388e+03 2.389070e+04 9.091240e+05 1.920000e-13 1.523476e+03 4.035272e+03 1.216699e-16 1.901600e+10 5.076726e+02 1.208752e+03 3.720907e+06
2.190000e+03 4.395477e+02 7.949680e+07 1.808922e+08 1.304769e+04 1.920000e-13 6.775241e+07 1.795424e+08 5.412788e-12 1.920000e-13 1.398979e+07 3.263226e+07 1.020463e-12 1.920000e-13 2.024622e+08 4.610811e+08 1.452364e-11 9.022594e+04 1.441595e+06 3.668994e+06 5.256628e+04 1.965503e+08 1.220527e+04 3.205362e+04 9.916973e+05 1.920000e-13 1.523476e+03 4.035272e+03 1.216699e-16 2.231073e+10 4.785634e+02 1.220319e+03 4.320976e+06
2.263000e+03 4.394852e+02 7.949713e+07 1.840074e+08 1.320192e+04 3.037518e+03 5.999933e+07 1.589968e+08 7.583333e+04 8.791907e+04 1.334161e+07 3.174377e+07 4.518805e+05 7.273902e+03 1.936293e+08 4.475327e+08 5.316674e+05 9.167474e+04 1.429647e+06 3.680584e+06 5.340662e+04 1.695925e+08 1.515041e+04 4.001899e+04 1.066620e+06 1.920000e-13 1.523476e+03 4.035272e+03 1.216699e-16 6.406621e+09 2.599927e+02 6.111285e+02 6.362276e+05
2.336000e+03 5.264718e+03 7.383822e+07 1.751491e+08 1.494367e+05 4.397718e+03 5.999025e+07 1.589727e+08 1.097748e+05 1.192925e+05 1.354066e+07 3.227997e+07 6.231305e+05 1.000560e+04 1.954264e+08 4.512425e+08 7.376155e+05 9.993459e+04 1.357014e+06 3.311954e+06 5.319142e+04 9.263535e+08 3.294360e+03 6.851623e+03 1.071459e+06 1.920000e-13 1.409726e+03 2.558310e+03 8.685236e-17 1.965691e+10 4.931186e+02 8.826248e+02 3.082887e+06
2.409000e+03 5.139918e+03 7.463739e+07 1.795335e+08 1.489316e+05 4.397718e+03 6.034411e+07 1.599105e+08 1.104224e+05 1.182397e+05 1.411999e+07 3.446368e+07 6.548748e+05 9.943080e+03 1.991705e+08 4.656026e+08 7.535277e+05 9.619670e+04 1.427833e+06 3.549777e+06 5.458658e+04 3.538494e+08 7.970398e+03 1.861695e+04 1.072503e+06 7.216958e+10 1.781072e+02 4.656794e+02 5.296646e+06 1.959646e+10 5.075151e+02 1.058529e+03 3.498538e+06
2.482000e+03 5.041563e+03 7.538315e+07 1.836406e+08 1.488708e+05 4.397718e+03 6.075468e+07 1.609986e+08 1.111737e+05 1.320672e+05 1.281593e+07 3.188379e+07 6.729840e+05 9.829223e+03 2.035692e+08 4.816593e+08 7.678201e+05 9.361890e+04 1.500588e+06 3.788754e+06 5.645079e+04 2.543857e+08 1.139334e+04 2.884786e+04 1.166994e+06 1.920000e-13 1.544342e+03 4.090087e+03 1.233264e-16 1.953477e+10 5.238373e+02 1.241407e+03 3.931134e+06
2.555000e+03 4.323721e+02 7.852562e+07 1.794677e+08 1.271660e+04 1.920000e-13 6.735296e+07 1.784840e+08 5.380879e-12 1.920000e-13 1.420843e+07 3.309597e+07 1.035399e-12 1.920000e-13 2.044052e+08 4.645455e+08 1.464199e-11 9.072829e+04 1.586137e+06 4.057642e+06 5.837374e+04 2.096501e+08 1.466740e+04 3.825980e+04 1.264966e+06 1.920000e-13 1.544342e+03 4.090087e+03 1.233264e-16 2.294880e+10 4.908975e+02 1.250145e+03 4.554852e+06
2.628000e+03 4.323127e+02 7.852704e+07 1.825844e+08 1.286852e+04 2.897117e+03 6.090470e+07 1.613961e+08 7.341958e+04 8.830908e+04 1.356190e+07 3.222917e+07 4.609895e+05 7.277884e+03 1.950976e+08 4.499116e+08 5.351505e+05 9.220510e+04 1.569507e+06 4.053266e+06 5.910312e+04 1.821352e+08 1.796164e+04 4.731190e+04 1.355302e+06 1.920000e-13 1.544342e+03 4.090087e+03 1.233264e-16 6.639120e+09 2.607193e+02 6.126971e+02 6.610537e+05
2.701000e+03 5.185579e+03 7.307993e+07 1.742198e+08 1.461927e+05 4.198189e+03 6.086153e+07 1.612817e+08 1.063163e+05 1.197485e+05 1.376472e+07 3.276918e+07 6.352495e+05 1.000506e+04 1.969613e+08 4.536850e+08 7.421123e+05 1.004906e+05 1.488080e+06 3.629242e+06 5.862371e+04 9.548936e+08 3.942200e+03 7.875224e+03 1.286420e+06 1.920000e-13 1.428638e+03 2.591875e+03 8.800099e-17 2.115937e+10 5.125601e+02 9.023948e+02 3.413109e+06
2.774000e+03 5.062978e+03 7.388205e+07 1.786374e+08 1.457491e+05 4.198189e+03 6.121236e+07 1.622115e+08 1.069292e+05 1.186796e+05 1.436461e+07 3.501066e+07 6.680216e+05 9.941622e+03 2.007874e+08 4.681983e+08 7.581916e+05 9.672155e+04 1.566832e+06 3.893197e+06 6.020368e+04 3.667890e+08 9.577091e+03 2.169586e+04 1.307645e+06 7.252585e+10 1.902001e+02 4.975620e+02 5.686381e+06 2.109221e+10 5.270499e+02 1.078819e+03 3.861330e+06
2.847000e+03 4.966214e+03 7.465820e+07 1.828057e+08 1.457628e+05 4.198189e+03 6.161866e+07 1.632882e+08 1.076390e+05 1.325243e+05 1.303759e+07 3.238784e+07 6.862769e+05 9.826118e+03 2.052437e+08 4.843861e+08 7.725077e+05 9.412349e+04 1.646967e+06 4.156697e+06 6.227377e+04 2.661908e+08 1.346073e+04 3.350823e+04 1.425308e+06 1.920000e-13 1.588006e+03 4.206482e+03 1.268297e-16 2.102743e+10 5.438379e+02 1.263592e+03 4.332638e+06
2.920000e+03 4.254536e+02 7.769534e+07 1.781437e+08 1.240863e+04 1.920000e-13 6.687809e+07 1.772257e+08 5.342943e-12 1.920000e-13 1.442448e+07 3.356932e+07 1.050488e-12 1.920000e-13 2.063817e+08 4.684652e+08 1.477105e-11 9.121130e+04 1.742159e+06 4.455460e+06 6.444339e+04 2.209458e+08 1.706489e+04 4.425870e+04 1.544608e+06 1.920000e-13 1.588006e+03 4.206482e+03 1.268297e-16 2.447680e+10 5.113664e+02 1.280698e+03 5.000496e+06
