year,status,scenario
1981,NA,fmsy1
1982,NA,fmsy1
1983,NA,fmsy1
1984,NA,fmsy1
1985,0.833528645,fmsy1
1986,0.800789674,fmsy1
1987,0.783821199,fmsy1
1988,0.77646243,fmsy1
1989,0.793970472,fmsy1
1990,0.783218576,fmsy1
1991,0.774992597,fmsy1
1992,0.768225595,fmsy1
1993,0.762956314,fmsy1
1994,0.758658293,fmsy1
1995,0.755431182,fmsy1
1996,0.75288008,fmsy1
1997,0.750813073,fmsy1
1998,0.748574112,fmsy1
1999,0.746699346,fmsy1
2000,0.745394252,fmsy1
2001,0.744361063,fmsy1
2002,0.743396286,fmsy1
2003,0.742842025,fmsy1
2004,0.742047181,fmsy1
2005,0.740933791,fmsy1
2006,0.739678836,fmsy1
2007,0.738671146,fmsy1
2008,0.737624591,fmsy1
2009,0.737126654,fmsy1
2010,0.737013503,fmsy1
2011,0.737245554,fmsy1
2012,0.73749944,fmsy1
2013,0.737910736,fmsy1
2014,0.738212711,fmsy1
2015,0.738514507,fmsy1
