year,status,scenario
1981,NA,fmsy05
1982,NA,fmsy05
1983,NA,fmsy05
1984,NA,fmsy05
1985,0.894390173,fmsy05
1986,0.8819687,fmsy05
1987,0.883189101,fmsy05
1988,0.902113108,fmsy05
1989,0.903050432,fmsy05
1990,0.909706981,fmsy05
1991,0.916359651,fmsy05
1992,0.925165841,fmsy05
1993,0.935662321,fmsy05
1994,0.947688465,fmsy05
1995,0.978676451,fmsy05
1996,0.981785881,fmsy05
1997,0.985253442,fmsy05
1998,0.988789844,fmsy05
1999,0.995030044,fmsy05
2000,1,fmsy05
2001,1,fmsy05
2002,1,fmsy05
2003,1,fmsy05
2004,1,fmsy05
2005,1,fmsy05
2006,1,fmsy05
2007,1,fmsy05
2008,1,fmsy05
2009,1,fmsy05
2010,1,fmsy05
2011,1,fmsy05
2012,1,fmsy05
2013,1,fmsy05
2014,1,fmsy05
2015,1,fmsy05
