"year","BioPP","scenario"
2056,0.562270103966262,"fmsy08"
2057,0.409670092700779,"fmsy08"
2058,0.500503240005615,"fmsy08"
2059,0.351866850198355,"fmsy08"
2060,0.440040303656526,"fmsy08"
2061,0.262645304849459,"fmsy08"
2062,0.216040574523003,"fmsy08"
2063,0.30862713068052,"fmsy08"
2064,0.439179368286774,"fmsy08"
2065,0.313635353366256,"fmsy08"
2066,0.367228584840649,"fmsy08"
2067,0.32133286568934,"fmsy08"
2068,0.24148164921822,"fmsy08"
2016,0.2054738315493,"fmsy06"
2017,0.176746161848005,"fmsy06"
2018,0.147925837354963,"fmsy06"
2019,0.113563693102166,"fmsy06"
2020,0.0933719138271011,"fmsy06"
2021,0.174553401414519,"fmsy06"
2022,0.214585449820924,"fmsy06"
2023,0.21967762766135,"fmsy06"
2024,0.2615793102042,"fmsy06"
2025,0.30963864478462,"fmsy06"
2026,0.29852643755078,"fmsy06"
2027,0.359138498974939,"fmsy06"
2028,0.249434212270295,"fmsy06"
2029,0.236304414200002,"fmsy06"
2030,0.400010701209007,"fmsy06"
2031,0.362369177868033,"fmsy06"
2032,0.338937452186721,"fmsy06"
2033,0.201468661383744,"fmsy06"
2034,0.33003890259415,"fmsy06"
2035,0.299889304038866,"fmsy06"
2036,0.329233548905936,"fmsy06"
2037,0.395994423104238,"fmsy06"
2038,0.446190026098013,"fmsy06"
2039,0.361063858764683,"fmsy06"
2040,0.372930136348045,"fmsy06"
2041,0.417970081765548,"fmsy06"
2042,0.438482141553355,"fmsy06"
2043,0.439741292803055,"fmsy06"
2044,0.584347366066059,"fmsy06"
2045,0.401831150708687,"fmsy06"
2046,0.42670280978176,"fmsy06"
2047,0.57138841203924,"fmsy06"
2048,0.389662377898022,"fmsy06"
2049,0.288173440215526,"fmsy06"
2050,0.407815200733066,"fmsy06"
2051,0.368388829060524,"fmsy06"
2052,0.354374819166702,"fmsy06"
2053,0.558671841037597,"fmsy06"
2054,0.572713389943913,"fmsy06"
2055,0.355850453620848,"fmsy06"
2056,0.298847624918215,"fmsy06"
2057,0.468144143371956,"fmsy06"
2058,0.38243988401089,"fmsy06"
2059,0.336014496057769,"fmsy06"
2060,0.287603551387876,"fmsy06"
2061,0.432072814886886,"fmsy06"
2062,0.431339938298878,"fmsy06"
2063,0.349554122597768,"fmsy06"
2064,0.560189548947871,"fmsy06"
2065,0.486088069284341,"fmsy06"
2066,0.365197094405838,"fmsy06"
2067,0.612709554694023,"fmsy06"
2068,0.507906568152361,"fmsy06"
2016,0.205649491186807,"fmsy0"
2017,0.177040141498431,"fmsy0"
2018,0.147339572227478,"fmsy0"
2019,0.111830617885325,"fmsy0"
2020,0.0950278286777142,"fmsy0"
2021,0.175298895058687,"fmsy0"
2022,0.217594726658376,"fmsy0"
2023,0.262198535379555,"fmsy0"
2024,0.272444463654417,"fmsy0"
2025,0.324280348376012,"fmsy0"
2026,0.281981516109083,"fmsy0"
2027,0.363344471742491,"fmsy0"
2028,0.328306115027589,"fmsy0"
2029,0.406832996491824,"fmsy0"
2030,0.331362551186338,"fmsy0"
2031,0.334796926365554,"fmsy0"
2032,0.227576130728173,"fmsy0"
2033,0.238581329654807,"fmsy0"
2034,0.280128717768735,"fmsy0"
2035,0.347963336058617,"fmsy0"
2036,0.281845762323801,"fmsy0"
2037,0.489757504443768,"fmsy0"
2038,0.385053083603985,"fmsy0"
2039,0.455341323585154,"fmsy0"
2040,0.369073429352762,"fmsy0"
2041,0.670886570595793,"fmsy0"
2042,0.565636367697876,"fmsy0"
2043,0.702952150901286,"fmsy0"
2044,0.603037644996422,"fmsy0"
2045,0.812484270829724,"fmsy0"
2046,0.709565530997283,"fmsy0"
2047,0.646371495286062,"fmsy0"
2048,0.468510776807762,"fmsy0"
2049,0.545096646075931,"fmsy0"
2050,0.40546076636431,"fmsy0"
2051,0.710168201763093,"fmsy0"
2052,0.497614930164355,"fmsy0"
2053,0.911885213965366,"fmsy0"
2054,0.772055896134852,"fmsy0"
2055,0.772816561516243,"fmsy0"
2056,0.575321328486857,"fmsy0"
2057,0.639990039372605,"fmsy0"
2058,0.449794861123808,"fmsy0"
2059,0.356804218937071,"fmsy0"
2060,0.238634169360357,"fmsy0"
2061,0.74460721634968,"fmsy0"
2062,0.565084776567561,"fmsy0"
2063,0.735947975873289,"fmsy0"
2064,0.579732970063109,"fmsy0"
2065,0.791791506825421,"fmsy0"
2066,0.747540207416022,"fmsy0"
2067,0.820784049078178,"fmsy0"
2068,0.622723557969483,"fmsy0"
