"year","PelBioPP","scenario"
2049,0.00593259320489872,"fmsy08"
2050,0.00644011469203516,"fmsy08"
2051,0.00594906213566845,"fmsy08"
2052,0.00398196694113861,"fmsy08"
2053,0.00325812278201096,"fmsy08"
2054,0.0119279939801656,"fmsy08"
2055,0.0127510241605905,"fmsy08"
2056,0.0123676768674459,"fmsy08"
2057,0.00885923002429102,"fmsy08"
2058,0.0118469122676118,"fmsy08"
2059,0.00803694897412143,"fmsy08"
2060,0.00890684272123493,"fmsy08"
2061,0.00628208201088376,"fmsy08"
2062,0.00551143379640064,"fmsy08"
2063,0.00658525495773227,"fmsy08"
2064,0.0104249946044579,"fmsy08"
2065,0.00736795486348844,"fmsy08"
2066,0.0077043600032414,"fmsy08"
2067,0.00763127622094866,"fmsy08"
2068,0.00559225262107499,"fmsy08"
2016,0.00354421242996531,"fmsy06"
2017,0.00319748515821325,"fmsy06"
2018,0.00275428102535021,"fmsy06"
2019,0.00211264134149224,"fmsy06"
2020,0.00174396452769806,"fmsy06"
2021,0.00309934670352364,"fmsy06"
2022,0.00370374186666582,"fmsy06"
2023,0.00388740785833822,"fmsy06"
2024,0.00462289634458405,"fmsy06"
2025,0.00527375605575981,"fmsy06"
2026,0.00596718505125207,"fmsy06"
2027,0.00628641035577014,"fmsy06"
2028,0.0050565205804441,"fmsy06"
2029,0.00475755314302887,"fmsy06"
2030,0.00793298008590677,"fmsy06"
2031,0.00754375901186674,"fmsy06"
2032,0.00651161168532196,"fmsy06"
2033,0.00431264887937414,"fmsy06"
2034,0.00685478357089206,"fmsy06"
2035,0.0066176782123455,"fmsy06"
2036,0.00734137941876551,"fmsy06"
2037,0.00786164334607757,"fmsy06"
2038,0.00863193622809734,"fmsy06"
2039,0.00796717324397574,"fmsy06"
2040,0.00775520983079183,"fmsy06"
2041,0.00930712805456319,"fmsy06"
2042,0.0090337403184549,"fmsy06"
2043,0.0101166199851014,"fmsy06"
2044,0.0121321182607559,"fmsy06"
2045,0.0101255935510598,"fmsy06"
2046,0.00956903287284503,"fmsy06"
2047,0.0111520441942961,"fmsy06"
2048,0.00978329908681056,"fmsy06"
2049,0.00661046923166293,"fmsy06"
2050,0.00874728404226008,"fmsy06"
2051,0.00907816432973552,"fmsy06"
2052,0.00810976399966284,"fmsy06"
2053,0.0121611081111083,"fmsy06"
2054,0.0116603706160488,"fmsy06"
2055,0.00832646013115114,"fmsy06"
2056,0.00712763218152671,"fmsy06"
2057,0.0101600931559693,"fmsy06"
2058,0.00946620497698674,"fmsy06"
