"year","PropPel","scenario"
2028,0.000636551177066542,"Strict Conservation"
2029,0.000669560438075634,"Strict Conservation"
2030,0.000702512141527008,"Strict Conservation"
2031,0.00066771555667315,"Strict Conservation"
2032,0.000644800694599453,"Strict Conservation"
2033,0.000669563705533668,"Strict Conservation"
2034,0.00067867532287825,"Strict Conservation"
2035,0.000683148520610259,"Strict Conservation"
2036,0.000691590978798681,"Strict Conservation"
2037,0.000701726538424294,"Strict Conservation"
2038,0.000703108536075504,"Strict Conservation"
2039,0.000731218885302404,"Strict Conservation"
2040,0.000717257915754172,"Strict Conservation"
2041,0.00074791226646227,"Strict Conservation"
2042,0.000734646554759938,"Strict Conservation"
2043,0.000748377209121632,"Strict Conservation"
2044,0.00074874325743051,"Strict Conservation"
2045,0.000752803871025775,"Strict Conservation"
2046,0.000737790410845467,"Strict Conservation"
2047,0.000746341986283841,"Strict Conservation"
2048,0.000744002136119001,"Strict Conservation"
2049,0.000738285917378965,"Strict Conservation"
2050,0.000741553871693329,"Strict Conservation"
2051,0.000759491012502725,"Strict Conservation"
2052,0.00073200266406946,"Strict Conservation"
2053,0.000736072314877245,"Strict Conservation"
2054,0.000732168275765988,"Strict Conservation"
2055,0.000725472480887947,"Strict Conservation"
2056,0.000728290988298909,"Strict Conservation"
2057,0.000726859080373164,"Strict Conservation"
2058,0.000707917744063386,"Strict Conservation"
2059,0.000695950156069927,"Strict Conservation"
2060,0.000674343915935611,"Strict Conservation"
2061,0.000722063150344388,"Strict Conservation"
2062,0.000725024491740477,"Strict Conservation"
2063,0.000728907113694627,"Strict Conservation"
2064,0.000709489331858489,"Strict Conservation"
2065,0.000706867676131752,"Strict Conservation"
2066,0.000705220698186919,"Strict Conservation"
2067,0.000715210282744843,"Strict Conservation"
2068,0.00068583339480237,"Strict Conservation"
