"year","scenario","PelBioPP","BioPP","PelDem","DemPP","PropPel","PropPred"
2010,"Global Sustainability",0.00318498098057483,0.177871589272823,2.10698084347817,0.00151163262372956,0.000587773445881362,0.000289164188194961
2011,"Global Sustainability",0.00377868656212054,0.222990309086135,2.19480377513398,0.00172165120405348,0.000620516917556275,0.000289046247191721
2012,"Global Sustainability",0.00355460337764338,0.216651810961071,2.19975107737985,0.00161591164300158,0.000594383868291511,0.000277465212391032
2013,"Global Sustainability",0.00306928313092332,0.17488668165066,2.23853418452308,0.0013711129149351,0.000581207776314564,0.000265517746492348
2014,"Global Sustainability",0.00337995419897926,0.1717761746156,2.30804442514314,0.00146442337164704,0.000594735529460621,0.00026704642569035
2010,"Precautionary Fishing",0.00318498098057483,0.177871589272823,2.10698084347817,0.00151163262372956,0.000587773445881362,0.000289164188194961
2011,"Precautionary Fishing",0.00377868656212054,0.222990309086135,2.19480377513398,0.00172165120405348,0.000620516917556275,0.000289046247191721
2012,"Precautionary Fishing",0.00355460337764338,0.216651810961071,2.19975107737985,0.00161591164300158,0.000594383868291511,0.000277465212391032
2013,"Precautionary Fishing",0.00306928313092332,0.17488668165066,2.23853418452308,0.0013711129149351,0.000581207776314564,0.000265517746492348
2014,"Precautionary Fishing",0.00337995419897926,0.1717761746156,2.30804442514314,0.00146442337164704,0.000594735529460621,0.00026704642569035
2010,"Strict Conservation",0.00318498098057483,0.177871589272823,2.10698084347817,0.00151163262372956,0.000587773445881362,0.000289164188194961
2011,"Strict Conservation",0.00377868656212054,0.222990309086135,2.19480377513398,0.00172165120405348,0.000620516917556275,0.000289046247191721
2012,"Strict Conservation",0.00355460337764338,0.216651810961071,2.19975107737985,0.00161591164300158,0.000594383868291511,0.000277465212391032
2013,"Strict Conservation",0.00306928313092332,0.17488668165066,2.23853418452308,0.0013711129149351,0.000581207776314564,0.000265517746492348
2014,"Strict Conservation",0.00337995419897926,0.1717761746156,2.30804442514314,0.00146442337164704,0.000594735529460621,0.00026704642569035
