"year","scenario","PelBioPP","BioPP","DemPel","DemPP","PropPel","PropPred"
2015,"Global Sustainability",0.00358814847749366,0.198624005641124,0.444997424453374,0.00159671683104097,0.000585281300570359,2.41978423490222
2016,"Global Sustainability",0.00347026257772076,0.205399159396671,0.442105919092671,0.00153422362641614,0.000556160930634879,2.37697018222406
2017,"Global Sustainability",0.00308641217806638,0.176641330739385,0.424821962196661,0.00131117567763383,0.000546861700005508,2.32498982292371
2018,"Global Sustainability",0.00263640179158356,0.14826164477337,0.415496040066708,0.00109541450442774,0.000524301012507529,2.26985482681841
2019,"Global Sustainability",0.00201263119323276,0.11417584155413,0.417186427115317,0.000839642416605613,0.000479104577513763,2.17072370985753
2020,"Global Sustainability",0.00165670379608214,0.0926208595734631,0.443730706473345,0.000735130345852598,0.00043734822956389,2.13177743050415
2021,"Global Sustainability",0.00294942569695348,0.178161071497565,0.449233306656547,0.0013249802585802,0.000483210441069616,2.43407700994519
2022,"Global Sustainability",0.00344252071410226,0.207279821182383,0.453918208005421,0.00156262283356684,0.000493831161588974,2.3881599953657
2023,"Global Sustainability",0.00369244080648602,0.218582384973418,0.420701751255214,0.00155341631369488,0.000519407448616701,2.35677023473753
2024,"Global Sustainability",0.00373060796398116,0.223677122263292,0.415480627545673,0.00154999533800178,0.000516462112494789,2.34201923572825
2025,"Global Sustainability",0.00422615968211666,0.284014447195255,0.411945276522496,0.00174094651887777,0.000520030635606258,2.32431903102912
2026,"Global Sustainability",0.0043100687253661,0.210936003927247,0.384277779584937,0.00165626363964216,0.00055610229583578,2.32354846995136
2027,"Global Sustainability",0.00518802490198086,0.280465905571292,0.384792053691879,0.00199631075663782,0.000562925640841281,2.35685385903926
2028,"Global Sustainability",0.00484146391283469,0.282469517410599,0.392295641043634,0.00189928518927511,0.000540542906729599,2.30301345710266
2029,"Global Sustainability",0.00446872019003765,0.267334243281523,0.377913775012738,0.00168879091649277,0.000555337710281104,2.25923440376783
2030,"Global Sustainability",0.00423391634317556,0.190219798716987,0.359189302354019,0.00152077745753051,0.000572732368358824,2.2572674242284
2031,"Global Sustainability",0.00358207352244915,0.178104552991199,0.367903111793152,0.0013178559955809,0.000532337732773268,2.22323042133275
2032,"Global Sustainability",0.00384840760633501,0.214333132313605,0.382187206222252,0.00147081215146964,0.000526329040310031,2.24929836847377
2033,"Global Sustainability",0.00417455598659641,0.191453141888663,0.363513204211662,0.00151750622284864,0.000548854029545373,2.26220796975781
2034,"Global Sustainability",0.00492475194532259,0.231517378753933,0.36585471937229,0.00180174374093414,0.000554142806941573,2.28952227396244
2035,"Global Sustainability",0.00532547038039405,0.274336181252133,0.366246265000972,0.00195043363619263,0.000547631898177848,2.26650554834095
2036,"Global Sustainability",0.00629314516497306,0.355093182365785,0.352670496497503,0.00221940662986191,0.000568320465701126,2.282102240921
2037,"Global Sustainability",0.0042428026281265,0.220398281230121,0.359965214825468,0.00152726135949562,0.000528163064322629,2.17400082937856
2038,"Global Sustainability",0.00331308248941704,0.162927457867843,0.369191435132106,0.00122316167897893,0.00049709760768263,2.13724012695076
2039,"Global Sustainability",0.0043734823077215,0.224657049520534,0.353258092116359,0.00154496801593035,0.00052789309280786,2.23780540957714
2040,"Global Sustainability",0.00467916674796045,0.217960381377651,0.358314751340899,0.00167661446977805,0.000530161122338185,2.24492043029584
2041,"Global Sustainability",0.0059398825533787,0.288895204428313,0.350384728337907,0.00208124413482467,0.000538525523156078,2.27039926013731
2042,"Global Sustainability",0.00571310174621833,0.28712642555043,0.358743046469226,0.00204953552522702,0.000512753190831817,2.23135453030259
2043,"Global Sustainability",0.00624857158235496,0.327754857593965,0.343126323218256,0.00214404939241954,0.000528818644968078,2.20401124027153
2044,"Global Sustainability",0.00700077162834369,0.311066851231046,0.330100525840444,0.00231095839580511,0.000554750075161737,2.22652782758611
2045,"Global Sustainability",0.00526851154883496,0.223145424965032,0.334596429241127,0.00176282515165582,0.00052650129698404,2.17193584808401
2046,"Global Sustainability",0.00624944222598936,0.333047655480985,0.336199279296801,0.00210105797238462,0.000524004807345809,2.20312267879497
2047,"Global Sustainability",0.0055459242542447,0.267561935936702,0.333437777603597,0.00184922065809324,0.00052524334299668,2.18448697198354
2048,"Global Sustainability",0.0050166581269784,0.223052156512118,0.327127116292582,0.00164108490650419,0.000520437765590336,2.16048445687883
2049,"Global Sustainability",0.00480511529614451,0.251421047920386,0.331885681788983,0.00159474896613559,0.0005025062517439,2.15196639155883
2050,"Global Sustainability",0.00444858548966818,0.202087665143178,0.332519335927147,0.0014792406928396,0.000499671940852192,2.14170623955079
2051,"Global Sustainability",0.00407473826860171,0.185922603010156,0.337551590774361,0.00137543438455567,0.000490692882460805,2.1274815986627
2052,"Global Sustainability",0.00533172066223658,0.263777204002297,0.336454571610224,0.00179388179135819,0.000491856596406033,2.17242647464097
