Binomial,ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Group,Change FMSY2,Change FMSY0,
LRD,18,517108.5751,519718.3154,521868.3414,516529.0467,514771.3522,515806.7034,513495.3273,512011.9266,516946.8899,522005.6345,528388.399,537095.8131,544623.3796,548180.7918,550920.5673,554390.2227,558441.9459,563612.7916,563463.2911,561820.9315,558730.6492,553865.8755,553694.5794,555241.5534,560480.7034,563975.1231,563989.5828,562015.9253,561540.0702,559629.7149,554613.4776,553654.5005,557810.2798,558049.1949,558437.8541,DEM,7.992379355,-13.4789147,21.47129406
SSK,19,99254.12328,99339.7602,99734.669,99949.58024,100366.7211,101202.5741,102014.5415,102764.5482,103772.2474,104450.5805,105174.235,105829.7092,106220.1267,106541.9853,106724.8288,106899.1731,107060.1259,107218.8897,107359.9534,107419.9083,107522.9565,107361.0753,107474.6063,107783.0288,108059.6766,108329.6269,108567.4673,108663.6883,108732.8666,108857.9541,108580.361,108703.9178,108800.2192,108819.6046,108920.2536,SHA,9.738769535,9.400696698,0.338072837
MES,20,4259520.471,4299697.202,4316981.488,4143587.182,4181863.758,4066697.798,4083792.37,4025078.315,4010471.902,4205595.256,4269353.938,4240957.145,4338993.085,4313521.869,4258016.563,4335605.179,4357417.98,4318712.273,4409812.914,4337597.146,4108028.439,4239241.959,4270841.514,4195618.22,4269139.339,4217540.632,4141287.665,4183025.619,4161163.458,4010129.05,4058947.901,4098699.285,4063383.02,4102712.879,4084229.561,PEL,-4.115273332,-10.04438594,5.929112612
GRH,21,230357.1262,192795.0503,160661.9745,134493.3214,113440.8407,97786.24074,85163.86678,75138.34574,68510.97522,62964.12803,58450.69241,55795.61435,53344.97471,50553.49029,48531.01433,46460.74229,44926.60835,43161.89322,41771.58118,40231.70647,38855.78928,37881.65468,36807.923,36702.06925,36745.2066,36805.55647,36442.14747,35977.45788,35540.96493,35195.46516,34465.51095,33806.963,33471.70463,33227.28577,33386.07128,DEM,-85.50682072,-2.529662873,-82.97715785
MAC,22,2481173.593,2414306.41,2394394.624,2365243.935,2427942.128,2398412.184,2418696.847,2424402.832,2748104.5,2484794.631,2195842.962,2150850.584,2133730.238,2092001.612,2027970.827,2062811.086,2108576.911,2083483.538,2107484.329,2132899.611,2453084.819,2591407.939,2428684.252,2156981.571,2152793.859,2141369.148,2132758.976,2111966.466,2131123.716,2428904.879,2126324.669,2153576.542,2138059.635,2151826.433,2144511.43,PEL,-13.56866621,-4.667901483,-8.900764727
HAD,23,5047682.75,3404788.336,2436968.205,1832393.922,1478965.161,1274950.424,1127710.857,1020535.301,944697.1034,888922.7976,846665.0219,817352.1725,798561.409,778801.6535,762911.0953,749662.1877,736460.6929,728288.9703,716661.0203,707406.728,697118.7237,688746.7323,685997.9167,684222.8282,683048.229,682071.4554,680397.7488,675369.4882,674160.4387,671756.5755,663772.4119,661123.3382,666381.0763,670855.3294,673408.6047,DEM,-86.6590545,-6.832307399,-79.8267471
SAI,24,1115823.261,957283.4982,823603.4725,687967.9681,591458.7718,505267.9522,429263.172,369066.1044,318150.3365,274421.9521,241259.9748,215324.8866,193510.2732,176905.0623,163952.2849,154278.5009,147583.785,141325.6339,136259.027,132609.9103,130240.0814,127096.7793,123814.0977,121072.7075,118388.685,116107.2493,114039.0485,111812.5926,109769.8544,108728.3791,107312.0036,106208.0861,105504.1568,104399.645,103472.4526,PEL,-90.72680628,-2.882479447,-87.84432683
RED,25,430596.6463,340560.1837,285730.1389,228715.3197,196045.8551,172499.1576,140636.0842,133267.2782,115649.9367,117958.4665,117000.3314,130303.7217,122642.038,103492.2201,94793.54966,95774.11129,97638.47619,97066.48388,96088.47578,100697.2927,88784.37795,86055.10071,83599.89845,84479.38599,83423.20261,79869.98785,81020.10033,80811.55344,77529.51713,64679.73676,65447.04789,75239.07972,73773.69396,69723.48869,71428.05945,DEM,-83.41184028,28.92128305,-112.3331233
BWH,26,888603.8287,891593.1612,903017.6442,912803.5638,922529.0091,936525.5642,948538.1262,958378.7671,965897.6286,965509.1488,969838.9483,979119.83,976902.7958,981985.8572,979166.3352,979547.1666,988047.178,978568.2857,976969.092,984688.831,991655.9607,993603.6516,982692.9168,982610.9484,985555.8886,981966.863,982261.9313,978501.0675,982655.0085,994727.7566,993929.5283,995079.4299,986569.5292,986265.8702,986324.0342,MM,10.99704979,0.556551951,10.44049784
SSH,27,1536852.261,1575922.706,1615352.851,1671014.126,1728919.67,1789729.208,1818898.464,1837972.134,1874101.47,1920698.932,1972788.773,2007938.6,2062299.029,2088814.375,2072812.382,2098283.548,2126500.605,2180666.936,2195261.57,2241642.974,2259533.733,2268527.018,2268275.474,2280029.115,2282547.645,2290841.726,2299739.65,2309169.554,2313614.827,2307280.185,2278676.359,2294959.137,2326819.673,2333563.071,2329656.501,PEL,51.58623637,0.365328345,51.22090802
NCO,28,1526691.729,1065952.894,830412.1059,690251.8033,584255.9384,549317.5171,520751.526,460481.8963,405574.7552,388766.5662,372507.7937,361751.941,350290.8379,317211.9212,304139.6241,305408.121,297822.6581,309675.6919,290736.0552,275542.5003,286117.8568,280354.7997,274906.5706,283350.4294,277740.6921,275174.3357,280627.483,281017.4312,273185.4748,266363.6692,259537.1421,259885.0636,270225.1857,276633.744,271943.2702,DEM,-82.18741446,-2.879397976,-79.30801648
PCO,29,173322.5059,182230.4944,178055.5458,185556.1938,187761.3723,192873.0113,199588.0057,203330.5822,197881.4528,188895.0193,168294.2832,169136.1576,158220.2375,155421.1666,163399.016,165285.9344,159042.6939,164134.3456,170187.0416,172145.9418,179940.8508,159834.8188,143594.1567,152800.7118,165564.1568,166667.1771,172689.7484,166188.6336,161056.8057,150791.7532,156771.662,154522.4369,154003.8097,146925.313,146825.3677,DEM,-15.28776546,-1.624744179,-13.66302128
CAP,30,1410315.892,59814973.78,40347192.68,12341207.49,1221772.383,10593916.08,5787077.198,2262938.508,3651139.914,2965043.153,1645434.066,1077926.611,2236386.764,4787839.841,2179658.794,725539.7083,2777410.721,2805293.206,2969311.26,1855980.903,2022442.8,1084368.98,1672787.156,1081108.74,1369369.147,1290064.491,2131262.26,1425954.784,2113349.558,1177420.645,1244663.052,1347227.27,695314.5926,830864.4417,970715.0813,PEL,-31.17037915,-64.89503214,33.72465299
PWN,31,36932166.79,28571985.09,29795770.73,41418500.88,61624488.06,108843982.1,54299080.2,82984333.62,83624507.27,72595358.83,94509911.45,95369936.73,123480545,102500594,118105735.9,91967861.79,70694505.87,106105318.3,90433655.12,115173300.6,59658319.5,60026050.36,95781172.09,99700517.38,91950053.62,100265138.8,109232713.3,76268555.71,106915397.7,58139474.37,58820323.28,70516096.94,90064575.12,85806122.94,84646990.97,EB,129.1958429,119.5464565,9.649386399
CEP,32,17592030.76,18498579.33,16814840.06,17077942.41,19066806.8,19209660.44,19114429.23,16653597.48,15723426.71,16388433.61,16108355.67,16584549.81,16295089.2,15682651.1,15420330.22,17351902.07,17512423.74,16446546.03,15991329.81,16256067.78,17407967.96,17724944.06,16864025.2,16836543.73,17296942.53,17341728.92,17418175.84,17503160.5,18732745.74,19131065.17,17679706.02,17343909.87,17959884.89,17699025.07,17449750.14,SQ,-0.808778827,12.53224173,-13.34102056
KCR,33,16793655.65,17297658.59,19157551.82,22876417.05,29208576.32,35340629.81,40808575.92,44887407.65,47457570.81,49783637.02,52773626.21,59397830.82,74211921.87,100784233.8,134795455.1,164962390,184908002,197465544.1,124644891.8,98883191.49,90756976.4,88595488.75,88744741.76,89850303.44,89877608.97,89083756.18,89658508.5,90319080.44,90268167.51,89519885.22,89418505.3,89228957.22,89416618.58,89457556.24,90235365.29,EB,437.3181824,187.4247865,249.8933959
SCR,34,8742.881657,7555.304909,27988.12814,40408.68373,39244.70055,34121.24567,24178.83949,16983.84608,11651.89775,16068.17459,18603.97931,18853.11612,14402.39784,9228.536224,6023.449308,3910.667085,3076.996451,2826.852382,2718.103078,2616.366251,2560.46784,2521.33913,2472.315852,2435.241367,2399.181476,4358.12287,10119.71359,12260.2629,12385.79386,10140.20642,7831.495886,6090.326445,5064.958514,4511.057517,4161.749331,EB,-52.39842544,-55.72120249,3.322777049
ZG,35,6419573.535,6811001.282,6788527.648,6783535.305,6735985.723,6753836.193,6718447.927,6793464.738,6760756.772,7004660.517,7018612.131,7152502.513,7125529.863,7526370.684,7473178.359,8285711.117,8300326.035,8548746.487,8494525.719,8515177.984,8940296.686,9339874.385,9282169.224,9639119.502,9578317.304,9962859.289,9886441.409,10256634.19,10614222.81,10970743.76,10968997.5,12140255.26,12043590.84,12450730.11,12375313.62,ZOO,92.77469995,43.96685602,48.80784393
ZL,36,442941507.2,409233645,360816875.5,318763140.3,323561578.1,310594578.7,275753071.4,301628680,269161686,320600187.5,383333520.8,377035774.7,362413885.1,315251333.1,380541628.8,359225245.3,374256465.6,351730871.7,312229266.1,290352157.8,315699362.2,316198993.2,353075584.2,385967953.4,378950278.9,396694772.8,370213761.4,333832709.8,317387434.3,312007012.5,276796576.9,342848054.3,337598562.8,355868944.1,364955179.7,ZOO,-17.60646185,-7.984051987,-9.622409863
ZM,37,148068137.7,211808365.7,257903783.6,219016653.9,299666922.7,377932956.4,251925624.5,212910967.9,142376622.3,186051017,245100077.3,169906220.1,213163627.2,213559370.3,204205947.6,229000214.4,274482819.1,215000616.4,245700966.2,272755599.8,139668880.1,167950405.6,253318480.1,170163321.3,229486637.4,227917597.4,177393227.9,181393521.7,270765996.3,196721260.6,235234394.6,264667712.4,203692605.5,204032600.5,256609563.7,ZOO,73.30505245,61.45267142,11.85238103
ZS,38,42863287.84,17602087.83,38815256.27,31901456.49,35342558.42,83013310.06,30112027.5,44826608.63,3420678.302,31978577.49,93754322.82,35982676.56,25668218.08,2052524.904,40882449.82,21057933.91,51669514.87,19966736.7,3854227.715,25347161.46,7774294.324,32264209.97,74961220.31,70068499.23,36508799.95,34099378.11,25689796.83,4931134.515,18239479.77,33510641.89,886848.2028,34430569.2,28788573.49,54410638.74,48156815.04,ZOO,12.34979272,35.75200629,-23.40221357
DF,39,1331.783053,1258.940528,1225.609871,520537.3165,1125.326719,1065.788884,1012.851458,522704.0161,1876.336874,156649.7606,887.597846,909.731018,858.274615,1082.994612,830.806444,803.112716,12779334.5,787.389931,780.223834,889.87147,16444.04105,772.598908,770.914869,769.744044,775.227892,612021.5876,767.880805,783.412622,766.439943,1057.574817,766.558751,764.665744,764.592571,765.373555,769.876815,PP,-42.19202495,-42.51667113,0.324646185
PS,40,29417338.67,29246665.15,29196136.45,29010593.35,28897684.98,95037147.75,28674167.03,30712641.2,28609007.72,28340448.62,28240806.61,28119475.71,28010787.55,27900994.97,28693394.09,27684380.88,33120959.54,27469175.45,27399183.59,27255840.77,27407862.16,27044148.46,26938831.4,26834212.09,27099433.02,27138885.86,26521954.87,26419002.84,26316076.28,26369325.1,26111860.85,61602417.84,25908783.57,26007195.88,25707457.9,PP,-12.61120461,-81.4557499,68.84454529
BFF,44,4632217.824,4619607.21,4601148.397,4562689.752,4472163.273,4210128.948,4013516.333,3952061.665,3891288.196,3864758.862,3845527.694,3794295.278,3751567.732,3739016.748,3727824.256,3689060.844,3703256.484,3640685.083,3631962.097,3618635.635,3601839.823,3586800.826,3541796.48,3534784.838,3531495.981,3520061.858,3497839.652,3482807.63,3470355.356,3452505.573,3400003.488,3416341.723,3412414.873,3381629.731,3364081.919,FF,-27.37643075,-24.04478439,-3.331646357
SPO,45,9879361.51,9889145.065,9920338.938,9942835.909,9961159.344,9974023.806,9981963.782,9999402.009,10015449.54,10051937.81,10063812.2,10075647.71,10084758.38,10108890.45,10143768.82,10170679.53,10186375.62,10211654.88,10219156.56,10233532.21,10276764.51,10300804.65,10310122.86,10328614.04,10342179.75,10404831.19,10421012,10441213.64,10452487.56,10471831.66,10491957.28,10538291.7,10557994.41,10578324.75,10602572.22,FF,7.320419536,5.944692362,1.375727174
COR,46,10373070.36,10396804.82,10636002.42,10836646.14,10882816.4,10928506.11,10942795.27,11043341.51,11105246.11,11502862.22,11607473,11695131.02,11764435.22,12105731.6,12538947.13,13098689.01,13235769.07,13578778.26,13585457.65,13704487.73,14364169.12,14709511.74,14893789.32,15286333.49,15366721.42,16270207.1,16758552.58,17094612.81,17182648.27,17432438.25,17549864.23,18503805.14,18754358.57,19339564.46,19549158.92,FF,88.46067983,73.1872073,15.27347253
