Binomial,ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102
SHO,11,553167.332,566605.8754,576669.6864,587376.6669,594700.553,600405.5985,607207.5369,613847.3244,616734.621,619718.5868,622511.729,623139.5268,623065.911,625514.3213,625185.526,626155.5212,626443.7547,627863.9755,627999.7198,627613.5736,627362.2625,628130.0075,629068.9804,631428.6551,631536.5601,632608.3895,632616.9067,632773.1993,631463.299,631673.6252,631166.283,628893.9157,627240.8414,626333.5049,624716.8211,624559.9383,623228.4121,622486.5067,621409.7024,621993.2893,620568.297,620945.4198,617042.3911,616408.4931,615356.7132,614841.0975,615500.7612,615451.9711,614751.3186,615277.2819,614506.1845,613889.3541,612152.5518,611241.3403,610824.7689,611492.2821,611062.1755,612750.4253,609950.6908,609578.8942,611895.4935,612307.7307,610440.0456,609227.7367,609279.2185,609773.3246,603555.3474,604854.8653,607224.5089,608949.2293,611196.8867,616166.0026,617485.323,619355.9506,621160.4424,622792.1685,622903.4993,623204.6887,624401.8438,624853.9859,626657.4398,629142.9276,627739.5504,628329.8396,627945.812,629384.6893,629403.7902,631075.5988,631881.4248,633832.3433,635416.9684,636121.411,633555.23,633435.6798,632092.656,630707.1532,628904.3266,628197.4242,628064.4114,626866.6637,625755.9652,623302.308,621739.0829,620292.0738,618804.5667,617113.1225,613646.4703,614458.8786,614722.1422,610384.0164,607186.1524,608615.8847,607395.6908,605227.5429,603934.6376,603725.3036,602093.03,601278.5151,598895.7816,596261.9554,593403.0764,585047.6721
DEO,12,1518031.604,1529841.208,1549963.126,1591992.552,1589501.421,1551293.497,1537375.685,1526441.329,1508866.849,1500264.057,1518391.918,1523462.903,1510618.635,1514517.495,1517176.278,1515906.462,1511981.013,1503220.082,1510646.208,1526366.037,1522573.768,1510401.352,1506280.496,1498597.532,1498910.939,1500864.971,1512415.96,1518767.984,1499986.301,1475163.902,1469317.651,1471698.106,1470903.916,1484489.444,1504918.364,1503396.157,1492540.093,1479970.43,1468545.961,1461807.807,1464134.911,1476281.385,1462592.387,1441787.681,1432353.371,1427781.914,1420064.889,1413894.025,1422943.007,1424014.903,1414038.381,1396877.188,1391755.699,1374588.833,1380828.504,1396645.046,1413674.305,1401964.493,1383861.844,1385200.561,1384296.837,1401642.103,1408378.041,1395321.835,1383339.323,1374815.959,1361260.781,1375502.695,1404416.069,1404330.371,1390992.64,1384560.242,1379153.029,1390384.578,1416160.309,1427310.382,1421043.948,1419787.321,1413691.376,1419825.695,1429407.694,1452834.034,1445653.051,1438396.26,1442144.471,1435707.553,1427369.281,1421083.175,1434910.946,1430342.482,1422029.788,1425988.144,1428712.053,1422982.197,1427892.83,1429748.587,1407705.786,1391119.383,1377095.742,1359511.122,1355790.883,1371873.864,1357795.822,1338171.93,1346613.242,1350456.468,1339757.312,1308678.446,1319033.34,1317292.607,1274486.088,1254322.841,1245297.117,1238117.089,1216961.118,1204812.673,1199844.467,1196328.338,1180338.001,1142161.068,1127887.281,1220542.383
PEL,13,89695.04048,89372.29048,90314.83255,90959.50485,92882.80676,93556.4249,94645.60431,94435.88526,93520.89858,92436.47358,94002.76652,94297.8287,92603.76207,90363.06466,89567.75666,89252.90511,88836.46744,89192.72712,89712.94305,89528.86336,89296.38129,88875.04566,90215.32225,90993.36915,88682.66351,88193.85658,88298.81054,88173.34098,89889.58704,88877.93756,87263.91338,87903.39859,87779.72537,87839.24374,87831.12213,87474.96121,89170.82998,89032.43661,87647.69062,86481.74976,86062.12868,87935.60365,87862.70436,87317.55123,88616.75192,88737.58819,89190.80301,88137.1954,89365.7458,87626.91939,88321.84446,87693.96223,88177.3295,86860.36021,83904.02376,84452.30791,85335.46872,87111.32487,87043.79942,84637.46233,84267.62978,83864.44801,84160.6128,83603.44876,82811.86597,82689.40378,79399.30344,81795.38103,85839.2773,88623.58103,90092.06992,92667.97955,93301.45429,94256.49932,92836.24094,93515.84379,91897.91727,91789.28697,90232.67245,91034.3032,90285.41461,90800.21736,90481.68678,89074.68643,89877.0213,90303.11091,89662.34715,90241.32105,89605.97864,88646.47965,87398.44535,85256.23183,83246.02448,82939.06605,82880.27782,82287.84027,81875.56029,81180.4382,82334.99986,81579.62108,81051.20599,80087.8146,81083.53787,79932.13377,78838.01432,77965.05123,77583.03091,77443.76493,76339.39485,75901.92131,75301.47903,74433.8904,75397.11089,74823.85251,74244.1762,73636.48583,73019.33136,72572.84714,73181.83955,72503.7509,72232.25739,76084.68471
PES,14,445379.3832,450259.2514,454412.1547,457310.0638,459469.9424,462274.167,465358.9813,469559.9831,472575.6704,475170.6082,476981.2084,479699.5676,478277.3168,477573.7897,476949.78,476509.8114,475896.6497,476052.6211,476408.94,476291.3728,476701.2403,476411.5965,477561.4571,476820.7899,474782.0151,473335.3428,472841.1463,471507.0432,473725.3336,472475.9728,470092.7354,468711.5053,466654.292,465308.3504,464880.9382,465386.6998,469140.6588,471388.0758,468380.0177,464900.9053,462901.9613,465982.4156,469516.8473,469441.1319,470581.972,471134.6175,472298.8663,471448.9884,472414.6944,470879.3761,471175.5555,469075.4766,469471.9341,464899.6171,459685.7694,456200.7926,457189.8858,459704.7088,456932.0325,452580.7853,449056.2806,446634.1319,445190.1287,443515.4638,442186.3875,441946.8336,439282.0147,440454.5326,446829.5332,454335.6578,458497.3504,464031.2989,468309.9472,473012.6526,476053.2616,477399.2469,476560.8307,476962.6789,474413.0118,474624.3915,473333.2127,474007.7742,473574.8411,471222.0878,471021.7191,469947.9636,470637.9541,470503.1393,469631.9855,468559.9333,465609.4266,458703.7906,451200.3562,445069.1194,440381.2137,437708.9108,435395.2442,433607.7763,435423.4519,434473.677,432426.613,431637.624,432371.6038,430526.109,427207.5801,424306.7619,422219.5235,420474.3357,418578.5095,417171.5792,414425.0517,413542.7789,413361.6992,412098.6371,410452.3096,408634.0039,406715.9366,405163.744,406317.3048,404535.8477,405093.8,278194.0217
REO,15,1143694.757,1144198.358,978187.838,855504.0104,744923.8806,665144.2607,601447.3728,556176.1908,505784.967,494217.0332,483054.4557,441023.8003,402857.0573,388114.7616,376020.9134,370928.601,369397.1446,356615.9031,356459.0832,348445.3075,333160.3117,320795.4913,313172.3846,328773.045,331191.9436,332305.9726,330338.5349,315285.0181,295648.4339,295055.051,307301.585,316376.9465,312792.7381,316708.195,308703.2077,296024.8837,306969.5254,312659.1483,314520.3488,305407.2154,309246.026,312061.9369,297083.6369,294633.3991,299926.1072,299517.9856,297743.8949,304668.8629,304904.6715,297861.3513,298785.1088,292478.4382,284681.278,279053.3357,289918.731,298959.8816,302381.3094,291271.6665,281660.0312,271667.5935,280556.0688,308638.3162,307260.6724,296747.8659,288905.6323,280827.7883,264204.9834,297187.0526,328066.9546,316134.3064,304724.5853,294704.72,284184.7216,307177.6999,325308.4696,319973.4387,314833.8358,301780.3723,291336.3807,303428.115,312620.4783,317210.2301,302091.1161,300914.4049,305980.0765,302890.77,290445.0084,302352.6518,308302.1605,302096.1445,307141.9758,304697.1063,293256.2967,284285.6785,284392.5389,289397.5458,282967.3426,287931.2514,284040.7013,265908.9231,275850.5941,271710.5342,270855.42,258854.9804,253599.6487,255397.0356,245237.8168,239612.341,239562.3958,238743.3903,225204.2269,232593.2263,236861.7558,229973.981,221816.6096,218325.125,231509.2395,226357.556,222571.309,221845.5771,225052.5663,224152.0333
DEL,16,64002.92525,63859.23666,63993.63772,63891.88125,63595.15084,63064.23988,63100.96353,63225.31071,63183.54741,63166.59228,62901.53935,63008.00704,62133.10506,61453.40279,61000.59652,60891.2836,60973.72172,60955.957,60751.76675,60563.56684,60462.94645,60375.93766,61214.51441,60999.50499,60508.46595,60131.77189,59985.9232,59733.36485,60608.64877,60446.42316,60062.68672,59710.71079,59420.10447,59280.67018,59110.64154,59004.75019,59576.79107,59665.71315,59363.07805,58883.83739,58722.28108,59171.09168,59177.18691,59506.77466,59844.80558,59952.49943,60181.81866,59798.58937,59949.07513,59592.6931,59911.35369,59609.5207,59833.13763,59132.22565,58326.12096,57755.40343,58079.19014,58555.42514,58115.9284,57616.38578,57308.78831,57031.88448,56731.60902,56663.87367,56597.74984,56560.82837,56113.62345,56263.54402,57064.85974,57301.19713,57832.54321,58474.56308,58985.01875,59698.05034,59797.73121,59610.73882,59550.98486,59888.86142,59921.94851,60304.46627,60166.74084,60292.67086,60036.87321,59633.24716,59772.84617,59544.4957,59141.38205,59484.529,59234.16417,58939.77432,58564.88651,57642.82404,56703.34457,56299.26354,55885.39083,55529.18431,55410.88438,55147.79554,55149.65121,54559.35741,54163.98361,53178.10753,53466.52399,52741.92904,52490.34222,52083.82438,51235.72553,51320.48283,50950.95139,50489.01869,50242.26497,50038.94901,49425.28476,48923.36239,48861.83784,48613.80216,48577.3045,47706.91488,47977.23431,47664.00387,47596.51111,51987.91139
FLA,17,89693.25841,89390.75323,89276.32826,89250.46062,88046.51409,86904.41724,85969.59494,86121.14832,86109.20599,85771.76723,86224.26819,86829.69849,86273.61851,86078.99808,86126.67355,86109.37126,86059.2794,85893.69553,85792.04293,85798.26262,85947.40125,85921.44437,85963.75063,85882.86187,85501.50846,85404.16951,85626.34544,85621.22774,86325.41514,86435.16662,86203.90792,86093.89088,85886.18763,85765.89376,85709.93184,85921.45203,86585.77653,86911.76293,86502.96413,86125.70588,86074.67832,86761.70433,87284.16487,87276.25923,87325.02939,87279.02909,87316.7645,87349.96355,87507.17586,87479.10934,87598.31096,87402.97562,87425.11373,86789.41521,86133.40903,85816.01516,86126.37647,86660.84778,86345.72568,85643.7327,85187.26493,84970.59889,84751.78744,84382.79653,84192.2703,84158.76387,83585.24759,83781.83529,84617.15493,85326.05513,85392.6047,85580.35285,85825.11841,85848.55073,85971.41714,85957.06636,85727.20225,85757.97815,85706.03129,85722.98018,85807.14158,86009.95664,86117.06672,85841.80302,85825.62387,85771.69483,85849.11872,85727.20733,85580.53657,85562.0562,85351.22197,84556.37113,83752.49587,83173.10345,82681.45976,82396.42577,82077.47093,81755.9787,81862.24663,81622.57262,81188.44288,80858.51943,81034.28757,80744.15725,80125.47228,78942.65952,77966.17643,77141.69876,76612.38589,76018.89383,75259.94961,74885.68724,74738.39121,74460.72842,74131.99427,73911.46082,73742.30279,73561.17352,74359.97203,74662.3134,75266.71794,67750.03505
LRD,18,514302.4429,514834.8229,516677.9255,518304.7978,518926.0017,511952.1347,508568.9026,507044.0552,503984.3518,501471.5937,506229.8791,509868.4723,513869.7054,521760.866,527861.9217,531614.9077,535044.7394,537581.9262,543010.5045,548057.4442,548141.5247,546152.6071,543010.7221,539795.2539,540136.4948,542203.5479,546848.4335,550133.0161,548765.6963,543999.3399,542734.9034,543978.5149,542123.4793,542535.9552,546580.4113,545917.5871,545340.3797,544781.7733,544283.7158,543822.9489,544420.6491,546948.0587,543590.0154,538938.7835,536436.7509,536652.2291,536182.3516,536527.6111,540424.2953,541958.2202,542267.2087,541370.9638,540088.6288,536514.5251,535812.7825,536985.7911,539941.6198,541055.9191,539951.5552,540083.3937,540951.9831,544274.5968,545986.4891,544615.1069,542658.5943,541313.1048,539996.6546,540315.1563,546192.1415,545558.0656,543297.2107,543048.4628,541529.4292,541254.5114,546216.0828,547638.2082,546015.9227,544495.2091,540964.3021,541171.4652,543961.8279,548701.9258,548577.0247,547263.292,545816.2414,545678.0844,543746.0458,542206.1608,543770.6266,542161.8126,542493.7703,547357.6186,549930.0411,548297.6415,549193.6705,549506.8941,546472.7028,544352.4916,544520.7498,543174.6654,543193.5177,548111.5693,547599.2785,547044.5802,545154.9174,545238.0173,544899.123,541612.9238,543099.4844,541166.7366,536296.5004,534251.6367,539032.5225,544047.216,542282.0241,541297.1408,540295.2122,542616.8944,541357.3002,536275.4803,534631.9487,385549.8205
SSK,19,99068.82826,99184.99997,99256.25256,99348.39501,99744.61525,99962.59281,100383.403,101240.4243,102029.6738,102777.7063,103681.7518,104507.5999,104908.6574,105660.1534,106057.4367,106385.0523,106580.9711,106766.7411,106978.5496,107167.2919,107297.8501,107341.6862,107405.7649,107301.5414,107436.1675,107732.2028,108045.0555,108277.9434,108524.6033,108309.1009,108436.5271,108561.8224,108618.9992,108727.0486,108892.2367,108883.2861,108998.1806,108991.1854,109003.2996,108990.7721,109065.4733,109156.7598,109088.0843,108926.7058,108869.5814,108897.1949,108923.5591,108836.4126,109063.6637,108945.5725,108998.8165,108839.2796,108962.5065,108525.5837,108606.4137,108587.3694,108576.6772,108687.6689,108432.4137,108551.5374,108693.979,108793.8485,108944.7379,108809.9509,108724.4954,108736.9712,108736.9256,108644.828,108886.7833,108859.8137,108749.9627,108856.6772,108883.9409,108978.5853,108960.1356,109159.4373,108993.4473,109088.6256,108963.7207,109050.4111,108890.3355,109166.7673,108872.7764,108915.5264,108969.1063,108789.7703,108984.995,109045.2323,108937.6,108963.4066,108965.7993,109175.3622,109166.9255,109086.7646,109055.662,109086.0831,109095.5994,108921.475,109016.1427,108846.5364,108790.3702,108904.2005,109019.8217,108873.4036,108945.1967,108962.132,108717.3826,108573.7927,108567.3108,108471.8633,108137.6912,107918.4891,108047.3267,108143.5329,108097.4526,107945.8039,107854.4878,107795.221,107655.3692,107473.9505,107492.6663,114024.3784
MES,20,4232013.588,4303386.709,4259575.691,4299762.312,4316760.402,4143506.222,4198100.362,4083127.183,4096604.904,3982187.259,4044705.676,4089245.169,4147452.436,4139976.848,4246027.559,4218721.132,4183350.709,4300715.22,4328218.186,4300016.003,4406746.135,4345324.053,4113158.962,4242691.854,4280197.231,4205011.18,4290261.832,4239224.571,4060421.785,4115793.362,4133533.789,4076027.405,4112172.68,4129708.719,4087637.107,4126395.01,4043836.766,3879814.469,4006424.095,4037124.728,4011789.85,4045070.168,3878663.524,3833246.427,3869879.715,3890477.717,3793295.921,3908028.311,3927154.884,3821624.565,3863425.604,3885470.383,3780933.852,3950377.633,3967085.747,4042995.888,3991136.992,3939721.855,3903672.194,3996674.98,4073537.768,4031820.678,4155423.606,4064509.582,4022316.971,4118005.614,4107687.057,4052483.012,4138612.403,3925461.754,3977484.563,3946433.921,3963766.754,3870253.743,3902955.929,3787841.99,3915406.564,3846691.268,3839035.022,3862934.648,3891170.759,3790545.086,3749879.35,3766031.85,3663305.661,3707154.213,3597613.59,3534651.649,3604020.889,3518331.955,3575106.065,3671304.659,3631417.049,3647563.395,3720559.188,3768696.41,3726596.535,3801851.251,3794567.923,3709554.226,3654018.025,3418488.216,3159872.221,3093239.964,3073627.804,2990948.455,3014709.101,3006760.943,2983574.335,3136094.07,3126520.01,3180466.037,3184881.054,3176842.772,3023615.855,3106185.81,3117542.798,3077315.211,3084962.582,2776792.927,2701606.47,2922612.11
GRH,21,279617.2565,279481.9602,254962.8017,235146.4789,214522.5471,195399.2503,178498.4026,165619.2522,154154.2223,144344.4201,138246.0542,134014.9319,128721.746,125611.8753,122717.8389,119459.4053,117915.6547,115541.0089,114654.7358,113066.0121,111575.4284,109299.098,107466.3832,106733.3648,105113.0913,105378.3828,106583.9231,106533.9661,107051.0299,107230.7129,106591.4142,106174.0754,105282.5262,104571.1936,104524.1203,104434.0681,104987.0739,105913.4906,105883.9329,105426.1088,105694.25,106686.5046,107040.7768,106039.5384,105186.2403,104543.6721,104707.6843,105512.5929,107104.6181,107328.2288,108055.9753,107663.4469,107092.2359,105462.5428,103841.8615,102912.9966,103701.424,105356.4093,105038.4845,103806.0143,103394.3455,103844.1637,103829.3382,103230.2663,102178.3869,101229.0759,100588.1585,100717.4906,102960.6778,103752.844,103433.6789,103341.8905,102554.0074,102875.7073,104371.6544,105677.9901,105856.9643,105676.7127,104695.1731,105084.9666,105391.4718,106712.0899,107709.6194,107529.1158,107706.6858,107214.4672,106055.2654,105669.3598,105372.8511,104957.4067,104719.832,104690.4626,103971.1376,103104.5802,102650.8731,102465.6046,102131.3602,101942.7552,101675.6101,100415.9256,99761.80269,100117.0721,100515.852,99940.59977,99258.77452,98852.44396,98781.73697,98693.24845,98243.7899,97560.70311,95947.22412,95239.69512,95679.0874,95904.95718,95118.05858,94798.12353,94916.82546,94898.73264,95311.32606,95367.51083,95600.8927,100568.4454
MAC,22,2447781.917,2410000.69,2481211.583,2414175.817,2395574.337,2365470.711,2426069.832,2399428.055,2418438.308,2480291.21,2746505.377,2753530.002,2216472.908,2165035.655,2139002.092,2098080.861,2035577.004,2077841.358,2121576.504,2082417.864,2106055.063,2128306.388,2422735.963,2568016.181,2470495.787,2164398.823,2158832.674,2145931.707,2349888.837,2115176.604,2121848.22,2164887.814,2115270.133,2140920.618,2131581.743,2162771.182,2264671.367,2175679.726,2164191.594,2131575.273,2154695.596,2337366.239,2343720.057,2348394.368,2474839.164,2405784.752,2515919.396,2393418.057,2551059.524,2355863.263,2681804.308,2505908.424,2543009.741,2342889.992,2189432.175,2531279.644,2361637.484,2669858.22,2301653.475,2231685.559,2294822.472,2199513.941,2524617.688,2182103.341,2435063.651,2383329.649,2381556.241,2272852.402,2424306.571,2319743.361,2280490.026,2348970.389,2308858.638,2413544.682,2443876.717,2837139.502,2661706.216,2493726.174,2386313.766,2453054.206,2423459.367,2431588.15,2429379.276,2373645.742,2421021.84,2424582.595,2419447.556,2466633.427,2442343.408,2425967.408,2310474.548,2260677.759,2205781.074,2463828.384,2210784.353,2266495.483,2304622.561,2255228,2580341.892,2317723.951,2287625.706,2278279.105,2604907.191,2360257.26,2307407.272,2346170.396,2439400.454,2199132.324,2317966.762,2422580.511,2230722.701,2344816.912,2519553.767,2249289.916,2362228.542,2473756.317,2294406.315,2452245.582,2448823.564,2460041.274,2332950.55,2235804.858
HAD,23,7947490.465,8012597.642,6386935.837,5270267.168,4444823.673,3798656.412,3356585.009,3057692.413,2825930.543,2648500.525,2525973.032,2429795.371,2348642.041,2293413.348,2261516.642,2243967.434,2230804.101,2203655.215,2185408.483,2176368.421,2152139.137,2129168.605,2108262.326,2098286.125,2095024.091,2091792.655,2088395.466,2079859.195,2053101.672,2018934.887,2010911.659,2019851.888,2021763.05,2033961.472,2043903.746,2035196.229,2026004.838,2024954.208,2021632.063,2018848.643,2016921.433,2018292.93,1996706.134,1976040.381,1969469.374,1967210.447,1964240.903,1962006.886,1957516.378,1954324.657,1954243.506,1947267.175,1935874.037,1928065.958,1937290.691,1947519.428,1963777.773,1962015.68,1951777.011,1942199.328,1937949.152,1951109.167,1969187.686,1965516.665,1951770.399,1935557.462,1917769.936,1947452.453,1995818.035,2008961.781,2005556.608,1996203.888,1992900.416,2003999.405,2034384.82,2048146.334,2044758.985,2027223.438,2007544.793,2009648.023,2031604.414,2035063.91,2025409.403,2017694.897,2018975.317,2029968.002,2020503.126,2004947.202,2002547.004,1988320.08,1979918.408,1990355.617,2006884.259,1989191.083,1973630.746,1966122.711,1943413.297,1936911.677,1938872.175,1913982.8,1902716.538,1907682.631,1895939.377,1894243.456,1878044.103,1868569.102,1864508.923,1830374.423,1820268.634,1812980.096,1792482.505,1781939.945,1763438.685,1768331.726,1751210.461,1741466.651,1717150.37,1709698.718,1698956.169,1678331.66,1665908.455,1484232.645
SAI,24,1217064.121,1273205.01,1213000.492,1131502.109,1057927.524,958931.6056,893580.6813,827128.6627,757513.8149,701230.8984,648871.1097,598498.7009,555947.2608,518296.2738,484967.0386,458102.9329,437641.8892,423493.5876,414024.5555,405648.7197,397486.8325,392785.7347,390616.9157,385554.9774,380330.0799,375809.4427,372239.7132,368328.7071,364340.5552,360475.9903,356669.1082,354672.2678,351292.4907,350317.4921,350021.7923,347281.5877,348966.8039,349169.393,347077.9577,345253.2983,344176.5579,344699.6422,337439.3878,338511.9212,337092.9292,339242.5149,339988.8427,338425.0853,340484.4468,341049.3622,339352.0597,340997.2491,341185.115,339008.8459,337622.422,336571.0908,336121.178,336117.8386,338896.6375,336131.172,335587.4449,338029.4337,335374.3416,337322.9239,335969.3021,335394.8105,334895.2865,334923.5757,336593.209,331033.2437,330409.159,331423.0167,334510.9095,338346.8728,340514.3608,336535.6001,336351.1419,338061.0334,339199.6865,340324.7688,342453.7281,344677.3869,343861.2542,343241.3858,343748.9276,343446.9907,335328.004,341213.9012,342191.6777,338148.3334,341171.1966,340953.3117,340810.0342,339814.3781,339997.3759,338785.36,339719.4031,337669.5848,338269.4089,339997.7839,340816.304,340456.3143,342107.2975,340417.6389,341609.3667,342059.1102,337590.8763,340292.5479,340420.5097,338275.2261,340426.5037,339192.3527,339250.4111,338641.6413,340208.6083,338098.2526,338542.841,338527.5303,336033.2366,337456.3287,337737.3536,239301.0165
RED,25,543338.9603,569617.33,489421.2056,434988.9787,403657.2022,372309.5933,331047.2946,298586.069,261471.3668,246462.9996,253946.8802,221203.9131,229412.5822,234762.5903,236186.1727,212790.7359,203120.9397,211726.3492,225149.3627,229689.5906,216079.8585,215323.0771,189298.044,192760.7569,198526.5016,214257.3598,208278.876,200631.5472,169388.4392,176349.1363,187578.1846,180934.846,193423.8824,201243.9966,188513.9134,177550.3075,172496.4128,156713.2719,164028.3301,174628.8663,178885.1468,168813.4808,131304.2163,138588.1496,138544.6005,137315.0298,139179.2313,144424.5624,142018.1282,139482.3113,130340.7521,141401.8955,130796.3016,149325.857,151766.3824,159307.0165,152435.3134,133791.4424,151310.3106,161028.775,151475.8786,173236.1845,161390.2316,154642.6639,160564.0244,158719.0297,162008.4886,180579.8237,169905.3038,140040.9944,141201.3611,135632.7904,149471.4266,155086.4958,147867.0424,124175.024,139793.9038,125444.0044,147032.0567,145853.4869,148114.4812,130519.5403,118011.1173,140195.7797,141441.9596,135510.4702,111731.0078,117245.0924,117063.3257,110265.6616,134055.6754,135348.5914,133054.3641,126945.7261,148859.4309,147948.1503,133311.9222,133302.6306,123936.4086,122967.4424,134234.6401,110934.09,99333.20747,96301.082,107243.1311,115241.5877,98532.78918,92041.72375,94858.00529,95037.42925,95985.45808,91832.97698,85606.17149,80763.70997,78241.05016,86002.56349,80290.01955,78975.73877,73018.99968,59200.02074,63367.95103,61425.92853
BWH,26,891859.112,885957.9382,887280.3829,887702.7522,895243.3534,901457.5388,906419.1845,917183.5652,922975.3915,930724.893,939401.3168,946241.0515,953401.2803,955469.3121,952766.8558,953733.3485,949858.6876,950973.84,959222.7124,953554.4323,950954.826,960532.7776,967101.244,970271.5487,959336.5525,959593.4355,964271.4498,959183.4791,966331.1567,966874.7861,963648.5986,962854.4477,965331.7329,959878.6385,955616.1174,955960.4828,962120.9107,967253.5839,970432.8601,962645.5971,958165.1432,958997.0771,962385.3181,966270.6775,973658.9656,973513.3459,972308.5942,973616.9823,971055.5714,977935.5364,978867.4617,979496.3211,984229.8913,984565.2704,974206.074,971643.1111,973104.1307,977579.0698,990831.427,978524.2098,976701.8942,977097.5972,973814.4767,982330.334,973367.0567,971067.4823,971311.4785,975239.3166,966811.5654,966252.232,965472.1201,963805.8472,973670.748,975674.0302,967900.3019,971287.2411,976452.8292,969289.4642,971972.5633,972791.8141,975034.2153,974832.8472,982347.7174,978675.9815,976766.2634,980698.2493,967871.7821,975648.8376,968873.9464,969196.7043,968572.4212,961220.2728,954410.3629,952898.4989,952113.0271,944889.8282,950175.3305,954439.8687,954953.4446,957657.4852,962499.6949,942975.4823,960120.2957,957893.6973,956668.2891,952433.1354,946533.5616,959202.2466,948265.4344,943395.4941,951254.9641,942130.1126,942929.3429,942730.4352,950703.197,942022.3393,945937.7174,939333.4548,941586.5445,949518.108,954614.9945,729014.5026
SSH,27,1494313.612,1497430.396,1532683.678,1562124.058,1588364.592,1631956.165,1675618.167,1718902.793,1737148.541,1742063.309,1782828.943,1814343.601,1861984.04,1875828.253,1913315.826,1929201.826,1929174.593,1955972.623,2003572.638,2024970.542,2043813.13,2050365.528,2061627.772,2083130.12,2097230.457,2112391.084,2132175.281,2135848.865,2116720.561,2113251.707,2119781.782,2125091.885,2118721.725,2127830.332,2131156.215,2118736.502,2127172.068,2124949.44,2122832.062,2121008.535,2111200.287,2111311.943,2125668.585,2110303.818,2150204.606,2151581.728,2149983.214,2138326.166,2144516.476,2151704.49,2142673.561,2146532.159,2149086.103,2136078.819,2122549.452,2143118.792,2136638.543,2126630.135,2136461.173,2133809.646,2110480.026,2120547.038,2137570.857,2121020.918,2119038.099,2118919.016,2103125.844,2129697.43,2158650.497,2149857.599,2161002.321,2173874.119,2170180.099,2184412.941,2191100.013,2188151.02,2171097.663,2176010.697,2173898.237,2159755.268,2151294.954,2148236.401,2138932.589,2122180.892,2117776.549,2113698.004,2114866.451,2125874.221,2142048.423,2129738.435,2136694.747,2153101.916,2154077.608,2130903.992,2131601.695,2130340.927,2112254.425,2096916.649,2093846.09,2090772.561,2084571.402,2092932.7,2100935.94,2096900.165,2060672.008,2061372.97,2074689.243,2035627.941,2050629.045,2033303.837,2031651.264,2000720.104,2019434.523,2015325.872,2007908.935,2000638.881,1987151.533,1997470.3,1986925.613,1996821.845,1987940.159,1748055.418
NCO,28,2951448.35,2964674.619,2156449.255,1827581.437,1532365.812,1388748.882,1348610.907,1304060.237,1245423.828,1232200.061,1189797.016,1251438.012,1256241.482,1258431.719,1248904.359,1211977.455,1189801.058,1226486.649,1263134.893,1255018.468,1178808.26,1203660.759,1277456.279,1359943.154,1317342.923,1235420.389,1206888.498,1238272.898,1183987.126,1150631.012,1204868.597,1178223.747,1166431.823,1256544.574,1227389.917,1175717.925,1218390.425,1210544.384,1216767.765,1316789.229,1280619.18,1266906.771,1261647.989,1183942.785,1088629.099,1122700.863,1308429.115,1294687.521,1224648.787,1265390.403,1218806.217,1144549.995,1104584.991,1108235.315,1159986.071,1101314.81,1163868.98,1184526.617,1172928.1,1156506.118,1243333.949,1230967.287,1229170.753,1160934.282,1103737.095,1075313.724,1040813.509,1140569.201,1232947.005,1194731.318,1160017.013,1156525.926,1144692.066,1103369.908,1127951.461,1178950.417,1165860.985,1127274.653,1132902.126,1147081.693,1179976.041,1144784.7,1170671.201,1207611.9,1222558.709,1176566.619,1089276.943,1043401.284,1121882.201,1191123.154,1127270.087,1124102.154,1147046.064,1138262.821,1166720.878,1188533.691,1176481.58,1193805.835,1218719.02,1172010.521,1141164.925,1215706.401,1169612.353,1139498.767,1101462.325,1095665.672,1081312.227,1126750.485,1160256.867,1155022.829,1091996.432,1138630.663,1080548.813,1116898.848,1067977.21,1106960.584,1095213.114,1151169.989,1122795.112,1153773.422,1114145.429,1050871.021
