Binomial,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FLA3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16312.60966,16346.36946,16390.15395,16526.84103,16683.07337,16797.88801,16897.31947,16994.37473,17070.97304,17122.68261,17166.92644,17195.49372,17170.55126,17195.6507,17207.87739,17150.67149,17115.26723,17072.48981,17014.25644,17046.14598,17105.57998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FWH,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305421.6087,306123.5171,306853.0663,311450.0531,314893.6191,315623.0426,317623.9633,317450.393,319967.2495,321551.9584,323147.8447,324468.0776,325572.8169,326709.5279,327761.8074,328846.4816,330001.5109,331177.0679,332141.6394,332845.882,333163.5015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRH,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341407.7528,346560.0119,349818.8012,352622.6888,347087.9842,342649.1545,336406.3153,333013.5262,329566.2777,327381.8101,324919.9054,322577.1662,318167.6347,319088.7649,318888.4336,315276.8294,317242.7599,315807.409,314735.7304,317104.9124,319101.8072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAD,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308154.5998,255217.302,207458.6739,175187.1094,165485.8314,183980.134,189363.4102,184673.516,198587.1531,241001.5877,411280.7093,440155.3274,444491.4843,490797.303,717135.0453,769580.3623,753431.8119,661565.331,546925.9968,439628.3672,386143.4176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAS,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53867.24793,53294.8092,52622.32001,51968.2628,51282.36092,50471.96427,49717.20116,49165.96767,48754.02287,48549.4285,48600.59054,48595.78544,48813.07215,48903.32303,48908.55411,52009.40362,53609.47146,52552.07356,52352.9161,51580.37846,51248.83937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOS,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41949.3113,42636.36481,43660.72263,44287.69905,44431.67679,45017.0105,46177.22498,47667.2083,48712.47605,50275.70925,51416.49817,51429.46498,51300.66296,51844.06478,51766.04295,50947.3011,50290.07425,50965.61673,51995.54778,52025.86676,52021.24219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HWH,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KWH,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38838.49663,38637.89126,37846.90046,36276.90676,35118.95745,34640.55887,34110.60128,33280.76005,32265.04761,31128.94482,29616.69887,27994.5176,26557.23583,25262.72213,24172.85553,23213.084,22292.98073,21464.22347,20842.7514,20136.15867,19521.92842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LRD,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538641.935,1584560.683,1624627.81,1671430.367,1721855.697,1771560.356,1815995.707,1857146.543,1897141.703,1936926.336,1969761.753,1997087.648,2020361.784,2044191.641,2059854.376,2071660.791,2080741.1,2092269.15,2098974.57,2106573.717,2117020.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAC,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1155320.661,1184164.507,1176662.953,1170613.945,933453.3102,752506.9525,701954.6338,655934.7892,659001.1312,669461.573,631317.108,624089.2386,582816.1974,600236.3706,602178.9569,531807.058,504304.9048,508755.1917,471758.4658,486099.8953,511885.4168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
