Month,Year,POB,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,SCR
May,1995,62.987282,22835.61406,21547.54285,0,316687.1042,328846.4816,4226.219162,52784.82552,50600.65008,1628.865568,20629.08734,3223.369616,188687.9041,1631087.918,1444886.612,599874.9513,148428.2039,86132.68906,64243.32897,2593165.331,372876.8732,33043739.11,315276.8294,636641.8615,954346.6179,437564.5133,454237.7391,4077938.63,9859303.609,290533.8278,2299634.549,2407644.226,2366.396196
August,1995,62.987282,22835.61406,21547.54285,0,316687.1042,328846.4816,4240.231575,52784.82552,50600.65008,1628.865568,20706.70239,3230.663289,188687.9041,1631087.918,1444886.612,599874.9513,148428.2039,86046.48689,64243.32897,2593165.331,372876.8732,33043739.11,315276.8294,636641.8615,954346.6179,437564.5133,454237.7391,4077938.63,9859303.609,290533.8278,2299634.549,2407644.226,2366.396196
October,1995,62.987282,22835.61406,21547.54285,0,316687.1042,328846.4816,4240.231575,52784.82552,50600.65008,1628.865568,20706.70239,3230.663289,188687.9041,1631087.918,1444886.612,599874.9513,148428.2039,86046.48689,64243.32897,2593165.331,372876.8732,33043739.11,315276.8294,636641.8615,954346.6179,437564.5133,454237.7391,4077938.63,9859303.609,290533.8278,2299634.549,2407644.226,2366.396196
January,1996,62.987282,22835.61406,21278.70662,0,319016.9305,330001.5109,4240.231575,52784.82552,50600.65008,1628.865568,20706.70239,3230.663289,188687.9041,1631087.918,1444886.612,599874.9513,148428.2039,86046.48689,64243.32897,2593165.331,372876.8732,33043739.11,317242.7599,636641.8615,954346.6179,0,454237.7391,4077938.63,9859303.609,290533.8278,2430708.44,2407644.226,2366.396196
March,1996,62.987282,22835.61406,21278.70662,0,319016.9305,330001.5109,4240.231575,53815.63295,50600.65008,1628.865568,20706.70239,3230.663289,188687.9041,1631087.918,1444886.612,0,148428.2039,86046.48689,0,0,372876.8732,33043739.11,317242.7599,0,0,461595.2893,455835.6812,4203251.498,9854886.835,292405.4572,2430708.44,2213384.334,2330.417473
May,1996,63.266885,21931.22517,21278.70662,0,319016.9305,330001.5109,4240.231575,53815.63295,50083.0237,1633.408067,20706.70239,3230.663289,189281.6632,1632831.558,1435846.685,594718.8955,150148.0619,86046.48689,64161.89318,2603513.39,381347.1369,31663090.83,317242.7599,628294.2209,937604.1472,461595.2893,455835.6812,4203251.498,9854886.835,292405.4572,2430708.44,2213384.334,2330.417473
August,1996,63.266885,21931.22517,21278.70662,0,319016.9305,330001.5109,4255.556859,53815.63295,50083.0237,1633.408067,20782.67389,3237.781741,189281.6632,1632831.558,1435846.685,594718.8955,150148.0619,85261.79185,64161.89318,2603513.39,381347.1369,31663090.83,317242.7599,628294.2209,937604.1472,461595.2893,455835.6812,4203251.498,9854886.835,292405.4572,2430708.44,2213384.334,2330.417473
October,1996,63.266885,21931.22517,21278.70662,0,319016.9305,330001.5109,4255.556859,53815.63295,50083.0237,1633.408067,20782.67389,3237.781741,189281.6632,1632831.558,1435846.685,594718.8955,150148.0619,85261.79185,64161.89318,2603513.39,381347.1369,31663090.83,317242.7599,628294.2209,937604.1472,461595.2893,455835.6812,4203251.498,9854886.835,292405.4572,2430708.44,2213384.334,2330.417473
January,1997,63.266885,21931.22517,21082.5505,0,321389.2172,331177.0679,4255.556859,53815.63295,50083.0237,1633.408067,20782.67389,3237.781741,189281.6632,1632831.558,1435846.685,594718.8955,150148.0619,85261.79185,64161.89318,2603513.39,381347.1369,31663090.83,315807.409,628294.2209,937604.1472,0,455835.6812,4203251.498,9854886.835,292405.4572,2527960.231,2213384.334,2330.417473
March,1997,63.266885,21931.22517,21082.5505,0,321389.2172,331177.0679,4255.556859,52236.18371,50083.0237,1633.408067,20782.67389,3237.781741,189281.6632,1632831.558,1435846.685,0,150148.0619,85261.79185,0,0,381347.1369,31663090.83,315807.409,0,0,482778.209,476074.8805,4334876.84,9421988.068,261020.385,2527960.231,3393964.631,2480.728999
May,1997,63.550319,21152.88901,21082.5505,0,321389.2172,331177.0679,4255.556859,52236.18371,51554.01209,1639.868215,20782.67389,3237.781741,189764.9344,1629846.019,1429108.712,589341.1012,150103.4217,85261.79185,63975.15133,2619277.453,388599.2841,32644287.34,315807.409,638493.9126,790074.1692,482778.209,476074.8805,4334876.84,9421988.068,261020.385,2527960.231,3393964.631,2480.728999
August,1997,63.550319,21152.88901,21082.5505,0,321389.2172,331177.0679,4271.29986,52236.18371,51554.01209,1639.868215,20851.92051,3244.076601,189764.9344,1629846.019,1429108.712,589341.1012,150103.4217,84756.26761,63975.15133,2619277.453,388599.2841,32644287.34,315807.409,638493.9126,790074.1692,482778.209,476074.8805,4334876.84,9421988.068,261020.385,2527960.231,3393964.631,2480.728999
October,1997,63.550319,21152.88901,21082.5505,0,321389.2172,331177.0679,4271.29986,52236.18371,51554.01209,1639.868215,20851.92051,3244.076601,189764.9344,1629846.019,1429108.712,589341.1012,150103.4217,84756.26761,63975.15133,2619277.453,388599.2841,32644287.34,315807.409,638493.9126,790074.1692,482778.209,476074.8805,4334876.84,9421988.068,261020.385,2527960.231,3393964.631,2480.728999
January,1998,63.550319,21152.88901,20744.16556,0,323485.8371,332141.6394,4271.29986,52236.18371,51554.01209,1639.868215,20851.92051,3244.076601,189764.9344,1629846.019,1429108.712,589341.1012,150103.4217,84756.26761,63975.15133,2619277.453,388599.2841,32644287.34,314735.7304,638493.9126,790074.1692,0,476074.8805,4334876.84,9421988.068,261020.385,2613441.399,3393964.631,2480.728999
March,1998,63.550319,21152.88901,20744.16556,0,323485.8371,332141.6394,4271.29986,52382.0992,51554.01209,1639.868215,20851.92051,3244.076601,189764.9344,1629846.019,1429108.712,0,150103.4217,84756.26761,0,0,388599.2841,32644287.34,314735.7304,0,0,511209.497,495573.1517,4399300.426,8717434.66,234524.8714,2613441.399,3842098.416,3014.943335
May,1998,63.804866,20635.993,20744.16556,0,323485.8371,332141.6394,4271.29986,52382.0992,52289.90491,1644.929353,20851.92051,3244.076601,189713.8358,1628491.887,1425149.98,583826.5882,151856.1972,84756.26761,63746.23177,2625198.466,394819.3707,32867445.86,314735.7304,573432.8055,648185.2716,511209.497,495573.1517,4399300.426,8717434.66,234524.8714,2613441.399,3842098.416,3014.943335
August,1998,63.804866,20635.993,20744.16556,0,323485.8371,332141.6394,4284.592789,52382.0992,52289.90491,1644.929353,20917.61289,3249.813795,189713.8358,1628491.887,1425149.98,583826.5882,151856.1972,85326.73196,63746.23177,2625198.466,394819.3707,32867445.86,314735.7304,573432.8055,648185.2716,511209.497,495573.1517,4399300.426,8717434.66,234524.8714,2613441.399,3842098.416,3014.943335
October,1998,63.804866,20635.993,20744.16556,0,323485.8371,332141.6394,4284.592789,52382.0992,52289.90491,1644.929353,20917.61289,3249.813795,189713.8358,1628491.887,1425149.98,583826.5882,151856.1972,85326.73196,63746.23177,2625198.466,394819.3707,32867445.86,314735.7304,573432.8055,648185.2716,511209.497,495573.1517,4399300.426,8717434.66,234524.8714,2613441.399,3842098.416,3014.943335
January,1999,63.804866,20635.993,20420.43566,0,325611.6035,332845.882,4284.592789,52382.0992,52289.90491,1644.929353,20917.61289,3249.813795,189713.8358,1628491.887,1425149.98,583826.5882,151856.1972,85326.73196,63746.23177,2625198.466,394819.3707,32867445.86,317104.9124,573432.8055,648185.2716,0,495573.1517,4399300.426,8717434.66,234524.8714,2631892.742,3842098.416,3014.943335
March,1999,63.804866,20635.993,20420.43566,0,325611.6035,332845.882,4284.592789,51379.94827,52289.90491,1644.929353,20917.61289,3249.813795,189713.8358,1628491.887,1425149.98,0,151856.1972,85326.73196,0,0,394819.3707,32867445.86,317104.9124,0,0,554706.8632,490757.0017,4362987.581,8116870.017,214803.7503,2631892.742,2985500.729,3059.143621
May,1999,64.022311,19802.93579,20420.43566,0,325611.6035,332845.882,4284.592789,51379.94827,51849.84132,1649.245507,20917.61289,3249.813795,190108.3971,1623488.182,1422122.857,580410.2394,150269.4818,85326.73196,63981.98597,2635890.039,402012.0397,32725340.07,317104.9124,619022.2237,516652.1881,554706.8632,490757.0017,4362987.581,8116870.017,214803.7503,2631892.742,2985500.729,3059.143621
August,1999,64.022311,19802.93579,20420.43566,0,325611.6035,332845.882,4294.55702,51379.94827,51849.84132,1649.245507,20967.86421,3254.65919,190108.3971,1623488.182,1422122.857,580410.2394,150269.4818,85386.22612,63981.98597,2635890.039,402012.0397,32725340.07,317104.9124,619022.2237,516652.1881,554706.8632,490757.0017,4362987.581,8116870.017,214803.7503,2631892.742,2985500.729,3059.143621
October,1999,64.022311,19802.93579,20420.43566,0,325611.6035,332845.882,4294.55702,51379.94827,51849.84132,1649.245507,20967.86421,3254.65919,190108.3971,1623488.182,1422122.857,580410.2394,150269.4818,85386.22612,63981.98597,2635890.039,402012.0397,32725340.07,317104.9124,619022.2237,516652.1881,554706.8632,490757.0017,4362987.581,8116870.017,214803.7503,2631892.742,2985500.729,3059.143621
January,2000,64.022311,19802.93579,20190.19342,0,328110.4917,333163.5015,4294.55702,51379.94827,51849.84132,1649.245507,20967.86421,3254.65919,190108.3971,1623488.182,1422122.857,580410.2394,150269.4818,85386.22612,63981.98597,2635890.039,402012.0397,32725340.07,319101.8072,619022.2237,516652.1881,0,490757.0017,4362987.581,8116870.017,214803.7503,2743881.694,2985500.729,3059.143621
March,2000,64.022311,19802.93579,20190.19342,0,328110.4917,333163.5015,4294.55702,51216.06215,51849.84132,1649.245507,20967.86421,3254.65919,190108.3971,1623488.182,1422122.857,0,150269.4818,85386.22612,0,0,402012.0397,32725340.07,319101.8072,0,0,640029.3508,499863.7207,4471204.181,7726916.482,192948.065,2743881.694,2453597.96,3011.48242
May,2000,64.206801,19334.59018,20190.19342,0,328110.4917,333163.5015,4294.55702,51216.06215,52135.50943,1651.873609,20967.86421,3254.65919,190371.387,1620026.729,1431248.893,579068.4972,147901.9209,85386.22612,64200.57126,2649737.976,408667.1929,32021489.37,319101.8072,646801.6201,471354.9667,640029.3508,499863.7207,4471204.181,7726916.482,192948.065,2743881.694,2453597.96,3011.48242
August,2000,64.206801,19334.59018,20190.19342,0,328110.4917,333163.5015,4302.076944,51216.06215,52135.50943,1651.873609,21008.50806,3258.320406,190371.387,1620026.729,1431248.893,579068.4972,147901.9209,85876.62827,64200.57126,2649737.976,408667.1929,32021489.37,319101.8072,646801.6201,471354.9667,640029.3508,499863.7207,4471204.181,7726916.482,192948.065,2743881.694,2453597.96,3011.48242
October,2000,64.206801,19334.59018,20190.19342,0,328110.4917,333163.5015,4302.076944,51216.06215,52135.50943,1651.873609,21008.50806,3258.320406,190371.387,1620026.729,1431248.893,579068.4972,147901.9209,85876.62827,64200.57126,2649737.976,408667.1929,32021489.37,319101.8072,646801.6201,471354.9667,640029.3508,499863.7207,4471204.181,7726916.482,192948.065,2743881.694,2453597.96,3011.48242
January,2001,64.206801,19334.59018,20138.05967,0,331595.3347,333179.7266,4302.076944,51216.06215,52135.50943,1651.873609,21008.50806,3258.320406,190371.387,1620026.729,1431248.893,579068.4972,147901.9209,85876.62827,64200.57126,2649737.976,408667.1929,32021489.37,321032.6589,646801.6201,471354.9667,0,499863.7207,4471204.181,7726916.482,192948.065,2701343.146,2453597.96,3011.48242
March,2001,64.206801,19334.59018,20138.05967,0,331595.3347,333179.7266,4302.076944,50833.19824,52135.50943,1651.873609,21008.50806,3258.320406,190371.387,1620026.729,1431248.893,0,147901.9209,85876.62827,0,0,408667.1929,32021489.37,321032.6589,0,0,733728.4794,503883.5873,4382134.704,7575894.201,186664.5162,2701343.146,3236517.434,3206.559587
May,2001,64.397383,19057.96128,20138.05967,0,331595.3347,333179.7266,4302.076944,50833.19824,51511.16358,1655.245991,21008.50806,3258.320406,190719.2025,1616383.384,1429640.782,578072.4433,142691.3893,85876.62827,64327.36273,2658861.237,414937.9192,30658966.6,321032.6589,639566.487,391770.5258,733728.4794,503883.5873,4382134.704,7575894.201,186664.5162,2701343.146,3236517.434,3206.559587
August,2001,64.397383,19057.96128,20138.05967,0,331595.3347,333179.7266,4311.473172,50833.19824,51511.16358,1655.245991,21048.11484,3261.496366,190719.2025,1616383.384,1429640.782,578072.4433,142691.3893,86302.42031,64327.36273,2658861.237,414937.9192,30658966.6,321032.6589,639566.487,391770.5258,733728.4794,503883.5873,4382134.704,7575894.201,186664.5162,2701343.146,3236517.434,3206.559587
October,2001,64.397383,19057.96128,20138.05967,0,331595.3347,333179.7266,4311.473172,50833.19824,51511.16358,1655.245991,21048.11484,3261.496366,190719.2025,1616383.384,1429640.782,578072.4433,142691.3893,86302.42031,64327.36273,2658861.237,414937.9192,30658966.6,321032.6589,639566.487,391770.5258,733728.4794,503883.5873,4382134.704,7575894.201,186664.5162,2701343.146,3236517.434,3206.559587
January,2002,19877.7542,0,335117.3558,333230.6684,4311.473172,50833.19824,51511.16358,1655.245991,21048.11484,3261.496366,190719.2025,1616383.384,1429640.782,578072.4433,142691.3893,86302.42031,64327.36273,2658861.237,414937.9192,30658966.6,319479.5379,639566.487,391770.5258,0,503883.5873,4382134.704,7575894.201,186664.5162,2729804.078,3236517.434,3206.559587,,
