"Binomial","ID","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980.x","1980.y","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"HAS",11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",53867.247926,"NA",53294.8092,52622.32001,51968.262802,51282.360918,50471.96427,49717.20116,49165.967672,48754.022872,48549.428498,48600.590542,48595.785438,48813.072148,48903.323026,48908.554112,52009.40362,53609.471464,52552.073558,52352.916102,51580.378456,51248.839374,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HOS",12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",41949.3113,"NA",42636.364812,43660.722628,44287.699052,44431.676794,45017.010502,46177.224978,47667.208304,48712.476052,50275.709246,51416.498172,51429.464978,51300.662962,51844.064776,51766.042954,50947.3011,50290.074252,50965.616734,51995.547782,52025.866756,52021.242186,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HWH",13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"KWH",15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",38838.496634,"NA",38637.891258,37846.900462,36276.906762,35118.957448,34640.558874,34110.601282,33280.760046,32265.047608,31128.944824,29616.698872,27994.517598,26557.235834,25262.722134,24172.855528,23213.083996,22292.980726,21464.223474,20842.751404,20136.158674,19521.928424,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LRD",16,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1538641.9354,"NA",1584560.6828,1624627.8104,1671430.3666,1721855.697,1771560.3556,1815995.7072,1857146.5434,1897141.703,1936926.336,1969761.7534,1997087.648,2020361.784,2044191.641,2059854.376,2071660.7914,2080741.1002,2092269.1498,2098974.5702,2106573.7166,2117020.7934,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MAC",17,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1155320.6606,"NA",1184164.507,1176662.9526,1170613.9446,933453.3102,752506.95246,701954.63382,655934.7892,659001.1312,669461.57302,631317.108,624089.23858,582816.19742,600236.3706,602178.95688,531807.05796,504304.90484,508755.19174,471758.46582,486099.89532,511885.4168,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MES",18,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",22765250.46,"NA",22579819.522,23109216.604,24183947.744,25197531.032,25689819.974,26206966.08,27259273,27375061.282,27839181.298,28366481.744,29436949.696,30611035.86,30822638.388,30825750.768,32176336.954,32215350.142,32251808.736,32778182.452,32782182.386,32303029.65,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"MWH",19,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",274354.3021,"NA",275496.3977,276719.7632,283336.273,288270.3107,289927.4495,293006.7306,293215.893,297033.6525,300382.6695,303747.5278,306798.9009,309538.826,312338.2438,314479.1367,316687.1042,319016.9305,321389.2172,323485.8371,325611.6035,328110.4917,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NCO",20,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",336829.91928,"NA",296897.33126,278481.31274,266354.4513,232413.10136,197204.08272,196304.11844,211191.75714,225363.37514,228247.54332,205788.70968,192071.18706,207520.1309,254964.9764,289869.7497,291607.7898,292031.13132,267297.39944,239823.97412,218747.97452,197319.20206,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PCO",21,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1606904.361,"NA",1728503.075,1822919.025,1781564.276,1824810.9,2009673.419,2168729.537,2221332.543,2484141.96,2577224.064,2572587.978,2383237.341,2244255.247,2077447.176,2176848.6,2299634.549,2430708.44,2527960.231,2613441.399,2631892.742,2743881.694,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PEL",22,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1477462.026,"NA",1469927.6046,1462564.967,1456798.2662,1459125.0198,1469979.6244,1484018.5444,1494285.2486,1500054.13,1501705.8536,1493744.441,1484212.9588,1472464.1302,1463187.8084,1460233.9032,1450832.372,1439462.6558,1431803.9012,1426733.4728,1423333.7062,1427598.4786,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PES",23,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",357119.5393,"NA",378105.4864,395221.2879,409940.59354,423636.3677,436411.237,448812.22656,461068.83134,472025.92308,480335.9343,485543.32724,487886.4196,487452.54748,485731.32596,483673.72606,480711.90906,476806.32756,472548.43982,468164.17316,465011.46128,463523.1462,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"POB",24,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",60.60182,"NA",60.3575478,60.2076492,60.1314108,60.1655564,60.306892,60.5108604,60.7379076,60.994682,61.2836194,61.5801272,61.8558394,62.1191922,62.3811866,62.6344602,62.8858768,63.1550438,63.4369454,63.7030472,63.935333,64.133005,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RED",26,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",323112.39882,"NA",327980.00146,349409.87052,372051.52786,372656.08974,378111.6298,381777.40128,379020.35528,375483.08008,369229.11206,364737.01864,372538.717,397165.81294,404395.08412,418776.76608,447844.52212,455516.09278,472027.04064,491673.49746,491720.2317,498042.3769,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"REO",27,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",306126.57038,"NA",263083.75882,231042.38788,207911.15082,192888.58392,183014.70256,175798.42126,169700.7045,164660.84414,160842.96844,157855.50684,154992.98684,151664.89798,145957.7801,143708.26156,146701.23578,149460.1187,150121.27778,151155.087,150904.16796,148848.94526,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RIS",28,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1552.8887028,"NA",1555.0248362,1557.9733026,1561.9013306,1566.5973734,1571.1045678,1576.4602568,1582.5350382,1590.7821624,1600.4360874,1608.4388532,1614.2260648,1618.9250112,1622.6857492,1624.8037206,1627.45565,1631.5910674,1637.2841558,1642.9048978,1647.5190454,1650.8223682,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SAI",29,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",785489.2184,"NA",645748.05336,558528.35496,505718.97776,462749.136,421106.65416,401934.19592,344197.72256,324748.14016,358528.2128,365888.82848,349441.2376,315974.63376,312680.79728,327675.06376,350051.61064,369276.23144,386222.5672,408967.5976,443765.49056,512023.48064,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SBA",30,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17618.78523,"NA",17929.895192,18232.586184,18523.863916,18802.79444,19062.872976,19298.024166,19511.86144,19710.23215,19895.878854,20064.962158,20221.296624,20358.737496,20476.810204,20577.563774,20660.13336,20737.09099,20810.372538,20878.197462,20937.713418,20984.12175,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SBB",31,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3182.3824376,"NA",3179.5601188,3176.7526328,3174.1938024,3172.7745298,3172.9567944,3174.5312572,3177.2964332,3181.0577476,3185.6934884,3191.2240054,3197.4584552,3204.2777504,3211.5877326,3218.977478,3226.2870852,3233.5106698,3240.299685,3246.3714786,3251.751953,3256.1236764,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SHO",33,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",166859.08472,"NA",171370.4472,174976.93844,177927.7283,180515.40296,182494.64262,183911.90076,184806.77072,185894.19934,186718.79716,186978.83858,187462.49086,187918.42294,188256.23714,188376.08002,188554.7017,189044.15956,189571.62592,189734.27524,189950.57258,190266.19104,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SSH",34,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3053093.9518,"NA",3247263.9188,3812074.7206,4293528.647,4683592.0164,5117688.6142,5685470.4052,6093542.0794,6477680.8744,7143844.8312,7470678.6358,7681402.259,8345704.1536,8801178.6528,9196116.273,9742666.023,9855770.1898,9508567.8214,8858345.3416,8236982.9456,7804907.189,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SSK",35,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",213352.70782,"NA",219880.77464,226352.72194,233878.47266,242598.27526,252502.24192,263535.24884,275281.91222,288039.22502,301079.40172,313918.9181,326673.31862,338643.98316,350083.40822,360352.47466,369387.86732,377959.03142,385698.42522,392331.33606,399134.9721,406005.13162,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"SWH",36,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",32097.05039,"NA",31084.9765,29993.74423,28786.50317,27764.3684,26875.38938,26010.09178,25260.61709,24533.9072,23939.23599,23404.57907,22911.18291,22458.38616,22036.89165,21836.89464,21547.54285,21278.70662,21082.5505,20744.16556,20420.43566,20190.19342,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
