rgn_id,stock_id_taxonkey,year,mean_catch
1,Sebastes_marinus-27_600501,1980,22262.15448
1,Sebastes_marinus-27_600501,1981,22262.15448
1,Sebastes_marinus-27_600501,1982,22262.15448
1,Sebastes_marinus-27_600501,1983,22262.15448
1,Sebastes_marinus-27_600501,1984,22262.15448
1,Sebastes_marinus-27_600501,1985,22262.15448
1,Sebastes_marinus-27_600501,1986,22262.15448
1,Sebastes_marinus-27_600501,1987,22262.15448
1,Sebastes_marinus-27_600501,1988,22262.15448
1,Sebastes_marinus-27_600501,1989,22262.15448
1,Sebastes_marinus-27_600501,1990,22262.15448
1,Sebastes_marinus-27_600501,1991,22262.15448
1,Sebastes_marinus-27_600501,1992,22262.15448
1,Sebastes_marinus-27_600501,1993,22262.15448
1,Sebastes_marinus-27_600501,1994,22262.15448
1,Sebastes_marinus-27_600501,1995,22262.15448
1,Sebastes_marinus-27_600501,1996,22262.15448
1,Sebastes_marinus-27_600501,1997,22262.15448
1,Sebastes_marinus-27_600501,1998,22262.15448
1,Sebastes_marinus-27_600501,1999,22262.15448
1,Sebastes_marinus-27_600501,2000,22262.15448
1,Sebastes_marinus-27_600501,2001,22262.15448
1,Sebastes_marinus-27_600501,2002,22262.15448
1,Sebastes_marinus-27_600501,2003,22262.15448
1,Sebastes_marinus-27_600501,2004,22262.15448
1,Sebastes_marinus-27_600501,2005,22262.15448
1,Sebastes_marinus-27_600501,2006,22262.15448
1,Sebastes_marinus-27_600501,2007,22262.15448
1,Sebastes_marinus-27_600501,2008,22262.15448
1,Sebastes_marinus-27_600501,2009,22262.15448
1,Sebastes_marinus-27_600501,2010,22262.15448
1,Sebastes_marinus-27_600501,2011,22262.15448
1,Sebastes_marinus-27_600501,2012,22262.15448
1,Sebastes_marinus-27_600501,2013,22262.15448
1,Sebastes_marinus-27_600501,2014,22262.15448
1,Sebastes_marinus-27_600501,2015,22262.15448
1,Sebastes_marinus-27_600501,2016,22262.15448
1,Sebastes_marinus-27_600501,2017,22262.15448
1,Sebastes_marinus-27_600501,2018,22262.15448
1,Sebastes_marinus-27_600501,2019,22262.15448
1,Sebastes_marinus-27_600501,2020,22262.15448
1,Sebastes_marinus-27_600501,2021,22262.15448
1,Sebastes_marinus-27_600501,2022,22262.15448
1,Sebastes_marinus-27_600501,2023,22262.15448
1,Sebastes_marinus-27_600501,2024,22262.15448
1,Sebastes_marinus-27_600501,2025,22262.15448
1,Sebastes_marinus-27_600501,2026,22262.15448
1,Sebastes_marinus-27_600501,2027,22262.15448
1,Sebastes_marinus-27_600501,2028,22262.15448
1,Sebastes_marinus-27_600501,2029,22262.15448
1,Sebastes_marinus-27_600501,2030,22262.15448
1,Sebastes_marinus-27_600501,2031,22262.15448
1,Sebastes_marinus-27_600501,2032,22262.15448
1,Sebastes_marinus-27_600501,2033,22262.15448
1,Sebastes_marinus-27_600501,2034,22262.15448
1,Sebastes_marinus-27_600501,2035,22262.15448
1,Sebastes_marinus-27_600501,2036,22262.15448
1,Sebastes_marinus-27_600501,2037,22262.15448
1,Sebastes_marinus-27_600501,2038,22262.15448
1,Sebastes_marinus-27_600501,2039,22262.15448
1,Sebastes_marinus-27_600501,2040,22262.15448
1,Sebastes_marinus-27_600501,2041,22262.15448
1,Sebastes_marinus-27_600501,2042,22262.15448
1,Sebastes_marinus-27_600501,2043,22262.15448
1,Sebastes_marinus-27_600501,2044,22262.15448
1,Sebastes_marinus-27_600501,2045,22262.15448
1,Sebastes_marinus-27_600501,2046,22262.15448
1,Sebastes_marinus-27_600501,2047,22262.15448
