"","LPI_final","CI_low","CI_high"
"1980",1,1,1
"1981",1.00533980387105,0.999197371234035,1.01151587121948
"1982",1.01005672803989,1.00158591151911,1.01852050959964
"1983",1.01186913582366,1.00164255249922,1.02253108756756
"1984",1.00938168240535,0.992840487141997,1.02546109458552
"1985",1.00525008389338,0.979658813918759,1.02847060403489
"1986",1.00550976811719,0.976594647895189,1.03261874227593
"1987",1.01408858853812,0.983757504846194,1.04277448293039
"1988",1.02856470339085,0.994079001603311,1.06405699746471
"1989",1.04072719532171,1.00288199619364,1.08086899086191
"1990",1.04335456050086,1.00506698356899,1.08373203697289
"1991",1.03661161485113,0.995607140385333,1.07964344358295
"1992",1.02796752783044,0.982569269729993,1.07461053102948
"1993",1.02694331380288,0.979830420003451,1.07629477394659
"1994",1.03800014610109,0.989162329761755,1.0893676594305
"1995",1.05735681738397,1.00307656443684,1.11660280352537
"1996",1.07452112192435,1.01604062838014,1.13949183233539
"1997",1.07892915400517,1.02017670189897,1.14440074558132
"1998",1.06790935584597,1.00722792601235,1.13365950535797
"1999",1.04877959707671,0.984968469072891,1.11801807596633
"2000",1.03333022837998,0.968064415514773,1.10399836913298
"2001",1.02879218377897,0.961591005456323,1.10064463074817
"2002",1.03350968567328,0.964522317606552,1.10852350136394
"2003",1.03941799018606,0.968870089249842,1.1166476570159
"2004",1.03885296225235,0.968357332818245,1.11584413738363
"2005",1.03037090630507,0.958515234675108,1.10810298880423
"2006",1.01935914619654,0.944745067589452,1.1007092156837
"2007",1.01352841930436,0.938911677765271,1.09442699707077
"2008",1.01702438208157,0.941799283770713,1.09934150909922
"2009",1.02708681067256,0.949454484770587,1.11507018163124
"2010",1.03542220377421,0.954913742779983,1.12648259996306
"2011",1.03452476314969,0.954121620283023,1.12542293348392
"2012",1.02430112277497,0.943518851035052,1.11535593059771
"2013",1.01184076838122,0.929766848448757,1.10491741680296
"2014",1.00399744590438,0.921268892913298,1.09704553664404
"2015",1.00111308798712,0.918673554719419,1.09478734951866
