Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC,TsActKWH,TsActSWH,TsActHWH,TsActMWH,TsActFWH,TsActBES,TsActHAS,TsActHOS,TsActRIS,TsActSBA,TsActSBB,TsActSHO,TsActDEO,TsActPEL,TsActPES,TsActREO,TsActDEL,TsActFLA,TsActLRD,TsActSSK,TsActMES,TsActGRH,TsActMAC,TsActHAD,TsActSAI,TsActRED,TsActBWH,TsActSSH,TsActNCO,TsActPCO,TsActCAP,TsActPWN,TsActCEP,TsActKCR,TsActSCR,TsActZG,TsActZL,TsActZM,TsActZS,TsActDF,TsActPS,TsActPL,TsActBC,TsActBD,TsActBFF,TsActSPO,TsActCOR,TsActPB,TsActBB,TsActDR,TsActDL,TsActDC
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16603.57083,0,0,0,0,0,27253.3979,273455.3479,61986.48189,93232.17337,65011.03328,884684.2412,267212.8916,1627323.571,0,669018.2308,166201.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14437.29964,0,0,0,0,0,28397.32863,212807.0101,68995.72957,109166.0523,22839.43632,1163202.952,232642.2793,1632554.815,0,611333.9102,142521.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14411.67022,0,0,0,0,0,38422.99374,204949.0012,96103.76638,116737.8295,6325.406622,1286370.742,168686.2134,1811131.778,0,2008.466873,117321.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15312.46917,0,0,0,0,0,38118.78181,182579.6376,107167.1009,126985.4677,15830.71138,1256684.326,200411.0828,1878558.502,0,8780.263178,120520.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17419.57901,0,0,0,0,0,35643.94736,146608.8761,146141.1494,181176.1937,25492.48453,1280134.519,159154.0665,1624060.717,0,29.378353,93195.09803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18931.2776,0,0,0,0,0,29987.66035,168015.2498,162551.2932,178548.6014,103882.552,1340809.124,206938.3609,1231170.984,0,28616.53158,85962.41205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18464.89394,0,0,0,0,0,25534.39979,164926.7676,120044.3522,192316.58,64032.28012,1272738.518,232854.108,889472.7785,0,33772.65052,83902.5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816.3216,0,0,0,0,0,22252.01593,178221.9847,121802.5419,181795.7893,42915.51186,820066.3826,253214.8986,839174.2685,0,285329.5177,92536.18727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22832.48753,0,0,0,0,0,24475.31657,190676.6237,138205.4795,208874.9884,31698.20127,694911.6529,240759.9817,910964.8049,0,330709.0175,90092.51095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22001.75012,0,0,0,0,0,25580.61309,196560.7011,156538.5426,195383.5897,39292.43989,130465.8373,180417.0636,1034152.768,0,497120.153,125186.4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
