Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47689.04042,0,0,0,0,0,21462.4045,200098.1346,22058.40319,533699.3579,71984.67286,1024901.322,26965.51516,1867823.733,0,419590.603,212541.5091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60174.4722,0,0,0,0,0,32154.71845,161149.7756,18256.36883,668967.5357,44371.55609,1467830.628,14694.46438,1761797.251,0,1316070.949,170547.5772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54664.67482,0,0,0,0,0,31914.58157,161258.2304,15017.52991,523978.2154,46761.02304,1019458.477,16363.99621,2082587.845,0,1366799.582,70857.09985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49867.13517,0,0,0,0,0,31635.3921,151820.8097,18601.34184,365178.3375,46084.7226,1000589.875,17870.9418,1673135.72,0,1514379.775,144073.7054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45762.47484,0,0,0,0,0,31347.17122,147962.4306,29996.75614,353656.5374,45267.06369,1054342.638,19367.65336,1493992.832,0,887376.7599,279293.3394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41644.93748,0,0,0,0,0,31018.54498,139320.5881,35381.71567,218247.8321,45683.97713,1097535.177,20601.47191,1461532.497,0,891825.3822,455211.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38464.69639,0,0,0,0,0,30857.70169,150862.9734,44116.05879,125418.8644,45443.53799,1367186.113,21668.14304,1578501.121,0,494362.6397,275798.0482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35256.09937,0,0,0,0,0,30764.16425,170490.7225,59683.50708,155908.1086,45354.91617,1125289.353,22326.00968,2151579.048,0,1565.335299,162610.9788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32780.92873,0,0,0,0,0,30714.25349,171234.0222,35267.69069,161505.017,44478.15143,1081152.109,181453.1227,2125334.094,0,0,167644.2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31310.16593,0,0,0,0,0,30652.35474,156598.6875,21967.51144,154796.0818,45649.22002,1213406.853,127852.4164,1662422.35,0,0,207685.5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
