"Year","total_catch","scenario"
2030,1803346.58738,"fmsy11"
2031,1766904.54609,"fmsy11"
2032,1763672.52716,"fmsy11"
2033,1775214.86281,"fmsy11"
2034,1772633.11681,"fmsy11"
2035,1822471.70066,"fmsy11"
2036,1776182.27955,"fmsy11"
2037,1796246.86245,"fmsy11"
2038,1785709.66085,"fmsy11"
2039,1817211.09579,"fmsy11"
2040,1865938.60295,"fmsy11"
2041,1891861.0676,"fmsy11"
2042,1912506.17275,"fmsy11"
2043,1903760.72419,"fmsy11"
2044,1974882.21391,"fmsy11"
2045,2002994.36172,"fmsy11"
2046,2038970.91944,"fmsy11"
2047,2040881.82671,"fmsy11"
2048,2043585.712,"fmsy11"
2049,2050173.06842,"fmsy11"
2050,2067972.15095,"fmsy11"
2051,2108786.77714,"fmsy11"
2052,2099843.58415,"fmsy11"
2053,2129470.6136,"fmsy11"
2054,2085884.64841,"fmsy11"
2055,2183136.11401,"fmsy11"
2056,2120106.88812,"fmsy11"
2057,2183316.98542,"fmsy11"
2058,2107689.4242,"fmsy11"
2059,2227053.05024,"fmsy11"
2060,2078248.0781,"fmsy11"
2061,2038653.65011,"fmsy11"
2062,2327309.81633,"fmsy11"
2063,2136063.03515,"fmsy11"
2064,2250107.17842,"fmsy11"
2065,2121230.86739,"fmsy11"
2066,2207278.33586,"fmsy11"
2067,2574872.29494,"fmsy11"
2068,2423277.74648,"fmsy11"
