"year","score","scenario","type"
2068,0.878580142602927,"world","overall"
1980,1,"national","overall"
1981,0.923851743637491,"national","overall"
1982,0.912482511233855,"national","overall"
1983,0.906424250312808,"national","overall"
1984,0.866505236288913,"national","overall"
1985,0.883332408377587,"national","overall"
1986,0.880524282744761,"national","overall"
1987,0.903635422034307,"national","overall"
1988,0.931950076007772,"national","overall"
1989,0.967474302730149,"national","overall"
1990,0.930559581493856,"national","overall"
1991,0.896718859833369,"national","overall"
1992,0.928482530930219,"national","overall"
1993,0.93082201587369,"national","overall"
1994,0.942163246144022,"national","overall"
1995,0.934224251101112,"national","overall"
1996,0.935122259380877,"national","overall"
1997,0.939328380570225,"national","overall"
1998,0.93732408814424,"national","overall"
1999,0.933435015380919,"national","overall"
2000,0.914565305998072,"national","overall"
2001,0.879476345409926,"national","overall"
2002,0.908824212741403,"national","overall"
2003,0.925261272211754,"national","overall"
2004,0.928910603277991,"national","overall"
2005,0.929287018634359,"national","overall"
2006,0.930279378732581,"national","overall"
2007,0.930057897611341,"national","overall"
2008,0.907140392899795,"national","overall"
2009,0.864393632229188,"national","overall"
2010,0.906551755663554,"national","overall"
2011,0.906349806824243,"national","overall"
2012,0.896826316492338,"national","overall"
2013,0.881183174337475,"national","overall"
2014,0.892778189183893,"national","overall"
2015,0.905765545580936,"national","overall"
2016,0.905012448155375,"national","overall"
2017,0.907558130007021,"national","overall"
2018,0.912920314255353,"national","overall"
2019,0.929495289340108,"national","overall"
2020,0.935047122149737,"national","overall"
2021,0.886853293548007,"national","overall"
2022,0.87146285155067,"national","overall"
2023,0.883109300640851,"national","overall"
2024,0.881008298895402,"national","overall"
2025,0.849561865264311,"national","overall"
2026,0.87441420119486,"national","overall"
2027,0.879143387277887,"national","overall"
2028,0.873100849679342,"national","overall"
2029,0.883432215931515,"national","overall"
2030,0.882204437843323,"national","overall"
2031,0.881418041068517,"national","overall"
2032,0.883855216325304,"national","overall"
2033,0.889633622931061,"national","overall"
2034,0.877089359614399,"national","overall"
2035,0.888212179294891,"national","overall"
2036,0.858296360971902,"national","overall"
2037,0.87812358200418,"national","overall"
2038,0.876195460991807,"national","overall"
2039,0.878932407239927,"national","overall"
2040,0.880321848252786,"national","overall"
2041,0.882232898585844,"national","overall"
2042,0.89430585629329,"national","overall"
2043,0.907700009031449,"national","overall"
2044,0.911391083321111,"national","overall"
2045,0.910145887270344,"national","overall"
2046,0.909704620617188,"national","overall"
2047,0.914009372155639,"national","overall"
2048,0.844628023526302,"national","overall"
2049,0.867591716233458,"national","overall"
2050,0.867210380596172,"national","overall"
2051,0.871355119504895,"national","overall"
2052,0.870067000029989,"national","overall"
2053,0.869494993593012,"national","overall"
2054,0.865432989131083,"national","overall"
2055,0.864286574327965,"national","overall"
2056,0.870606672532106,"national","overall"
2057,0.861829629531244,"national","overall"
