Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75712.25618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216876.8527,0,0,0,0,0,30519.09207,0,1452018.455,78867.93838,65918.07531,0,0,1039914.996,0,46217.85674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182692.8279,0,0,0,0,0,27962.85286,0,1178534.725,73709.22515,57242.69517,0,0,770041.1431,0,38502.88051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153035.1077,0,0,0,0,0,25593.74492,0,975497.7115,68318.66855,51172.44596,0,0,642964.4471,0,45293.12508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137444.4186,0,0,0,0,0,23585.54659,0,839080.5463,64016.29625,49873.6031,0,0,597573.1096,0,854527.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125165.6962,0,0,0,0,0,21762.55013,0,740230.2805,59238.21309,43970.27587,0,0,595854.2003,0,1366104.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112878.9137,0,0,0,0,0,19763.96005,0,665157.5742,54511.8592,42863.5432,0,0,606567.0957,0,573334.8612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103136.265,0,0,0,0,0,18096.45705,0,609662.4024,49964.74598,41298.91119,0,0,615969.879,0,180833.6141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95891.40537,0,0,0,0,0,16815.08646,0,569017.4475,46040.99099,38934.34355,0,0,611299.3398,0,295863.8405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95265.68347,0,0,0,0,0,15892.15189,0,541628.1361,42472.10145,38214.22524,0,0,575832.5062,0,181108.9511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89660.07281,0,0,0,0,0,15147.71717,0,521868.8272,39203.11412,39192.7769,0,0,566279.1418,0,74773.75814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84249.63117,0,0,0,0,0,14629.32039,0,505482.2074,36536.39499,36641.35041,0,0,593334.8944,0,66386.84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79679.53695,0,0,0,0,0,14299.83931,0,493184.828,34160.6263,36106.87959,0,0,590957.2289,0,56548.75988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75820.0652,0,0,0,0,0,13957.95869,0,482091.7378,31931.83828,33260.29186,0,0,558507.2257,0,41172.94259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72962.77596,0,0,0,0,0,13694.97488,0,470342.1218,30179.92617,31275.48139,0,0,543187.5424,0,39763.92509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74835.47281,0,0,0,0,0,13443.55344,0,467709.0603,28888.31176,32293.54395,0,0,562666.6036,0,58852.86864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73628.37897,0,0,0,0,0,13208.69701,0,468939.3573,27823.90628,32176.89543,0,0,587976.1813,0,67965.59434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72841.33239,0,0,0,0,0,13016.93167,0,468147.6604,27233.58581,32811.19041,0,0,621528.3926,0,71241.73112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68846.0266,0,0,0,0,0,12819.48162,0,464203.6635,26693.91729,31784.57297,0,0,591053.685,0,63258.3962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69439.42609,0,0,0,0,0,12579.49381,0,461588.5919,26174.74753,32603.09453,0,0,580178.8647,0,87687.99504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68665.83469,0,0,0,0,0,12365.69099,0,461733.5217,25962.89247,31874.98948,0,0,597391.5501,0,137365.4545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
