Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66916.43614,0,0,0,0,0,12838.12823,0,526361.2575,26830.34611,30563.10018,0,0,600393.6417,0,37860.61676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63132.58169,0,0,0,0,0,12602.93455,0,519941.1981,26484.43511,28607.22735,0,0,575685.3359,0,34022.83602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62620.87236,0,0,0,0,0,12349.05445,0,514841.1071,26334.32677,28257.53552,0,0,597639.8778,0,45325.03749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62463.7839,0,0,0,0,0,12234.99168,0,510441.7168,25909.12947,26847.38532,0,0,640435.5175,0,44630.81163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64994.9733,0,0,0,0,0,12084.69827,0,509383.9477,25665.43944,26332.77006,0,0,659641.429,0,38473.05267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64173.1112,0,0,0,0,0,11992.02565,0,508128.0085,25358.47889,27326.56888,0,0,622808.2646,0,48829.01961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65197.96435,0,0,0,0,0,12095.57894,0,508328.3897,25054.13228,28800.05699,0,0,602054.903,0,73352.09023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63317.63495,0,0,0,0,0,12147.30223,0,506439.9025,24859.52732,27722.56299,0,0,591526.4592,0,87047.73157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60633.46273,0,0,0,0,0,12163.22701,0,502894.0059,24659.77714,25713.18486,0,0,594538.3678,0,59509.71168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58572.50636,0,0,0,0,0,12225.84009,0,494229.794,24303.39447,24237.07578,0,0,572209.7909,0,106689.8658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
