Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123211.4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371578.3454,0,0,0,0,0,58317.5972,0,3027387.071,154570.2432,132198.5143,0,0,2050343.312,0,70306.42037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272784.7807,0,0,0,0,0,48614.61226,0,1978600.4,133261.518,103665.4229,0,0,1225394.22,0,2115986.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207054.9507,0,0,0,0,0,40674.64933,0,1377690.41,114488.631,84528.72395,0,0,893803.4713,0,2396275.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167776.8689,0,0,0,0,0,33946.435,0,1015366.417,97681.13164,67463.49629,0,0,719958.8318,0,802018.1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141305.1392,0,0,0,0,0,28479.34414,0,791777.2956,82069.897,56051.64194,0,0,608347.0343,0,152214.3501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119610.9898,0,0,0,0,0,24293.60233,0,665452.2169,70283.18622,50365.16977,0,0,534531.2366,0,269993.5832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104275.4171,0,0,0,0,0,21009.12851,0,585036.5193,59899.77783,42814.55212,0,0,516105.0581,0,346542.2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89434.34415,0,0,0,0,0,18283.88622,0,523433.9863,51488.95809,37674.9471,0,0,471086.2815,0,125930.4048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90424.54346,0,0,0,0,0,16519.96973,0,481473.8738,44698.67977,33497.49686,0,0,417366.1107,0,106570.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80286.90808,0,0,0,0,0,14981.82487,0,449371.3252,38624.30983,32301.15673,0,0,375916.9065,0,160656.5251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68668.30726,0,0,0,0,0,13739.21991,0,424916.119,33975.3753,31504.48679,0,0,365340.8217,0,87407.11021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61580.53479,0,0,0,0,0,12931.90862,0,407828.5325,30303.96883,32188.63888,0,0,350965.5562,0,49475.9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58056.98852,0,0,0,0,0,12303.82906,0,396892.6229,27304.93284,35646.85151,0,0,340173.259,0,85548.73841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52904.04752,0,0,0,0,0,11679.70679,0,387353.9445,25008.45821,30861.9843,0,0,322565.0204,0,168095.5662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48411.09476,0,0,0,0,0,11117.01061,0,378244.1225,23198.30149,27021.70508,0,0,294119.8517,0,122705.9623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47665.20354,0,0,0,0,0,10652.90987,0,371620.3103,21756.23018,25908.29852,0,0,291737.7484,0,42578.88339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45588.96963,0,0,0,0,0,10254.99264,0,364882.0176,20784.03486,26353.87038,0,0,285959.3904,0,121221.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45210.89152,0,0,0,0,0,9882.236502,0,359601.2356,19976.55081,26270.98,0,0,289308.8928,0,125213.6419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43030.68085,0,0,0,0,0,9547.255203,0,355063.0622,19206.3006,26477.13722,0,0,290259.2427,0,99775.21448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39953.77887,0,0,0,0,0,9205.55287,0,349719.813,18672.89874,25883.08651,0,0,270953.7502,0,99064.27809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38241.71034,0,0,0,0,0,8868.965962,0,345264.4966,18302.03504,26777.26772,0,0,265945.6435,0,79671.47474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36097.88565,0,0,0,0,0,8620.467221,0,340051.4234,17831.15195,24772.81999,0,0,273660.5836,0,62274.99733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34895.22343,0,0,0,0,0,8362.870356,0,337552.2328,17454.15533,23151.27336,0,0,261496.5905,0,57549.20954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35305.95631,0,0,0,0,0,8223.178752,0,336596.0459,17057.85523,22598.51783,0,0,266560.2965,0,53765.33792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36495.92368,0,0,0,0,0,8220.551889,0,336011.865,16656.7749,22674.36994,0,0,268238.4275,0,51209.64732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35394.88762,0,0,0,0,0,8226.908152,0,335103.0303,16370.65287,22429.17778,0,0,263869.0564,0,61616.43658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33436.92037,0,0,0,0,0,8180.053519,0,334955.4056,16091.88714,21655.01779,0,0,262107.6489,0,75364.03881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31171.23665,0,0,0,0,0,8084.805319,0,333252.1093,15749.05567,22109.87144,0,0,271182.5102,0,64428.77505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30315.36025,0,0,0,0,0,7985.389739,0,331148.1832,15501.87695,21627.77858,0,0,264382.4028,0,76098.20687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30205.9076,0,0,0,0,0,7898.310334,0,331319.5627,15343.93719,19864.50078,0,0,257959.1254,0,69068.50249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
