Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103017.2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123211.4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106507.2304,0,0,0,0,0,15793.93198,0,902122.1676,41505.69444,36523.16485,0,0,678642.64,0,70288.61089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100106.5503,0,0,0,0,0,15211.74218,0,814671.7133,40351.09763,34240.62718,0,0,612111.2645,0,2116806.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92712.26521,0,0,0,0,0,14621.23306,0,746617.5949,39286.87116,32868.93288,0,0,552547.4009,0,2395210.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86051.94047,0,0,0,0,0,13892.21212,0,687092.776,37911.00607,30702.5211,0,0,501032.7859,0,802019.6529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81068.11935,0,0,0,0,0,13170.42628,0,637147.3772,35967.51357,30494.77447,0,0,485356.6258,0,150647.1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76511.5127,0,0,0,0,0,12587.8937,0,603258.1019,34704.34344,28235.38798,0,0,480399.9382,0,373849.8934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73185.00233,0,0,0,0,0,12093.90388,0,576767.4138,33187.66143,26652.19704,0,0,468585.1891,0,351111.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69726.12985,0,0,0,0,0,11585.40494,0,552746.0835,31824.5032,25568.49912,0,0,458697.8085,0,114733.0843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73550.77492,0,0,0,0,0,11370.69262,0,535937.0721,30643.74559,24907.30055,0,0,450932.9617,0,99839.0808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69334.59552,0,0,0,0,0,11073.05413,0,522492.8357,29114.19814,26014.00334,0,0,466577.7868,0,190565.6329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65638.17319,0,0,0,0,0,10774.17225,0,510988.6103,27911.14476,25906.74067,0,0,488252.5586,0,119989.1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64161.34388,0,0,0,0,0,10634.75809,0,504148.1829,26846.81573,26840.10814,0,0,488274.2475,0,48476.23401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61317.07542,0,0,0,0,0,10491.37089,0,497749.9013,25790.99551,26088.47302,0,0,467489.8303,0,123633.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58841.05785,0,0,0,0,0,10315.58633,0,491650.4049,24963.4756,24933.40188,0,0,453032.0608,0,199511.5837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59830.2661,0,0,0,0,0,10225.13679,0,489623.9342,24308.78509,24426.67156,0,0,456870.7493,0,137225.3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58895.33159,0,0,0,0,0,10162.46835,0,486438.1314,23781.8972,25441.72458,0,0,487708.758,0,57282.18061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59539.45224,0,0,0,0,0,10199.10638,0,483155.7369,23653.62905,25745.00924,0,0,497960.5489,0,190382.4885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57493.60707,0,0,0,0,0,10141.68406,0,480449.3815,23496.17636,25319.23719,0,0,491884.6418,0,172580.5476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57447.0901,0,0,0,0,0,10112.87264,0,478221.7652,23216.76245,25275.24681,0,0,480626.6181,0,101054.7562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56186.64055,0,0,0,0,0,9989.06955,0,475277.7247,23120.29278,25211.83133,0,0,471659.3459,0,51518.94813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55780.07889,0,0,0,0,0,9847.972876,0,472033.7523,23087.81677,24719.09721,0,0,474879.3913,0,65049.59065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58125.67835,0,0,0,0,0,9776.695637,0,472084.0141,22828.9318,24546.80033,0,0,500319.9013,0,52556.96741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56475.88831,0,0,0,0,0,9723.91171,0,470394.1938,22728.01656,24622.50419,0,0,529325.2795,0,36839.93988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54874.82469,0,0,0,0,0,9643.601386,0,470016.5578,22629.2426,24786.48894,0,0,530225.8492,0,29616.70326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56054.66241,0,0,0,0,0,9740.245244,0,468463.4433,22457.95981,24886.88505,0,0,514079.2304,0,32593.19389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55041.62271,0,0,0,0,0,9837.276769,0,465543.0338,22376.35612,23693.88411,0,0,493150.0015,0,89125.45033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53775.24482,0,0,0,0,0,9841.929038,0,461428.7382,22264.91371,22444.0011,0,0,491025.0014,0,121552.9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55473.27971,0,0,0,0,0,9867.735053,0,459132.2945,22066.04032,22867.51229,0,0,490600.5636,0,82083.67599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56118.48851,0,0,0,0,0,9833.80645,0,456564.4344,21996.86125,23198.50364,0,0,464971.1015,0,67089.71217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54386.74435,0,0,0,0,0,9727.982762,0,453811.772,21948.50675,24227.95631,0,0,472731.4458,0,87029.94336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53295.61227,0,0,0,0,0,9619.630935,0,453023.8548,21824.03586,23860.88225,0,0,470559.9768,0,65485.55766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53330.55874,0,0,0,0,0,9568.434012,0,452634.1195,21827.52115,22945.31515,0,0,440727.2485,0,39905.53232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53063.84827,0,0,0,0,0,9513.902469,0,453124.6512,21845.97929,22358.05927,0,0,468402.1177,0,122868.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53752.37874,0,0,0,0,0,9505.064979,0,455628.9624,21744.69868,21847.89712,0,0,494046.9427,0,207053.4392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53448.11839,0,0,0,0,0,9552.916941,0,457404.2516,21795.60005,21903.39168,0,0,497809.8297,0,129219.2302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54613.05107,0,0,0,0,0,9714.571173,0,454593.6052,21900.29426,19826.3365,0,0,493672.8554,0,56998.56528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53913.36676,0,0,0,0,0,9705.221566,0,451882.7388,21709.77094,22118.87946,0,0,510384.2493,0,173455.1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51699.57656,0,0,0,0,0,9624.562816,0,449747.5299,21651.03184,21641.74978,0,0,505478.9056,0,199764.8009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52898.48829,0,0,0,0,0,9647.826925,0,447791.5554,21640.7634,21884.15139,0,0,476424.9837,0,1336549.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
