indicatorID,indicator_name,model_group,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
11,Atlantic salmon,PEL,1271226.952,1278799.368,1298546.914,1320486.345,1341272.276,1352172.313,1463855.675,1551675.555,1474029.058,1434740.841,1427653.926,1415148.532,1402611.53,1397589.62,1450390.628,1472271.824,1432142.107,1413995.09,1393977.059,1375977.959,1371353.408,1385118.77,1410602.226,1400418.269,1394813.117,1396270.919,1392174.912,1390321.857,1390598.44,1386460.361,1382586.917,1388235.296,1385722.154,1393896.042,1441364.571,1439818.968,1419934.456,1413289.609,1408888.768,1406336.287,1411762.105,1444353.65,1436708.373,1417908.568,1409590.467,1399233.646,1391509.613,1391453.081,1395659.552,1400286.438,1430515.127,1428837.54,1406615.576,1400458.507,1395311.963,1391171.702,1392343.105,1391399.448,1394712.337,1416044.166,1403223.585,1373095.83,1360952.606,1354708.098,1355373.84,1356422.298,1367482.299,1372700.276,1380341.706,1379483.129,1385483.674,1384912.919,1373845.443,1363754.146,1361533.904,1363965.751,1375710.287,1382959.697,1383077.394,1399193.736,1410171.972,1406088.725,1384697.536,1373384.392,1370188.294,1363743.725,1361835.116,1348085.555,1354334.749
12,Ling,DEO,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361817.384,1345947.012,1339624.698,1328934.877,1330587.391,1326817.212,1325587.868,1330498.332,1331451.103,1338928.597,1339770.99,1343288.135,1366115.209,1382330.497,1388769.907,1387981.665,1388538.107,1387035.568,1379091.987,1372242.918,1372883.238,1370645.467,1368662.148,1366688.492,1363003.599,1366071.414,1370808.5,1372593.107,1380625.027,1406939.936,1416008.216,1414440.774,1412333.266,1410253.389,1409340.782,1410341.952,1411796.062,1411880.86,1414019.592,1419226.035,1422959.484,1422704.91,1424754.63,1428095.602,1428942.734,1426371.991,1424579.338,1442956.947,1453270.902,1446252.685,1447195.827,1442551.259,1448922.465
13,Capelin,CAP,4437031.175,3489253.639,2957412.289,2463157.327,2133401.133,1987936.318,2160471.565,4354298.699,3555331.686,3235014.078,4532269.862,5030212.446,4791696.627,3676783.611,5340024.534,6537610.557,6173747.743,5602769.241,4501294.525,5055497.172,4666187.539,2964182.183,4561062.723,5435876.744,4770267.627,5088764.384,6026010.48,6604613.683,6121693.695,3861336.351,4664474.912,5534174.759,3602204.324,4022791.895,5445939.649,4978697.639,4377719.488,5142189.766,5684625.754,5491242.052,4668693.318,3227951.636,3026938.132,4722323.538,4260107.562,3743853.102,6639851.521,5299774.981,3662284.885,5207037.674,7178951.509,5120807.065,4295216.051,6054614.63,5174663.302,4799817.639,6069941.047,5442038.214,4753559.021,5872219.179,5835167.525,5345709.62,3743109.385,5426659.859,6975588.884,5718863.868,4618441.882,5701878.127,6611725.42,5099693.781,5956244.343,5875026.613,4540228.554,4241560.148,3943220.926,4271890.005,6129933.013,5302683.421,4762987.541,4798386.402,6047914.325,5837357.889,5870016.154,6429007.314,5918178.46,4324151.283,5170963.518,6956687.097,4676557.119
14,Jellyfish,ZG,6828658.954,6802294.595,6789772.468,7189654.771,7190425.633,7164271.536,7129247.593,7113030.28,7089021.165,7066311.891,7036412.344,7317706.835,7311189.368,7280426.726,7271369.137,7255867.164,7248728.185,7660700.094,7651530.108,7638943.173,7627941.24,7609071.465,7987928.153,8008145.795,7992404.297,7968107.892,7969250.695,7950567.447,7932439.953,7917131.971,8340303.535,8325571.414,8324503.711,8733234.456,8719965.896,8714332.062,8701057.905,8690241.622,8679721.437,8674744.67,8660922.81,8652938.689,8677508.192,8678707.275,9185538.351,9713595.223,9740639.295,9773218.45,9794203.83,9798208.963,9818046.867,9854782.554,9868753.76,9924326.352,9998546.507,10027292.33,10623826.98,11171479.31,11197569.62,11203582.19,11267412.05,11350343.27,11380142.15,11405203.41,11443090.17,11518506.15,11535048.27,12302874.32,12412374.39,12455005.16,12509167.52,13125689.47,13172387.96,13219821.54,13250230.11,13343134.79,13369451.63,13465114.9,13561387.58,14504255.13,14651347.71,14696513.59,14835164.28,15031483.15,15812450.84,15927111.56,15994987.42,16077074.72,16143122.07
15,Phytoplankton small,PS,8178408733,76945103.66,99893702.56,164055010,282301516.5,502096968.1,964722707.2,3132628625,4944681792,8483052156,819323350.3,52988183.97,107293521.3,265465418.8,773067239.9,62763550.48,45455092.58,57958833.99,79060919.91,126773749.4,261899564.1,604399989.7,1071850518,1551359394,2147016898,2541245029,3143243295,3701717849,127878144.5,192209336.4,447193220.2,132290507.9,125088855,147296323.7,162642541.4,286252451.8,490359567.7,1449271836,3313498956,6799191358,9895828211,2367427614,291121051,220387014.6,277688784.4,252918577.3,284655398.9,250305726.8,238226060.1,208052197,252649054.7,566604122.8,1062677698,1729212843,586447820.9,212350759.4,233652829,324935025.2,685238500.7,1091948807,1699139706,295992436.2,387192420,535614821.9,255195300.7,294991421.7,430134018.7,1140823160,960114456.3,1438760782,329545478.8,427260522.8,287956110.3,311523243.7,365367446.1,513795961.1,526769558,858568471.5,1996167484,1007064726,2026847349,654079065.4,1491453544,3950693886,7433202382,9615333349,2266794713,2867631249,3413925191
16,Phyoplankton large,PL,5532255040,4469148505,3971180996,3665045484,3467656353,4927990728,4081685354,4484003404,4606837395,5526318928,4587058442,4154953982,4474648655,5487802167,7466761643,5073015290,5537956233,6165569983,7351296984,5618170462,7215947287,7998986892,6187236498,5717065155,6956559332,5611267892,5708576974,6236414951,7644869358,9889142072,11858026379,10850000088,11349882148,13114515012,12284451696,11276307994,11095779671,11710381131,12061043355,12859145990,12765792956,10301737331,10595689813,10637749858,10478358433,9406852501,9850128062,8221910275,8641577827,9888082159,11026780867,12208747354,10684060543,9556350223,8985585436,8594870061,7490874704,10896090083,13236650846,9924845626,8578362366,7826292522,7672735312,7258447793,7045761080,9207487896,7522244239,7944199853,9204729576,8939761793,10989055349,11945205923,9025268015,8465202933,8129665490,8078536604,7087959862,6459728913,7361898196,9108507913,10475366914,7483211044,7563948175,8536286130,7142230592,7012198840,6576355441,7244327495,5445241095
17,Polar cod,PCO,2805796.932,2870444.274,3041645.645,3168919.867,3236423.356,3179749.472,3359888.299,3444425.081,3421758.713,3221658.338,3159349.694,3035070.143,3126285.015,3173146.404,3281020.67,3291772.25,3446111.012,3557982.533,3705848.713,3704264.061,3717637.198,3643767.012,3696437.976,3724307.561,3835993.628,3662208.99,3543425.23,3503430.315,3618123.28,3668626.698,3729522.778,3775615.052,3578218.356,3508630.512,3603819.764,3687947.357,3746590.586,3657232.015,3635633.589,3609828.779,3704916.832,3765183.056,3981736.707,3942856.014,3760644.709,3910193.719,3899809.005,3940289.823,3980576.602,3962898.151,4085316.892,4017748.388,4222030.215,4355890.634,4473224.745,4640330.638,4566114.009,4619432.352,4673641.799,4628717.303,4800576.892,4639430.631,4395443.227,4311121.996,4212173.892,4185391.032,4103170.772,4160987.277,4065724.635,4025750.898,4107666.485,4111149.445,4060435.082,4162581.074,4074269.461,3936664.679,3898421.666,3891131.158,3884277.885,4122535.948,4124915.678,4057277.56,3822271.193,3762015.752,3986963.103,4192942.815,4099338.985,3982740.772,3881833.397
18,Northern deep sea shrimp,PWN,19353380.58,6091585.11,6693765.072,8358604.063,9338068.587,9649727.607,8970166.231,9693020.236,9969786.393,10162898.62,10991204.29,12127480.48,13367074.85,14022732.23,14178968.48,13291172.6,17846969.85,14375654.34,12369564.75,12256970.9,10765335.74,9013848.502,9180949.513,10170214.76,11638259.99,12352478.1,11888336.06,11785720.43,12380606.42,14321547,14510855.13,14855830.13,13132186.04,12299567.38,10950816.01,9361958.591,9328539.705,8878482.555,8006373.887,8161512.061,8478847.497,6504171.53,7120614.627,8831286.466,9748277.013,10908506.78,8468319.062,10236466.91,11138770.63,14385245.15,14917648.27,14266939.49,15936382.04,16823549.84,21755949.87,18012878.8,24182155.17,21067399.09,23448857.09,25712611.11,28954752.81,34150369.94,34521492.23,36275920.28,41325338.11,41724109.21,39205258.86,38449819.81,40121051.9,37278186.35,42925448.76,44173337.57,46220420.15,42944777.43,45348534.79,49160699.78,44223703.86,57079555,48582431.01,48582680.65,58209130.21,39530773.66,40467097.08,46963699.78,44308465.12,49229888.28,45641406.67,69497914.94,52571646.4
19,Lumpfish,PES,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,863449.5232,869558.8041,867483.9216,856268.2726,840560.4635,829480.6016,810586.731,791431.7775,775195.5407,754932.0776,738436.6883,717332.6743,710140.1675,701327.4363,699190.0752,690844.4819,684437.5488,673853.4564,659199.416,636226.0985,608352.9972,581477.4082,557613.351,538358.1973,516512.6311,497446.5477,481778.4116,465868.8551,456557.2006,464037.6202,474140.0884,477868.7401,481442.3268,485317.1516,486765.5404,490769.8736,493693.4863,493193.2484,486992.0395,473046.9573,461122.1642,448981.9278,439761.8648,432806.4193,427891.5994,424260.192,415698.7793,425543.3201,438841.0614,447978.6806,455725.2257,454758.4561,465529.1596
20,Sand gaper,BFF,9421586.993,9698665.401,9728806.873,9801631.062,9862991.081,9929745.403,10240369.07,10347061.3,10420950.74,10477707.78,10792071.91,10837711.72,10906481.09,11004083.33,11045749.49,11477260.29,11582978.33,11669455.16,11749491.03,12200948.64,12289130.86,12380790.06,12475674.1,12988841.81,13131420,13234318.57,13342774.61,13894529.15,14000028.47,14113019.03,14657766.03,14780823.14,14918622.96,15514060.94,15593876.91,15740528.1,16353079.39,16511437.27,16630837.98,17215680.84,17365029.34,17443544.17,18065673.03,18225864.46,18355871.43,19022366.8,19081618.31,19232841.64,19884576.39,20040688.16,20184385.05,20792122.05,20943718.23,21087244.47,21697694.35,21834193.65,21956220.05,22498625.36,22712541.81,23244307.38,23424410.81,23553843.46,24146742.03,24259967.77,24800933.86,24946309.95,25117406.73,25602750.66,25757633.57,25884886.69,26411417.71,26536288.9,26698472.78,27158418.86,27330750.88,27736519.98,27919155.7,28052521.83,28490724.67,28640042.51,28933674.79,29119657.06,29355649.4,29610254.58,29941067.9,30151849.04,30475583.66,30662745.1,30867926.64
