indicatorID,indicator_name,model_group,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
11,Atlantic salmon,PEL,1271226.952,1278799.368,1298546.914,1320486.345,1341272.276,1352172.313,1463855.675,1551675.555,1474029.058,1434740.841,1427653.926,1415148.532,1402611.53,1397589.62,1450390.628,1472271.824,1432142.107,1413995.09,1393977.059,1375977.959,1371353.408,1385118.77,1410602.226,1400418.269,1394813.117,1396270.919,1392174.912,1390321.857,1390598.44,1386460.361,1382586.917,1388235.296,1385722.154,1393896.042,1441364.571,1439818.968,1419714.392,1412718.623,1408085.797,1405553.696,1411066.327,1444029.87,1436714.189,1445998.85,1451637.539,1420381.862,1411770.628,1399804.789,1394192.853,1406466.279,1433440.361,1418953.952,1397705.648,1389549.283,1395110.29,1394745.809,1393692.05,1397035.705,1399631.002,1396136.955,1386812.045,1379851.32,1377126.306,1376734.039,1383344.064,1399329.995,1399253.431,1388405.258,1419551.867,1433341.882,1415818.978,1408630.492,1424714.596,1405134.058,1380881.767,1373606.276,1380846.27,1380663.482,1381290.115,1403634.716,1410487.156,1393136.539,1384120.805,1388420.724,1389245.545,1383896.889,1370780.953,1376784.287,1380542.883
12,Ling,DEO,1385355.82,1386748.954,1385068.402,1392532.845,1388210.957,1384004.531,1384419.881,1377992.122,1374351.372,1369330.35,1366525.253,1365190.527,1362129.395,1364820.689,1365302.362,1367883.581,1379139.118,1389698.44,1386095.077,1374411.034,1368548.004,1353810.68,1348766.727,1347167.098,1345832.169,1344636.246,1348893.313,1346509.927,1342424.93,1343858.989,1346635.861,1357099.477,1368409.073,1369620.278,1371654.505,1366487.636,1361746.701,1345719.641,1339240.965,1328295.026,1329583.78,1325728.258,1324356.901,1329200.973,1329972.93,1336980.182,1337649.361,1340331.18,1359956.508,1378988.631,1384852.953,1377279.71,1378688.353,1377543.74,1371336.394,1365929.5,1366204.51,1365139.472,1364103.407,1364394.161,1362786.654,1371385.503,1381504.013,1380269.106,1378764.843,1383263.87,1394311.843,1416188.143,1414255.223,1412123.677,1411126.098,1412052.936,1414644.622,1413696.081,1415794.972,1421903.238,1425305.724,1422767.434,1422975.896,1424989.153,1424639.766,1423645.605,1424138.695,1426735.659,1423250.769,1420463.027,1436153.608,1452823.861,1454034.228
13,Capelin,CAP,4437031.175,3489253.639,2957412.289,2463157.327,2133401.133,1987936.318,2160471.565,4354298.699,3555331.686,3235014.078,4532269.862,5030212.446,4791696.627,3676783.611,5340024.534,6537610.557,6173747.743,5602769.241,4501294.525,5055497.172,4666187.539,2964182.183,4561062.723,5435876.744,4770267.627,5088764.384,6026010.48,6604613.683,6121693.695,3861336.351,4664474.912,5534174.759,3602204.324,4022791.895,5445939.649,4978697.639,4382411.14,5155713.069,5710977.021,5530686.365,4715988.725,3271919.091,3077218.974,4803268.419,4338686.92,3787187.121,6603356.457,5207373.16,3657437.136,5368411.077,7061763.845,5194876.048,4210001.195,6301732.905,5288145.651,5063039.515,6378158.398,5667777.559,5077958.745,5671198.282,6083536.994,5981905.16,3978026.609,5317020.3,7343452.527,5898258.167,4464888.775,5715285.612,6975848.102,5431708.49,6402743.183,6161496.984,4520453.072,4526916.327,4062500.894,3742352.364,5522877.467,5223076.389,5048865.366,4798824.356,5184507.632,5590174.111,5851738.269,6560234.539,6019307.704,5057910.227,5343956.324,7081140.863,4673242.766
14,Jellyfish,ZG,6828658.954,6802294.595,6789772.468,7189654.771,7190425.633,7164271.536,7129247.593,7113030.28,7089021.165,7066311.891,7036412.344,7317706.835,7311189.368,7280426.726,7271369.137,7255867.164,7248728.185,7660700.094,7651530.108,7638943.173,7627941.24,7609071.465,7987928.153,8008145.795,7992404.297,7968107.892,7969250.695,7950567.447,7932439.953,7917131.971,8340303.535,8325571.414,8324503.711,8733234.456,8719965.896,8714332.062,8701073.001,8690297.941,8679838.194,8675014.995,8661627.749,8653973.854,8678470.087,8680804.777,9205452.872,9742133.339,9759365.275,9751747.338,9762825.65,9797415.046,9825652.978,9852015.221,9885562.411,9948188.081,9990373.47,10052357.87,10657394.04,11250371.44,11315152.11,11337975.38,11344203.77,11383553.05,11486198.88,11544105.09,11553988.14,11572743.69,11610258.85,12337162.3,12363578.24,12422080.78,12485262.61,13084484.45,13197963.14,13344672.75,13381255.37,13523984.98,13698811.22,13746355.62,13865602.9,14820664.97,14863296.36,14919843.38,15006707.92,15052643.85,15832353.15,15894883.72,16018981.86,16234106.13,16344251.39
15,Phytoplankton small,PS,8178408733,76945103.66,99893702.56,164055010,282301516.5,502096968.1,964722707.2,3132628625,4944681792,8483052156,819323350.3,52988183.97,107293521.3,265465418.8,773067239.9,62763550.48,45455092.58,57958833.99,79060919.91,126773749.4,261899564.1,604399989.7,1071850518,1551359394,2147016898,2541245029,3143243295,3701717849,127878144.5,192209336.4,447193220.2,132290507.9,125088855,147296323.7,162642541.4,286252451.8,490359769.7,1449295080,3313567965,6799321075,9895290117,2367491788,291633158.9,220410203.9,279460148.9,252080809.6,270130214.9,259315593.7,364109341.3,208311867.3,255243286.5,560528399.7,1258163149,1720505519,1259691315,2227827746,396877514.2,724139812.9,733525822.8,1478398513,2085792798,2842876718,5878197163,7526371210,8804710791,12475446616,15491032295,18624127759,915422318.5,1429827374,323789959.5,646139668,290927415.9,323619122.7,393833339.4,510775838,298389750.7,313009302.4,423193944.6,628871640,1667198261,2245254461,3234484100,4802670531,1505978916,1776104745,2215595680,2812369173,3209718222
16,Phyoplankton large,PL,5532255040,4469148505,3971180996,3665045484,3467656353,4927990728,4081685354,4484003404,4606837395,5526318928,4587058442,4154953982,4474648655,5487802167,7466761643,5073015290,5537956233,6165569983,7351296984,5618170462,7215947287,7998986892,6187236498,5717065155,6956559332,5611267892,5708576974,6236414951,7644869358,9889142072,11858026379,10850000088,11349882148,13114515012,12284451696,11276307994,11095756074,11710680117,12062304502,12857663583,12748194428,10298317775,10642981888,8349829344,8395126767,7434497643,7318433071,6612527436,7783082751,8582039606,7243348950,6497467980,6755651038,6770184277,6692169999,7535353903,6422424097,6015490590,6815903662,6399444694,6474052604,5735135431,5417820329,5968650750,7140454857,5702035763,5245843858,6137523549,4614766050,4470367078,5295840882,9009536480,6068556714,7911434012,6577040153,6259238242,7707688593,5933379262,7176568810,8195812503,8690142953,10910571989,13345927125,10702231550,11816342671,9137532458,8771477643,11112947547,11169953537
17,Polar cod,PCO,2805796.932,2870444.274,3041645.645,3168919.867,3236423.356,3179749.472,3359888.299,3444425.081,3421758.713,3221658.338,3159349.694,3035070.143,3126285.015,3173146.404,3281020.67,3291772.25,3446111.012,3557982.533,3705848.713,3704264.061,3717637.198,3643767.012,3696437.976,3724307.561,3835993.628,3662208.99,3543425.23,3503430.315,3618123.28,3668626.698,3729522.778,3775615.052,3578218.356,3508630.512,3603819.764,3687947.357,3746757.144,3657830.756,3636870.513,3611993.65,3708283.384,3769836.225,3987784.95,3950356.902,3769548.336,3919286.917,3902943.517,3933138.235,3978537.842,3958016.55,4066543.331,4001571.418,4204944.243,4323879.366,4459755.181,4639814.648,4577291.895,4616254.246,4668073.98,4636537.979,4795628.524,4626662.092,4409909.504,4278177.28,4169429.37,4173344.309,4101925.649,4148550.312,4084079.909,4053899.601,4113394.896,4136715.028,4106888.414,4186012.326,4106287.767,3955357.207,3904108.869,3915190.685,3896396.374,4144691.071,4149556.446,4080089.587,3859055.704,3795789.174,4017757.624,4178815.314,4103839.109,3991746.17,3853529.96
18,Northern deep sea shrimp,PWN,19353380.58,6091585.11,6693765.072,8358604.063,9338068.587,9649727.607,8970166.231,9693020.236,9969786.393,10162898.62,10991204.29,12127480.48,13367074.85,14022732.23,14178968.48,13291172.6,17846969.85,14375654.34,12369564.75,12256970.9,10765335.74,9013848.502,9180949.513,10170214.76,11638259.99,12352478.1,11888336.06,11785720.43,12380606.42,14321547,14510855.13,14855830.13,13132186.04,12299567.38,10950816.01,9361958.591,9329492.972,8886932.921,8015817.498,8162718.105,8487624.907,6504800.334,7160952.597,8857606.811,9717968.916,10748438.32,8554963.321,10003793.68,11227897.37,14692531.83,14980782.41,13804285.18,15648125.02,17303446.22,23024551.64,16523275.9,21296272.7,21330896.9,23575376.98,28152787.79,30165227.71,33809785.23,33305725.72,35314330.51,36845087.06,38598895.8,39033044.7,39555380.27,39912172.29,40731269.62,42173767.67,43066396.24,44861106.6,41428281.09,49760558.67,44617303.38,49789146.2,42840607.11,55628681.49,41729392.29,37230941.5,57386756.13,43636850.44,57978708.59,42653184.33,40494695.99,65964116.68,52886475.73,45634961.63
19,Lumpfish,PES,635305.0674,674459.4954,713906.6648,752592.9559,786707.9341,812538.8689,833534.8231,847305.2522,854576.7404,862747.6018,865164.3532,865148.6202,866873.4866,865070.7659,863977.3151,865650.6273,869740.1464,877581.2668,883121.8529,885268.9192,883021.5956,886964.2283,882744.0067,876144.2416,870538.3186,865474.9275,857460.2132,850624.0573,845276.5787,835333.563,827198.9781,827216.9502,830476.6254,839831.4198,849902.7394,857619.0775,863545.7205,869951.463,868323.2066,857658.2326,842480.0725,832003.9111,813951.0055,795804.9198,780729.1534,761432.7172,746254.0206,725705.7325,718785.9354,710888.0081,706207.6007,693405.1036,683722.6322,671918.4398,658888.7311,644900.8921,621254.5711,597234.5411,576295.2963,558714.5492,540422.3657,527661.5756,521297.8333,508529.6059,501341.2542,491614.9242,495219.0126,499320.9879,506746.8897,510259.4425,511691.5115,519410.9133,525937.3207,532312.7509,531778.887,530910.6036,525786.5121,513426.8232,499934.9457,490543.4618,475899.9624,462618.2399,452883.9316,445032.09,442791.8027,439683.9769,440396.2659,458452.9644,470749.5479
20,Sand gaper,BFF,9421586.993,9698665.401,9728806.873,9801631.062,9862991.081,9929745.403,10240369.07,10347061.3,10420950.74,10477707.78,10792071.91,10837711.72,10906481.09,11004083.33,11045749.49,11477260.29,11582978.33,11669455.16,11749491.03,12200948.64,12289130.86,12380790.06,12475674.1,12988841.81,13131420,13234318.57,13342774.61,13894529.15,14000028.47,14113019.03,14657766.03,14780823.14,14918622.96,15514060.94,15593876.91,15740528.1,16352801.18,16510993.83,16630240.11,17200430.42,17350596.57,17432341.1,18052743.79,18215204.89,18342972.5,19003595.37,19066221.37,19214475.97,19868039.31,20025902.22,20158535.54,20786561.68,20938374.2,21081573.59,21675474.58,21837771.21,21944062.12,22484722.16,22669012.77,22844375.14,23422508.12,23568270.87,24131695.28,24299331.94,24434158.04,24952587.67,25098640.83,25575334.85,25609096.73,25783889.64,26251287.49,26447667.19,26594424.19,27069466.35,27218092.02,27388388.05,27828108.93,27968707.62,28351442.28,28529387.1,28936321.89,29091546.53,29231203.46,29638309.78,29798625.23,30160809.02,30292072.44,30463733.52,30804337.55
