year,Scientific_Name,Common_Name,fao_rgn,stock_id,TaxonKey,Resilience,tons
1981,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,371578.3454
1982,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,272784.7807
1983,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,207054.9507
1984,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,167776.8689
1985,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,141305.1392
1986,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,119610.9898
1987,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,104275.4171
1988,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,89434.34415
1989,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,90424.54346
1990,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,80286.90808
1991,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,68668.30726
1992,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,61580.53479
1993,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,58056.98852
1994,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,52904.04752
1995,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,48411.09476
1996,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,47665.20354
1997,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,45588.96963
1998,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,45210.89152
1999,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,43030.68085
2000,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,39953.77887
2001,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,38241.71034
2002,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,36097.88565
2003,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,34895.22343
2004,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,35305.95631
2005,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,36495.92368
2006,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,35394.88762
2007,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,33436.92037
2008,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,31171.23665
2009,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,30315.36025
2010,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,30205.9076
2011,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,28939.94313
2012,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,28034.33579
2013,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,30760.4391
2014,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,30522.88888
2015,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,29296.96357
1981,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,58317.5972
1982,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,48614.61226
1983,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,40674.64933
1984,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,33946.435
1985,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,28479.34414
1986,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,24293.60233
1987,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,21009.12851
1988,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,18283.88622
1989,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,16519.96973
1990,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,14981.82487
1991,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,13739.21991
1992,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12931.90862
1993,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,12303.82906
1994,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,11679.70679
1995,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,11117.01061
1996,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,10652.90987
