year,Scientific_Name,Common_Name,fao_rgn,stock_id,TaxonKey,Resilience,tons
1981,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,106507.2304
1982,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,100106.5503
1983,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,92712.26521
1984,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,86051.94047
1985,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,81068.11935
1986,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,76511.5127
1987,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,73185.00233
1988,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,69726.12985
1989,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,73550.77492
1990,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,69334.59552
1991,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,65638.17319
1992,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,64161.34388
1993,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,61317.07542
1994,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,58841.05785
1995,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,59830.2661
1996,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,58895.33159
1997,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,59539.45224
1998,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,57493.60707
1999,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,57447.0901
2000,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,56186.64055
2001,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,55780.07889
2002,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,58125.67835
2003,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,56475.88831
2004,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,54874.82469
2005,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,56054.66241
2006,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,55041.62271
2007,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,53775.24482
2008,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,55473.27971
2009,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,56118.48851
2010,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,54386.74435
2011,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,53295.61227
2012,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,53330.55874
