indicatorID,indicator_name,model_group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,Greenland halibut,GRH,257346.6925,235178.4367,214994.0359,197496.6266,182197.7691,168848.0961,156966.7444,148047.3037,141765.8904,136451.5674,132348.0363,129733.0842,127366.1723,125419.664,123749.9412,122031.2022,120304.4481,117752.8061,116024.6607,113929.9811,112309.5284,111659.3908,111379.8055,112175.9916,112041.0365,112129.4063,110880.6184,109567.0233,108752.4125,107851.367,107701.8713,107841.9268,107698.5872,107097.9788,107712.7436
2,Blue ling,DEO,1547692.763,1541694.169,1533042.482,1524785.099,1522670.748,1517354.342,1501900.355,1498687.355,1513952.234,1519849.117,1511085.473,1513487.454,1517758.201,1516601.304,1512801.536,1513672.566,1531368.674,1529563.182,1507349.363,1488817.43,1497938.767,1498493.598,1504184.27,1518275.153,1523867.702,1506049.271,1482024.343,1476691.32,1479758.253,1473401.133,1483339.879,1499272.268,1498140.842,1497279.559,1494668.338
3,Blue mussel,BFF,4669069.831,4655266.189,4613471.357,4582388.446,4482776.639,4463209.603,4445757.684,4461365.779,4460907.041,4444560.422,4394836.168,4337589.758,4212060.123,4143659.463,4127557.543,4078119.017,4075282.234,4057033.233,4040365.248,4046658.507,4015181.123,3966674.211,4004862.172,4000366.689,3989859.801,3955075.896,3897394.291,3867028.571,3787871.013,3746922.097,3737816.79,3743155.825,3706360.028,3691172.857,3682617.904
4,Tusk,DEO,1547692.763,1541694.169,1533042.482,1524785.099,1522670.748,1517354.342,1501900.355,1498687.355,1513952.234,1519849.117,1511085.473,1513487.454,1517758.201,1516601.304,1512801.536,1513672.566,1531368.674,1529563.182,1507349.363,1488817.43,1497938.767,1498493.598,1504184.27,1518275.153,1523867.702,1506049.271,1482024.343,1476691.32,1479758.253,1473401.133,1483339.879,1499272.268,1498140.842,1497279.559,1494668.338
5,Fin whale,FWH,975995.8697,977877.4768,978604.1789,978940.1765,980718.5346,983269.7881,983540.284,984790.9734,984895.8648,984320.0373,985246.1889,985276.6567,986462.958,988372.8673,990571.3165,989049.258,985105.2033,982978.8745,981910.4612,980275.8674,978212.3452,976044.8055,973610.984,972738.4935,973784.7929,975229.6087,976626.8728,977823.0965,979957.6092,981653.7413,982880.8497,983875.1055,984563.6632,984979.9716,985164.4777
6,Wolffish,DEL,63951.13896,63964.28019,63643.94654,62979.00958,63076.65869,63144.82673,63131.4693,63035.06927,62838.6035,62036.75487,61455.91425,60861.31737,60648.6121,60758.24361,60836.27452,60860.07963,60599.24295,60414.77732,61294.02994,61083.14296,60646.92874,60467.22503,60121.69559,60119.65948,59917.78979,60749.08625,60523.05033,60140.35254,59689.61396,59582.06105,59426.42469,59206.89817,59131.29939,59109.06551,59880.46292
7,Hooded seal,HOS,58827.9645,59549.14659,59872.33486,59983.69871,60064.05352,60282.99562,60370.23481,60447.8098,60462.35369,60632.57767,60785.79008,60956.92133,61172.44389,61360.40378,61570.51098,61808.02698,61793.6507,61699.55233,61706.69832,61666.66471,61698.58556,61723.45725,61739.89996,61905.03136,62052.07823,62145.79978,62280.11821,62429.62925,62540.46885,62490.56458,62338.43995,62189.94247,62153.01764,62165.44378,62133.47447
8,Haddock,HAD,6332278.304,5210522.582,4397229.843,3795019.423,3365656.085,3066949.37,2833993.333,2660745.518,2529802.528,2434466.587,2353253.005,2298859.305,2270776.005,2252924.382,2241353.113,2218051.339,2196859.897,2180835.754,2140527.352,2108458.629,2103551.903,2100666.605,2100306.974,2094250.313,2083651.851,2061677.776,2028219.812,2022181.287,2034814.947,2036972.169,2044884.807,2044786.992,2035985.413,2031716.839,2037370.49
9,Blue whiting,BWH,886476.9426,890940.5614,900722.9981,903013.3648,912247.5073,919436.0321,928309.2145,931200.7463,936535.1734,939210.5598,944840.4531,944130.1949,946524.1523,947560.5747,946946.3856,956286.3506,953322.1688,956422.8658,966595.2248,968271.7199,957713.2791,956362.0533,960355.477,956991.065,954583.8842,964100.527,970159.2603,962402.2944,956269.1229,967360.1406,966371.9966,964866.1296,963485.3883,961475.986,965381.0289
10,Atlantic halibut,DEL,63951.13896,63964.28019,63643.94654,62979.00958,63076.65869,63144.82673,63131.4693,63035.06927,62838.6035,62036.75487,61455.91425,60861.31737,60648.6121,60758.24361,60836.27452,60860.07963,60599.24295,60414.77732,61294.02994,61083.14296,60646.92874,60467.22503,60121.69559,60119.65948,59917.78979,60749.08625,60523.05033,60140.35254,59689.61396,59582.06105,59426.42469,59206.89817,59131.29939,59109.06551,59880.46292
11,Atlantic salmon,PEL,90004.62368,90948.61336,92809.54064,93345.62303,94488.2479,94308.38212,93504.13445,92081.93594,93887.75652,91695.04336,90368.99121,89706.82004,89336.04874,89178.17082,88783.9114,89459.10776,89913.61841,89450.10358,91317.99691,90330.29306,88105.12751,89338.77841,88731.04586,88726.06744,88522.50436,90120.56487,89111.78057,87593.32607,86935.70607,88166.85223,88275.63812,87951.74554,87642.23088,87701.64648,89943.55573
12,Ling,DEO,1547692.763,1541694.169,1533042.482,1524785.099,1522670.748,1517354.342,1501900.355,1498687.355,1513952.234,1519849.117,1511085.473,1513487.454,1517758.201,1516601.304,1512801.536,1513672.566,1531368.674,1529563.182,1507349.363,1488817.43,1497938.767,1498493.598,1504184.27,1518275.153,1523867.702,1506049.271,1482024.343,1476691.32,1479758.253,1473401.133,1483339.879,1499272.268,1498140.842,1497279.559,1494668.338
13,Capelin,CAP,709647.0449,908199.3338,651747.7347,2311943.785,1642482.496,856131.8049,1017377.802,1668838.476,1413461.86,847815.4946,2041217.396,1125599.526,1595394.182,2346781.629,1476073.843,7342802.235,6081064.41,3171119.106,944457.6703,7876560.917,12692078.41,5570509.25,2417279.702,2997405.451,2566200.022,1972226.658,2161521.179,1892301.345,1494918.059,1210355.497,1474414.788,1103254.645,25518271.96,13761615.02,5190075.828
14,Jellyfish,ZG,6468910.688,6876707.92,6869223.098,6882015.328,6847165.699,6855481.414,6809256.564,6811812.901,6777956.757,7031143.811,6976823.168,7009993.802,6960050.148,7055260.832,7123761.367,7624543.766,7904576.953,7850452.451,7804950.544,8045728.805,8408452.535,8365857.226,8586390.664,8548337.488,8721744.259,8685429.054,8651258.298,8870221.257,9214763.022,9358125.592,9363556.283,10169278.02,10164990.58,10120979.71,10405992.7
15,Phytoplankton small,PS,29353882.48,29238064.15,29123991.61,29010576.35,28926673.72,29306499.67,28673243.04,28573561.5,28454051.1,28339603.81,28230768.54,28119609.55,28009993.98,31189445.88,27794613.67,27684395.24,27576523.3,27470419.06,27605950.22,27256669.49,27149721.46,27044434.41,26943253.64,26834012.31,26729755.41,26855847.89,26522014.47,26419539.86,26316387.03,26213602.41,26848007.75,26010010.41,25909807.44,25807907.64,25708022.11
16,Phyoplankton large,PL,1885791.041,1668655.199,1766413.285,1508321.13,2407662.152,17179742,1755418.531,2135891.379,1996234.664,6896382.835,6370072.285,4881531.932,4391734.74,126521849.6,4042337.829,3549418.134,3160145.89,3040941.273,10447107.05,2384347.611,2518123.12,2244544.102,3787962.416,3388534.764,5453100.891,11841252.26,2774125.237,2496713.128,2284944.642,2301651.851,5009891.881,1779925.95,1844074.614,1606466.334,1482142.878
17,Polar cod,PCO,175487.1594,189776.1176,189116.1846,196519.6206,197643.9565,206722.4937,215339.9813,213877.9046,212223.4423,199261.9265,178928.352,183430.817,173556.1869,168149.3045,167485.8107,165306.6757,162092.2184,167145.3924,173225.5317,173390.8846,174054.3876,162634.6084,153566.6483,163919.9835,176052.3907,178272.8694,179566.5611,178242.5229,177674.5028,171035.4407,177587.1135,170310.6543,174873.9203,162457.8891,163207.576
18,Northern deep sea shrimp,PWN,47776543.34,86275694.3,33290083.3,34636845.72,43821611.68,64725451.53,31423084.8,76838695.69,36555465.12,54265039,70145580.05,83704786.14,140012266.7,91642320.68,130882751.8,62483556.2,60970936.42,152270965.6,37496308.97,56608980.56,117178383.1,74160955.83,106393141,73087713.39,107768489.1,44164644.5,54650128.77,79114509.1,94589464.51,63548711.32,71174561.95,65300477.93,62383932.11,72955967.74,62262042.46
19,Lumpfish,PES,455490.9006,458987.9306,461903.4244,465406.241,468521.2655,472015.4887,475061.3874,477059.5065,478763.7545,478244.9982,477793.5213,477233.0096,477289.9143,477876.2458,478246.1495,478746.6515,478882.5892,478837.2431,480463.3645,479678.8246,479076.3423,477990.2152,476703.5003,476073.3675,474917.9014,476371.8281,474742.8269,472407.3212,470632.7312,470142.7992,468546.7913,468002.6853,467139.9912,467342.5544,470950.2497
20,Sand gaper,BFF,4669069.831,4655266.189,4613471.357,4582388.446,4482776.639,4463209.603,4445757.684,4461365.779,4460907.041,4444560.422,4394836.168,4337589.758,4212060.123,4143659.463,4127557.543,4078119.017,4075282.234,4057033.233,4040365.248,4046658.507,4015181.123,3966674.211,4004862.172,4000366.689,3989859.801,3955075.896,3897394.291,3867028.571,3787871.013,3746922.097,3737816.79,3743155.825,3706360.028,3691172.857,3682617.904
